,group,variable,month,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,CIRUGÍAS MEDIANAS Y MAYORES CANTIDAD,TOTALES
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,18,19
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,24,67,91
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,3,4
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,9,36,45
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,7,8
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,5,11,16
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,2,3
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,12,61,73
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2,10,12
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,7,7
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,4,26,30
SAN JUAN DE YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,4,8,12
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,3,19,22
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,4,4
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,11,12
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,1,1
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,3,6,9
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,21,21
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2080,2717,4797
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,303,481,784
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,3,4,7
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,341,477,818
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,3,3
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,2,47,49
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,1,1
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,81,197,278
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,25,32,57
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,7,27,34
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,7,30,37
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,16,14,30
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,10,49,59
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,18,58,76
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,13,25,38
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,22,17,39
WARNES,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,1,19,20
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,55,129,184
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,7,36,43
ZUDAÑEZ,cirugias y anestesias,cirugias medianas y mayores,2013-01-01,0,3,3
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,2,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,8,11
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,6,10,16
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,16,18
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,7,8,15
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,8,35,43
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,3,3
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,10,22,32
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,13,61,74
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,4,23,27
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,8,8
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,12,12
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,14,16
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,10,13
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,28,72,100
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1347,2243,3590
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,4,4
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,8,8
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,9,10
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,11,14
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,11,13
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,414,629,1043
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,31,42,73
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,9,10
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,1,3
GUANAY,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,1,3
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,13,77,90
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,10,18,28
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1411,1843,3254
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,7,17,24
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,7,7
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,20,23
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,13,10,23
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,23,124,147
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,252,470,722
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,9,19,28
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,5,5
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,11,13
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,16,46,62
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,136,267,403
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,9,30,39
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,23,33,56
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,12,35,47
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,25,59,84
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,12,12
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,57,157,214
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,7,8
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,13,14
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,25,67,92
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,3,3
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,30,32
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,3,4
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,10,13
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,6,7
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,15,53,68
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,4,7
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,8,8
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,23,24
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,16,17
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,2,7,9
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,4,4
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,1,1
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,3,23,26
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1657,2424,4081
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,3,3
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,318,433,751
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,6,7
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,288,408,696
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,1,1
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,9,29,38
TOTORA(CBBA),cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,4,4
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,256,48,304
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,31,24,55
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,4,7,11
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,12,29,41
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,13,10,23
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,9,32,41
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,10,6,16
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,25,16,41
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,23,41,64
WARNES,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,1,15,16
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,40,127,167
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,6,34,40
YOTALA,cirugias y anestesias,cirugias medianas y mayores,2013-02-01,0,2,2
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,2,4
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,3,7,10
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,5,6,11
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,9,9
ATOCHA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,19,0,19
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,2,2
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,5,3,8
BETANZOS,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,4,4
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,11,6,17
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,14,54,68
CARACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,6,7
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,9,26,35
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,6,7
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,16,17
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,2,3
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,7,7
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,30,70,100
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1431,2468,3899
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,22,34,56
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,7,7
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,3,6,9
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,7,13,20
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,13,13
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,408,704,1112
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,19,63,82
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,6,6
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,1,2
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,13,59,72
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,7,16,23
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,1,1
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1540,2083,3623
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,5,21,26
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,3,4
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,13,14
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,7,20,27
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,44,124,168
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,195,450,645
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,10,21,31
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,4,4
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,4,7,11
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,3,41,44
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,147,319,466
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,29,30
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,10,23,33
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,19,36,55
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,10,16,26
QUIME,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,1,2
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,6,6
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,48,67,115
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,0,2
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,19,21
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,14,78,92
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,3,4
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,3,39,42
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,5,7
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,16,18
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,15,59,74
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,5,5
SAN JOAQUIN,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,7,31,38
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,3,28,31
SAN LUCAS,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,2,2
SAN RAMON SCZ,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,3,5
SANTA ANA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,2,17,19
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1414,2872,4286
SANTA ROSA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,1,2
SHINAOTA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,3,3
SOPACHUY,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,2,2
SUCRE,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,352,509,861
TARABUCO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,1,5,6
TARIJA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,214,432,646
TARVITA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,0,2,2
TIQUIPAYA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,4,30,34
TRINIDAD,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,76,227,303
TUPIZA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,24,31,55
UYUNI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,10,22,32
VALLEGRANDE,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,8,28,36
VIACHA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,13,13,26
VILLA MONTES,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,11,49,60
VILLA TUNARI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,16,10,26
VILLAZON,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,17,23,40
VINTO,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,16,22,38
YACUIBA,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,21,65,86
YAPACANI,cirugias y anestesias,cirugias medianas y mayores,2013-03-01,8,30,38
ACHACACHI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,2,3
AIQUILE,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,3,6,9
ANZALDO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,10,4,14
ASCENCION DE GUARAYOS,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,11,12
BAURES,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,1,1
BERMEJO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,14,28,42
CAMARGO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,5,4,9
CAMIRI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,12,49,61
CARANAVI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,5,18,23
CHALLAPATA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,3,13,16
CHARAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,13,13
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,6,8
CLIZA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,15,15
COBIJA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,35,97,132
COCHABAMBA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1483,2481,3964
COLCAPIRHUA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,30,53,83
COMARAPA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,10,10
CONCEPCION,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,10,12
COROICO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,11,12
COTOCA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,18,18
EL ALTO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,378,623,1001
EL TORNO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,15,62,77
ENTRE RIOS TRJ,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,4,6
ESCOMA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,1,2
GUAYARAMERIN,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,5,81,86
HUANUNI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,4,4
HUARACAJE,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,1,1
LA PAZ,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1394,2084,3478
LLALLAGUA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,14,37,51
MAGDALENA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,7,9
MAIRANA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,12,12
MONTEAGUDO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,10,29,39
MONTERO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,41,169,210
ORURO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,239,554,793
PADILLA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,4,12,16
PAILON,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,13,13
PATACAMAYA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,8,19,27
PORONGO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,1,2
PORTACHUELO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,29,18,47
POTOSI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,147,190,337
PUERTO SUAREZ,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,28,30
PUERTO VILLARROEL,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,19,22,41
PUNATA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,15,53,68
QUILLACOLLO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,1,2
REYES,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,8,9
RIBERALTA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,27,169,196
ROBORE,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,4,6
RURRENABAQUE,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,24,26
SACABA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,16,71,87
SAMAIPATA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,8,8
SAN BORJA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,3,46,49
SAN BUENA VENTURA,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,3,5,8
SAN CARLOS,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,28,50,78
SAN IGNACIO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,6,6
SAN IGNACIO DE VELASCO,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,11,66,77
SAN JAVIER(STC),cirugias y anestesias,cirugias medianas y mayores,2013-04-01,2,7,9
SAN JOSE DE CHIQUITOS,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,1,8,9
SAN JULIAN,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,5,5
SAN MATIAS,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,2,2
SAN RAMON BENI,cirugias y anestesias,cirugias medianas y mayores,2013-04-01,0,2,2
