,group,variable,month,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
CURVA,vih,no de personas con prueba rapida,2023-01-01,0,2,2
DESAGUADERO,vih,no de personas con prueba rapida,2023-01-01,13,13,26
EL ALTO,vih,no de personas con prueba rapida,2023-01-01,1087,1900,2987
EL PUENTE(STC),vih,no de personas con prueba rapida,2023-01-01,12,15,27
EL PUENTE(TJA),vih,no de personas con prueba rapida,2023-01-01,0,1,1
EL TORNO,vih,no de personas con prueba rapida,2023-01-01,64,145,209
EL VILLAR,vih,no de personas con prueba rapida,2023-01-01,0,1,1
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2023-01-01,1,27,28
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2023-01-01,58,214,272
ESCARA,vih,no de personas con prueba rapida,2023-01-01,11,11,22
ESCOMA,vih,no de personas con prueba rapida,2023-01-01,1,0,1
EUCALIPTUS,vih,no de personas con prueba rapida,2023-01-01,0,1,1
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2023-01-01,16,21,37
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2023-01-01,1,1,2
GUANAY,vih,no de personas con prueba rapida,2023-01-01,13,57,70
GUAYARAMERIN,vih,no de personas con prueba rapida,2023-01-01,66,77,143
HUACARETA,vih,no de personas con prueba rapida,2023-01-01,1,1,2
HUACHACALLA,vih,no de personas con prueba rapida,2023-01-01,0,3,3
HUANUNI,vih,no de personas con prueba rapida,2023-01-01,35,71,106
HUAYLLAMARCA,vih,no de personas con prueba rapida,2023-01-01,6,7,13
ICLA,vih,no de personas con prueba rapida,2023-01-01,0,5,5
INCAHUASI,vih,no de personas con prueba rapida,2023-01-01,8,23,31
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2023-01-01,6,2,8
IXIAMAS,vih,no de personas con prueba rapida,2023-01-01,0,1,1
JESUS DE MACHACA,vih,no de personas con prueba rapida,2023-01-01,4,9,13
LA GUARDIA,vih,no de personas con prueba rapida,2023-01-01,53,112,165
LA PAZ,vih,no de personas con prueba rapida,2023-01-01,1041,1867,2908
LAGUNILLAS,vih,no de personas con prueba rapida,2023-01-01,1,0,1
LAJA,vih,no de personas con prueba rapida,2023-01-01,10,5,15
LAS CARRERAS,vih,no de personas con prueba rapida,2023-01-01,1,3,4
LLALLAGUA,vih,no de personas con prueba rapida,2023-01-01,8,6,14
MACHACAMARCA,vih,no de personas con prueba rapida,2023-01-01,5,11,16
MACHARETI,vih,no de personas con prueba rapida,2023-01-01,1,2,3
MAIRANA,vih,no de personas con prueba rapida,2023-01-01,5,8,13
MAPIRI,vih,no de personas con prueba rapida,2023-01-01,1,3,4
MECAPACA,vih,no de personas con prueba rapida,2023-01-01,0,5,5
MINEROS,vih,no de personas con prueba rapida,2023-01-01,10,4,14
MIZQUE,vih,no de personas con prueba rapida,2023-01-01,43,48,91
MOJOCOYA,vih,no de personas con prueba rapida,2023-01-01,0,2,2
MONTEAGUDO,vih,no de personas con prueba rapida,2023-01-01,27,95,122
MONTERO,vih,no de personas con prueba rapida,2023-01-01,79,122,201
NACEBE (SANTA ROSA DEL ABUNA),vih,no de personas con prueba rapida,2023-01-01,1,2,3
OCURI,vih,no de personas con prueba rapida,2023-01-01,6,7,13
OMEREQUE,vih,no de personas con prueba rapida,2023-01-01,2,13,15
ORURO,vih,no de personas con prueba rapida,2023-01-01,301,1021,1322
PADCAYA,vih,no de personas con prueba rapida,2023-01-01,1,0,1
PADILLA,vih,no de personas con prueba rapida,2023-01-01,6,16,22
PAILON,vih,no de personas con prueba rapida,2023-01-01,14,20,34
PAMPA GRANDE,vih,no de personas con prueba rapida,2023-01-01,1,3,4
PAPEL PAMPA,vih,no de personas con prueba rapida,2023-01-01,12,13,25
PASORAPA,vih,no de personas con prueba rapida,2023-01-01,0,2,2
PATACAMAYA,vih,no de personas con prueba rapida,2023-01-01,18,18,36
PAZÑA,vih,no de personas con prueba rapida,2023-01-01,2,6,8
PELECHUCO,vih,no de personas con prueba rapida,2023-01-01,7,9,16
POCOATA,vih,no de personas con prueba rapida,2023-01-01,1,9,10
POJO (CBBA),vih,no de personas con prueba rapida,2023-01-01,0,4,4
POOPO,vih,no de personas con prueba rapida,2023-01-01,17,43,60
PORCO,vih,no de personas con prueba rapida,2023-01-01,0,9,9
POROMA,vih,no de personas con prueba rapida,2023-01-01,1,4,5
PORONGO,vih,no de personas con prueba rapida,2023-01-01,1,9,10
PORTACHUELO,vih,no de personas con prueba rapida,2023-01-01,6,3,9
PORVENIR,vih,no de personas con prueba rapida,2023-01-01,2,12,14
POSTRER VALLE,vih,no de personas con prueba rapida,2023-01-01,0,3,3
POTOSI,vih,no de personas con prueba rapida,2023-01-01,4,9,13
PRESTO,vih,no de personas con prueba rapida,2023-01-01,2,8,10
PUCARANI,vih,no de personas con prueba rapida,2023-01-01,7,5,12
PUERTO CARABUCO,vih,no de personas con prueba rapida,2023-01-01,17,28,45
PUERTO PEREZ,vih,no de personas con prueba rapida,2023-01-01,8,21,29
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2023-01-01,0,20,20
PUERTO RICO,vih,no de personas con prueba rapida,2023-01-01,0,3,3
PUERTO SUAREZ,vih,no de personas con prueba rapida,2023-01-01,13,13,26
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2023-01-01,249,190,439
PUNATA,vih,no de personas con prueba rapida,2023-01-01,76,121,197
QUILLACOLLO,vih,no de personas con prueba rapida,2023-01-01,166,659,825
QUIME,vih,no de personas con prueba rapida,2023-01-01,3,6,9
QUIRUSILLAS,vih,no de personas con prueba rapida,2023-01-01,0,1,1
RAVELO,vih,no de personas con prueba rapida,2023-01-01,1,1,2
REYES,vih,no de personas con prueba rapida,2023-01-01,6,1,7
RIBERALTA,vih,no de personas con prueba rapida,2023-01-01,281,291,572
ROBORE,vih,no de personas con prueba rapida,2023-01-01,1,3,4
RURRENABAQUE,vih,no de personas con prueba rapida,2023-01-01,24,48,72
SABAYA,vih,no de personas con prueba rapida,2023-01-01,27,38,65
SACABA,vih,no de personas con prueba rapida,2023-01-01,175,276,451
SACABAMBA,vih,no de personas con prueba rapida,2023-01-01,2,1,3
SACACA,vih,no de personas con prueba rapida,2023-01-01,1,4,5
SAIPINA,vih,no de personas con prueba rapida,2023-01-01,1,0,1
SALINAS DE GARCI MENDOZA,vih,no de personas con prueba rapida,2023-01-01,0,2,2
SAMAIPATA,vih,no de personas con prueba rapida,2023-01-01,12,12,24
SAN ANDRES,vih,no de personas con prueba rapida,2023-01-01,1,3,4
SAN ANTONIO DE LOMERIO,vih,no de personas con prueba rapida,2023-01-01,1,0,1
SAN BENITO,vih,no de personas con prueba rapida,2023-01-01,4,3,7
SAN BORJA,vih,no de personas con prueba rapida,2023-01-01,77,85,162
SAN BUENA VENTURA,vih,no de personas con prueba rapida,2023-01-01,13,20,33
SAN CARLOS,vih,no de personas con prueba rapida,2023-01-01,10,59,69
SAN IGNACIO,vih,no de personas con prueba rapida,2023-01-01,11,17,28
SAN IGNACIO DE VELASCO,vih,no de personas con prueba rapida,2023-01-01,23,54,77
SAN JAVIER(STC),vih,no de personas con prueba rapida,2023-01-01,6,21,27
SAN JOAQUIN,vih,no de personas con prueba rapida,2023-01-01,0,15,15
SAN JOSE DE CHIQUITOS,vih,no de personas con prueba rapida,2023-01-01,11,18,29
SAN JULIAN,vih,no de personas con prueba rapida,2023-01-01,53,98,151
SAN LORENZO(PND),vih,no de personas con prueba rapida,2023-01-01,0,3,3
SAN LORENZO(TJA),vih,no de personas con prueba rapida,2023-01-01,1,2,3
SAN LUCAS,vih,no de personas con prueba rapida,2023-01-01,9,45,54
SAN MATIAS,vih,no de personas con prueba rapida,2023-01-01,10,8,18
SAN MIGUEL DE VELASCO,vih,no de personas con prueba rapida,2023-01-01,1,4,5
SAN PEDRO,vih,no de personas con prueba rapida,2023-01-01,10,22,32
SAN PEDRO DE BUENA VISTA,vih,no de personas con prueba rapida,2023-01-01,1,8,9
SAN PEDRO DE MACHA,vih,no de personas con prueba rapida,2023-01-01,3,1,4
SAN PEDRO DE TIQUINA,vih,no de personas con prueba rapida,2023-01-01,3,0,3
SAN PEDRO(PND),vih,no de personas con prueba rapida,2023-01-01,14,21,35
SAN RAFAEL,vih,no de personas con prueba rapida,2023-01-01,4,0,4
SAN RAMON BENI,vih,no de personas con prueba rapida,2023-01-01,3,4,7
SAN RAMON SCZ,vih,no de personas con prueba rapida,2023-01-01,2,0,2
SANTA ANA,vih,no de personas con prueba rapida,2023-01-01,24,27,51
SANTA CRUZ DE LA SIERRA,vih,no de personas con prueba rapida,2023-01-01,1523,10741,12264
SANTA ROSA,vih,no de personas con prueba rapida,2023-01-01,1,1,2
SANTA ROSA DEL SARA,vih,no de personas con prueba rapida,2023-01-01,7,2,9
SANTIAGO DE CALLAPA,vih,no de personas con prueba rapida,2023-01-01,0,2,2
SANTIAGO DE HUARI,vih,no de personas con prueba rapida,2023-01-01,5,7,12
SANTIAGO DE HUATA,vih,no de personas con prueba rapida,2023-01-01,2,10,12
SANTUARIO DE QUILLACAS,vih,no de personas con prueba rapida,2023-01-01,1,0,1
SENA,vih,no de personas con prueba rapida,2023-01-01,1,3,4
SHINAOTA,vih,no de personas con prueba rapida,2023-01-01,27,59,86
SICA SICA (VILLA AROMA),vih,no de personas con prueba rapida,2023-01-01,9,9,18
SICAYA,vih,no de personas con prueba rapida,2023-01-01,2,1,3
SIPE SIPE,vih,no de personas con prueba rapida,2023-01-01,12,6,18
SOPACHUY,vih,no de personas con prueba rapida,2023-01-01,5,16,21
SUCRE,vih,no de personas con prueba rapida,2023-01-01,227,980,1207
TACACOMA,vih,no de personas con prueba rapida,2023-01-01,2,2,4
TACOPAYA,vih,no de personas con prueba rapida,2023-01-01,3,1,4
TAPACARI,vih,no de personas con prueba rapida,2023-01-01,0,6,6
TARABUCO,vih,no de personas con prueba rapida,2023-01-01,13,34,47
TARACO,vih,no de personas con prueba rapida,2023-01-01,1,0,1
TARATA,vih,no de personas con prueba rapida,2023-01-01,2,2,4
TARIJA,vih,no de personas con prueba rapida,2023-01-01,150,170,320
TARVITA,vih,no de personas con prueba rapida,2023-01-01,4,20,24
TEOPONTE,vih,no de personas con prueba rapida,2023-01-01,0,1,1
TIAHUANACU,vih,no de personas con prueba rapida,2023-01-01,6,14,20
TIPUANI,vih,no de personas con prueba rapida,2023-01-01,5,4,9
TIQUIPAYA,vih,no de personas con prueba rapida,2023-01-01,38,122,160
TOCO,vih,no de personas con prueba rapida,2023-01-01,3,7,10
TOLATA,vih,no de personas con prueba rapida,2023-01-01,3,2,5
TOMINA,vih,no de personas con prueba rapida,2023-01-01,2,0,2
TORO TORO,vih,no de personas con prueba rapida,2023-01-01,4,6,10
TOTORA(CBBA),vih,no de personas con prueba rapida,2023-01-01,11,37,48
TRINIDAD,vih,no de personas con prueba rapida,2023-01-01,193,186,379
TUPIZA,vih,no de personas con prueba rapida,2023-01-01,65,184,249
UNCIA,vih,no de personas con prueba rapida,2023-01-01,10,14,24
URUBICHA,vih,no de personas con prueba rapida,2023-01-01,8,4,12
UYUNI,vih,no de personas con prueba rapida,2023-01-01,4,29,33
VALLEGRANDE,vih,no de personas con prueba rapida,2023-01-01,21,29,50
VIACHA,vih,no de personas con prueba rapida,2023-01-01,28,45,73
VILLA CHARCAS,vih,no de personas con prueba rapida,2023-01-01,3,5,8
VILLA MONTES,vih,no de personas con prueba rapida,2023-01-01,100,94,194
VILLA SERRANO,vih,no de personas con prueba rapida,2023-01-01,3,2,5
VILLA TUNARI,vih,no de personas con prueba rapida,2023-01-01,181,259,440
VILLA VACA GUZMAN (MUYUPAMPA),vih,no de personas con prueba rapida,2023-01-01,0,1,1
VILLAZON,vih,no de personas con prueba rapida,2023-01-01,31,69,100
VINTO,vih,no de personas con prueba rapida,2023-01-01,35,51,86
WARNES,vih,no de personas con prueba rapida,2023-01-01,89,117,206
YACUIBA,vih,no de personas con prueba rapida,2023-01-01,146,169,315
YAMPARAEZ,vih,no de personas con prueba rapida,2023-01-01,1,3,4
YAPACANI,vih,no de personas con prueba rapida,2023-01-01,105,171,276
YUNCHARA,vih,no de personas con prueba rapida,2023-01-01,2,1,3
ZUDAÑEZ,vih,no de personas con prueba rapida,2023-01-01,0,10,10
ACACIO,vih,no de personas con prueba rapida,2023-02-01,1,3,4
AIQUILE,vih,no de personas con prueba rapida,2023-02-01,31,48,79
ALALAY,vih,no de personas con prueba rapida,2023-02-01,1,0,1
ALCALA,vih,no de personas con prueba rapida,2023-02-01,7,27,34
ALTO BENI,vih,no de personas con prueba rapida,2023-02-01,1,1,2
ANCORAIMES,vih,no de personas con prueba rapida,2023-02-01,0,1,1
ANTEQUERA,vih,no de personas con prueba rapida,2023-02-01,1,0,1
ANZALDO,vih,no de personas con prueba rapida,2023-02-01,7,6,13
APOLO,vih,no de personas con prueba rapida,2023-02-01,20,18,38
ARANI,vih,no de personas con prueba rapida,2023-02-01,6,8,14
ARBIETO,vih,no de personas con prueba rapida,2023-02-01,2,13,15
ARQUE,vih,no de personas con prueba rapida,2023-02-01,3,10,13
ASCENCION DE GUARAYOS,vih,no de personas con prueba rapida,2023-02-01,79,214,293
ATOCHA,vih,no de personas con prueba rapida,2023-02-01,1,7,8
AYATA,vih,no de personas con prueba rapida,2023-02-01,12,5,17
AYOPAYA (V. DE INDEPENDENCIA),vih,no de personas con prueba rapida,2023-02-01,2,1,3
AZURDUY,vih,no de personas con prueba rapida,2023-02-01,4,19,23
BATALLAS,vih,no de personas con prueba rapida,2023-02-01,2,3,5
BERMEJO,vih,no de personas con prueba rapida,2023-02-01,23,32,55
BETANZOS,vih,no de personas con prueba rapida,2023-02-01,0,1,1
BOLIVAR,vih,no de personas con prueba rapida,2023-02-01,3,7,10
BUENA VISTA,vih,no de personas con prueba rapida,2023-02-01,2,3,5
CABEZAS,vih,no de personas con prueba rapida,2023-02-01,6,5,11
"CAIZA ""D""",vih,no de personas con prueba rapida,2023-02-01,2,4,6
CAJUATA,vih,no de personas con prueba rapida,2023-02-01,1,4,5
CALAMARCA,vih,no de personas con prueba rapida,2023-02-01,4,4,8
CAMARGO,vih,no de personas con prueba rapida,2023-02-01,14,48,62
CAMATAQUI (C. VILLA ABECIA),vih,no de personas con prueba rapida,2023-02-01,0,2,2
CAMIRI,vih,no de personas con prueba rapida,2023-02-01,11,5,16
CAPINOTA,vih,no de personas con prueba rapida,2023-02-01,5,7,12
CARACOLLO,vih,no de personas con prueba rapida,2023-02-01,0,4,4
CARANAVI,vih,no de personas con prueba rapida,2023-02-01,59,59,118
CARAPARI,vih,no de personas con prueba rapida,2023-02-01,2,1,3
CARIPUYO,vih,no de personas con prueba rapida,2023-02-01,0,3,3
CARMEN RIVERO TORREZ,vih,no de personas con prueba rapida,2023-02-01,10,2,12
CHALLAPATA,vih,no de personas con prueba rapida,2023-02-01,15,31,46
CHAQUI,vih,no de personas con prueba rapida,2023-02-01,1,0,1
CHARAGUA,vih,no de personas con prueba rapida,2023-02-01,1,45,46
CHAYANTA,vih,no de personas con prueba rapida,2023-02-01,2,0,2
CHIMORE,vih,no de personas con prueba rapida,2023-02-01,16,47,63
CHULUMANI (V. DE LA LIBERTAD),vih,no de personas con prueba rapida,2023-02-01,27,26,53
CHUQUIHUTA AYLLU JUCUMANI,vih,no de personas con prueba rapida,2023-02-01,0,2,2
CLIZA,vih,no de personas con prueba rapida,2023-02-01,7,9,16
COBIJA,vih,no de personas con prueba rapida,2023-02-01,32,97,129
COCAPATA,vih,no de personas con prueba rapida,2023-02-01,0,1,1
COCHABAMBA,vih,no de personas con prueba rapida,2023-02-01,1569,2489,4058
COIPASA,vih,no de personas con prueba rapida,2023-02-01,1,0,1
COLCAPIRHUA,vih,no de personas con prueba rapida,2023-02-01,42,78,120
COLOMI,vih,no de personas con prueba rapida,2023-02-01,4,6,10
COLPA BELGICA,vih,no de personas con prueba rapida,2023-02-01,7,14,21
COLQUECHACA,vih,no de personas con prueba rapida,2023-02-01,2,6,8
COLQUENCHA,vih,no de personas con prueba rapida,2023-02-01,3,10,13
COLQUIRI,vih,no de personas con prueba rapida,2023-02-01,2,0,2
COMARAPA,vih,no de personas con prueba rapida,2023-02-01,9,10,19
COMBAYA,vih,no de personas con prueba rapida,2023-02-01,1,0,1
CONCEPCION,vih,no de personas con prueba rapida,2023-02-01,16,30,46
COPACABANA,vih,no de personas con prueba rapida,2023-02-01,0,1,1
COROICO,vih,no de personas con prueba rapida,2023-02-01,26,32,58
CORQUE,vih,no de personas con prueba rapida,2023-02-01,0,1,1
COTAGAITA,vih,no de personas con prueba rapida,2023-02-01,2,3,5
COTOCA,vih,no de personas con prueba rapida,2023-02-01,47,88,135
CUATRO CAÑADAS,vih,no de personas con prueba rapida,2023-02-01,22,76,98
CUCHUMUELA (V. G. VILLARROEL),vih,no de personas con prueba rapida,2023-02-01,1,1,2
CUEVO,vih,no de personas con prueba rapida,2023-02-01,0,2,2
CULPINA,vih,no de personas con prueba rapida,2023-02-01,7,36,43
CURVA,vih,no de personas con prueba rapida,2023-02-01,3,7,10
DESAGUADERO,vih,no de personas con prueba rapida,2023-02-01,7,9,16
EL ALTO,vih,no de personas con prueba rapida,2023-02-01,783,1321,2104
EL PUENTE(STC),vih,no de personas con prueba rapida,2023-02-01,26,43,69
EL PUENTE(TJA),vih,no de personas con prueba rapida,2023-02-01,0,2,2
EL TORNO,vih,no de personas con prueba rapida,2023-02-01,23,115,138
EL VILLAR,vih,no de personas con prueba rapida,2023-02-01,1,5,6
ENTRE RIOS TRJ,vih,no de personas con prueba rapida,2023-02-01,5,11,16
ENTRE RIOS CBBA,vih,no de personas con prueba rapida,2023-02-01,61,143,204
ESCARA,vih,no de personas con prueba rapida,2023-02-01,4,2,6
ESCOMA,vih,no de personas con prueba rapida,2023-02-01,1,5,6
ESMERALDA,vih,no de personas con prueba rapida,2023-02-01,2,1,3
EUREKA (SANTOS MERCADO),vih,no de personas con prueba rapida,2023-02-01,0,1,1
FERNANDEZ ALONSO,vih,no de personas con prueba rapida,2023-02-01,11,28,39
GENERAL SAAVEDRA,vih,no de personas con prueba rapida,2023-02-01,0,2,2
GRAL. J.J. PEREZ (CHARAZANI),vih,no de personas con prueba rapida,2023-02-01,0,1,1
GUANAY,vih,no de personas con prueba rapida,2023-02-01,12,12,24
GUAYARAMERIN,vih,no de personas con prueba rapida,2023-02-01,62,50,112
HUACARETA,vih,no de personas con prueba rapida,2023-02-01,1,2,3
HUANUNI,vih,no de personas con prueba rapida,2023-02-01,31,67,98
HUAYLLAMARCA,vih,no de personas con prueba rapida,2023-02-01,0,6,6
ICLA,vih,no de personas con prueba rapida,2023-02-01,4,3,7
INCAHUASI,vih,no de personas con prueba rapida,2023-02-01,5,17,22
IRUPANA (VILLA DE LANZA),vih,no de personas con prueba rapida,2023-02-01,4,5,9
IXIAMAS,vih,no de personas con prueba rapida,2023-02-01,2,5,7
JESUS DE MACHACA,vih,no de personas con prueba rapida,2023-02-01,10,24,34
LA GUARDIA,vih,no de personas con prueba rapida,2023-02-01,65,119,184
LA PAZ,vih,no de personas con prueba rapida,2023-02-01,971,1955,2926
LA RIVERA,vih,no de personas con prueba rapida,2023-02-01,0,1,1
LAJA,vih,no de personas con prueba rapida,2023-02-01,8,8,16
LAS CARRERAS,vih,no de personas con prueba rapida,2023-02-01,0,5,5
LLALLAGUA,vih,no de personas con prueba rapida,2023-02-01,4,3,7
LURIBAY,vih,no de personas con prueba rapida,2023-02-01,0,1,1
MACHACAMARCA,vih,no de personas con prueba rapida,2023-02-01,0,9,9
MACHARETI,vih,no de personas con prueba rapida,2023-02-01,4,6,10
MAIRANA,vih,no de personas con prueba rapida,2023-02-01,3,6,9
MAPIRI,vih,no de personas con prueba rapida,2023-02-01,0,3,3
MINEROS,vih,no de personas con prueba rapida,2023-02-01,2,5,7
MIZQUE,vih,no de personas con prueba rapida,2023-02-01,39,45,84
MOJOCOYA,vih,no de personas con prueba rapida,2023-02-01,0,4,4
MONTEAGUDO,vih,no de personas con prueba rapida,2023-02-01,37,65,102
MONTERO,vih,no de personas con prueba rapida,2023-02-01,138,112,250
NACEBE (SANTA ROSA DEL ABUNA),vih,no de personas con prueba rapida,2023-02-01,0,3,3
OCURI,vih,no de personas con prueba rapida,2023-02-01,2,10,12
OMEREQUE,vih,no de personas con prueba rapida,2023-02-01,6,3,9
ORURO,vih,no de personas con prueba rapida,2023-02-01,268,1001,1269
PADCAYA,vih,no de personas con prueba rapida,2023-02-01,1,2,3
PADILLA,vih,no de personas con prueba rapida,2023-02-01,5,16,21
PAILON,vih,no de personas con prueba rapida,2023-02-01,15,43,58
PALOS BLANCOS,vih,no de personas con prueba rapida,2023-02-01,13,12,25
PAMPA AULLAGAS,vih,no de personas con prueba rapida,2023-02-01,0,3,3
PAMPA GRANDE,vih,no de personas con prueba rapida,2023-02-01,1,4,5
PASORAPA,vih,no de personas con prueba rapida,2023-02-01,1,0,1
PATACAMAYA,vih,no de personas con prueba rapida,2023-02-01,12,13,25
PAZÑA,vih,no de personas con prueba rapida,2023-02-01,6,11,17
PELECHUCO,vih,no de personas con prueba rapida,2023-02-01,10,15,25
POCOATA,vih,no de personas con prueba rapida,2023-02-01,2,12,14
POJO (CBBA),vih,no de personas con prueba rapida,2023-02-01,3,6,9
POOPO,vih,no de personas con prueba rapida,2023-02-01,8,19,27
PORCO,vih,no de personas con prueba rapida,2023-02-01,1,0,1
POROMA,vih,no de personas con prueba rapida,2023-02-01,0,1,1
PORONGO,vih,no de personas con prueba rapida,2023-02-01,7,29,36
PORTACHUELO,vih,no de personas con prueba rapida,2023-02-01,5,4,9
PORVENIR,vih,no de personas con prueba rapida,2023-02-01,4,12,16
POSTRER VALLE,vih,no de personas con prueba rapida,2023-02-01,1,0,1
POTOSI,vih,no de personas con prueba rapida,2023-02-01,32,29,61
PRESTO,vih,no de personas con prueba rapida,2023-02-01,2,8,10
PUCARANI,vih,no de personas con prueba rapida,2023-02-01,2,4,6
PUERTO GONZALO MORENO,vih,no de personas con prueba rapida,2023-02-01,1,0,1
PUERTO QUIJARRO,vih,no de personas con prueba rapida,2023-02-01,4,4,8
PUERTO RICO,vih,no de personas con prueba rapida,2023-02-01,2,9,11
PUERTO SUAREZ,vih,no de personas con prueba rapida,2023-02-01,11,12,23
PUERTO VILLARROEL,vih,no de personas con prueba rapida,2023-02-01,194,245,439
PUNA,vih,no de personas con prueba rapida,2023-02-01,0,1,1
PUNATA,vih,no de personas con prueba rapida,2023-02-01,68,97,165
QUILLACOLLO,vih,no de personas con prueba rapida,2023-02-01,194,651,845
QUIME,vih,no de personas con prueba rapida,2023-02-01,1,5,6
RAQAYPAMPA(ETA),vih,no de personas con prueba rapida,2023-02-01,0,1,1
RAVELO,vih,no de personas con prueba rapida,2023-02-01,1,2,3
REYES,vih,no de personas con prueba rapida,2023-02-01,0,1,1
RIBERALTA,vih,no de personas con prueba rapida,2023-02-01,194,203,397
ROBORE,vih,no de personas con prueba rapida,2023-02-01,0,7,7
RURRENABAQUE,vih,no de personas con prueba rapida,2023-02-01,51,47,98
SABAYA,vih,no de personas con prueba rapida,2023-02-01,10,22,32
SACABA,vih,no de personas con prueba rapida,2023-02-01,160,271,431
SACABAMBA,vih,no de personas con prueba rapida,2023-02-01,0,1,1
