,group,variable,month,TOTAL 18.5 DPT 3RA DOSIS CANTIDAD,TOTAL 18.5 DPT 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,4,0,4,4
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,14,3,14,3,17
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,4,0,4,0,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,9,16,9,16,25
QUIME,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,5,0,5,0,5
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,5,1,5,1,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,8,3,8,3,11
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,58,1,58,1,59
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,1,2,1,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,3,1,3,1,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,4,0,4,0,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,6,2,6,2,8
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,1,2,1,3
TURCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,12,0,12,0,12
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,7,0,7,0,7
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-02-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,1,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,4,0,4,0,4
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,24,2,24,2,26
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,0,2,0,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,3,0,3,0,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,3,0,3,3
CORQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,40,18,40,18,58
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,6,0,6,0,6
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,3,0,3,0,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,10,5,10,5,15
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,11,0,11,0,11
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
POOPO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,10,4,10,4,14
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,6,2,6,2,8
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,5,17,5,17,22
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,3,2,3,2,5
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,4,1,4,1,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,3,4,3,4,7
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,0,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,4,0,4,0,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,1,2,1,3
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,2,0,2,2
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,52,5,52,5,57
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,5,2,5,2,7
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,9,3,9,3,12
UNCIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,0,1,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,1,2,1,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,3,0,3,0,3
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,1,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,3,0,3,0,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,1,2,1,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-03-01,2,0,2,0,2
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,1,1,1,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,1,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,0,1,0,1,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,1,2,1,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,7,6,7,6,13
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,3,1,3,1,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,44,3,44,3,47
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,29,23,29,23,52
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,3,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,0,2,0,2
ICLA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,23,4,23,4,27
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,18,0,18,0,18
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,2,1,2,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,14,0,14,0,14
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,6,0,6,0,6
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,5,6,5,6,11
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,7,0,7,0,7
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,3,0,3,0,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,4,1,4,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,4,0,4,0,4
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,3,0,3,0,3
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,58,1,58,1,59
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 3ra dosis,2014-04-01,1,0,1,0,1
