,group,variable,month,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTAL 18.1 SRP DOSIS ÚNICA CANTIDAD,TOTALES,TOTALES,TOTALES
CURVA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,5,1,5,6
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,6,9,6,15
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1555,371,1555,371,1926
EL CHORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,0,7,0,7
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,27,0,27,0,27
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,16,9,16,9,25
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,109,6,109,6,115
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,2,5,2,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,28,13,28,13,41
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,73,0,73,0,73
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,3,10,3,13
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,0,11,0,11
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,5,0,5,5
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,10,19,10,29
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,6,3,6,9
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,28,3,28,3,31
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,7,4,7,11
GUANAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,27,14,27,41
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,2,5,2,7
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,76,45,76,45,121
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,22,6,22,28
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,15,3,15,3,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,2,0,2,2
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,51,0,51,0,51
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,3,3,3,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,6,2,6,8
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,0,2,0,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,6,3,6,9
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,6,3,6,9
ICLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,0,3,0,3
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,12,20,12,20,32
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,21,2,21,23
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,13,15,13,15,28
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,2,6,2,8
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,3,6,3,9
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,74,16,74,16,90
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,153,19,153,19,172
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1207,39,1207,39,1246
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,5,0,5,5
LAJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,10,19,10,29
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,3,1,3,4
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,5,0,5,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,62,54,62,54,116
LLICA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,5,4,5,9
LORETO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,0,2,0,2
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,1,5,1,6
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,5,2,5,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,0,9,0,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,22,10,22,10,32
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,16,0,16,0,16
MALLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,1,0,1,1
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,0,19,0,19
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,5,9,5,14
MINEROS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,30,5,30,5,35
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,52,18,52,70
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,24,5,24,29
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,2,0,2,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,35,7,35,7,42
MONTERO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,222,3,222,3,225
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,4,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,9,1,9,10
OCURI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,20,10,20,30
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,26,3,26,3,29
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,11,1,11,12
ORURO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,532,3,532,3,535
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,7,19,7,26
PADILLA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,1,18,1,19
PAILON,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,27,23,27,23,50
PALCA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,16,11,16,27
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,40,8,40,8,48
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,0,6,0,6
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,15,3,15,3,18
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,6,1,6,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,2,1,2,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,21,2,21,2,23
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,1,1,1,2
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,2,7,2,9
POCOATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,23,3,23,26
POCONA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,14,5,14,19
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,12,4,12,4,16
POOPO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,2,6,2,8
PORCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,17,13,17,13,30
POROMA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,7,4,7,11
PORONGO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,10,11,10,11,21
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,32,7,32,7,39
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,2,7,2,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,0,4,0,4
POTOSI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,442,2,442,2,444
PRESTO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,5,2,5,7
PUCARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,32,25,32,25,57
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,5,0,5,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,6,3,6,9
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,7,6,7,13
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,5,5,5,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,16,10,16,10,26
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,2,4,2,6
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,26,3,26,3,29
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,62,7,62,7,69
PUNA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,21,13,21,13,34
PUNATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,50,0,50,0,50
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,230,71,230,71,301
QUIME,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,11,14,11,14,25
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,0,4,0,4
RAVELO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,19,6,19,6,25
REYES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,30,4,30,4,34
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,173,122,173,122,295
ROBORE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,30,5,30,5,35
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,17,3,17,3,20
SABAYA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,6,0,6,0,6
SACABA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,252,4,252,4,256
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,0,2,0,2
SACACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,26,8,26,8,34
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,4,1,4,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,8,3,8,11
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,6,1,6,7
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,16,5,16,21
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,5,3,5,8
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,3,1,3,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,5,5,5,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,3,5,3,8
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,58,3,58,3,61
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,6,5,6,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,30,27,30,27,57
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,36,12,36,12,48
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,88,37,88,37,125
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,0,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,23,6,23,6,29
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,31,0,31,0,31
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,4,7,4,11
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,77,51,77,51,128
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,5,0,5,0,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,36,2,36,2,38
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,22,19,22,19,41
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,22,7,22,7,29
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,14,0,14,0,14
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,3,1,3,1,4
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,13,13,13,13,26
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,32,15,32,15,47
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,2,7,2,7,9
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,4,2,4,2,6
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,0,5,0,5,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,7,6,7,6,13
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,1,9,1,9,10
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,18,9,18,9,27
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      srp dosis unica,2014-01-01,24,0,24,0,24
