,group,variable,month,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTAL 18.2 ANTI AMARÍLICA CANTIDAD,TOTALES,TOTALES,TOTALES
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,106,7,106,7,113
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,2,5,2,7
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,27,16,27,16,43
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,80,0,80,0,80
ESCOMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,3,6,3,9
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,1,0,1,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,0,4,0,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,6,0,6,6
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,18,11,18,11,29
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,30,4,30,4,34
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,6,5,6,11
GUANAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,14,27,14,27,41
GUAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,2,2,2,4
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,43,64,43,64,107
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,24,3,24,27
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,15,3,15,3,18
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,1,0,1,1
HUACHACALLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,40,1,40,1,41
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,3,3,3,6
HUARINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,4,0,4,4
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,2,3,2,5
ICLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,10,16,10,16,26
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,22,3,22,25
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,19,11,19,30
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,2,6,2,8
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,3,2,3,5
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,60,21,60,21,81
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,167,20,167,20,187
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1240,9,1240,9,1249
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,6,0,6,6
LAJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,22,12,22,12,34
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,4,1,4,5
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,5,0,5,5
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,29,41,29,41,70
LLICA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,2,3,2,5
LORETO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,0,5,0,5
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,4,1,4,5
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,0,9,0,9
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,22,10,22,10,32
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,16,0,16,0,16
MAPIRI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,12,0,12,0,12
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,2,5,2,7
MINEROS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,30,5,30,5,35
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,48,11,48,59
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,18,4,18,22
MOJINETE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,2,0,2,2
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,29,8,29,8,37
MONTERO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,224,3,224,3,227
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,0,3,0,3
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,10,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,9,1,9,10
OCURI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,10,19,10,19,29
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,26,3,26,3,29
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,11,1,11,12
ORURO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,537,2,537,2,539
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,11,11,11,22
PADILLA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,18,0,18,0,18
PAILON,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,26,15,26,15,41
PALCA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,9,4,9,13
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,28,9,28,9,37
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,13,4,13,4,17
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,6,1,6,7
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,2,1,2,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,24,0,24,0,24
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,1,1,1,2
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,1,5,1,6
POCOATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,16,2,16,18
POCONA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,16,1,16,17
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,3,5,3,8
POOPO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,2,5,2,7
PORCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,21,12,21,12,33
POROMA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,5,5,5,10
PORONGO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,12,12,12,12,24
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,38,10,38,10,48
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,6,3,6,3,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,0,7,0,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,448,9,448,9,457
PRESTO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
PUCARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,13,14,13,14,27
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,5,0,5,5
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,7,5,7,12
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,10,0,10,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,16,12,16,12,28
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,2,5,2,7
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,13,7,13,7,20
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,76,4,76,4,80
PUNA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,14,7,14,7,21
PUNATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,52,0,52,0,52
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,256,108,256,108,364
QUIME,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,11,14,11,14,25
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,0,5,0,5
RAVELO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,24,3,24,3,27
REYES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,31,3,31,3,34
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,167,121,167,121,288
ROBORE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,29,6,29,6,35
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,14,3,14,3,17
SACABA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,228,7,228,7,235
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,0,2,0,2
SACACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,7,23,7,30
SAIPINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,5,0,5,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,8,3,8,11
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,7,0,7,7
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,16,4,16,20
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,5,3,5,8
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,3,1,3,4
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,5,5,5,10
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,6,1,6,7
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,43,5,43,5,48
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,6,5,6,11
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,30,28,30,28,58
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,27,9,27,9,36
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,86,37,86,37,123
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,4,0,4,0,4
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,23,6,23,6,29
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,9,0,9,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,29,0,29,0,29
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,4,7,4,11
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,76,51,76,51,127
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,5,0,5,0,5
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,21,3,21,3,24
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,0,7,0,7
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,18,8,18,8,26
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,14,0,14,0,14
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,1,1,1,2
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,10,13,10,13,23
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,25,14,25,14,39
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,6,2,6,8
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,2,3,2,5
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,5,0,5,5
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,7,6,7,6,13
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,9,1,9,10
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,19,10,19,10,29
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,25,0,25,0,25
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2767,138,2767,138,2905
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,2,8,2,10
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,18,18,18,18,36
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,3,2,3,2,5
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,13,2,13,15
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,5,1,5,6
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,0,9,0,9,9
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,8,12,8,12,20
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,      anti amarilica,2014-01-01,2,4,2,4,6
