,group,variable,month,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTAL 18.7 ANTIPOLIOMIELÍTICA 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,59,1,59,1,60
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,6,1,6,1,7
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,26,1,26,1,27
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,7,0,7,0,7
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,5,0,5,0,5
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,5,0,5,0,5
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,174,2,174,2,176
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SANTIAGO DE HUARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SANTIAGO DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
SANTIVAÑES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,4,1,4,1,5
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,14,4,14,4,18
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,8,0,8,0,8
SICAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,5,1,5,1,6
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,8,0,8,0,8
TACACOMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,9,10,9,10,19
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,2,2,2,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,11,5,11,5,16
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,21,1,21,1,22
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,2,3,2,5
URUBICHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,5,3,5,8
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,2,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,5,1,5,1,6
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,15,0,15,0,15
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,3,0,3,0,3
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-01-01,1,0,1,0,1
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,1,1,1,2
ALALAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
APOLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,11,1,11,1,12
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,1,1,1,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,11,2,11,2,13
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5,0,5
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,1,2,1,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,23,1,23,1,24
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
CALACOTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,4,3,4,7
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,11,0,11,0,11
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,7,2,7,2,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,9,0,9,0,9
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,8,0,8,8
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,5,1,5,6
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
CHUMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,5,3,5,8
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,10,0,10,0,10
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,123,2,123,2,125
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
COLLANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,1,1,1,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,5,9,5,9,14
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,9,0,9,9
COMANCHE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5,0,5
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,9,0,9,9
CORO CORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,15,3,15,18
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,55,12,55,12,67
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,5,2,5,7
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,2,0,2,2
EXALTACION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,33,5,33,5,38
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,3,3,3,6
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,10,2,10,12
HUACARETA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,7,0,7,0,7
ICHOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,2,2,2,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,8,7,8,7,15
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,97,25,97,25,122
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
LAJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
LORETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
MALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,3,2,3,5
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,31,3,31,3,34
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,2,1,2,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,3,1,3,4
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,20,10,20,10,30
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
PADILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,10,1,10,1,11
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,13,14,13,14,27
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,2,0,2,0,2
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,4,1,4,1,5
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,5,3,5,3,8
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,28,1,28,1,29
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,15,1,15,1,16
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,0,1,0,1,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,3,0,3,0,3
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,6,0,6,0,6
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,26,15,26,15,41
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,9,2,9,2,11
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,77,6,77,6,83
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,1,1,1,2
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,13,4,13,4,17
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,1,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 1ra dosis,2014-02-01,6,6,6,6,12
