,group,variable,month,TOTAL 18.4 DPT 2DA DOSIS CANTIDAD,TOTAL 18.4 DPT 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,0,1,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,3,1,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-02-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,9,2,9,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,5,0,5,0,5
CLIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,5,2,5,2,7
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,15,15,15,15,30
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
GUANAY,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,2,0,2,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,9,1,9,1,10
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
MALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,7,0,7,0,7
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,7,1,7,1,8
PRESTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,3,1,3,4
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,3,0,3,0,3
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,9,1,9,10
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,16,1,16,1,17
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
TARACO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,1,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-03-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,3,0,3,3
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,4,1,4,1,5
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,8,2,8,2,10
COLOMI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,2,0,2,0,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,16,12,16,12,28
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,14,0,14,0,14
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,2,1,2,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,6,0,6,0,6
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,7,0,7,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,4,3,4,3,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,3,0,3,0,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,1,1,1,2
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,2,1,2,3
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,4,6,4,6,10
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,4,1,4,5
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,18,1,18,1,19
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,4,1,4,1,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,10,0,10,10
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,7,0,7,0,7
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,1,0,1,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-04-01,1,1,1,1,2
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,2,0,2,0,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,2,6,2,6,8
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,3,1,3,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,2,0,2,0,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,8,1,8,1,9
COTOCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,5,1,5,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,23,24,23,24,47
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,4,2,4,2,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,6,2,6,2,8
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,15,9,15,9,24
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,3,0,3,3
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,5,0,5,0,5
MINEROS,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,2,1,2,3
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,2,1,2,1,3
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,2,0,2,2
OCURI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,2,0,2,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,7,6,7,6,13
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,3,6,3,6,9
PALCA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,0,1,0,1
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,3,0,3,0,3
PORCO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,2,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,9,3,9,3,12
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,1,1,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,0,1,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 2da dosis,2014-05-01,2,1,2,1,3
