,group,variable,month,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTAL 18.6 DPT 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
MONTERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,135,0,135,0,135
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,1,3,1,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,4,5,4,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,20,1,20,1,21
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,3,2,3,5
ORURO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,313,0,313,0,313
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,11,1,11,1,12
PADILLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,12,2,12,2,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,10,4,10,14
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
POCONA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,7,3,7,10
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,4,3,4,7
POROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,1,2,1,3
PORONGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,2,1,2,3
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,24,0,24,0,24
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,2,5,2,7
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,2,1,2,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,244,2,244,2,246
PRESTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,4,0,4,4
PUCARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,8,2,8,2,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,2,6,2,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,27,0,27,0,27
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,64,6,64,6,70
PUNA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,7,0,7,0,7
PUNATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,21,0,21,0,21
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,78,47,78,47,125
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,8,0,8,0,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,13,2,13,2,15
ROBORE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,26,3,26,29
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,13,1,13,1,14
SACABA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,138,5,138,5,143
SACACA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,9,9,9,9,18
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,12,0,12,0,12
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,6,1,6,1,7
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,2,1,2,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,2,2,2,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,36,2,36,2,38
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,24,0,24,0,24
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,22,16,22,38
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,5,16,5,21
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,13,0,13,0,13
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,11,0,11,0,11
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,17,1,17,1,18
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,0,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,26,7,26,7,33
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,8,18,8,18,26
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,0,2,0,2
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,23,0,23,0,23
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,0,16,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,0,2,0,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,14,1,14,1,15
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,7,0,7,0,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,23,0,23,0,23
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,852,20,852,20,872
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,0,5,0,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,16,1,16,1,17
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
SENA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,1,3,1,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,4,0,4,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,25,5,25,5,30
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,1,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,16,0,16,16
SUCRE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,280,5,280,5,285
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,4,0,4,4
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,4,3,4,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,2,0,2,2
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,10,3,10,3,13
TARATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,5,0,5,0,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,293,9,293,9,302
TARVITA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,10,6,10,6,16
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,12,3,12,3,15
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,4,3,4,7
TOCO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,3,4,3,7
TOLATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,0,2,0,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,5,4,5,9
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,14,4,14,4,18
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,68,0,68,0,68
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,47,0,47,0,47
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,3,4,3,7
UYUNI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
VACAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,2,2,2,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,19,0,19,0,19
VIACHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,34,0,34,0,34
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,1,4,1,5
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,7,3,7,3,10
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,42,12,42,12,54
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,9,0,9,0,9
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,12,1,12,1,13
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,19,1,19,1,20
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,2,2,2,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,54,2,54,2,56
VINTO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,28,0,28,0,28
WARNES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,104,6,104,6,110
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,101,2,101,2,103
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,4,0,4,0,4
YOTALA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,2,2,2,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,2,4,2,4,6
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-01-01,3,5,3,5,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,8,5,8,5,13
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,20,14,20,14,34
ALALAY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,0,1,0,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,2,3,2,3,5
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,10,0,10,0,10
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,0,1,0,1
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,0,1,0,1
ARANI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,15,0,15,0,15
ARBIETO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,6,9,6,9,15
ARQUE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,9,1,9,1,10
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,32,0,32,0,32
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,3,8,3,8,11
AYATA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,2,0,2,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,10,13,10,13,23
AZURDUY,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,3,4,3,4,7
BATALLAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,6,0,6,0,6
BAURES,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,0,1,0,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,2,4,2,4,6
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,39,17,39,17,56
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,8,3,8,3,11
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,2,3,2,3,5
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,1,3,1,3,4
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,4,0,4,0,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,0,1,0,1,1
CAIROMA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,9,18,9,18,27
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,10,7,10,7,17
CAMIRI,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,4,0,4,0,4
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,12,0,12,0,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      dpt 4ta dosis,2014-02-01,20,0,20,0,20
