,group,variable,month,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTAL 18.8 ANTIPOLIOMIELÍTICA 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,2,0,2,2
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,48,8,48,8,56
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,8,0,8,0,8
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,5,1,5,1,6
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,6,0,6,0,6
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,3,1,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-02-01,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,4,0,4,4
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,9,2,9,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,6,2,6,2,8
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,38,15,38,15,53
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,1,2,1,3
GUANAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,2,2,2,4
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,2,1,2,3
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,16,1,16,1,17
MALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,6,0,6,0,6
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,7,1,7,1,8
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,1,2,1,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,3,1,3,4
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,4,0,4,0,4
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,5,0,5,5
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,9,1,9,10
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,28,2,28,2,30
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,1,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,2,0,2,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,3,1,3,1,4
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,1,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,0,2,0,2,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-03-01,1,0,1,0,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,3,0,3,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,4,1,4,1,5
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,1,2,1,3
COCAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,14,1,14,1,15
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
COROICO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,16,14,16,14,30
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,24,0,24,0,24
LURIBAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,2,1,2,3
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,9,0,9,0,9
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,7,0,7,0,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,3,0,3,0,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,4,3,4,3,7
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,3,0,3,0,3
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,2,1,2,3
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,4,1,4,5
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,32,93,32,93,125
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,1,1,1,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
TODOS SANTOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,6,0,6,0,6
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,1,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-04-01,1,1,1,1,2
ARQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,6,2,6,8
ATOCHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,3,1,3,4
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,11,2,11,13
CAJUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,0,1,0,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,3,0,3,0,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,1,1,1,1,2
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 2da dosis,2014-05-01,2,0,2,0,2
