,group,variable,month,TOTAL 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTAL 18.9 ANTIPOLIOMIELÍTICA 3RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,21,15,21,15,36
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,4,0,4,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,14,1,14,1,15
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,9,16,9,16,25
QUIME,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,5,0,5,0,5
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,5,1,5,1,6
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,8,3,8,3,11
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,1,1,1,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,77,14,77,14,91
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,3,1,3,1,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,4,0,4,0,4
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,5,2,5,2,7
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,1,2,1,3
TURCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,1,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,0,2,0,2,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,12,0,12,0,12
WALDO BALLIVIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,7,0,7,0,7
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-02-01,1,0,1,0,1
ANZALDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,2,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,1,1,1,2
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,1,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
CARANAVI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,21,2,21,2,23
COLOMI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,3,0,3,0,3
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,3,0,3,3
CORQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,46,15,46,15,61
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,6,0,6,0,6
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,20,7,20,7,27
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,1,1,1,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,14,0,14,0,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
POOPO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,11,4,11,4,15
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,5,2,5,2,7
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,5,17,5,17,22
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,1,2,1,3
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,1,4,1,5
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,3,4,3,4,7
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,1,2,1,3
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,2,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,2,1,2,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,86,9,86,9,95
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,5,2,5,2,7
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,9,3,9,3,12
UNCIA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,0,1,0,1,1
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,1,2,1,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,1,1,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,4,0,4,0,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
YAPACANI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-03-01,2,0,2,0,2
ACACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,1,1,1,2
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,3,2,3,5
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,6,0,6,0,6
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
BETANZOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,1,2,1,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,7,6,7,6,13
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,1,0,1,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,3,1,3,1,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,39,4,39,4,43
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,3,0,3,3
COTOCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,44,34,44,34,78
EL TORNO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,2,0,2,0,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,3,1,3,1,4
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,1,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,0,3,0,3,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 3ra dosis,2014-04-01,5,0,5,0,5
