,group,variable,month,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTAL 1810 ANTIPOLIOMIELÍTICA 4TA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,1,2,1,3
LORETO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
MACHARETI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,2,3,2,5
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,9,1,9,1,10
MAIRANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4,0,4
MINEROS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,29,1,29,1,30
MIZQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,24,8,24,8,32
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,1,0,1,1
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,29,5,29,5,34
MONTERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,135,0,135,0,135
MORO MORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,1,3,1,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,5,4,5,4,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,1,1,1,2
OKINAWA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,20,1,20,1,21
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,3,2,3,5
ORURO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,318,0,318,0,318
PADCAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,11,1,11,1,12
PADILLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,12,2,12,2,14
PAILON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,10,4,10,14
PALCA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
PASORAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4,0,4
PAZÑA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,1,1,1,2
POCOATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,1,1,1,2
POCONA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,7,3,7,10
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,4,3,4,7
POROMA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,1,2,1,3
PORONGO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,1,1,1,2
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,24,0,24,0,24
PORVENIR,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,5,2,5,2,7
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,2,1,2,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,224,2,224,2,226
PRESTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,4,0,4,4
PUCARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,2,0,2,2
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,8,2,8,2,10
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,6,2,6,2,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,27,0,27,0,27
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,67,6,67,6,73
PUNA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,7,4,7,4,11
PUNATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,21,0,21,0,21
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,85,48,85,48,133
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
RAVELO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,8,0,8,0,8
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,13,2,13,2,15
ROBORE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,26,3,26,29
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,13,1,13,1,14
SACABA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,138,5,138,5,143
SACACA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,9,8,9,8,17
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,9,9,9,9,18
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,12,0,12,0,12
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,6,1,6,1,7
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,2,1,2,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,2,2,2,4
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,36,2,36,2,38
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,25,0,25,0,25
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,16,22,16,22,38
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,16,5,16,5,21
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,11,0,11,0,11
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,17,1,17,1,18
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,0,3,0,3
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,26,7,26,7,33
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,8,18,8,18,26
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,23,0,23,0,23
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,16,0,16,0,16
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,0,2,0,2
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4,0,4
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,14,1,14,1,15
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,7,0,7,0,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,23,0,23,0,23
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1165,36,1165,36,1201
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,5,0,5,0,5
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,16,1,16,1,17
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,1,0,1,1
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4,0,4
SENA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,1,3,1,4
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,4,0,4,4
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,25,5,25,5,30
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,1,0,1,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,1,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,16,0,16,16
SUCRE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,279,5,279,5,284
TACOBAMBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,4,0,4,4
TACOPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,4,3,4,7
TAPACARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,2,0,2,2
TARABUCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,10,3,10,3,13
TARACO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
TARATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,5,0,5,0,5
TARIJA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,295,9,295,9,304
TARVITA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,10,6,10,6,16
TEOPONTE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,2,0,2,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,12,3,12,3,15
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,4,3,4,7
TOCO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,4,4,4,8
TOLATA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,0,2,0,2
TOMAVE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
TOMINA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,5,4,5,9
TORO TORO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,1,0,1,1
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,14,4,14,4,18
TOTORA(ORR),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,1,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,69,0,69,0,69
TUPIZA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,47,0,47,0,47
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,3,4,3,7
UYUNI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4,0,4
VACAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,2,2,2,4
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,19,0,19,0,19
VIACHA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,42,0,42,0,42
VILA VILA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,1,4,1,5
VILLA CHARCAS,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,7,3,7,3,10
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,42,12,42,12,54
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,9,0,9,0,9
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,19,1,19,1,20
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,2,2,2,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,53,2,53,2,55
VINTO,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,28,0,28,0,28
WARNES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,104,6,104,6,110
YACUIBA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,99,2,99,2,101
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,4,0,4,0,4
YOTALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,2,2,2,4
YUNCHARA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,2,4,2,4,6
ZUDAÑEZ,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-01-01,3,5,3,5,8
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-02-01,3,4,3,4,7
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-02-01,8,5,8,5,13
AIQUILE,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-02-01,20,14,20,14,34
ALALAY,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-02-01,1,0,1,0,1
ALCALA,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-02-01,2,3,2,3,5
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,      antipoliomielitica 4ta dosis,2014-02-01,10,0,10,0,10
