,group,variable,month,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE MUJERES EMBARAZADAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
CORO CORO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
COROICO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,72,72
CORQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
COTAGAITA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
COTOCA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,166,166
CUATRO CAÑADAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
CUEVO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
CULPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,16,16
DESAGUADERO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
EL ALTO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1933,1933
EL PUENTE(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,10,10
EL PUENTE(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,20,20
EL TORNO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,189,189
EL VILLAR,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
ENTRE RIOS TRJ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,46,46
ENTRE RIOS CBBA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,88,88
ESCOMA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
EUCALIPTUS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
EUREKA (SANTOS MERCADO),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
FILADELFIA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
GENERAL SAAVEDRA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,57,57
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
GUAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
GUAYARAMERIN,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,326,326
GUTIERREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,16,16
HUACARETA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
HUACAYA (VILLA DE HUACAYA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
HUACHACALLA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,6,6
HUANUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,78,78
HUAYLLAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
ICLA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,19,19
INCAHUASI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,21,21
INGAVI (HUMAITA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
LA ASUNTA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,101,101
LA GUARDIA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,220,220
LA PAZ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1830,1830
LAGUNILLAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,7,7
LAS CARRERAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
LLALLAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,155,155
LLICA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,9,9
MACHACAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
MACHARETI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
MAIRANA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,32,32
MAPIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,25,25
MIZQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,49,49
MOJINETE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
MONTEAGUDO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,75,75
MONTERO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,363,363
MOROCHATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,7,7
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
OCURI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
ORURO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,649,649
PADCAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,39,39
PADILLA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,15,15
PAILON,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,76,76
PALOS BLANCOS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,64,64
PAMPA GRANDE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,19,19
PASORAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
PATACAMAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,37,37
POCONA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
POJO (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
POOPO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,15,15
POROMA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,21,21
PORONGO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,7,7
PORTACHUELO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,57,57
PORVENIR,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,11,11
POTOSI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,278,278
PRESTO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,12,12
PUCARA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
PUERTO GONZALO MORENO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
PUERTO QUIJARRO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,43,43
PUERTO RICO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,20,20
PUERTO VILLARROEL,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,130,130
PUNA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
PUNATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,155,155
QUILLACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,649,649
RAVELO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,12,12
REYES,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
RIBERALTA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,548,548
ROBORE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,50,50
RURRENABAQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,51,51
SABAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
SACABA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,389,389
SACACA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
SALINAS DE GARCI MENDOZA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
SAMAIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
SAN ANTONIO DE LOMERIO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,7,7
SAN BENITO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
SAN BORJA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,64,64
SAN BUENA VENTURA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,21,21
SAN CARLOS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,100,100
SAN IGNACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,22,22
SAN IGNACIO DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,221,221
SAN JAVIER(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,21,21
SAN JOSE DE CHIQUITOS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,89,89
SAN JUAN DE YAPACANI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,18,18
SAN JULIAN,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,86,86
SAN LORENZO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,13,13
SAN LORENZO(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
SAN LUCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,50,50
SAN MIGUEL DE VELASCO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,19,19
SAN PEDRO DE BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
SAN PEDRO(PND),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
SAN RAFAEL,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,9,9
SAN RAMON BENI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
SAN RAMON SCZ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,16,16
SANTA ANA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,51,51
SANTA CRUZ DE LA SIERRA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3492,3492
SANTA ROSA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,20,20
SANTA ROSA DEL SARA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,35,35
SANTIAGO DE HUARI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
SANTIVAÑES,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,11,11
SENA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,10,10
SHINAOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,78,78
SICAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
SIPE SIPE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,84,84
SOPACHUY,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,14,14
SORACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
SORATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,17,17
SUCRE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,930,930
TACOBAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,4,4
TACOPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
TAPACARI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,15,15
TARABUCO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,18,18
TARACO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
TARATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,20,20
TARIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,497,497
TARVITA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,22,22
TIAWANACU,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,22,22
TINGUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
TIQUIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,213,213
TIRAQUE (CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,27,27
TOCO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,17,17
TOLATA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
TOMAVE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,5,5
TOMINA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,22,22
TOTORA(CBBA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,66,66
TOTORA(ORR),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
TRINIDAD,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,200,200
TUPIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,23,23
UNCIA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,25,25
URIONDO (A. CONCEPCION),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,9,9
URUBICHA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,17,17
UYUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,76,76
VACAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,3,3
VALLEGRANDE,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,48,48
VIACHA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,2,2
VILLA CHARCAS,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,25,25
VILLA MONTES,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,128,128
VILLA NUEVA (LOMA ALTA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,1,1
VILLA SERRANO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,22,22
VILLA TUNARI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,344,344
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,17,17
VILLAZON,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,163,163
VINTO,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,181,181
VITICHI,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
WARNES,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,307,307
YACUIBA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,77,77
YAMPARAEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,11,11
YOTALA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
YUNCHARA,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,8,8
ZUDAÑEZ,vih,total no de mujeres embarazadas con prueba rapida,2015-01-01,0,14,14
ACACIO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,5,5
ACHACACHI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,76,76
AIQUILE,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,46,46
ALCALA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,9,9
ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
ANTEQUERA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,2,2
ARANI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,17,17
ARBIETO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,16,16
ASCENCION DE GUARAYOS,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,66,66
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,21,21
AZURDUY,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,20,20
BELEN DE ANDAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
BELEN DE URMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
BELLA FLOR,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
BETANZOS,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,18,18
BOLPEBRA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,3,3
BOYUIBE,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,6,6
BUENA VISTA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,28,28
CABEZAS,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,42,42
"CAIZA ""D""",vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,6,6
CAMARGO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,36,36
CAMATAQUI (C. VILLA ABECIA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
CAMIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,119,119
CAPINOTA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,49,49
CARACOLLO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,28,28
CARANAVI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,127,127
CARAPARI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,21,21
CHALLAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,131,131
CHAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,9,9
CHARAGUA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,74,74
CHAYANTA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
CHIMORE,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,16,16
CHIPAYA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
CHULUMANI (V. DE LA LIBERTAD),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,53,53
CHUMA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,13,13
CLIZA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,81,81
COBIJA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,163,163
COCAPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,10,10
COCHABAMBA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,625,625
COLCAPIRHUA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,73,73
COLOMI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,9,9
COLPA BELGICA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,17,17
COMARAPA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,41,41
CORIPATA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,9,9
CORO CORO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,6,6
COROICO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,52,52
CORQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
COTAGAITA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
CUATRO CAÑADAS,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,3,3
CUEVO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,12,12
CULPINA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,38,38
DESAGUADERO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,8,8
EL ALTO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1964,1964
EL PUENTE(STC),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,8,8
EL PUENTE(TJA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,17,17
EL TORNO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,153,153
EL VILLAR,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,3,3
ENTRE RIOS TRJ,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,2,2
ENTRE RIOS CBBA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,72,72
ESCOMA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,5,5
EUCALIPTUS,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,8,8
EUREKA (SANTOS MERCADO),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,7,7
FILADELFIA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,7,7
GENERAL SAAVEDRA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,35,35
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,3,3
GUAQUI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,9,9
GUAYARAMERIN,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,275,275
GUTIERREZ,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,20,20
HUACARETA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,22,22
HUACAYA (VILLA DE HUACAYA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
HUACHACALLA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
HUANUNI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,78,78
HUATAJATA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
HUAYLLAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
ICLA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,12,12
INCAHUASI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,28,28
INQUISIVI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
IRUPANA (VILLA DE LANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,22,22
LA ASUNTA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1,1
LA GUARDIA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,144,144
LA PAZ,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,1543,1543
LAJA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,17,17
LAS CARRERAS,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,2,2
MACHACAMARCA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,2,2
MACHARETI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,13,13
MAIRANA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,39,39
MAPIRI,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,28,28
MIZQUE,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,56,56
MOJOCOYA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,2,2
MONTEAGUDO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,49,49
MONTERO,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,411,411
MOROCHATA,vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,6,6
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,16,16
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de mujeres embarazadas con prueba rapida,2015-02-01,0,4,4
