,group,variable,month,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTAL Nº DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
LA ASUNTA,vih,total no de personas con prueba rapida,2015-01-01,16,8,24
LA GUARDIA,vih,total no de personas con prueba rapida,2015-01-01,26,21,47
LA PAZ,vih,total no de personas con prueba rapida,2015-01-01,486,997,1483
LLALLAGUA,vih,total no de personas con prueba rapida,2015-01-01,8,160,168
MACHACAMARCA,vih,total no de personas con prueba rapida,2015-01-01,1,3,4
MACHARETI,vih,total no de personas con prueba rapida,2015-01-01,1,11,12
MAIRANA,vih,total no de personas con prueba rapida,2015-01-01,2,0,2
MAPIRI,vih,total no de personas con prueba rapida,2015-01-01,8,2,10
MIZQUE,vih,total no de personas con prueba rapida,2015-01-01,3,49,52
MOJINETE,vih,total no de personas con prueba rapida,2015-01-01,0,2,2
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-01-01,4,38,42
MONTERO,vih,total no de personas con prueba rapida,2015-01-01,36,125,161
MOROCHATA,vih,total no de personas con prueba rapida,2015-01-01,3,4,7
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-01-01,0,1,1
OCURI,vih,total no de personas con prueba rapida,2015-01-01,0,7,7
ORURO,vih,total no de personas con prueba rapida,2015-01-01,39,207,246
PADCAYA,vih,total no de personas con prueba rapida,2015-01-01,1,12,13
PADILLA,vih,total no de personas con prueba rapida,2015-01-01,2,7,9
PAILON,vih,total no de personas con prueba rapida,2015-01-01,11,34,45
PALOS BLANCOS,vih,total no de personas con prueba rapida,2015-01-01,8,10,18
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
PASORAPA,vih,total no de personas con prueba rapida,2015-01-01,4,6,10
PATACAMAYA,vih,total no de personas con prueba rapida,2015-01-01,2,3,5
POCONA,vih,total no de personas con prueba rapida,2015-01-01,2,2,4
POJO (CBBA),vih,total no de personas con prueba rapida,2015-01-01,1,0,1
PORONGO,vih,total no de personas con prueba rapida,2015-01-01,0,3,3
PORTACHUELO,vih,total no de personas con prueba rapida,2015-01-01,4,5,9
PORVENIR,vih,total no de personas con prueba rapida,2015-01-01,0,4,4
POTOSI,vih,total no de personas con prueba rapida,2015-01-01,1,146,147
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-01-01,6,44,50
PUERTO PEREZ,vih,total no de personas con prueba rapida,2015-01-01,2,4,6
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-01-01,10,26,36
PUERTO RICO,vih,total no de personas con prueba rapida,2015-01-01,0,9,9
PUERTO SUAREZ,vih,total no de personas con prueba rapida,2015-01-01,1,0,1
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-01-01,20,139,159
PUNATA,vih,total no de personas con prueba rapida,2015-01-01,12,196,208
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-01-01,1,45,46
REYES,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-01-01,9,58,67
ROBORE,vih,total no de personas con prueba rapida,2015-01-01,5,1,6
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-01-01,16,65,81
SACABA,vih,total no de personas con prueba rapida,2015-01-01,28,45,73
SACACA,vih,total no de personas con prueba rapida,2015-01-01,0,2,2
SAMAIPATA,vih,total no de personas con prueba rapida,2015-01-01,3,4,7
SAN ANTONIO DE LOMERIO,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
SAN BENITO,vih,total no de personas con prueba rapida,2015-01-01,1,13,14
SAN BORJA,vih,total no de personas con prueba rapida,2015-01-01,5,0,5
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-01-01,0,2,2
SAN CARLOS,vih,total no de personas con prueba rapida,2015-01-01,14,29,43
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-01-01,3,3,6
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-01-01,58,40,98
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-01-01,2,21,23
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-01-01,74,39,113
SAN JUAN DE YAPACANI,vih,total no de personas con prueba rapida,2015-01-01,1,1,2
SAN JULIAN,vih,total no de personas con prueba rapida,2015-01-01,13,47,60
SAN LUCAS,vih,total no de personas con prueba rapida,2015-01-01,5,105,110
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-01-01,2,1,3
SAN PEDRO DE BUENA VISTA,vih,total no de personas con prueba rapida,2015-01-01,4,3,7
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-01-01,1,1,2
SANTA ANA,vih,total no de personas con prueba rapida,2015-01-01,8,5,13
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-01-01,512,1167,1679
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-01-01,2,3,5
SENA,vih,total no de personas con prueba rapida,2015-01-01,1,11,12
SHINAOTA,vih,total no de personas con prueba rapida,2015-01-01,24,18,42
SICAYA,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
SIPE SIPE,vih,total no de personas con prueba rapida,2015-01-01,5,89,94
SOPACHUY,vih,total no de personas con prueba rapida,2015-01-01,5,17,22
SORATA,vih,total no de personas con prueba rapida,2015-01-01,1,1,2
SUCRE,vih,total no de personas con prueba rapida,2015-01-01,100,152,252
TACOPAYA,vih,total no de personas con prueba rapida,2015-01-01,2,6,8
TAPACARI,vih,total no de personas con prueba rapida,2015-01-01,6,18,24
TARABUCO,vih,total no de personas con prueba rapida,2015-01-01,12,14,26
TARACO,vih,total no de personas con prueba rapida,2015-01-01,3,2,5
TARATA,vih,total no de personas con prueba rapida,2015-01-01,1,3,4
TARIJA,vih,total no de personas con prueba rapida,2015-01-01,82,144,226
TARVITA,vih,total no de personas con prueba rapida,2015-01-01,2,13,15
TEOPONTE,vih,total no de personas con prueba rapida,2015-01-01,0,1,1
TIAWANACU,vih,total no de personas con prueba rapida,2015-01-01,3,15,18
TIPUANI,vih,total no de personas con prueba rapida,2015-01-01,2,1,3
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-01-01,9,37,46
TOCO,vih,total no de personas con prueba rapida,2015-01-01,4,0,4
TOLATA,vih,total no de personas con prueba rapida,2015-01-01,0,2,2
TOMINA,vih,total no de personas con prueba rapida,2015-01-01,2,1,3
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-01-01,8,8,16
TRINIDAD,vih,total no de personas con prueba rapida,2015-01-01,41,163,204
TUPIZA,vih,total no de personas con prueba rapida,2015-01-01,0,6,6
UNCIA,vih,total no de personas con prueba rapida,2015-01-01,2,1,3
URIONDO (A. CONCEPCION),vih,total no de personas con prueba rapida,2015-01-01,0,2,2
URUBICHA,vih,total no de personas con prueba rapida,2015-01-01,9,4,13
UYUNI,vih,total no de personas con prueba rapida,2015-01-01,0,45,45
VACAS,vih,total no de personas con prueba rapida,2015-01-01,0,3,3
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-01-01,0,42,42
VIACHA,vih,total no de personas con prueba rapida,2015-01-01,2,0,2
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-01-01,0,8,8
VILLA MONTES,vih,total no de personas con prueba rapida,2015-01-01,22,65,87
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-01-01,7,20,27
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-01-01,3,102,105
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-01-01,8,6,14
VILLAZON,vih,total no de personas con prueba rapida,2015-01-01,35,139,174
VINTO,vih,total no de personas con prueba rapida,2015-01-01,0,46,46
VITICHI,vih,total no de personas con prueba rapida,2015-01-01,0,8,8
WARNES,vih,total no de personas con prueba rapida,2015-01-01,8,13,21
YACUIBA,vih,total no de personas con prueba rapida,2015-01-01,24,49,73
YOTALA,vih,total no de personas con prueba rapida,2015-01-01,0,4,4
YUNCHARA,vih,total no de personas con prueba rapida,2015-01-01,1,8,9
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-01-01,2,2,4
ACACIO,vih,total no de personas con prueba rapida,2015-02-01,0,2,2
ACHACACHI,vih,total no de personas con prueba rapida,2015-02-01,5,6,11
AIQUILE,vih,total no de personas con prueba rapida,2015-02-01,8,23,31
ALCALA,vih,total no de personas con prueba rapida,2015-02-01,1,1,2
ANDAMARCA,vih,total no de personas con prueba rapida,2015-02-01,10,5,15
ARANI,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
ARBIETO,vih,total no de personas con prueba rapida,2015-02-01,2,1,3
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-02-01,64,148,212
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-02-01,7,6,13
AZURDUY,vih,total no de personas con prueba rapida,2015-02-01,3,25,28
BELEN DE URMIRI,vih,total no de personas con prueba rapida,2015-02-01,0,2,2
BELLA FLOR,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
BETANZOS,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
BOYUIBE,vih,total no de personas con prueba rapida,2015-02-01,0,5,5
BUENA VISTA,vih,total no de personas con prueba rapida,2015-02-01,1,1,2
CABEZAS,vih,total no de personas con prueba rapida,2015-02-01,7,13,20
CAMARGO,vih,total no de personas con prueba rapida,2015-02-01,115,221,336
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-02-01,0,2,2
CAMIRI,vih,total no de personas con prueba rapida,2015-02-01,16,7,23
CAPINOTA,vih,total no de personas con prueba rapida,2015-02-01,4,6,10
CARACOLLO,vih,total no de personas con prueba rapida,2015-02-01,61,45,106
CARANAVI,vih,total no de personas con prueba rapida,2015-02-01,24,13,37
CARAPARI,vih,total no de personas con prueba rapida,2015-02-01,0,2,2
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-02-01,12,8,20
CHALLAPATA,vih,total no de personas con prueba rapida,2015-02-01,3,131,134
CHARAGUA,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
CHIMORE,vih,total no de personas con prueba rapida,2015-02-01,3,5,8
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-02-01,22,9,31
CHUMA,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de personas con prueba rapida,2015-02-01,0,13,13
CKOCHAS,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
CLIZA,vih,total no de personas con prueba rapida,2015-02-01,1,4,5
COBIJA,vih,total no de personas con prueba rapida,2015-02-01,13,44,57
COCHABAMBA,vih,total no de personas con prueba rapida,2015-02-01,107,134,241
COLCAPIRHUA,vih,total no de personas con prueba rapida,2015-02-01,7,10,17
COMARAPA,vih,total no de personas con prueba rapida,2015-02-01,3,1,4
CORIPATA,vih,total no de personas con prueba rapida,2015-02-01,1,2,3
CORO CORO,vih,total no de personas con prueba rapida,2015-02-01,2,5,7
COROICO,vih,total no de personas con prueba rapida,2015-02-01,2,4,6
CORQUE,vih,total no de personas con prueba rapida,2015-02-01,185,3,188
CUATRO CAÑADAS,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
CULPINA,vih,total no de personas con prueba rapida,2015-02-01,0,3,3
DESAGUADERO,vih,total no de personas con prueba rapida,2015-02-01,0,5,5
EL ALTO,vih,total no de personas con prueba rapida,2015-02-01,242,582,824
EL PUENTE(STC),vih,total no de personas con prueba rapida,2015-02-01,23,50,73
EL PUENTE(TJA),vih,total no de personas con prueba rapida,2015-02-01,1,0,1
EL TORNO,vih,total no de personas con prueba rapida,2015-02-01,49,105,154
EL VILLAR,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
ENTRE RIOS CBBA,vih,total no de personas con prueba rapida,2015-02-01,8,16,24
ESCOMA,vih,total no de personas con prueba rapida,2015-02-01,1,1,2
EUREKA (SANTOS MERCADO),vih,total no de personas con prueba rapida,2015-02-01,0,7,7
FILADELFIA,vih,total no de personas con prueba rapida,2015-02-01,1,5,6
GENERAL SAAVEDRA,vih,total no de personas con prueba rapida,2015-02-01,0,35,35
GRAL. J.J. PEREZ (CHARAZANI),vih,total no de personas con prueba rapida,2015-02-01,3,6,9
GUAQUI,vih,total no de personas con prueba rapida,2015-02-01,2,1,3
GUAYARAMERIN,vih,total no de personas con prueba rapida,2015-02-01,149,101,250
GUTIERREZ,vih,total no de personas con prueba rapida,2015-02-01,1,4,5
HUACARETA,vih,total no de personas con prueba rapida,2015-02-01,12,11,23
HUACAYA (VILLA DE HUACAYA),vih,total no de personas con prueba rapida,2015-02-01,0,2,2
HUANUNI,vih,total no de personas con prueba rapida,2015-02-01,9,10,19
INCAHUASI,vih,total no de personas con prueba rapida,2015-02-01,0,4,4
INQUISIVI,vih,total no de personas con prueba rapida,2015-02-01,2,0,2
IRUPANA (VILLA DE LANZA),vih,total no de personas con prueba rapida,2015-02-01,5,1,6
LA GUARDIA,vih,total no de personas con prueba rapida,2015-02-01,75,60,135
LA PAZ,vih,total no de personas con prueba rapida,2015-02-01,339,786,1125
LAS CARRERAS,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
MACHARETI,vih,total no de personas con prueba rapida,2015-02-01,0,6,6
MAIRANA,vih,total no de personas con prueba rapida,2015-02-01,1,2,3
MAPIRI,vih,total no de personas con prueba rapida,2015-02-01,6,1,7
MIZQUE,vih,total no de personas con prueba rapida,2015-02-01,2,12,14
MOJOCOYA,vih,total no de personas con prueba rapida,2015-02-01,3,5,8
MONTEAGUDO,vih,total no de personas con prueba rapida,2015-02-01,26,73,99
MONTERO,vih,total no de personas con prueba rapida,2015-02-01,69,164,233
MOROCHATA,vih,total no de personas con prueba rapida,2015-02-01,2,6,8
NACEBE (SANTA ROSA DEL ABUNA),vih,total no de personas con prueba rapida,2015-02-01,0,10,10
NUEVO MANOA (NUEVA ESPERANZA),vih,total no de personas con prueba rapida,2015-02-01,0,2,2
OCURI,vih,total no de personas con prueba rapida,2015-02-01,0,2,2
ORURO,vih,total no de personas con prueba rapida,2015-02-01,46,296,342
PADCAYA,vih,total no de personas con prueba rapida,2015-02-01,0,3,3
PADILLA,vih,total no de personas con prueba rapida,2015-02-01,1,1,2
PAILON,vih,total no de personas con prueba rapida,2015-02-01,13,32,45
PAMPA GRANDE,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
PASORAPA,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
POCONA,vih,total no de personas con prueba rapida,2015-02-01,3,0,3
PORCO,vih,total no de personas con prueba rapida,2015-02-01,1,5,6
POROMA,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
PORTACHUELO,vih,total no de personas con prueba rapida,2015-02-01,3,2,5
PORVENIR,vih,total no de personas con prueba rapida,2015-02-01,0,12,12
POTOSI,vih,total no de personas con prueba rapida,2015-02-01,42,27,69
PRESTO,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
PUERTO GONZALO MORENO,vih,total no de personas con prueba rapida,2015-02-01,37,50,87
PUERTO QUIJARRO,vih,total no de personas con prueba rapida,2015-02-01,15,20,35
PUERTO RICO,vih,total no de personas con prueba rapida,2015-02-01,1,12,13
PUERTO VILLARROEL,vih,total no de personas con prueba rapida,2015-02-01,25,26,51
PUNA,vih,total no de personas con prueba rapida,2015-02-01,0,2,2
PUNATA,vih,total no de personas con prueba rapida,2015-02-01,43,160,203
QUILLACOLLO,vih,total no de personas con prueba rapida,2015-02-01,6,68,74
REYES,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
RIBERALTA,vih,total no de personas con prueba rapida,2015-02-01,11,29,40
ROBORE,vih,total no de personas con prueba rapida,2015-02-01,3,0,3
RURRENABAQUE,vih,total no de personas con prueba rapida,2015-02-01,11,44,55
SACABA,vih,total no de personas con prueba rapida,2015-02-01,26,87,113
SACABAMBA,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
SAMAIPATA,vih,total no de personas con prueba rapida,2015-02-01,2,0,2
SAN BENITO,vih,total no de personas con prueba rapida,2015-02-01,1,2,3
SAN BORJA,vih,total no de personas con prueba rapida,2015-02-01,0,13,13
SAN BUENA VENTURA,vih,total no de personas con prueba rapida,2015-02-01,0,4,4
SAN CARLOS,vih,total no de personas con prueba rapida,2015-02-01,10,22,32
SAN IGNACIO,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
SAN IGNACIO DE VELASCO,vih,total no de personas con prueba rapida,2015-02-01,45,51,96
SAN JAVIER(STC),vih,total no de personas con prueba rapida,2015-02-01,1,20,21
SAN JOSE DE CHIQUITOS,vih,total no de personas con prueba rapida,2015-02-01,14,20,34
SAN JULIAN,vih,total no de personas con prueba rapida,2015-02-01,11,58,69
SAN LORENZO(PND),vih,total no de personas con prueba rapida,2015-02-01,1,7,8
SAN LORENZO(TJA),vih,total no de personas con prueba rapida,2015-02-01,1,2,3
SAN LUCAS,vih,total no de personas con prueba rapida,2015-02-01,14,81,95
SAN MIGUEL DE VELASCO,vih,total no de personas con prueba rapida,2015-02-01,2,0,2
SAN PEDRO,vih,total no de personas con prueba rapida,2015-02-01,38,42,80
SAN PEDRO DE BUENA VISTA,vih,total no de personas con prueba rapida,2015-02-01,2,0,2
SAN PEDRO(PND),vih,total no de personas con prueba rapida,2015-02-01,0,2,2
SAN RAFAEL,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
SAN RAMON BENI,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
SAN RAMON SCZ,vih,total no de personas con prueba rapida,2015-02-01,7,0,7
SANTA ANA,vih,total no de personas con prueba rapida,2015-02-01,9,9,18
SANTA CRUZ DE LA SIERRA,vih,total no de personas con prueba rapida,2015-02-01,247,725,972
SANTA ROSA,vih,total no de personas con prueba rapida,2015-02-01,4,13,17
SANTA ROSA DEL SARA,vih,total no de personas con prueba rapida,2015-02-01,0,6,6
SANTIVAÑES,vih,total no de personas con prueba rapida,2015-02-01,1,4,5
SHINAOTA,vih,total no de personas con prueba rapida,2015-02-01,11,10,21
SICAYA,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
SIPE SIPE,vih,total no de personas con prueba rapida,2015-02-01,0,17,17
SOPACHUY,vih,total no de personas con prueba rapida,2015-02-01,30,41,71
SORATA,vih,total no de personas con prueba rapida,2015-02-01,0,2,2
SUCRE,vih,total no de personas con prueba rapida,2015-02-01,205,269,474
TACOBAMBA,vih,total no de personas con prueba rapida,2015-02-01,2,5,7
TACOPAYA,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
TAPACARI,vih,total no de personas con prueba rapida,2015-02-01,2,7,9
TARABUCO,vih,total no de personas con prueba rapida,2015-02-01,2,8,10
TARATA,vih,total no de personas con prueba rapida,2015-02-01,0,11,11
TARIJA,vih,total no de personas con prueba rapida,2015-02-01,67,222,289
TARVITA,vih,total no de personas con prueba rapida,2015-02-01,7,41,48
TEOPONTE,vih,total no de personas con prueba rapida,2015-02-01,0,8,8
TIAWANACU,vih,total no de personas con prueba rapida,2015-02-01,1,4,5
TIQUIPAYA,vih,total no de personas con prueba rapida,2015-02-01,35,49,84
TOCO,vih,total no de personas con prueba rapida,2015-02-01,0,1,1
TOLATA,vih,total no de personas con prueba rapida,2015-02-01,1,0,1
TOMINA,vih,total no de personas con prueba rapida,2015-02-01,6,6,12
TOTORA(CBBA),vih,total no de personas con prueba rapida,2015-02-01,5,6,11
TOTORA(ORR),vih,total no de personas con prueba rapida,2015-02-01,1,2,3
TRINIDAD,vih,total no de personas con prueba rapida,2015-02-01,46,142,188
TUPIZA,vih,total no de personas con prueba rapida,2015-02-01,4,14,18
UNCIA,vih,total no de personas con prueba rapida,2015-02-01,1,1,2
URIONDO (A. CONCEPCION),vih,total no de personas con prueba rapida,2015-02-01,1,8,9
URUBICHA,vih,total no de personas con prueba rapida,2015-02-01,51,47,98
UYUNI,vih,total no de personas con prueba rapida,2015-02-01,1,28,29
VALLEGRANDE,vih,total no de personas con prueba rapida,2015-02-01,0,56,56
VIACHA,vih,total no de personas con prueba rapida,2015-02-01,2,0,2
VILLA CHARCAS,vih,total no de personas con prueba rapida,2015-02-01,1,8,9
VILLA MONTES,vih,total no de personas con prueba rapida,2015-02-01,29,34,63
VILLA NUEVA (LOMA ALTA),vih,total no de personas con prueba rapida,2015-02-01,0,4,4
VILLA SERRANO,vih,total no de personas con prueba rapida,2015-02-01,9,149,158
VILLA TUNARI,vih,total no de personas con prueba rapida,2015-02-01,23,64,87
VILLA VACA GUZMAN (MUYUPAMPA),vih,total no de personas con prueba rapida,2015-02-01,1,11,12
VILLAZON,vih,total no de personas con prueba rapida,2015-02-01,10,30,40
VINTO,vih,total no de personas con prueba rapida,2015-02-01,0,65,65
VITICHI,vih,total no de personas con prueba rapida,2015-02-01,1,3,4
YACUIBA,vih,total no de personas con prueba rapida,2015-02-01,19,41,60
YAPACANI,vih,total no de personas con prueba rapida,2015-02-01,3,37,40
YOTALA,vih,total no de personas con prueba rapida,2015-02-01,0,5,5
YUNCHARA,vih,total no de personas con prueba rapida,2015-02-01,2,2,4
ZUDAÑEZ,vih,total no de personas con prueba rapida,2015-02-01,13,38,51
ACACIO,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
ACHACACHI,vih,total no de personas con prueba rapida,2015-03-01,12,5,17
AIQUILE,vih,total no de personas con prueba rapida,2015-03-01,2,12,14
ALCALA,vih,total no de personas con prueba rapida,2015-03-01,6,3,9
ANDAMARCA,vih,total no de personas con prueba rapida,2015-03-01,1,1,2
ARBIETO,vih,total no de personas con prueba rapida,2015-03-01,3,1,4
ASCENCION DE GUARAYOS,vih,total no de personas con prueba rapida,2015-03-01,52,102,154
AYOPAYA (V. DE INDEPENDENCIA),vih,total no de personas con prueba rapida,2015-03-01,2,7,9
AZURDUY,vih,total no de personas con prueba rapida,2015-03-01,2,27,29
BELEN DE URMIRI,vih,total no de personas con prueba rapida,2015-03-01,6,1,7
BELLA FLOR,vih,total no de personas con prueba rapida,2015-03-01,0,2,2
BERMEJO,vih,total no de personas con prueba rapida,2015-03-01,7,24,31
BETANZOS,vih,total no de personas con prueba rapida,2015-03-01,1,0,1
CABEZAS,vih,total no de personas con prueba rapida,2015-03-01,5,7,12
"CAIZA ""D""",vih,total no de personas con prueba rapida,2015-03-01,0,6,6
CAMARGO,vih,total no de personas con prueba rapida,2015-03-01,19,87,106
CAMATAQUI (C. VILLA ABECIA),vih,total no de personas con prueba rapida,2015-03-01,2,7,9
CAMIRI,vih,total no de personas con prueba rapida,2015-03-01,11,14,25
CAPINOTA,vih,total no de personas con prueba rapida,2015-03-01,5,4,9
CARACOLLO,vih,total no de personas con prueba rapida,2015-03-01,1,5,6
CARANAVI,vih,total no de personas con prueba rapida,2015-03-01,22,11,33
CARAPARI,vih,total no de personas con prueba rapida,2015-03-01,0,1,1
CARMEN RIVERO TORREZ,vih,total no de personas con prueba rapida,2015-03-01,15,5,20
CHALLAPATA,vih,total no de personas con prueba rapida,2015-03-01,1,146,147
CHARAGUA,vih,total no de personas con prueba rapida,2015-03-01,0,5,5
CHIMORE,vih,total no de personas con prueba rapida,2015-03-01,2,8,10
CHULUMANI (V. DE LA LIBERTAD),vih,total no de personas con prueba rapida,2015-03-01,3,7,10
CHUMA,vih,total no de personas con prueba rapida,2015-03-01,0,3,3
CHUQUIHUTA AYLLU JUCUMANI,vih,total no de personas con prueba rapida,2015-03-01,0,8,8
