,group,variable,month,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TRATAMIENTOS DE LEISHMANIA CUTÁNEA CONCLUIDO,TOTALES,TOTALES,TOTALES
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,1,0,0,1,1,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,2,0,0,0,2,0,2
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,1,0,0,0,1,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,0,0,0,0,0,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,0,0,0,1,0,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,0,0,1,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,2,3,0,0,2,3,5
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,5,4,3,3,8,7,15
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2011-01-01,1,0,1,0,2,0,2
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,0,1,1,1,1,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,1,1,0,1,1,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,2,1,5,2,7,9
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,6,3,6,1,12,4,16
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,1,1,0,1,1,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,1,1,2,1,3
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,0,1,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,1,0,2,0,2
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,0,2,0,2,0,2
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,3,2,1,1,4,3,7
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,2,1,2,0,4,1,5
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,3,6,0,2,3,8,11
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,0,0,1,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,0,1,1,1,1,2
POTOSI,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,1,0,0,0,1,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,1,1,1,1,2,3
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,1,0,2,0,2
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-02-01,3,3,3,5,6,8,14
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,0,0,0,2,0,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,0,0,1,0,1,0,1
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,3,0,1,0,4,0,4
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,2,1,2,2,4,6
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,7,0,0,1,7,8
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,1,0,0,1,1,2
COCAPATA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,1,0,2,0,2
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,1,1,0,2,1,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,0,1,0,0,0,1,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,0,0,1,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,1,2,0,4,1,5
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,1,0,2,0,2
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,1,0,0,1,1,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,6,1,1,4,7,5,12
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,0,0,1,0,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,8,6,6,2,14,8,22
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,0,2,0,4,0,4
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,0,1,0,0,0,1,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,0,3,1,5,1,6
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,0,0,0,2,0,2
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,0,0,0,1,0,1,1
QUILLACOLLO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,0,0,1,0,1
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,15,4,15,4,30,8,38
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,0,0,0,2,0,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,4,0,3,2,7,9
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,1,0,2,0,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,4,0,0,0,4,0,4
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,1,0,2,0,2
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,0,0,0,1,0,1
TEOPONTE,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,1,0,0,1,1,2
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,2,1,0,0,2,1,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-03-01,1,1,3,0,4,1,5
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,1,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,0,1,0,2,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,2,3,0,4,2,6
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,1,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,1,2,2,2,4
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,5,0,3,0,8,0,8
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,1,1,2,1,3
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,5,0,3,1,8,1,9
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,0,1,0,2,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,2,0,2,0,4,0,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,5,1,6,1,7
GUTIERREZ,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,7,6,1,3,8,9,17
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,5,9,3,8,8,17,25
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,3,0,3,0,6,0,6
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,1,1,1,1,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,2,0,1,0,3,0,3
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,0,0,1,0,1
POTOSI,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,0,0,1,0,1
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,4,0,5,0,9,0,9
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,2,0,1,0,3,0,3
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,0,1,0,2,0,2
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,16,2,16,2,32,4,36
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,3,0,1,0,4,0,4
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,1,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,2,1,2,1,3
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,0,1,0,2,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,0,0,0,1,1
SHINAOTA,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,0,1,0,1,0,1
TIPUANI,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,1,1,1,2,3
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,1,1,0,0,1,1,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,1,1,1,2,3
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2011-04-01,0,1,0,1,0,2,2
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,4,0,1,0,5,0,5
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,1,0,0,0,1,1
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,4,2,0,0,4,2,6
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,4,3,4,4,8,7,15
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,5,1,4,0,9,1,10
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,0,0,1,0,1
CORIPATA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,2,0,2,0,4,4
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,3,0,2,1,5,1,6
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,2,0,4,0,6,0,6
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,5,0,3,0,8,0,8
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,2,5,2,6,4,10
IXIAMAS,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,1,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,14,21,3,2,17,23,40
MAGDALENA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,0,0,1,0,1
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,2,0,0,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,2,1,2,1,4,2,6
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,3,3,0,0,3,3,6
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,3,0,3,0,6,0,6
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,2,0,1,0,3,0,3
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,2,0,1,0,3,0,3
RIBERALTA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,5,0,5,0,10,0,10
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,1,0,0,1,1,2
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,1,0,0,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,2,0,2,1,4,5
SAN BUENA VENTURA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,2,0,0,0,2,2
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,0,0,0,0,0,0
SANTA ROSA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,0,0,1,0,1
SENA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,0,1,1,1,2
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,3,0,0,0,3,3
UNCIA,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,0,1,0,0,0,1,1
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,1,0,1,0,2,0,2
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-05-01,5,0,0,1,5,1,6
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,5,1,0,0,5,1,6
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,1,1,1,2
BELLA FLOR,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,1,0,0,0,1,1
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,1,0,2,0,2
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,2,0,1,0,3,0,3
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,2,3,1,3,3,6,9
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,2,2,3,3,5,5,10
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,1,1,1,1,2,3
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,13,6,4,1,17,7,24
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,0,1,0,1,0,1
COLCAPIRHUA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,2,0,0,0,2,0,2
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,5,2,4,1,9,3,12
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,2,0,0,0,2,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,0,1,0,1,0,1
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,2,0,0,0,2,0,2
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,4,1,2,0,6,1,7
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,3,6,1,2,4,8,12
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,17,14,27,28,44,42,86
MAGDALENA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,0,1,0,1,0,1
MAPIRI,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,2,0,2,0,4,0,4
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,3,0,2,0,5,0,5
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,3,2,3,2,6,4,10
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,2,0,3,0,3
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
REYES,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,1,1,2,1,3,4
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,0,0,1,0,1,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,5,0,5,0,10,0,10
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,2,0,3,0,3
SAN JAVIER(BNI),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,1,0,0,0,1,1
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,3,0,0,0,3,0,3
UNCIA,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,1,0,1,0,2,2
VILLA NUEVA (LOMA ALTA),leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,0,0,0,1,0,1
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,1,1,6,0,7,1,8
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,3,3,2,2,5,5,10
YANACACHI,leishmaniasis,tratamientos de leishmania cutanea,2011-06-01,0,0,1,0,1,0,1
APOLO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,0,0,1,0,1
AYATA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,1,0,1,0,1
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,3,2,2,2,5,7
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,3,1,3,1,6,2,8
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,5,1,4,1,9,2,11
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,3,0,0,1,3,4
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,8,2,10,4,18,6,24
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,0,0,1,0,1
COLCAPIRHUA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,2,0,2,0,2
COLOMI,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,2,0,3,0,3
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,3,2,4,1,7,3,10
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,1,0,2,0,2
EUREKA (SANTOS MERCADO),leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,0,1,0,1,1
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,2,0,2,0,4,0,4
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,4,0,0,1,4,1,5
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,6,4,7,2,13,6,19
LA ASUNTA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,16,11,14,9,30,20,50
NACEBE (SANTA ROSA DEL ABUNA),leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,5,1,3,0,8,1,9
NUEVO MANOA (NUEVA ESPERANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,1,0,2,0,2
PALOS BLANCOS,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,5,0,2,2,7,2,9
PORVENIR,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,2,1,0,1,2,2,4
PUERTO GONZALO MORENO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,3,0,1,0,4,0,4
PUERTO VILLARROEL,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,1,1,0,1,1,2
RURRENABAQUE,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,2,1,1,2,3,5
SACABA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,0,0,0,1,0,1
SAN BORJA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,4,2,3,0,7,2,9
SAN IGNACIO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,2,0,2,0,2
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,3,1,1,0,4,1,5
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,0,0,0,0,0
SENA,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,1,1,0,1,1,2,3
SIPE SIPE,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,1,0,1,0,1
TRINIDAD,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,3,0,0,0,3,0,3
VILLA TUNARI,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,0,1,0,1,1
VINTO,leishmaniasis,tratamientos de leishmania cutanea,2011-07-01,0,0,1,1,1,1,2
BERMEJO,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,3,1,3,0,6,1,7
BOLPEBRA,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,1,0,0,0,1,0,1
CAJUATA,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,1,0,1,0,2,0,2
CARANAVI,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,3,0,5,0,8,0,8
CHIMORE,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,2,0,1,0,3,0,3
CHULUMANI (V. DE LA LIBERTAD),leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,1,10,0,0,1,10,11
COBIJA,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,6,3,5,1,11,4,15
COCHABAMBA,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,0,0,1,0,1,0,1
COROICO,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,1,0,1,0,2,0,2
EL TORNO,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,3,3,7,1,10,4,14
ENTRE RIOS CBBA,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,2,0,0,0,2,0,2
FILADELFIA,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,2,1,1,0,3,1,4
GUANAY,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,0,1,0,0,0,1,1
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,8,2,8,1,16,3,19
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania cutanea,2011-08-01,3,1,5,3,8,4,12
