,group,variable,month,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TRATAMIENTOS DE LEISHMANIA MUCOSA Y CUTÁNEA INICIADO,TOTALES,TOTALES,TOTALES
GUAYARAMERIN,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,0,0,2,0,2,0,2
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,0,0,2,0,2,0,2
SAN LORENZO(PND),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,0,0,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-09-01,0,0,0,0,0,0,0
CARANAVI,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-10-01,0,0,0,1,0,1,1
CORIPATA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-10-01,0,1,0,0,0,1,1
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-10-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-10-01,0,0,0,0,0,0,0
EL TORNO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-11-01,3,0,1,0,4,0,4
LA ASUNTA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-11-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-11-01,0,0,0,0,0,0,0
COROICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-12-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-12-01,1,0,0,0,1,0,1
PUERTO RICO,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-12-01,0,1,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,leishmaniasis,tratamientos de leishmania mucosa y cutanea,2011-12-01,0,0,0,0,0,0,0
