,group,variable,month,VACUNACIONES SRP,VACUNACIONES SRP,TOTALES,TOTALES,TOTALES
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,14,17,14,17,31
ESMERALDA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,2,0,2,2
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,1,7,1,8
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,8,10,8,18
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,4,3,4,7
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,20,13,20,13,33
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,7,1,7,8
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,16,14,16,14,30
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,9,2,9,11
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,39,39,39,39,78
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,24,17,24,17,41
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,5,10,5,15
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,5,4,5,9
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,40,10,40,10,50
HUARACAJE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,5,4,5,9
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,7,0,7,7
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,7,7,7,14
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,18,23,18,23,41
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,0,1,0,1
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,23,2,23,25
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,14,4,14,18
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,0,13,0,13
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,8,15,8,23
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,48,20,48,20,68
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,91,8,91,8,99
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1429,121,1429,121,1550
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,8,3,8,11
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,9,20,9,20,29
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,2,2,2,4
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,2,1,2,3
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,37,56,37,56,93
LORETO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,5,0,5,5
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,12,4,12,16
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,5,5,5,10
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,1,7,1,8
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,13,8,13,21
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,17,0,17,0,17
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,1,15,1,16
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,9,1,9,10
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,28,17,28,17,45
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,21,47,21,47,68
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,15,1,15,16
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,5,3,5,8
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,43,9,43,9,52
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,148,168,148,168,316
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,1,1,1,2
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,17,29,17,29,46
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,2,0,2,2
NAZACARA DE PACAJES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,1,0,1,1
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,30,10,30,40
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,20,13,20,13,33
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,14,2,14,16
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,409,36,409,36,445
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,19,1,19,1,20
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,6,3,6,9
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,28,17,28,17,45
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,16,6,16,22
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,35,3,35,3,38
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,1,4,1,5
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,7,8,7,15
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,5,2,5,7
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,6,1,6,7
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,10,15,10,25
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,3,5,3,8
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,9,2,9,11
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,23,4,23,27
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,19,6,19,25
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,1,13,1,14
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,7,2,7,9
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,22,4,22,4,26
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,12,14,12,14,26
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,12,6,12,18
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,3,13,3,16
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,395,32,395,32,427
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,12,2,12,14
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,0,2,0,2
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,13,21,13,21,34
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,16,6,16,22
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,20,1,20,21
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,3,2,3,5
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,8,0,8,8
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,25,3,25,28
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,4,2,4,6
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,23,10,23,10,33
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,51,28,51,28,79
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,26,43,26,43,69
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,32,5,32,5,37
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,0,4,0,4
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,135,41,135,41,176
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,13,2,13,15
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,2,2,2,4
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,2,7,2,9
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,22,0,22,0,22
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,138,81,138,81,219
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,0,5,0,5
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,22,5,22,5,27
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,1,5,1,6
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,211,110,211,110,321
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,1,5,1,6
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,25,4,25,29
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,5,7,5,12
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,11,2,11,13
SAN AGUSTIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,0,2,0,2
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,6,6,6,12
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,7,2,7,9
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,1,3,1,4
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,6,1,6,7
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,19,5,19,5,24
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,48,41,48,41,89
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,7,7,7,7,14
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,15,22,15,22,37
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,45,32,45,32,77
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,70,20,70,20,90
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,21,8,21,8,29
SAN JOAQUIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,0,5,0,5
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,20,0,20,0,20
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,5,8,5,8,13
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,21,25,21,25,46
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,17,9,17,9,26
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,38,27,38,27,65
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,22,14,22,14,36
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,14,1,14,1,15
SAN PABLO DE LIPEZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,5,0,5,5
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,29,3,29,3,32
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,18,8,18,26
SAN PEDRO DE CURAHUARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,1,1,1,2
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,1,6,1,6,7
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,8,6,8,6,14
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,13,2,13,15
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,23,1,23,1,24
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,27,16,27,16,43
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2071,470,2071,470,2541
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,4,6,4,10
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,23,10,23,10,33
SANTIAGO DE CALLAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,2,3,2,5
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,11,4,11,15
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,0,9,0,9,9
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,0,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,2,2,2,4
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,3,8,3,8,11
SICA SICA (VILLA AROMA),vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,20,4,20,24
SICAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,2,1,2,1,3
SIPE SIPE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,67,16,67,16,83
SOPACHUY,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,4,6,4,6,10
SORACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,9,7,9,7,16
SORATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,10,36,10,36,46
SUCRE,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,391,51,391,51,442
TACACHI,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,6,0,6,0,6
TACACOMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones srp,2009-01-01,9,8,9,8,17
