,group,variable,month,VACUNACIONES FIEBRE AMARILLA,VACUNACIONES FIEBRE AMARILLA,TOTALES,TOTALES,TOTALES
EL VILLAR,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,1,5,1,6
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,2,5,2,7
ENTRE RIOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,18,22,18,22,40
EUCALIPTUS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,2,9,2,11
EXALTACION,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,4,0,4,4
FERNANDEZ ALONSO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,8,6,8,14
FILADELFIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,2,4,2,6
GENERAL SAAVEDRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,23,16,23,16,39
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,4,0,4,4
GUANAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,18,14,18,14,32
GUAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,14,0,14,14
GUAYARAMERIN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,40,39,40,39,79
GUTIERREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,14,15,14,29
HUACARETA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,14,5,14,5,19
HUACAYA (VILLA DE HUACAYA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,5,4,5,9
HUACHACALLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,0,1,0,1
HUANUNI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,5,4,5,9
HUAYLLAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,6,4,6,10
ICHOCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,4,0,4,4
ICLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,8,7,8,15
INCAHUASI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,18,23,18,23,41
INGAVI (HUMAITA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,0,1,0,1
INQUISIVI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,20,2,20,22
IRUPANA (VILLA DE LANZA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,19,3,19,22
IXIAMAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,13,0,13,0,13
JESUS DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,4,6,4,10
LA ASUNTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,45,16,45,16,61
LA GUARDIA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,37,9,37,9,46
LA PAZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,663,35,663,35,698
LAGUNILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,7,3,7,10
LAJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,25,1,25,26
LAS CARRERAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,1,0,1,1
LICOMA PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,2,1,2,3
LLALLAGUA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,18,43,18,43,61
LURIBAY,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,12,4,12,16
MACHACAMARCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,2,1,2,3
MACHARETI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,1,7,1,8
MAGDALENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,11,13,11,13,24
MAIRANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,13,0,13,0,13
MAPIRI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,16,1,16,1,17
MECAPACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,5,2,5,7
MINEROS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,23,12,23,12,35
MIZQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,24,43,24,43,67
MOCOMOCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,15,1,15,16
MOJOCOYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,5,3,5,8
MONTEAGUDO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,3,6,3,9
MONTERO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,136,75,136,75,211
MORO MORO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,1,1,1,2
MOROCHATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,6,1,6,7
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,2,0,2,2
OCURI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,10,28,10,28,38
OKINAWA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,22,18,22,18,40
OMEREQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,14,1,14,15
ORURO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,259,14,259,14,273
PADCAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,16,19,16,19,35
PADILLA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,6,4,6,10
PAILON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,21,7,21,7,28
PALCA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,4,0,4,4
PALOS BLANCOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,45,1,45,1,46
PAMPA AULLAGAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,1,5,1,6
PAMPA GRANDE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,4,6,4,10
PAPEL PAMPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,5,0,5,5
PASORAPA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,6,1,6,7
PATACAMAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,12,15,12,27
PAZÑA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,2,5,2,7
PELECHUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,4,1,4,5
POCOATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,25,2,25,27
POCONA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,19,1,19,20
POJO (CBBA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,12,0,12,0,12
POOPO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,7,2,7,9
PORCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,22,10,22,10,32
POROMA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,4,7,4,11
PORONGO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,14,5,14,19
PORTACHUELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,13,3,13,3,16
POTOSI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,216,8,216,8,224
PRESTO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,12,0,12,12
PUCARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
PUCARANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,14,8,14,22
PUERTO ACOSTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,16,5,16,21
PUERTO CARABUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,19,1,19,20
PUERTO GONZALO MORENO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,3,2,3,5
PUERTO PEREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,10,0,10,10
PUERTO QUIJARRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,25,2,25,27
PUERTO RICO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,8,1,8,9
PUERTO SUAREZ,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,18,6,18,6,24
PUERTO VILLARROEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,48,28,48,28,76
PUNA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,26,38,26,38,64
PUNATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,33,6,33,6,39
QUIABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,0,3,0,3
QUILLACOLLO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,30,5,30,5,35
QUIME,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,17,0,17,17
QUIRUSILLAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,2,3,2,5
RAVELO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,0,7,0,7
REYES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,0,4,0,4
RIBERALTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,140,87,140,87,227
ROBORE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,9,0,9,9
RURRENABAQUE,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,23,4,23,4,27
SABAYA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,0,3,0,3
SACABA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,172,68,172,68,240
SACABAMBA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,6,6,6,12
SACACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,5,22,5,22,27
SAIPINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,2,0,2,2
SALINAS DE GARCI MENDOZA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,5,7,5,12
SAMAIPATA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,11,2,11,13
SAN ANDRES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,5,6,5,11
SAN ANDRES DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,7,0,7,7
SAN ANTONIO DE ESMORUCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
SAN ANTONIO DE LOMERIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,6,1,6,7
SAN BENITO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,15,6,15,6,21
SAN BORJA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,49,47,49,47,96
SAN BUENA VENTURA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,8,8,8,8,16
SAN CARLOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,16,24,16,24,40
SAN IGNACIO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,25,26,25,26,51
SAN IGNACIO DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,65,20,65,20,85
SAN JAVIER(STC),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,21,8,21,8,29
SAN JOSE DE CHIQUITOS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,33,29,33,29,62
SAN JUAN DE YAPACANI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,6,8,6,8,14
SAN JULIAN,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,22,26,22,26,48
SAN LORENZO(PND),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,1,1,1,2
SAN LORENZO(TJA),vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,10,11,10,11,21
SAN LUCAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,17,21,17,21,38
SAN MATIAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,32,11,32,11,43
SAN MIGUEL DE VELASCO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,14,1,14,1,15
SAN PEDRO,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,27,4,27,4,31
SAN PEDRO DE BUENA VISTA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,7,15,7,15,22
SAN PEDRO DE TIQUINA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,5,0,5,5
SAN RAFAEL,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,9,6,9,6,15
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,16,4,16,20
SAN RAMON,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,22,1,22,1,23
SANTA ANA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,28,16,28,16,44
SANTA CRUZ DE LA SIERRA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1305,242,1305,242,1547
SANTA ROSA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,3,0,3,0,3
SANTA ROSA DEL SARA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,14,6,14,6,20
SANTIAGO DE HUARI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,4,8,4,8,12
SANTIAGO DE MACHACA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,0,9,0,9,9
SANTIVAÑES,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,0,2,0,2
SANTUARIO DE QUILLACAS,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,5,2,5,7
SAPAHAQUI,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,2,4,2,4,6
SENA,vacunaciones (ninos de 12 a 23 meses),vacunaciones fiebre amarilla,2009-01-01,1,0,1,0,1
