municipality,group,variable,month,Pacientes referidos del establecimiento a la medicina tradicional,TOTAL
TOMINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,3,3
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-06-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-07-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-07-01,6,6
TARVITA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-07-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-07-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-07-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,4,4
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,5,5
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,8,8
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,1,1
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,1,1
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,2,2
YUNCHARA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-08-01,1,1
AZURDUY,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-09-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-09-01,8,8
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-09-01,1,1
PAILON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-09-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-09-01,7,7
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-09-01,2,2
ANZALDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,2,2
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,4,4
SAN LORENZO(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,2,2
TRINIDAD,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-10-01,2,2
CULPINA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,1,1
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,6,6
PUERTO SUAREZ,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,1,1
SAN JAVIER(BNI),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-11-01,1,1
EL ALTO,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,3,3
EL PUENTE(TJA),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,1,1
PADCAYA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,2,2
PAILON,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,2,2
POROMA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,2,2
VILLA CHARCAS,refencias y contrareferencias,pacientes referidos del establecimiento a la medicina tradicional,2020-12-01,2,2
