municipality,group,variable,month,PCD referidas a Unidades de Calificación de Discapacidad.,TOTAL
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-08-01,1,1
ATOCHA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,8,8
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,2,2
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,12,12
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,3,3
ENTRE RIOS TRJ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,2,2
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,3,3
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,4,4
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,152,152
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,2,2
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,11,11
TRINIDAD,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-09-01,2,2
ASCENCION DE GUARAYOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,1,1
BETANZOS,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,2,2
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,3,3
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,59,59
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,1,1
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,2,2
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,15,15
ORURO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,1,1
PADCAYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,2,2
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,4,4
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,1,1
SAN JOAQUIN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,5,5
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-10-01,188,188
ACHOCALLA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,3,3
AYO AYO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
BERMEJO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,8,8
CHAQUI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
CHAYANTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,3,3
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,17,17
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,57,57
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,5,5
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,10,10
PAILON,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
PUERTO ACOSTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
PUNATA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
RIBERALTA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,3,3
SAN JUAN DE YAPACANI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,3,3
SAN JULIAN,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,2,2
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,3,3
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,148,148
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
VILLA SERRANO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,6,6
ZUDAÑEZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-11-01,1,1
CARANAVI,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,10,10
COCHABAMBA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,2,2
COTAGAITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,4,4
EL ALTO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,47,47
EL TORNO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,2,2
LA PAZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,3,3
MOCOMOCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,3,3
MONTERO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,6,6
PADCAYA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,3,3
PUERTO SUAREZ,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,1,1
QUILLACOLLO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,1,1
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,61,61
SUCRE,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,6,6
TARABUCO,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,1,1
TARIJA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,66,66
TARVITA,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,1,1
URIONDO (A. CONCEPCION),refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,1,1
WARNES,refencias y contrareferencias,pcd referidas a unidades de calificacion de discapacidad.,2020-12-01,1,1
