municipality,group,variable,month,Pacientes contrareferidos al establecimiento,TOTAL
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1294,1294
SANTA ROSA DEL SARA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
SANTIVAÑES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SIPE SIPE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,392,392
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,6,6
TARATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,3,3
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,33,33
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,5,5
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,110,110
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,94,94
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,6,6
VILLA TUNARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,96,96
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,11,11
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,55,55
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,4,4
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,2,2
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-01-01,6,6
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
ALTO BENI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
ANTEQUERA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,7,7
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,10,10
AYATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,8,8
"CAIZA ""D""",refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,39,39
CARACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,5,5
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
CATACORA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
CHUMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,21,21
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,121,121
COLCAPIRHUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
COLQUIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
COMARAPA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,10,10
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,5,5
CULPINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,4,4
CURAHUARA DE CARANGAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,170,170
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,6,6
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,313,313
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
ENTRE RIOS CBBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,6,6
GUANAY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,7,7
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,13,13
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
LA GUARDIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1528,1528
LAJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
LAS CARRERAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
MONTEAGUDO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,87,87
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
OKINAWA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,152,152
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,7,7
PAILON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
PALOS BLANCOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,4,4
PAZÑA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
POCOATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
PORCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,12,12
PORVENIR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,619,619
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
PUERTO RICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,4,4
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,19,19
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,73,73
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,38,38
ROBORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,15,15
SAN ANDRES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,8,8
SAN JAVIER(BNI),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
SAN JULIAN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,6,6
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,47,47
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,4,4
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
SAN PEDRO(PND),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1298,1298
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,178,178
TACOPAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,4,4
TARATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,51,51
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,11,11
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
TOCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
TODOS SANTOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,13,13
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,93,93
TUPIZA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,48,48
VALLEGRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
VIACHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,15,15
VILLA CHARCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,2,2
VILLA MONTES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,12,12
VILLA SERRANO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,3,3
VILLA TUNARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,105,105
VILLA VACA GUZMAN (MUYUPAMPA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
VILLAZON,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,15,15
WARNES,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,104,104
YACUIBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,7,7
YAMPARAEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,4,4
YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,1,1
ZUDAÑEZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-02-01,6,6
ACHACACHI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
AIQUILE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
ALCALA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,4,4
ASCENCION DE GUARAYOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,26,26
ATOCHA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,4,4
AUCAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
AYATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
AYOPAYA (V. DE INDEPENDENCIA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
BERMEJO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
BETANZOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
BUENA VISTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,3,3
CAMIRI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,28,28
CARACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
CARANAVI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
CARAPARI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,3,3
CHALLAPATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
CHARAGUA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
CHIMORE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,3,3
CHUQUIHUTA AYLLU JUCUMANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
CKOCHAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,3,3
COBIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,18,18
COCHABAMBA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,232,232
COLOMI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
COROICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
COTAGAITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
COTOCA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,14,14
EL ALTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,157,157
EL PUENTE(STC),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
EL PUENTE(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
EL TORNO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,225,225
EL VILLAR,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
FERNANDEZ ALONSO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,6,6
FILADELFIA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
GUAYARAMERIN,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,50,50
HUANUNI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,12,12
ICLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
INCAHUASI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,4,4
IRUPANA (VILLA DE LANZA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
LA PAZ,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1078,1078
LAGUNILLAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
LAS CARRERAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
MACHARETI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
MAIRANA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
MINEROS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
MIZQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
MOJOCOYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
MONTERO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,63,63
OCURI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
OKINAWA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
ORURO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,101,101
PADILLA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
PAMPA GRANDE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
POOPO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
PORONGO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
PORTACHUELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,13,13
POTOSI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,466,466
PRESTO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,4,4
PUERTO GONZALO MORENO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
PUERTO RICO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
PUERTO VILLARROEL,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
PUNA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,3,3
PUNATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,7,7
QUILLACOLLO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,71,71
RAVELO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,4,4
RIBERALTA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,24,24
RURRENABAQUE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
SACABA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,15,15
SAN BUENA VENTURA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
SAN CARLOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,6,6
SAN JOSE DE CHIQUITOS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
SAN JUAN DE YAPACANI,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
SAN LORENZO(TJA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
SAN LUCAS,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,38,38
SAN MIGUEL DE VELASCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,4,4
SAN PEDRO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,2,2
SANTA CRUZ DE LA SIERRA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,435,435
SOPACHUY,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,6,6
SUCRE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,121,121
TACACOMA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
TARABUCO,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,6,6
TARIJA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,16,16
TARVITA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,16,16
TEOPONTE,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
TIAHUANACU,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
TIQUIPAYA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
TIRAQUE (CBBA),refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
TOLATA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,1,1
TOMINA,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,16,16
TRINIDAD,refencias y contrareferencias,pacientes contrareferidos al establecimiento,2020-03-01,74,74
