,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,3,0,0,5
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,10,12,1,1,24
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,35,30,2,6,73
LAJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
MECAPACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,8,4,1,0,13
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,3,2,5
ORURO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,4,8,3,6,21
PAILON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,3,1,3,1,8
PALCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
PATACAMAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,1,0,2
POCOATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
PORCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
PORONGO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,1,1,3
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,4,4,3,3,14
PUCARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,2,0,1,3
PUERTO CARABUCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,1,0,2
PUERTO RICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,0,0,0,2
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,2,0,0,4
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,3,1,0,0,4
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,1,2
REYES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,4,1,0,0,5
ROBORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,2,0,0,3
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
SACABA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,5,3,5,5,18
SAN ANDRES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,7,12,0,0,19
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,0,3,0,5
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,7,1,1,0,9
SAN JUAN DE YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,2,2
SAN LORENZO(TJA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,2,0,0,2
SAN PEDRO(PND),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,3,1,0,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,108,115,4,5,232
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,0,0,0,2
SENA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,0,0,0,2
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,7,6,0,0,13
SORATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,5,7,1,0,13
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,4,2,1,0,7
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,4,0,1,6
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,1,2
TOCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,0,0,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,6,8,0,0,14
TUPIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,0,1,0,1
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,6,5,1,3,15
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,1,0,1,0,2
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,7,1,2,1,11
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,2,1,0,0,3
VINTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,1,2,1,4
WARNES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,6,3,0,0,9
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,3,3,0,0,6
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-01-01,0,5,1,1,7
ACHOCALLA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
ALTO BENI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
ARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
ARBIETO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,4,1,1,0,6
AYATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
BATALLAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,2,1,3
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,2,0,2
CAIROMA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,2,0,0,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
CHAYANTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,2,0,1,1,4
CKOCHAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
CLIZA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,26,27,5,5,63
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,1,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,1,2
COMARAPA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,3,3
COPACABANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
CORIPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,2,1,0,0,3
CUATRO CAÑADAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
CUEVO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,1,2
DESAGUADERO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,24,23,8,12,67
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,3,0,0,0,3
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,3,1,0,4
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
GENERAL SAAVEDRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,2,1,0,4
GUTIERREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,1,2
LA ASUNTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
LA GUARDIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,7,14,0,0,21
LA PAZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,37,34,4,1,76
LAJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
LURIBAY,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
MAPIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
MINEROS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,6,2,0,0,8
MOCOMOCO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
MONTERO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,6,7,3,0,16
MOROCHATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
ORURO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,11,7,6,7,31
PAILON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,5,2,0,0,7
PALOS BLANCOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
POJO (CBBA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
POROMA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
PORTACHUELO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
POTOSI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,7,16,5,0,28
PUCARANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,2,2,5
PUERTO SILES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
PUERTO SUAREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,2,1,3
PUERTO VILLARROEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,2,4,0,0,6
PUNATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,2,2,4,3,11
REYES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
RIBERALTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
RURRENABAQUE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,1,2,4,8
SACABA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,5,4,2,4,15
SACABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,12,7,0,0,19
SAN CARLOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
SAN IGNACIO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,4,3,4,6,17
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,2,5,7
SAN MATIAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,2,0,0,0,2
SAN RAFAEL,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
SANTA ANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,2,0,0,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,105,85,12,12,214
SANTA ROSA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,2,0,0,2
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
SENA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,1,2
SHINAOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,2,0,0,2
SIPE SIPE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,4,0,0,0,4
SORATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,2,3
SUCRE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,3,1,1,3,8
TARACO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
TARIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,3,2,0,0,5
TIQUIPAYA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,4,3,1,0,8
TIRAQUE (CBBA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,1,1,2
TOLATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,4,6,0,0,10
UNCIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
UYUNI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,2,1,0,3
VIACHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,2,1,5,5,13
VILLA MONTES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,1,2,0,3
VILLA TUNARI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,4,2,0,7
VILLAZON,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,0,0,0,2,2
VINTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,1,0,2,4
WARNES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,10,15,1,1,27
YACUIBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,2,0,0,3
YAPACANI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-02-01,1,2,1,0,4
AIQUILE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,2,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
BAURES,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
CABEZAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,2,9,11
CALAMARCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,1,0,2
CAMIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,2,2,0,1,5
CAPINOTA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,1,1,3
CARANAVI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,0,2,2
CARMEN RIVERO TORREZ,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,1,0,2
CHALLAPATA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
CHARAGUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,1,2
CHIMORE,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,3,1,0,1,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,3,0,0,0,3
COBIJA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,1,0,1,2
COCHABAMBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,11,19,12,7,49
COLCAPIRHUA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,2,0,0,2
COLOMI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,2,0,0,2
COLQUECHACA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
COLQUENCHA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
COLQUIRI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
COROICO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,0,1,0,2
COTOCA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,2,1,1,0,4
EL ALTO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,19,18,14,12,63
EL TORNO,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,2,0,0,0,2
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
FILADELFIA,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,3,0,0,4
HUANUNI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
INCAHUASI,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,0,0,1,1,2
IXIAMAS,vacunaciones en ninos de 2 a 3 anos,srp 1ra. dosis,2020-03-01,1,1,1,0,3
