,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS NUEVO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,PERSONAS DE 60 AÑOS Y MÁS REPETIDO,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2022-01-01,933,997,25,29,958,1026,1984
AZURDUY,consulta externa,personas de 60 anos y mas,2022-01-01,212,257,19,27,231,284,515
BATALLAS,consulta externa,personas de 60 anos y mas,2022-01-01,240,254,124,160,364,414,778
BAURES,consulta externa,personas de 60 anos y mas,2022-01-01,217,213,12,17,229,230,459
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2022-01-01,82,156,0,2,82,158,240
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2022-01-01,123,124,0,0,123,124,247
BELLA FLOR,consulta externa,personas de 60 anos y mas,2022-01-01,54,35,36,39,90,74,164
BERMEJO,consulta externa,personas de 60 anos y mas,2022-01-01,783,892,174,235,957,1127,2084
BETANZOS,consulta externa,personas de 60 anos y mas,2022-01-01,1065,1175,48,48,1113,1223,2336
BOLIVAR,consulta externa,personas de 60 anos y mas,2022-01-01,114,128,16,11,130,139,269
BOLPEBRA,consulta externa,personas de 60 anos y mas,2022-01-01,38,24,5,5,43,29,72
BOYUIBE,consulta externa,personas de 60 anos y mas,2022-01-01,73,105,76,81,149,186,335
BUENA VISTA,consulta externa,personas de 60 anos y mas,2022-01-01,329,246,12,9,341,255,596
CABEZAS,consulta externa,personas de 60 anos y mas,2022-01-01,405,377,53,62,458,439,897
CAIROMA,consulta externa,personas de 60 anos y mas,2022-01-01,335,286,15,17,350,303,653
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2022-01-01,383,633,17,29,400,662,1062
CAJUATA,consulta externa,personas de 60 anos y mas,2022-01-01,203,177,31,28,234,205,439
CALACOTO,consulta externa,personas de 60 anos y mas,2022-01-01,306,314,9,10,315,324,639
CALAMARCA,consulta externa,personas de 60 anos y mas,2022-01-01,280,317,10,14,290,331,621
CAMARGO,consulta externa,personas de 60 anos y mas,2022-01-01,429,590,68,96,497,686,1183
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2022-01-01,218,283,2,14,220,297,517
CAMIRI,consulta externa,personas de 60 anos y mas,2022-01-01,777,902,215,254,992,1156,2148
CAPINOTA,consulta externa,personas de 60 anos y mas,2022-01-01,344,489,116,130,460,619,1079
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2022-01-01,390,450,24,26,414,476,890
CARACOLLO,consulta externa,personas de 60 anos y mas,2022-01-01,388,398,21,46,409,444,853
CARANAVI,consulta externa,personas de 60 anos y mas,2022-01-01,1236,816,69,51,1305,867,2172
CARANGAS,consulta externa,personas de 60 anos y mas,2022-01-01,12,21,0,1,12,22,34
CARAPARI,consulta externa,personas de 60 anos y mas,2022-01-01,430,433,99,111,529,544,1073
CARIPUYO,consulta externa,personas de 60 anos y mas,2022-01-01,266,335,3,2,269,337,606
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2022-01-01,105,105,13,8,118,113,231
CATACORA,consulta externa,personas de 60 anos y mas,2022-01-01,55,77,1,2,56,79,135
CHACARILLA,consulta externa,personas de 60 anos y mas,2022-01-01,65,60,28,27,93,87,180
CHALLAPATA,consulta externa,personas de 60 anos y mas,2022-01-01,679,696,51,62,730,758,1488
CHAQUI,consulta externa,personas de 60 anos y mas,2022-01-01,512,724,13,7,525,731,1256
CHARAGUA,consulta externa,personas de 60 anos y mas,2022-01-01,554,539,63,70,617,609,1226
CHARAÑA,consulta externa,personas de 60 anos y mas,2022-01-01,83,90,8,9,91,99,190
CHAYANTA,consulta externa,personas de 60 anos y mas,2022-01-01,450,563,1,1,451,564,1015
CHIMORE,consulta externa,personas de 60 anos y mas,2022-01-01,285,281,1,2,286,283,569
CHIPAYA,consulta externa,personas de 60 anos y mas,2022-01-01,38,30,1,0,39,30,69
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2022-01-01,80,92,1,1,81,93,174
CHUA COCANI,consulta externa,personas de 60 anos y mas,2022-01-01,57,75,30,19,87,94,181
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2022-01-01,218,183,49,54,267,237,504
CHUMA,consulta externa,personas de 60 anos y mas,2022-01-01,497,450,49,51,546,501,1047
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,personas de 60 anos y mas,2022-01-01,86,108,6,9,92,117,209
CKOCHAS,consulta externa,personas de 60 anos y mas,2022-01-01,600,671,0,1,600,672,1272
CLIZA,consulta externa,personas de 60 anos y mas,2022-01-01,366,493,71,145,437,638,1075
COBIJA,consulta externa,personas de 60 anos y mas,2022-01-01,601,538,454,463,1055,1001,2056
COCAPATA,consulta externa,personas de 60 anos y mas,2022-01-01,491,491,10,10,501,501,1002
COCHABAMBA,consulta externa,personas de 60 anos y mas,2022-01-01,13076,14121,10763,13453,23839,27574,51413
COIPASA,consulta externa,personas de 60 anos y mas,2022-01-01,29,43,1,0,30,43,73
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2022-01-01,340,548,159,234,499,782,1281
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2022-01-01,372,496,36,38,408,534,942
COLLANA,consulta externa,personas de 60 anos y mas,2022-01-01,146,141,6,7,152,148,300
COLOMI,consulta externa,personas de 60 anos y mas,2022-01-01,202,244,109,120,311,364,675
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2022-01-01,145,137,81,77,226,214,440
COLQUECHACA,consulta externa,personas de 60 anos y mas,2022-01-01,350,381,2,2,352,383,735
COLQUENCHA,consulta externa,personas de 60 anos y mas,2022-01-01,191,214,20,17,211,231,442
COLQUIRI,consulta externa,personas de 60 anos y mas,2022-01-01,349,343,14,5,363,348,711
COMANCHE,consulta externa,personas de 60 anos y mas,2022-01-01,88,82,1,1,89,83,172
COMARAPA,consulta externa,personas de 60 anos y mas,2022-01-01,313,328,50,55,363,383,746
COMBAYA,consulta externa,personas de 60 anos y mas,2022-01-01,129,127,10,17,139,144,283
CONCEPCION,consulta externa,personas de 60 anos y mas,2022-01-01,227,206,67,70,294,276,570
COPACABANA,consulta externa,personas de 60 anos y mas,2022-01-01,328,339,25,16,353,355,708
CORIPATA,consulta externa,personas de 60 anos y mas,2022-01-01,216,170,25,18,241,188,429
CORO CORO,consulta externa,personas de 60 anos y mas,2022-01-01,299,244,22,23,321,267,588
COROICO,consulta externa,personas de 60 anos y mas,2022-01-01,293,241,111,122,404,363,767
CORQUE,consulta externa,personas de 60 anos y mas,2022-01-01,377,392,22,22,399,414,813
COTAGAITA,consulta externa,personas de 60 anos y mas,2022-01-01,1067,1436,116,156,1183,1592,2775
COTOCA,consulta externa,personas de 60 anos y mas,2022-01-01,916,981,74,88,990,1069,2059
CRUZ DE MACHACAMARCA,consulta externa,personas de 60 anos y mas,2022-01-01,26,19,0,0,26,19,45
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2022-01-01,320,227,91,95,411,322,733
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2022-01-01,46,79,2,4,48,83,131
CUEVO,consulta externa,personas de 60 anos y mas,2022-01-01,129,156,40,49,169,205,374
CULPINA,consulta externa,personas de 60 anos y mas,2022-01-01,367,438,38,68,405,506,911
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2022-01-01,133,140,9,10,142,150,292
CURVA,consulta externa,personas de 60 anos y mas,2022-01-01,50,71,0,2,50,73,123
DESAGUADERO,consulta externa,personas de 60 anos y mas,2022-01-01,141,154,27,35,168,189,357
EL ALTO,consulta externa,personas de 60 anos y mas,2022-01-01,5139,5139,3931,3733,9070,8872,17942
EL CHORO,consulta externa,personas de 60 anos y mas,2022-01-01,144,162,8,7,152,169,321
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2022-01-01,267,203,4,0,271,203,474
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2022-01-01,311,431,60,81,371,512,883
EL TORNO,consulta externa,personas de 60 anos y mas,2022-01-01,1029,1050,485,584,1514,1634,3148
EL VILLAR,consulta externa,personas de 60 anos y mas,2022-01-01,169,233,1,3,170,236,406
ENTRE RIOS TRJ,consulta externa,personas de 60 anos y mas,2022-01-01,406,461,78,119,484,580,1064
ENTRE RIOS CBBA,consulta externa,personas de 60 anos y mas,2022-01-01,533,453,37,29,570,482,1052
ESCARA,consulta externa,personas de 60 anos y mas,2022-01-01,36,29,2,4,38,33,71
ESCOMA,consulta externa,personas de 60 anos y mas,2022-01-01,197,209,23,25,220,234,454
ESMERALDA,consulta externa,personas de 60 anos y mas,2022-01-01,61,60,4,0,65,60,125
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2022-01-01,201,200,7,2,208,202,410
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2022-01-01,26,19,0,0,26,19,45
EXALTACION,consulta externa,personas de 60 anos y mas,2022-01-01,62,39,3,1,65,40,105
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2022-01-01,265,252,74,55,339,307,646
FILADELFIA,consulta externa,personas de 60 anos y mas,2022-01-01,91,67,31,21,122,88,210
GAIOC JATUN AYLLU YURA,consulta externa,personas de 60 anos y mas,2022-01-01,164,280,2,6,166,286,452
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2022-01-01,333,356,15,23,348,379,727
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2022-01-01,267,265,19,31,286,296,582
GUANAY,consulta externa,personas de 60 anos y mas,2022-01-01,216,143,27,22,243,165,408
GUAQUI,consulta externa,personas de 60 anos y mas,2022-01-01,180,179,35,39,215,218,433
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2022-01-01,507,637,104,190,611,827,1438
GUTIERREZ,consulta externa,personas de 60 anos y mas,2022-01-01,290,362,33,46,323,408,731
HUACARETA,consulta externa,personas de 60 anos y mas,2022-01-01,195,244,14,19,209,263,472
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2022-01-01,97,154,7,17,104,171,275
HUACHACALLA,consulta externa,personas de 60 anos y mas,2022-01-01,56,44,11,21,67,65,132
HUANUNI,consulta externa,personas de 60 anos y mas,2022-01-01,366,407,197,139,563,546,1109
HUARACAJE,consulta externa,personas de 60 anos y mas,2022-01-01,69,49,46,29,115,78,193
HUARINA,consulta externa,personas de 60 anos y mas,2022-01-01,248,264,125,143,373,407,780
HUATAJATA,consulta externa,personas de 60 anos y mas,2022-01-01,69,96,34,65,103,161,264
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2022-01-01,313,282,4,1,317,283,600
HUMANATA,consulta externa,personas de 60 anos y mas,2022-01-01,55,47,68,69,123,116,239
ICHOCA,consulta externa,personas de 60 anos y mas,2022-01-01,148,148,93,66,241,214,455
ICLA,consulta externa,personas de 60 anos y mas,2022-01-01,158,256,65,115,223,371,594
INCAHUASI,consulta externa,personas de 60 anos y mas,2022-01-01,205,319,5,4,210,323,533
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2022-01-01,28,29,0,0,28,29,57
INQUISIVI,consulta externa,personas de 60 anos y mas,2022-01-01,378,333,18,15,396,348,744
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2022-01-01,357,261,64,56,421,317,738
IXIAMAS,consulta externa,personas de 60 anos y mas,2022-01-01,159,124,28,25,187,149,336
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2022-01-01,336,377,148,133,484,510,994
LA ASUNTA,consulta externa,personas de 60 anos y mas,2022-01-01,389,255,13,8,402,263,665
LA GUARDIA,consulta externa,personas de 60 anos y mas,2022-01-01,1295,1461,495,591,1790,2052,3842
LA PAZ,consulta externa,personas de 60 anos y mas,2022-01-01,14448,17581,11187,15221,25635,32802,58437
LA RIVERA,consulta externa,personas de 60 anos y mas,2022-01-01,11,10,4,4,15,14,29
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2022-01-01,102,145,7,14,109,159,268
LAJA,consulta externa,personas de 60 anos y mas,2022-01-01,342,378,117,133,459,511,970
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2022-01-01,93,157,7,12,100,169,269
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2022-01-01,118,101,0,0,118,101,219
LLALLAGUA,consulta externa,personas de 60 anos y mas,2022-01-01,628,806,199,192,827,998,1825
LLICA,consulta externa,personas de 60 anos y mas,2022-01-01,143,178,1,1,144,179,323
LORETO,consulta externa,personas de 60 anos y mas,2022-01-01,85,77,18,20,103,97,200
LURIBAY,consulta externa,personas de 60 anos y mas,2022-01-01,432,362,35,26,467,388,855
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2022-01-01,156,177,21,21,177,198,375
MACHARETI,consulta externa,personas de 60 anos y mas,2022-01-01,182,234,57,62,239,296,535
MAGDALENA,consulta externa,personas de 60 anos y mas,2022-01-01,166,160,52,127,218,287,505
MAIRANA,consulta externa,personas de 60 anos y mas,2022-01-01,126,123,140,115,266,238,504
MALLA,consulta externa,personas de 60 anos y mas,2022-01-01,101,86,5,4,106,90,196
MAPIRI,consulta externa,personas de 60 anos y mas,2022-01-01,228,165,35,44,263,209,472
MECAPACA,consulta externa,personas de 60 anos y mas,2022-01-01,159,139,24,14,183,153,336
MINEROS,consulta externa,personas de 60 anos y mas,2022-01-01,225,245,96,102,321,347,668
MIZQUE,consulta externa,personas de 60 anos y mas,2022-01-01,341,414,144,174,485,588,1073
MOCOMOCO,consulta externa,personas de 60 anos y mas,2022-01-01,478,447,136,185,614,632,1246
MOJINETE,consulta externa,personas de 60 anos y mas,2022-01-01,21,29,0,0,21,29,50
MOJOCOYA,consulta externa,personas de 60 anos y mas,2022-01-01,357,402,24,36,381,438,819
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2022-01-01,719,937,156,154,875,1091,1966
MONTERO,consulta externa,personas de 60 anos y mas,2022-01-01,2057,2325,821,1021,2878,3346,6224
MORO MORO,consulta externa,personas de 60 anos y mas,2022-01-01,67,77,77,91,144,168,312
MOROCHATA,consulta externa,personas de 60 anos y mas,2022-01-01,232,248,10,7,242,255,497
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2022-01-01,38,20,6,5,44,25,69
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2022-01-01,17,17,0,0,17,17,34
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2022-01-01,27,23,7,12,34,35,69
OCURI,consulta externa,personas de 60 anos y mas,2022-01-01,493,497,2,4,495,501,996
OKINAWA,consulta externa,personas de 60 anos y mas,2022-01-01,160,169,95,77,255,246,501
OMEREQUE,consulta externa,personas de 60 anos y mas,2022-01-01,196,181,36,34,232,215,447
ORURO,consulta externa,personas de 60 anos y mas,2022-01-01,5395,5705,3013,3340,8408,9045,17453
PADCAYA,consulta externa,personas de 60 anos y mas,2022-01-01,514,620,121,169,635,789,1424
PADILLA,consulta externa,personas de 60 anos y mas,2022-01-01,310,425,19,27,329,452,781
PAILON,consulta externa,personas de 60 anos y mas,2022-01-01,433,370,33,27,466,397,863
PALCA,consulta externa,personas de 60 anos y mas,2022-01-01,493,400,24,26,517,426,943
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2022-01-01,593,441,120,122,713,563,1276
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2022-01-01,89,102,1,3,90,105,195
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2022-01-01,87,96,76,76,163,172,335
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2022-01-01,202,221,51,50,253,271,524
PASORAPA,consulta externa,personas de 60 anos y mas,2022-01-01,190,215,13,14,203,229,432
PATACAMAYA,consulta externa,personas de 60 anos y mas,2022-01-01,382,312,34,30,416,342,758
PAZÑA,consulta externa,personas de 60 anos y mas,2022-01-01,147,137,20,15,167,152,319
PELECHUCO,consulta externa,personas de 60 anos y mas,2022-01-01,136,108,7,6,143,114,257
POCOATA,consulta externa,personas de 60 anos y mas,2022-01-01,886,1080,6,8,892,1088,1980
POCONA,consulta externa,personas de 60 anos y mas,2022-01-01,380,506,9,9,389,515,904
POJO (CBBA),consulta externa,personas de 60 anos y mas,2022-01-01,144,165,20,16,164,181,345
POOPO,consulta externa,personas de 60 anos y mas,2022-01-01,123,135,23,22,146,157,303
PORCO,consulta externa,personas de 60 anos y mas,2022-01-01,74,123,4,1,78,124,202
POROMA,consulta externa,personas de 60 anos y mas,2022-01-01,610,635,32,34,642,669,1311
PORONGO,consulta externa,personas de 60 anos y mas,2022-01-01,265,195,197,150,462,345,807
PORTACHUELO,consulta externa,personas de 60 anos y mas,2022-01-01,218,285,24,33,242,318,560
PORVENIR,consulta externa,personas de 60 anos y mas,2022-01-01,79,60,54,54,133,114,247
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2022-01-01,48,60,7,11,55,71,126
POTOSI,consulta externa,personas de 60 anos y mas,2022-01-01,3297,3977,886,1081,4183,5058,9241
PRESTO,consulta externa,personas de 60 anos y mas,2022-01-01,458,584,34,44,492,628,1120
PUCARA,consulta externa,personas de 60 anos y mas,2022-01-01,25,28,53,81,78,109,187
PUCARANI,consulta externa,personas de 60 anos y mas,2022-01-01,712,729,129,171,841,900,1741
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2022-01-01,342,390,23,22,365,412,777
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2022-01-01,408,373,51,55,459,428,887
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2022-01-01,158,124,70,50,228,174,402
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2022-01-01,182,170,29,37,211,207,418
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2022-01-01,68,54,40,50,108,104,212
PUERTO RICO,consulta externa,personas de 60 anos y mas,2022-01-01,106,46,18,18,124,64,188
PUERTO SILES,consulta externa,personas de 60 anos y mas,2022-01-01,34,35,1,1,35,36,71
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2022-01-01,116,161,65,68,181,229,410
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2022-01-01,698,560,69,50,767,610,1377
PUNA,consulta externa,personas de 60 anos y mas,2022-01-01,854,1304,0,1,854,1305,2159
PUNATA,consulta externa,personas de 60 anos y mas,2022-01-01,713,973,440,606,1153,1579,2732
QUIABAYA,consulta externa,personas de 60 anos y mas,2022-01-01,124,88,22,18,146,106,252
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2022-01-01,1787,1973,1157,1316,2944,3289,6233
QUIME,consulta externa,personas de 60 anos y mas,2022-01-01,251,183,10,7,261,190,451
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2022-01-01,37,49,48,62,85,111,196
RAQAYPAMPA(ETA),consulta externa,personas de 60 anos y mas,2022-01-01,190,228,3,5,193,233,426
RAVELO,consulta externa,personas de 60 anos y mas,2022-01-01,1038,1138,0,0,1038,1138,2176
REYES,consulta externa,personas de 60 anos y mas,2022-01-01,199,192,14,27,213,219,432
RIBERALTA,consulta externa,personas de 60 anos y mas,2022-01-01,1613,1402,302,331,1915,1733,3648
ROBORE,consulta externa,personas de 60 anos y mas,2022-01-01,324,370,125,157,449,527,976
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2022-01-01,547,451,123,147,670,598,1268
SABAYA,consulta externa,personas de 60 anos y mas,2022-01-01,207,181,18,14,225,195,420
SACABA,consulta externa,personas de 60 anos y mas,2022-01-01,1503,1919,957,1214,2460,3133,5593
SACABAMBA,consulta externa,personas de 60 anos y mas,2022-01-01,113,166,20,28,133,194,327
SACACA,consulta externa,personas de 60 anos y mas,2022-01-01,430,558,0,1,430,559,989
SAIPINA,consulta externa,personas de 60 anos y mas,2022-01-01,148,128,23,40,171,168,339
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2022-01-01,304,314,23,35,327,349,676
SAMAIPATA,consulta externa,personas de 60 anos y mas,2022-01-01,192,190,90,83,282,273,555
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2022-01-01,88,117,0,3,88,120,208
SAN ANDRES,consulta externa,personas de 60 anos y mas,2022-01-01,213,150,33,23,246,173,419
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2022-01-01,195,207,62,60,257,267,524
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2022-01-01,32,34,0,2,32,36,68
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2022-01-01,117,113,14,17,131,130,261
SAN BENITO,consulta externa,personas de 60 anos y mas,2022-01-01,258,424,98,133,356,557,913
SAN BORJA,consulta externa,personas de 60 anos y mas,2022-01-01,570,569,188,182,758,751,1509
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2022-01-01,201,202,3,2,204,204,408
SAN CARLOS,consulta externa,personas de 60 anos y mas,2022-01-01,369,303,45,38,414,341,755
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2022-01-01,417,385,34,36,451,421,872
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2022-01-01,834,840,304,309,1138,1149,2287
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2022-01-01,52,33,3,1,55,34,89
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2022-01-01,163,215,0,0,163,215,378
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2022-01-01,109,121,22,26,131,147,278
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2022-01-01,282,288,58,60,340,348,688
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2022-01-01,222,203,19,37,241,240,481
SAN JULIAN,consulta externa,personas de 60 anos y mas,2022-01-01,941,759,194,152,1135,911,2046
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2022-01-01,70,79,0,1,70,80,150
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2022-01-01,427,499,21,23,448,522,970
SAN LUCAS,consulta externa,personas de 60 anos y mas,2022-01-01,1262,1762,10,13,1272,1775,3047
SAN MATIAS,consulta externa,personas de 60 anos y mas,2022-01-01,143,197,104,131,247,328,575
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2022-01-01,130,159,72,107,202,266,468
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2022-01-01,108,125,2,0,110,125,235
SAN PEDRO,consulta externa,personas de 60 anos y mas,2022-01-01,361,395,122,97,483,492,975
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2022-01-01,672,720,2,2,674,722,1396
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2022-01-01,257,298,60,63,317,361,678
SAN PEDRO DE MACHA,consulta externa,personas de 60 anos y mas,2022-01-01,811,916,0,0,811,916,1727
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2022-01-01,50,79,4,2,54,81,135
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2022-01-01,142,137,95,161,237,298,535
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2022-01-01,44,27,9,1,53,28,81
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2022-01-01,120,106,30,35,150,141,291
SAN RAMON BENI,consulta externa,personas de 60 anos y mas,2022-01-01,116,159,21,29,137,188,325
SAN RAMON SCZ,consulta externa,personas de 60 anos y mas,2022-01-01,72,61,6,8,78,69,147
SANTA ANA,consulta externa,personas de 60 anos y mas,2022-01-01,441,390,88,116,529,506,1035
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2022-01-01,17631,20912,9002,11319,26633,32231,58864
SANTA ROSA,consulta externa,personas de 60 anos y mas,2022-01-01,188,223,50,53,238,276,514
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2022-01-01,585,457,32,23,617,480,1097
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2022-01-01,231,238,14,9,245,247,492
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2022-01-01,352,340,39,39,391,379,770
SANTIAGO DE HUATA,consulta externa,personas de 60 anos y mas,2022-01-01,182,214,72,58,254,272,526
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2022-01-01,171,234,11,16,182,250,432
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2022-01-01,209,325,44,40,253,365,618
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2022-01-01,106,128,20,24,126,152,278
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2022-01-01,237,186,7,3,244,189,433
SENA,consulta externa,personas de 60 anos y mas,2022-01-01,59,39,4,3,63,42,105
SHINAOTA,consulta externa,personas de 60 anos y mas,2022-01-01,355,341,40,27,395,368,763
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2022-01-01,576,544,47,42,623,586,1209
SICAYA,consulta externa,personas de 60 anos y mas,2022-01-01,61,70,60,73,121,143,264
SIPE SIPE,consulta externa,personas de 60 anos y mas,2022-01-01,455,557,111,98,566,655,1221
SOPACHUY,consulta externa,personas de 60 anos y mas,2022-01-01,234,328,15,25,249,353,602
