,group,variable,month,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES NUEVO,MENORES DE 6 MESES REPETIDO,MENORES DE 6 MESES REPETIDO,TOTALES,TOTALES,TOTALES
BATALLAS,consulta externa,menores de 6 meses,2022-01-01,16,10,3,4,19,14,33
BAURES,consulta externa,menores de 6 meses,2022-01-01,8,5,0,0,8,5,13
BELEN DE ANDAMARCA,consulta externa,menores de 6 meses,2022-01-01,2,2,0,0,2,2,4
BELEN DE URMIRI,consulta externa,menores de 6 meses,2022-01-01,1,4,0,0,1,4,5
BELLA FLOR,consulta externa,menores de 6 meses,2022-01-01,14,15,3,6,17,21,38
BERMEJO,consulta externa,menores de 6 meses,2022-01-01,120,109,8,12,128,121,249
BETANZOS,consulta externa,menores de 6 meses,2022-01-01,40,25,1,0,41,25,66
BOLIVAR,consulta externa,menores de 6 meses,2022-01-01,8,12,1,0,9,12,21
BOLPEBRA,consulta externa,menores de 6 meses,2022-01-01,0,2,0,0,0,2,2
BOYUIBE,consulta externa,menores de 6 meses,2022-01-01,3,7,0,1,3,8,11
BUENA VISTA,consulta externa,menores de 6 meses,2022-01-01,31,32,0,0,31,32,63
CABEZAS,consulta externa,menores de 6 meses,2022-01-01,29,35,12,10,41,45,86
CAIROMA,consulta externa,menores de 6 meses,2022-01-01,46,27,1,1,47,28,75
"CAIZA ""D""",consulta externa,menores de 6 meses,2022-01-01,17,21,0,0,17,21,38
CAJUATA,consulta externa,menores de 6 meses,2022-01-01,31,35,2,1,33,36,69
CALACOTO,consulta externa,menores de 6 meses,2022-01-01,3,7,0,1,3,8,11
CALAMARCA,consulta externa,menores de 6 meses,2022-01-01,16,17,3,5,19,22,41
CAMARGO,consulta externa,menores de 6 meses,2022-01-01,30,27,10,7,40,34,74
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 6 meses,2022-01-01,6,4,0,0,6,4,10
CAMIRI,consulta externa,menores de 6 meses,2022-01-01,80,57,14,12,94,69,163
CAPINOTA,consulta externa,menores de 6 meses,2022-01-01,53,76,6,8,59,84,143
CAQUIAVIRI,consulta externa,menores de 6 meses,2022-01-01,16,22,2,3,18,25,43
CARACOLLO,consulta externa,menores de 6 meses,2022-01-01,65,73,18,19,83,92,175
CARANAVI,consulta externa,menores de 6 meses,2022-01-01,180,152,18,17,198,169,367
CARAPARI,consulta externa,menores de 6 meses,2022-01-01,32,14,5,9,37,23,60
CARIPUYO,consulta externa,menores de 6 meses,2022-01-01,7,4,0,0,7,4,11
CARMEN RIVERO TORREZ,consulta externa,menores de 6 meses,2022-01-01,8,6,4,2,12,8,20
CATACORA,consulta externa,menores de 6 meses,2022-01-01,0,4,0,0,0,4,4
CHACARILLA,consulta externa,menores de 6 meses,2022-01-01,3,1,0,0,3,1,4
CHALLAPATA,consulta externa,menores de 6 meses,2022-01-01,76,84,4,4,80,88,168
CHAQUI,consulta externa,menores de 6 meses,2022-01-01,14,12,0,0,14,12,26
CHARAGUA,consulta externa,menores de 6 meses,2022-01-01,85,72,7,7,92,79,171
CHARAÑA,consulta externa,menores de 6 meses,2022-01-01,1,3,0,0,1,3,4
CHAYANTA,consulta externa,menores de 6 meses,2022-01-01,26,24,0,1,26,25,51
CHIMORE,consulta externa,menores de 6 meses,2022-01-01,91,75,0,1,91,76,167
CHIPAYA,consulta externa,menores de 6 meses,2022-01-01,0,2,0,0,0,2,2
CHOQUE COTA,consulta externa,menores de 6 meses,2022-01-01,1,1,0,0,1,1,2
CHUA COCANI,consulta externa,menores de 6 meses,2022-01-01,4,1,1,0,5,1,6
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 6 meses,2022-01-01,55,45,23,9,78,54,132
CHUMA,consulta externa,menores de 6 meses,2022-01-01,12,10,2,0,14,10,24
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,menores de 6 meses,2022-01-01,6,8,0,0,6,8,14
CKOCHAS,consulta externa,menores de 6 meses,2022-01-01,16,15,0,0,16,15,31
CLIZA,consulta externa,menores de 6 meses,2022-01-01,94,105,22,19,116,124,240
COBIJA,consulta externa,menores de 6 meses,2022-01-01,174,155,23,31,197,186,383
COCAPATA,consulta externa,menores de 6 meses,2022-01-01,48,43,1,1,49,44,93
COCHABAMBA,consulta externa,menores de 6 meses,2022-01-01,2030,1942,707,724,2737,2666,5403
COIPASA,consulta externa,menores de 6 meses,2022-01-01,0,2,0,0,0,2,2
COLCAPIRHUA,consulta externa,menores de 6 meses,2022-01-01,105,107,56,60,161,167,328
"COLCHA ""K""",consulta externa,menores de 6 meses,2022-01-01,14,10,0,0,14,10,24
COLLANA,consulta externa,menores de 6 meses,2022-01-01,6,6,0,0,6,6,12
COLOMI,consulta externa,menores de 6 meses,2022-01-01,44,48,7,7,51,55,106
COLPA BELGICA,consulta externa,menores de 6 meses,2022-01-01,14,12,1,0,15,12,27
COLQUECHACA,consulta externa,menores de 6 meses,2022-01-01,20,27,0,0,20,27,47
COLQUENCHA,consulta externa,menores de 6 meses,2022-01-01,26,22,0,0,26,22,48
COLQUIRI,consulta externa,menores de 6 meses,2022-01-01,25,20,0,0,25,20,45
COMANCHE,consulta externa,menores de 6 meses,2022-01-01,2,1,0,0,2,1,3
COMARAPA,consulta externa,menores de 6 meses,2022-01-01,43,38,7,3,50,41,91
COMBAYA,consulta externa,menores de 6 meses,2022-01-01,0,5,0,0,0,5,5
CONCEPCION,consulta externa,menores de 6 meses,2022-01-01,66,40,2,4,68,44,112
COPACABANA,consulta externa,menores de 6 meses,2022-01-01,9,6,1,0,10,6,16
CORIPATA,consulta externa,menores de 6 meses,2022-01-01,40,38,7,11,47,49,96
CORO CORO,consulta externa,menores de 6 meses,2022-01-01,9,17,0,0,9,17,26
COROICO,consulta externa,menores de 6 meses,2022-01-01,45,45,15,16,60,61,121
CORQUE,consulta externa,menores de 6 meses,2022-01-01,4,11,1,2,5,13,18
COTAGAITA,consulta externa,menores de 6 meses,2022-01-01,26,53,3,3,29,56,85
COTOCA,consulta externa,menores de 6 meses,2022-01-01,129,115,5,12,134,127,261
CUATRO CAÑADAS,consulta externa,menores de 6 meses,2022-01-01,53,26,2,3,55,29,84
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 6 meses,2022-01-01,6,7,1,0,7,7,14
CUEVO,consulta externa,menores de 6 meses,2022-01-01,10,7,2,1,12,8,20
CULPINA,consulta externa,menores de 6 meses,2022-01-01,18,15,0,0,18,15,33
CURAHUARA DE CARANGAS,consulta externa,menores de 6 meses,2022-01-01,6,1,0,0,6,1,7
CURVA,consulta externa,menores de 6 meses,2022-01-01,1,6,0,0,1,6,7
DESAGUADERO,consulta externa,menores de 6 meses,2022-01-01,4,7,5,7,9,14,23
EL ALTO,consulta externa,menores de 6 meses,2022-01-01,2625,2421,785,714,3410,3135,6545
EL CHORO,consulta externa,menores de 6 meses,2022-01-01,1,1,0,0,1,1,2
EL PUENTE(STC),consulta externa,menores de 6 meses,2022-01-01,33,29,0,0,33,29,62
EL PUENTE(TJA),consulta externa,menores de 6 meses,2022-01-01,23,19,0,3,23,22,45
EL TORNO,consulta externa,menores de 6 meses,2022-01-01,271,263,86,92,357,355,712
EL VILLAR,consulta externa,menores de 6 meses,2022-01-01,9,10,0,0,9,10,19
ENTRE RIOS TRJ,consulta externa,menores de 6 meses,2022-01-01,74,45,2,2,76,47,123
ENTRE RIOS CBBA,consulta externa,menores de 6 meses,2022-01-01,210,195,10,4,220,199,419
ESCOMA,consulta externa,menores de 6 meses,2022-01-01,6,11,0,1,6,12,18
ESMERALDA,consulta externa,menores de 6 meses,2022-01-01,2,1,0,0,2,1,3
EUCALIPTUS,consulta externa,menores de 6 meses,2022-01-01,4,7,0,0,4,7,11
EUREKA (SANTOS MERCADO),consulta externa,menores de 6 meses,2022-01-01,6,3,0,0,6,3,9
EXALTACION,consulta externa,menores de 6 meses,2022-01-01,11,12,1,0,12,12,24
FERNANDEZ ALONSO,consulta externa,menores de 6 meses,2022-01-01,30,30,2,3,32,33,65
FILADELFIA,consulta externa,menores de 6 meses,2022-01-01,12,11,2,0,14,11,25
GAIOC JATUN AYLLU YURA,consulta externa,menores de 6 meses,2022-01-01,6,10,0,0,6,10,16
GENERAL SAAVEDRA,consulta externa,menores de 6 meses,2022-01-01,38,46,4,12,42,58,100
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 6 meses,2022-01-01,32,19,1,1,33,20,53
GUANAY,consulta externa,menores de 6 meses,2022-01-01,28,39,9,13,37,52,89
GUAQUI,consulta externa,menores de 6 meses,2022-01-01,9,10,0,0,9,10,19
GUAYARAMERIN,consulta externa,menores de 6 meses,2022-01-01,73,75,2,7,75,82,157
GUTIERREZ,consulta externa,menores de 6 meses,2022-01-01,55,49,10,6,65,55,120
HUACARETA,consulta externa,menores de 6 meses,2022-01-01,9,6,6,9,15,15,30
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 6 meses,2022-01-01,2,4,0,0,2,4,6
HUACHACALLA,consulta externa,menores de 6 meses,2022-01-01,1,2,0,0,1,2,3
HUANUNI,consulta externa,menores de 6 meses,2022-01-01,54,65,8,15,62,80,142
HUARACAJE,consulta externa,menores de 6 meses,2022-01-01,2,9,5,5,7,14,21
HUARINA,consulta externa,menores de 6 meses,2022-01-01,17,20,5,4,22,24,46
HUATAJATA,consulta externa,menores de 6 meses,2022-01-01,3,5,7,4,10,9,19
HUAYLLAMARCA,consulta externa,menores de 6 meses,2022-01-01,3,2,0,0,3,2,5
HUMANATA,consulta externa,menores de 6 meses,2022-01-01,3,4,1,0,4,4,8
ICHOCA,consulta externa,menores de 6 meses,2022-01-01,8,5,3,6,11,11,22
ICLA,consulta externa,menores de 6 meses,2022-01-01,14,19,5,4,19,23,42
INCAHUASI,consulta externa,menores de 6 meses,2022-01-01,39,52,0,1,39,53,92
INGAVI (HUMAITA),consulta externa,menores de 6 meses,2022-01-01,5,10,0,0,5,10,15
INQUISIVI,consulta externa,menores de 6 meses,2022-01-01,25,32,1,0,26,32,58
IRUPANA (VILLA DE LANZA),consulta externa,menores de 6 meses,2022-01-01,32,34,1,5,33,39,72
IXIAMAS,consulta externa,menores de 6 meses,2022-01-01,42,39,0,1,42,40,82
JESUS DE MACHACA,consulta externa,menores de 6 meses,2022-01-01,21,14,15,9,36,23,59
LA ASUNTA,consulta externa,menores de 6 meses,2022-01-01,110,124,7,4,117,128,245
LA GUARDIA,consulta externa,menores de 6 meses,2022-01-01,373,368,90,103,463,471,934
LA PAZ,consulta externa,menores de 6 meses,2022-01-01,2172,2040,588,541,2760,2581,5341
LA RIVERA,consulta externa,menores de 6 meses,2022-01-01,0,2,0,0,0,2,2
LAGUNILLAS,consulta externa,menores de 6 meses,2022-01-01,29,18,5,1,34,19,53
LAJA,consulta externa,menores de 6 meses,2022-01-01,24,23,4,7,28,30,58
LAS CARRERAS,consulta externa,menores de 6 meses,2022-01-01,3,4,0,0,3,4,7
LICOMA PAMPA,consulta externa,menores de 6 meses,2022-01-01,11,5,0,0,11,5,16
LLALLAGUA,consulta externa,menores de 6 meses,2022-01-01,90,77,3,4,93,81,174
LLICA,consulta externa,menores de 6 meses,2022-01-01,2,1,0,0,2,1,3
LORETO,consulta externa,menores de 6 meses,2022-01-01,11,11,0,2,11,13,24
LURIBAY,consulta externa,menores de 6 meses,2022-01-01,15,5,1,0,16,5,21
MACHACAMARCA,consulta externa,menores de 6 meses,2022-01-01,5,3,3,4,8,7,15
MACHARETI,consulta externa,menores de 6 meses,2022-01-01,8,8,3,1,11,9,20
MAGDALENA,consulta externa,menores de 6 meses,2022-01-01,13,15,4,0,17,15,32
MAIRANA,consulta externa,menores de 6 meses,2022-01-01,35,21,1,1,36,22,58
MALLA,consulta externa,menores de 6 meses,2022-01-01,7,2,0,0,7,2,9
MAPIRI,consulta externa,menores de 6 meses,2022-01-01,23,32,11,10,34,42,76
MECAPACA,consulta externa,menores de 6 meses,2022-01-01,21,13,8,4,29,17,46
MINEROS,consulta externa,menores de 6 meses,2022-01-01,30,11,3,1,33,12,45
MIZQUE,consulta externa,menores de 6 meses,2022-01-01,52,62,10,6,62,68,130
MOCOMOCO,consulta externa,menores de 6 meses,2022-01-01,22,18,6,6,28,24,52
MOJOCOYA,consulta externa,menores de 6 meses,2022-01-01,14,13,1,2,15,15,30
MONTEAGUDO,consulta externa,menores de 6 meses,2022-01-01,58,58,11,18,69,76,145
MONTERO,consulta externa,menores de 6 meses,2022-01-01,616,571,73,64,689,635,1324
MORO MORO,consulta externa,menores de 6 meses,2022-01-01,2,1,2,0,4,1,5
MOROCHATA,consulta externa,menores de 6 meses,2022-01-01,13,21,1,0,14,21,35
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,menores de 6 meses,2022-01-01,6,3,0,0,6,3,9
NAZACARA DE PACAJES,consulta externa,menores de 6 meses,2022-01-01,1,4,0,0,1,4,5
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,menores de 6 meses,2022-01-01,5,4,0,1,5,5,10
OCURI,consulta externa,menores de 6 meses,2022-01-01,18,16,0,0,18,16,34
OKINAWA,consulta externa,menores de 6 meses,2022-01-01,23,10,1,2,24,12,36
OMEREQUE,consulta externa,menores de 6 meses,2022-01-01,7,14,2,3,9,17,26
ORURO,consulta externa,menores de 6 meses,2022-01-01,1476,1236,416,421,1892,1657,3549
PADCAYA,consulta externa,menores de 6 meses,2022-01-01,75,50,5,0,80,50,130
PADILLA,consulta externa,menores de 6 meses,2022-01-01,14,19,0,0,14,19,33
PAILON,consulta externa,menores de 6 meses,2022-01-01,95,70,4,3,99,73,172
PALCA,consulta externa,menores de 6 meses,2022-01-01,36,32,3,7,39,39,78
PALOS BLANCOS,consulta externa,menores de 6 meses,2022-01-01,119,99,8,2,127,101,228
PAMPA AULLAGAS,consulta externa,menores de 6 meses,2022-01-01,11,5,0,0,11,5,16
PAMPA GRANDE,consulta externa,menores de 6 meses,2022-01-01,9,12,0,0,9,12,21
PAPEL PAMPA,consulta externa,menores de 6 meses,2022-01-01,5,3,0,0,5,3,8
PASORAPA,consulta externa,menores de 6 meses,2022-01-01,7,7,1,0,8,7,15
PATACAMAYA,consulta externa,menores de 6 meses,2022-01-01,30,30,0,0,30,30,60
PAZÑA,consulta externa,menores de 6 meses,2022-01-01,6,4,0,0,6,4,10
PELECHUCO,consulta externa,menores de 6 meses,2022-01-01,24,9,4,1,28,10,38
POCOATA,consulta externa,menores de 6 meses,2022-01-01,20,21,0,0,20,21,41
POCONA,consulta externa,menores de 6 meses,2022-01-01,15,14,1,0,16,14,30
POJO (CBBA),consulta externa,menores de 6 meses,2022-01-01,25,16,3,7,28,23,51
POOPO,consulta externa,menores de 6 meses,2022-01-01,1,4,0,0,1,4,5
PORCO,consulta externa,menores de 6 meses,2022-01-01,38,28,0,1,38,29,67
POROMA,consulta externa,menores de 6 meses,2022-01-01,32,26,0,0,32,26,58
PORONGO,consulta externa,menores de 6 meses,2022-01-01,11,10,7,4,18,14,32
PORTACHUELO,consulta externa,menores de 6 meses,2022-01-01,31,37,0,0,31,37,68
PORVENIR,consulta externa,menores de 6 meses,2022-01-01,6,3,0,0,6,3,9
POSTRER VALLE,consulta externa,menores de 6 meses,2022-01-01,6,0,0,0,6,0,6
POTOSI,consulta externa,menores de 6 meses,2022-01-01,776,660,180,162,956,822,1778
PRESTO,consulta externa,menores de 6 meses,2022-01-01,12,14,0,0,12,14,26
PUCARA,consulta externa,menores de 6 meses,2022-01-01,0,1,0,0,0,1,1
PUCARANI,consulta externa,menores de 6 meses,2022-01-01,47,35,3,1,50,36,86
PUERTO ACOSTA,consulta externa,menores de 6 meses,2022-01-01,15,14,11,8,26,22,48
PUERTO CARABUCO,consulta externa,menores de 6 meses,2022-01-01,9,5,2,2,11,7,18
PUERTO GONZALO MORENO,consulta externa,menores de 6 meses,2022-01-01,24,30,21,19,45,49,94
PUERTO PEREZ,consulta externa,menores de 6 meses,2022-01-01,5,7,0,0,5,7,12
PUERTO QUIJARRO,consulta externa,menores de 6 meses,2022-01-01,12,10,1,4,13,14,27
PUERTO RICO,consulta externa,menores de 6 meses,2022-01-01,16,16,1,0,17,16,33
PUERTO SILES,consulta externa,menores de 6 meses,2022-01-01,3,8,0,0,3,8,11
PUERTO SUAREZ,consulta externa,menores de 6 meses,2022-01-01,18,20,0,2,18,22,40
PUERTO VILLARROEL,consulta externa,menores de 6 meses,2022-01-01,371,393,30,35,401,428,829
PUNA,consulta externa,menores de 6 meses,2022-01-01,20,18,0,0,20,18,38
PUNATA,consulta externa,menores de 6 meses,2022-01-01,112,108,25,17,137,125,262
QUIABAYA,consulta externa,menores de 6 meses,2022-01-01,8,5,4,1,12,6,18
QUILLACOLLO,consulta externa,menores de 6 meses,2022-01-01,397,325,133,88,530,413,943
QUIME,consulta externa,menores de 6 meses,2022-01-01,12,10,0,0,12,10,22
QUIRUSILLAS,consulta externa,menores de 6 meses,2022-01-01,4,1,2,0,6,1,7
RAQAYPAMPA(ETA),consulta externa,menores de 6 meses,2022-01-01,13,15,0,0,13,15,28
RAVELO,consulta externa,menores de 6 meses,2022-01-01,20,11,0,0,20,11,31
REYES,consulta externa,menores de 6 meses,2022-01-01,37,22,0,0,37,22,59
RIBERALTA,consulta externa,menores de 6 meses,2022-01-01,293,347,26,15,319,362,681
ROBORE,consulta externa,menores de 6 meses,2022-01-01,21,11,3,2,24,13,37
RURRENABAQUE,consulta externa,menores de 6 meses,2022-01-01,79,52,3,5,82,57,139
SABAYA,consulta externa,menores de 6 meses,2022-01-01,8,7,0,1,8,8,16
SACABA,consulta externa,menores de 6 meses,2022-01-01,454,404,91,76,545,480,1025
SACABAMBA,consulta externa,menores de 6 meses,2022-01-01,7,3,0,1,7,4,11
SACACA,consulta externa,menores de 6 meses,2022-01-01,38,37,0,1,38,38,76
SAIPINA,consulta externa,menores de 6 meses,2022-01-01,8,18,1,1,9,19,28
SALINAS DE GARCI MENDOZA,consulta externa,menores de 6 meses,2022-01-01,15,11,0,0,15,11,26
SAMAIPATA,consulta externa,menores de 6 meses,2022-01-01,21,9,10,3,31,12,43
SAN AGUSTIN,consulta externa,menores de 6 meses,2022-01-01,2,2,0,0,2,2,4
SAN ANDRES,consulta externa,menores de 6 meses,2022-01-01,34,23,5,2,39,25,64
SAN ANDRES DE MACHACA,consulta externa,menores de 6 meses,2022-01-01,7,2,0,1,7,3,10
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 6 meses,2022-01-01,0,1,0,0,0,1,1
SAN ANTONIO DE LOMERIO,consulta externa,menores de 6 meses,2022-01-01,9,10,1,0,10,10,20
SAN BENITO,consulta externa,menores de 6 meses,2022-01-01,30,25,9,9,39,34,73
SAN BORJA,consulta externa,menores de 6 meses,2022-01-01,101,92,12,12,113,104,217
SAN BUENA VENTURA,consulta externa,menores de 6 meses,2022-01-01,33,43,0,0,33,43,76
SAN CARLOS,consulta externa,menores de 6 meses,2022-01-01,36,35,6,3,42,38,80
SAN IGNACIO,consulta externa,menores de 6 meses,2022-01-01,84,61,12,7,96,68,164
SAN IGNACIO DE VELASCO,consulta externa,menores de 6 meses,2022-01-01,136,100,6,13,142,113,255
SAN JAVIER(BNI),consulta externa,menores de 6 meses,2022-01-01,5,8,1,2,6,10,16
SAN JAVIER(STC),consulta externa,menores de 6 meses,2022-01-01,36,24,0,0,36,24,60
SAN JOAQUIN,consulta externa,menores de 6 meses,2022-01-01,23,23,1,0,24,23,47
SAN JOSE DE CHIQUITOS,consulta externa,menores de 6 meses,2022-01-01,59,36,5,3,64,39,103
SAN JUAN DE YAPACANI,consulta externa,menores de 6 meses,2022-01-01,17,4,0,0,17,4,21
SAN JULIAN,consulta externa,menores de 6 meses,2022-01-01,116,110,51,42,167,152,319
SAN LORENZO(PND),consulta externa,menores de 6 meses,2022-01-01,14,15,0,0,14,15,29
SAN LORENZO(TJA),consulta externa,menores de 6 meses,2022-01-01,45,77,1,3,46,80,126
SAN LUCAS,consulta externa,menores de 6 meses,2022-01-01,76,67,4,3,80,70,150
SAN MATIAS,consulta externa,menores de 6 meses,2022-01-01,31,27,2,1,33,28,61
SAN MIGUEL DE VELASCO,consulta externa,menores de 6 meses,2022-01-01,33,17,0,3,33,20,53
SAN PABLO DE LIPEZ,consulta externa,menores de 6 meses,2022-01-01,1,5,0,0,1,5,6
SAN PEDRO,consulta externa,menores de 6 meses,2022-01-01,44,32,7,2,51,34,85
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 6 meses,2022-01-01,31,27,0,0,31,27,58
SAN PEDRO DE CURAHUARA,consulta externa,menores de 6 meses,2022-01-01,18,4,0,2,18,6,24
SAN PEDRO DE MACHA,consulta externa,menores de 6 meses,2022-01-01,29,30,0,0,29,30,59
SAN PEDRO DE QUEMES,consulta externa,menores de 6 meses,2022-01-01,1,1,0,0,1,1,2
SAN PEDRO DE TIQUINA,consulta externa,menores de 6 meses,2022-01-01,8,8,5,3,13,11,24
SAN PEDRO(PND),consulta externa,menores de 6 meses,2022-01-01,1,4,1,0,2,4,6
SAN RAFAEL,consulta externa,menores de 6 meses,2022-01-01,31,14,5,2,36,16,52
SAN RAMON BENI,consulta externa,menores de 6 meses,2022-01-01,8,7,2,0,10,7,17
SAN RAMON SCZ,consulta externa,menores de 6 meses,2022-01-01,6,8,0,1,6,9,15
SANTA ANA,consulta externa,menores de 6 meses,2022-01-01,40,36,32,32,72,68,140
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 6 meses,2022-01-01,4832,3585,1765,1510,6597,5095,11692
SANTA ROSA,consulta externa,menores de 6 meses,2022-01-01,31,19,3,0,34,19,53
SANTA ROSA DEL SARA,consulta externa,menores de 6 meses,2022-01-01,43,28,1,1,44,29,73
SANTIAGO DE CALLAPA,consulta externa,menores de 6 meses,2022-01-01,2,10,0,0,2,10,12
SANTIAGO DE HUARI,consulta externa,menores de 6 meses,2022-01-01,8,21,8,6,16,27,43
SANTIAGO DE HUATA,consulta externa,menores de 6 meses,2022-01-01,7,2,0,0,7,2,9
SANTIAGO DE MACHACA,consulta externa,menores de 6 meses,2022-01-01,4,4,0,0,4,4,8
SANTIVAÑES,consulta externa,menores de 6 meses,2022-01-01,21,24,0,0,21,24,45
SANTUARIO DE QUILLACAS,consulta externa,menores de 6 meses,2022-01-01,2,0,0,0,2,0,2
SAPAHAQUI,consulta externa,menores de 6 meses,2022-01-01,26,23,2,2,28,25,53
SENA,consulta externa,menores de 6 meses,2022-01-01,25,19,1,0,26,19,45
SHINAOTA,consulta externa,menores de 6 meses,2022-01-01,108,127,6,14,114,141,255
SICA SICA (VILLA AROMA),consulta externa,menores de 6 meses,2022-01-01,39,34,2,1,41,35,76
SICAYA,consulta externa,menores de 6 meses,2022-01-01,7,9,0,0,7,9,16
SIPE SIPE,consulta externa,menores de 6 meses,2022-01-01,157,127,30,27,187,154,341
SOPACHUY,consulta externa,menores de 6 meses,2022-01-01,33,22,3,1,36,23,59
SORACACHI,consulta externa,menores de 6 meses,2022-01-01,8,14,0,0,8,14,22
SORATA,consulta externa,menores de 6 meses,2022-01-01,33,32,1,1,34,33,67
SUCRE,consulta externa,menores de 6 meses,2022-01-01,1019,967,197,218,1216,1185,2401
TACACHI,consulta externa,menores de 6 meses,2022-01-01,2,0,0,0,2,0,2
TACACOMA,consulta externa,menores de 6 meses,2022-01-01,32,18,0,0,32,18,50
TACOBAMBA,consulta externa,menores de 6 meses,2022-01-01,6,3,0,0,6,3,9
TACOPAYA,consulta externa,menores de 6 meses,2022-01-01,9,9,0,3,9,12,21
TAPACARI,consulta externa,menores de 6 meses,2022-01-01,58,36,0,0,58,36,94
TARABUCO,consulta externa,menores de 6 meses,2022-01-01,39,70,1,1,40,71,111
TARACO,consulta externa,menores de 6 meses,2022-01-01,11,9,0,1,11,10,21
TARATA,consulta externa,menores de 6 meses,2022-01-01,11,18,3,5,14,23,37
TARIJA,consulta externa,menores de 6 meses,2022-01-01,757,706,181,210,938,916,1854
TARVITA,consulta externa,menores de 6 meses,2022-01-01,55,35,3,0,58,35,93
TEOPONTE,consulta externa,menores de 6 meses,2022-01-01,28,20,2,6,30,26,56
TIAHUANACU,consulta externa,menores de 6 meses,2022-01-01,12,24,2,7,14,31,45
TINGUIPAYA,consulta externa,menores de 6 meses,2022-01-01,13,20,0,0,13,20,33
TIPUANI,consulta externa,menores de 6 meses,2022-01-01,21,20,5,2,26,22,48
TIQUIPAYA,consulta externa,menores de 6 meses,2022-01-01,240,195,21,16,261,211,472
TIRAQUE (CBBA),consulta externa,menores de 6 meses,2022-01-01,37,43,26,37,63,80,143
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 6 meses,2022-01-01,1,0,0,0,1,0,1
TOCO,consulta externa,menores de 6 meses,2022-01-01,20,13,2,1,22,14,36
TODOS SANTOS,consulta externa,menores de 6 meses,2022-01-01,0,1,0,0,0,1,1
TOLATA,consulta externa,menores de 6 meses,2022-01-01,11,9,2,4,13,13,26
TOLEDO,consulta externa,menores de 6 meses,2022-01-01,7,1,0,0,7,1,8
TOMAVE,consulta externa,menores de 6 meses,2022-01-01,15,14,0,6,15,20,35
TOMINA,consulta externa,menores de 6 meses,2022-01-01,22,24,0,1,22,25,47
TORO TORO,consulta externa,menores de 6 meses,2022-01-01,19,13,0,0,19,13,32
TOTORA(CBBA),consulta externa,menores de 6 meses,2022-01-01,34,41,1,2,35,43,78
