,group,variable,month,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO NUEVO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,NINOS DE 6 MESES A < 1 AÑO REPETIDO,TOTALES,TOTALES,TOTALES
AYATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,11,0,1,5,12,17
AYO AYO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,2,5,2,15,4,19
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,44,53,2,2,46,55,101
AZURDUY,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,35,36,1,6,36,42,78
BATALLAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,14,3,12,13,26,39
BAURES,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,7,1,0,10,7,17
BELEN DE ANDAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,1,1,0,4,1,5
BELEN DE URMIRI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,0,0,0,2,0,2
BELLA FLOR,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,9,3,6,14,15,29
BERMEJO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,151,165,20,17,171,182,353
BETANZOS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,37,48,3,1,40,49,89
BOLIVAR,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,13,0,0,10,13,23
BOLPEBRA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,0,0,0,3,0,3
BOYUIBE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,12,9,3,1,15,10,25
BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,23,25,5,2,28,27,55
CABEZAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,47,60,5,5,52,65,117
CAIROMA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,43,25,1,2,44,27,71
"CAIZA ""D""",consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,23,21,1,0,24,21,45
CAJUATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,32,41,0,6,32,47,79
CALACOTO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,4,2,0,9,4,13
CALAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,15,14,3,1,18,15,33
CAMARGO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,33,37,3,2,36,39,75
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,5,0,0,8,5,13
CAMIRI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,93,87,17,9,110,96,206
CAPINOTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,64,67,3,9,67,76,143
CAQUIAVIRI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,13,14,2,3,15,17,32
CARACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,46,52,1,2,47,54,101
CARANAVI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,173,141,17,25,190,166,356
CARAPARI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,31,36,3,8,34,44,78
CARIPUYO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,14,7,0,0,14,7,21
CARMEN RIVERO TORREZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,9,2,0,10,9,19
CATACORA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,2,0,0,7,2,9
CHACARILLA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,6,0,0,0,6,0,6
CHALLAPATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,38,48,2,2,40,50,90
CHAQUI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,6,10,0,0,6,10,16
CHARAGUA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,74,71,16,37,90,108,198
CHARAÑA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,0,0,1,2,1,3
CHAYANTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,36,28,0,2,36,30,66
CHIMORE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,136,146,10,4,146,150,296
CHIPAYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1,4,0,0,1,4,5
CHOQUE COTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,2,0,0,3,2,5
CHUA COCANI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,7,0,0,9,7,16
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,35,29,7,5,42,34,76
CHUMA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,21,19,4,1,25,20,45
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,13,10,1,0,14,10,24
CKOCHAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,14,0,0,18,14,32
CLIZA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,57,32,6,7,63,39,102
COBIJA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,139,105,72,68,211,173,384
COCAPATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,57,47,1,1,58,48,106
COCHABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1728,1547,568,566,2296,2113,4409
COIPASA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,2,0,0,5,2,7
COLCAPIRHUA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,55,30,50,60,105,90,195
"COLCHA ""K""",consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,15,3,0,21,15,36
COLLANA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,4,2,1,4,5,9
COLOMI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,51,33,20,17,71,50,121
COLPA BELGICA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,21,15,7,3,28,18,46
COLQUECHACA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,30,23,0,0,30,23,53
COLQUENCHA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,22,21,5,5,27,26,53
COLQUIRI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,67,38,3,2,70,40,110
COMANCHE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1,1,0,0,1,1,2
COMARAPA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,20,48,3,8,23,56,79
COMBAYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,1,0,0,4,1,5
CONCEPCION,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,70,51,11,11,81,62,143
COPACABANA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,9,0,0,7,9,16
CORIPATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,50,48,23,32,73,80,153
CORO CORO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,16,21,4,2,20,23,43
COROICO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,34,37,15,16,49,53,102
CORQUE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,9,0,0,10,9,19
COTAGAITA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,43,58,9,1,52,59,111
COTOCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,171,157,12,11,183,168,351
CRUZ DE MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,48,47,2,2,50,49,99
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,3,4,3,9,6,15
CUEVO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,19,10,20,14,39,24,63
CULPINA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,22,1,0,19,22,41
CURAHUARA DE CARANGAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,6,4,1,0,7,4,11
CURVA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,9,0,0,2,9,11
DESAGUADERO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,17,10,3,0,20,10,30
EL ALTO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1769,1662,716,771,2485,2433,4918
EL CHORO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1,2,0,0,1,2,3
EL PUENTE(STC),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,35,22,1,0,36,22,58
EL PUENTE(TJA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,27,12,0,1,27,13,40
EL TORNO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,232,213,381,401,613,614,1227
EL VILLAR,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,10,1,0,12,10,22
ENTRE RIOS TRJ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,48,53,0,1,48,54,102
ENTRE RIOS CBBA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,211,151,12,16,223,167,390
ESCOMA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,15,1,0,12,15,27
EUCALIPTUS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,3,1,0,9,3,12
EUREKA (SANTOS MERCADO),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,3,0,0,5,3,8
EXALTACION,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,12,0,1,3,13,16
FERNANDEZ ALONSO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,48,28,1,5,49,33,82
FILADELFIA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,33,18,1,0,34,18,52
GAIOC JATUN AYLLU YURA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,13,5,4,0,17,5,22
GENERAL SAAVEDRA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,80,71,8,12,88,83,171
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,19,17,14,35,33,68
GUANAY,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,30,32,17,13,47,45,92
GUAQUI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,3,3,1,8,4,12
GUAYARAMERIN,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,71,101,6,4,77,105,182
GUTIERREZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,52,34,12,11,64,45,109
HUACARAJE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,6,9,3,19,9,28
HUACARETA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,39,12,3,4,42,16,58
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,2,1,0,11,2,13
HUACHACALLA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,2,0,0,5,2,7
HUANUNI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,25,32,9,7,34,39,73
HUARINA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,13,15,3,10,16,25,41
HUATAJATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,0,2,5,7,5,12
HUAYLLAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,4,3,0,8,4,12
HUMANATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,4,0,7,3,11,14
ICHOCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,16,0,0,10,16,26
ICLA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,14,0,6,10,20,30
INCAHUASI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,48,31,0,0,48,31,79
INGAVI (HUMAITA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,6,18,0,0,6,18,24
INQUISIVI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,27,27,5,3,32,30,62
IRUPANA (VILLA DE LANZA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,41,30,2,1,43,31,74
IXIAMAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,45,33,4,5,49,38,87
JESUS DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,15,12,11,23,26,49
LA ASUNTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,119,106,7,9,126,115,241
LA GUARDIA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,344,293,133,101,477,394,871
LA PAZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1649,1611,601,626,2250,2237,4487
LAGUNILLAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,19,2,5,20,24,44
LAJA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,32,30,7,7,39,37,76
LAS CARRERAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,2,0,0,5,2,7
LICOMA PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,10,0,0,2,10,12
LLALLAGUA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,89,82,5,2,94,84,178
LLICA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,3,0,0,4,3,7
LORETO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,11,5,1,23,12,35
LURIBAY,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,17,20,3,4,20,24,44
MACHACAMARCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,5,3,3,6,8,9,17
MACHARETI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,6,12,0,0,6,12,18
MAGDALENA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,26,39,1,2,27,41,68
MAIRANA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,23,16,5,3,28,19,47
MALLA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,3,0,0,8,3,11
MAPIRI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,52,50,4,3,56,53,109
MECAPACA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,24,20,8,6,32,26,58
MINEROS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,50,36,6,2,56,38,94
MIZQUE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,50,61,25,36,75,97,172
MOCOMOCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,12,12,1,6,13,18,31
MOJINETE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,1,0,0,2,1,2,3
MOJOCOYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,7,2,1,12,8,20
MONTEAGUDO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,94,51,16,20,110,71,181
MONTERO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,379,351,115,92,494,443,937
MORO MORO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,6,0,2,2,8,10
MOROCHATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,22,9,0,2,22,11,33
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,5,1,1,10,6,16
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,5,0,0,7,5,12
OCURI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,21,17,0,0,21,17,38
OKINAWA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,20,17,7,5,27,22,49
OMEREQUE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,16,14,6,6,22,20,42
ORURO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,671,678,156,124,827,802,1629
PADCAYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,36,32,0,0,36,32,68
PADILLA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,32,9,7,3,39,12,51
PAILON,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,63,60,26,21,89,81,170
PALCA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,38,29,2,3,40,32,72
PALOS BLANCOS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,82,65,22,15,104,80,184
PAMPA AULLAGAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,3,1,1,4,4,8
PAMPA GRANDE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,22,10,1,0,23,10,33
PAPEL PAMPA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,6,0,0,4,6,10
PASORAPA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,2,0,0,9,2,11
PATACAMAYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,47,21,1,0,48,21,69
PAZÑA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,7,6,0,0,7,6,13
PELECHUCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,22,19,4,3,26,22,48
POCOATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,29,36,1,0,30,36,66
POCONA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,17,19,2,2,19,21,40
POJO (CBBA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,13,23,14,7,27,30,57
POOPO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,11,0,1,9,12,21
PORCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,21,21,0,1,21,22,43
POROMA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,33,41,1,4,34,45,79
PORONGO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,27,20,4,3,31,23,54
PORTACHUELO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,35,21,25,26,60,47,107
PORVENIR,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,12,3,2,14,14,28
POSTRER VALLE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,3,0,0,3,3,6
POTOSI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,544,491,86,88,630,579,1209
PRESTO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,23,10,1,0,24,10,34
PUCARA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,3,1,1,0,4,1,5
PUCARANI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,32,26,3,8,35,34,69
PUERTO ACOSTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,5,2,1,12,6,18
PUERTO CARABUCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,19,6,4,3,23,9,32
PUERTO GONZALO MORENO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,28,36,8,9,36,45,81
PUERTO PEREZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,4,1,2,11,6,17
PUERTO QUIJARRO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,15,23,2,7,17,30,47
PUERTO RICO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,6,0,0,2,6,8
PUERTO SILES,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,10,0,0,10,10,20
PUERTO SUAREZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,28,25,2,2,30,27,57
PUERTO VILLARROEL,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,415,378,32,36,447,414,861
PUNA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,17,22,0,2,17,24,41
PUNATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,85,94,52,73,137,167,304
QUIABAYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,3,1,1,5,4,9
QUILLACOLLO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,384,315,67,77,451,392,843
QUIME,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,15,12,0,0,15,12,27
QUIRUSILLAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,0,6,0,1,0,7,7
RAQAYPAMPA(ETA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,10,13,2,1,12,14,26
RAVELO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,12,11,0,0,12,11,23
REYES,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,20,25,1,0,21,25,46
RIBERALTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,308,304,60,22,368,326,694
ROBORE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,50,30,4,10,54,40,94
RURRENABAQUE,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,48,55,3,1,51,56,107
SABAYA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,17,12,1,5,18,17,35
SACABA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,365,389,94,141,459,530,989
SACABAMBA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,9,1,2,5,11,16
SACACA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,25,15,0,1,25,16,41
SAIPINA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,19,9,0,4,19,13,32
SALINAS DE GARCI MENDOZA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,7,0,0,8,7,15
SAMAIPATA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,17,17,4,10,21,27,48
SAN AGUSTIN,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,1,0,0,2,1,3
SAN ANDRES,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,34,32,7,8,41,40,81
SAN ANDRES DE MACHACA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,5,0,1,8,6,14
SAN ANTONIO DE ESMORUCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,2,0,0,2,2,4
SAN ANTONIO DE LOMERIO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,14,12,1,3,15,15,30
SAN BENITO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,35,20,12,7,47,27,74
SAN BORJA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,151,151,29,27,180,178,358
SAN BUENA VENTURA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,36,28,7,7,43,35,78
SAN CARLOS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,39,35,2,2,41,37,78
SAN IGNACIO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,98,81,8,1,106,82,188
SAN IGNACIO DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,137,104,13,15,150,119,269
SAN JAVIER(BNI),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,8,11,1,2,9,13,22
SAN JAVIER(STC),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,23,30,0,0,23,30,53
SAN JOAQUIN,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,11,3,1,7,12,19
SAN JOSE DE CHIQUITOS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,33,38,4,0,37,38,75
SAN JUAN DE YAPACANI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,18,9,0,0,18,9,27
SAN JULIAN,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,130,110,27,39,157,149,306
SAN LORENZO(PND),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,15,14,3,5,18,19,37
SAN LORENZO(TJA),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,70,89,3,4,73,93,166
SAN LUCAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,63,51,5,2,68,53,121
SAN MATIAS,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,21,24,0,0,21,24,45
SAN MIGUEL DE VELASCO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,26,21,0,1,26,22,48
SAN PABLO DE LIPEZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,0,4,0,0,0,4,4
SAN PEDRO,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,50,54,3,10,53,64,117
SAN PEDRO DE BUENA VISTA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,28,24,2,2,30,26,56
SAN PEDRO DE CURAHUARA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,2,0,0,9,2,11
SAN PEDRO DE MACHA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,44,32,0,0,44,32,76
SAN PEDRO DE QUEMES,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,2,4,0,0,2,4,6
SAN PEDRO DE TIQUINA,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,9,5,1,1,10,6,16
SAN PEDRO(PND),consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,4,5,0,0,4,5,9
SAN RAFAEL,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,29,16,14,9,43,25,68
SAN RAMON BENI,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,11,12,1,0,12,12,24
SAN RAMON SCZ,consulta externa,ninos de 6 meses a < 1 ano,2023-01-01,14,7,1,0,15,7,22
