,group,variable,month,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS NUEVO,NIÑOS DE 1 A 4 AÑOS REPETIDO,NIÑOS DE 1 A 4 AÑOS REPETIDO,TOTALES,TOTALES,TOTALES
AYO AYO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,55,35,20,19,75,54,129
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,181,200,9,11,190,211,401
AZURDUY,consulta externa,ninos  de 1 a 4 anos,2023-01-01,220,197,18,20,238,217,455
BATALLAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,31,24,31,54,62,78,140
BAURES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,65,64,2,2,67,66,133
BELEN DE ANDAMARCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,13,6,0,0,13,6,19
BELEN DE URMIRI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,11,9,0,0,11,9,20
BELLA FLOR,consulta externa,ninos  de 1 a 4 anos,2023-01-01,35,41,6,10,41,51,92
BERMEJO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,519,438,44,45,563,483,1046
BETANZOS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,197,181,10,2,207,183,390
BOLIVAR,consulta externa,ninos  de 1 a 4 anos,2023-01-01,21,29,1,1,22,30,52
BOLPEBRA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,5,10,0,0,5,10,15
BOYUIBE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,60,60,8,7,68,67,135
BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,148,105,17,9,165,114,279
CABEZAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,346,312,21,16,367,328,695
CAIROMA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,129,106,7,8,136,114,250
"CAIZA ""D""",consulta externa,ninos  de 1 a 4 anos,2023-01-01,92,80,1,1,93,81,174
CAJUATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,117,102,11,13,128,115,243
CALACOTO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,23,28,1,1,24,29,53
CALAMARCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,76,50,8,6,84,56,140
CAMARGO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,113,87,6,7,119,94,213
CAMATAQUI (C. VILLA ABECIA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,34,18,1,0,35,18,53
CAMIRI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,405,357,62,49,467,406,873
CAPINOTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,214,239,29,22,243,261,504
CAQUIAVIRI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,70,41,7,4,77,45,122
CARACOLLO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,218,195,16,16,234,211,445
CARANAVI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,546,500,76,63,622,563,1185
CARANGAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,5,1,0,0,5,1,6
CARAPARI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,193,164,15,21,208,185,393
CARIPUYO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,48,56,0,1,48,57,105
CARMEN RIVERO TORREZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,47,44,30,13,77,57,134
CATACORA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,14,19,1,0,15,19,34
CHACARILLA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,10,17,0,0,10,17,27
CHALLAPATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,156,151,9,10,165,161,326
CHAQUI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,44,44,1,0,45,44,89
CHARAGUA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,439,402,68,50,507,452,959
CHARAÑA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,8,13,1,5,9,18,27
CHAYANTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,106,116,4,0,110,116,226
CHIMORE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,482,395,24,23,506,418,924
CHIPAYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,2,12,0,0,2,12,14
CHOQUE COTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,20,11,0,0,20,11,31
CHUA COCANI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,23,29,0,2,23,31,54
CHULUMANI (V. DE LA LIBERTAD),consulta externa,ninos  de 1 a 4 anos,2023-01-01,124,130,23,15,147,145,292
CHUMA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,69,63,5,9,74,72,146
CHUQUIHUTA AYLLU JUCUMANI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,55,34,2,3,57,37,94
CKOCHAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,81,90,0,0,81,90,171
CLIZA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,144,140,23,29,167,169,336
COBIJA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,454,400,204,181,658,581,1239
COCAPATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,170,175,6,8,176,183,359
COCHABAMBA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,5984,5459,1960,1719,7944,7178,15122
COIPASA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,11,4,0,0,11,4,15
COLCAPIRHUA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,176,178,158,137,334,315,649
"COLCHA ""K""",consulta externa,ninos  de 1 a 4 anos,2023-01-01,88,104,8,7,96,111,207
COLLANA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,25,23,3,3,28,26,54
COLOMI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,178,198,45,44,223,242,465
COLPA BELGICA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,77,76,12,5,89,81,170
COLQUECHACA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,95,90,0,2,95,92,187
COLQUENCHA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,75,74,25,18,100,92,192
COLQUIRI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,158,130,6,5,164,135,299
COMANCHE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,4,6,1,1,5,7,12
COMARAPA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,182,176,11,15,193,191,384
COMBAYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,9,6,0,0,9,6,15
CONCEPCION,consulta externa,ninos  de 1 a 4 anos,2023-01-01,207,176,27,36,234,212,446
COPACABANA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,45,41,2,1,47,42,89
CORIPATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,150,118,76,62,226,180,406
CORO CORO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,52,58,0,3,52,61,113
COROICO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,157,152,17,13,174,165,339
CORQUE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,52,43,1,3,53,46,99
COTAGAITA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,238,233,9,7,247,240,487
COTOCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,822,692,47,55,869,747,1616
CUATRO CAÑADAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,288,197,34,25,322,222,544
CUCHUMUELA (V. G. VILLARROEL),consulta externa,ninos  de 1 a 4 anos,2023-01-01,20,18,8,4,28,22,50
CUEVO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,65,84,25,29,90,113,203
CULPINA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,118,77,0,2,118,79,197
CURAHUARA DE CARANGAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,21,12,0,0,21,12,33
CURVA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,25,17,2,1,27,18,45
DESAGUADERO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,41,37,1,3,42,40,82
EL ALTO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,4889,4041,1483,1437,6372,5478,11850
EL CHORO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,12,15,1,0,13,15,28
EL PUENTE(STC),consulta externa,ninos  de 1 a 4 anos,2023-01-01,130,142,0,3,130,145,275
EL PUENTE(TJA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,85,85,2,8,87,93,180
EL TORNO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,939,827,467,600,1406,1427,2833
EL VILLAR,consulta externa,ninos  de 1 a 4 anos,2023-01-01,84,68,0,0,84,68,152
ENTRE RIOS TRJ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,245,228,9,7,254,235,489
ENTRE RIOS CBBA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,599,572,35,34,634,606,1240
ESCARA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1,1,0,0,1,1,2
ESCOMA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,43,39,1,1,44,40,84
ESMERALDA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1,7,3,4,4,11,15
EUCALIPTUS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,39,18,1,0,40,18,58
EUREKA (SANTOS MERCADO),consulta externa,ninos  de 1 a 4 anos,2023-01-01,40,43,0,0,40,43,83
EXALTACION,consulta externa,ninos  de 1 a 4 anos,2023-01-01,24,18,1,1,25,19,44
FERNANDEZ ALONSO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,198,146,36,20,234,166,400
FILADELFIA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,124,74,0,1,124,75,199
GAIOC JATUN AYLLU YURA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,37,39,0,1,37,40,77
GENERAL SAAVEDRA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,349,324,41,28,390,352,742
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,ninos  de 1 a 4 anos,2023-01-01,82,95,25,34,107,129,236
GUANAY,consulta externa,ninos  de 1 a 4 anos,2023-01-01,124,150,36,29,160,179,339
GUAQUI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,16,16,8,11,24,27,51
GUAYARAMERIN,consulta externa,ninos  de 1 a 4 anos,2023-01-01,338,348,29,30,367,378,745
GUTIERREZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,207,198,23,20,230,218,448
HUACARAJE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,38,40,20,21,58,61,119
HUACARETA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,78,77,16,22,94,99,193
HUACAYA (VILLA DE HUACAYA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,42,29,11,5,53,34,87
HUACHACALLA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,13,13,2,0,15,13,28
HUANUNI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,118,110,31,31,149,141,290
HUARINA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,52,71,24,22,76,93,169
HUATAJATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,5,10,19,12,24,22,46
HUAYLLAMARCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,20,24,4,1,24,25,49
HUMANATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,17,11,19,15,36,26,62
ICHOCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,50,53,0,0,50,53,103
ICLA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,100,83,34,29,134,112,246
INCAHUASI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,156,177,1,0,157,177,334
INGAVI (HUMAITA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,58,66,0,0,58,66,124
INQUISIVI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,78,77,15,12,93,89,182
IRUPANA (VILLA DE LANZA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,193,142,7,15,200,157,357
IXIAMAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,153,126,21,21,174,147,321
JESUS DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,50,48,33,21,83,69,152
LA ASUNTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,438,358,40,40,478,398,876
LA GUARDIA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1290,1333,392,371,1682,1704,3386
LA PAZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,5052,4662,1727,1557,6779,6219,12998
LA RIVERA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,4,3,0,0,4,3,7
LAGUNILLAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,114,102,11,15,125,117,242
LAJA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,87,94,7,18,94,112,206
LAS CARRERAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,30,26,0,0,30,26,56
LICOMA PAMPA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,19,19,0,0,19,19,38
LLALLAGUA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,312,280,2,7,314,287,601
LLICA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,18,12,1,0,19,12,31
LORETO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,61,50,12,18,73,68,141
LURIBAY,consulta externa,ninos  de 1 a 4 anos,2023-01-01,87,71,10,16,97,87,184
MACHACAMARCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,18,27,17,19,35,46,81
MACHARETI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,82,63,9,5,91,68,159
MAGDALENA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,111,131,15,10,126,141,267
MAIRANA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,116,100,22,15,138,115,253
MALLA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,22,18,1,0,23,18,41
MAPIRI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,192,117,15,4,207,121,328
MECAPACA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,64,63,21,22,85,85,170
MINEROS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,156,157,30,20,186,177,363
MIZQUE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,167,194,49,57,216,251,467
MOCOMOCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,76,62,12,14,88,76,164
MOJINETE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,8,5,0,0,8,5,13
MOJOCOYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,60,58,8,9,68,67,135
MONTEAGUDO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,319,240,72,76,391,316,707
MONTERO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,2003,1643,452,346,2455,1989,4444
MORO MORO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,15,24,1,2,16,26,42
MOROCHATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,56,47,2,6,58,53,111
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,83,35,0,1,83,36,119
NAZACARA DE PACAJES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1,0,0,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,11,27,0,0,11,27,38
OCURI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,77,65,2,0,79,65,144
OKINAWA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,112,91,27,21,139,112,251
OMEREQUE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,74,76,7,15,81,91,172
ORURO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,2318,2083,366,376,2684,2459,5143
PADCAYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,204,198,7,8,211,206,417
PADILLA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,130,121,31,7,161,128,289
PAILON,consulta externa,ninos  de 1 a 4 anos,2023-01-01,342,267,101,73,443,340,783
PALCA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,155,119,8,9,163,128,291
PALOS BLANCOS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,411,382,52,36,463,418,881
PAMPA AULLAGAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,32,20,3,2,35,22,57
PAMPA GRANDE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,62,54,4,3,66,57,123
PAPEL PAMPA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,48,38,7,8,55,46,101
PASORAPA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,36,22,1,0,37,22,59
PATACAMAYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,116,97,3,0,119,97,216
PAZÑA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,44,29,7,2,51,31,82
PELECHUCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,71,55,15,9,86,64,150
POCOATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,147,132,1,1,148,133,281
POCONA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,82,57,4,8,86,65,151
POJO (CBBA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,85,88,30,35,115,123,238
POOPO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,34,34,3,2,37,36,73
PORCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,78,74,4,1,82,75,157
POROMA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,150,140,6,9,156,149,305
PORONGO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,152,124,15,17,167,141,308
PORTACHUELO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,168,148,113,124,281,272,553
PORVENIR,consulta externa,ninos  de 1 a 4 anos,2023-01-01,65,19,15,3,80,22,102
POSTRER VALLE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,17,17,0,1,17,18,35
POTOSI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1563,1501,197,177,1760,1678,3438
PRESTO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,86,100,0,2,86,102,188
PUCARA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,22,19,3,3,25,22,47
PUCARANI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,156,148,11,19,167,167,334
PUERTO ACOSTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,29,24,8,6,37,30,67
PUERTO CARABUCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,50,43,10,5,60,48,108
PUERTO GONZALO MORENO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,125,138,29,35,154,173,327
PUERTO PEREZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,18,22,4,6,22,28,50
PUERTO QUIJARRO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,103,84,9,7,112,91,203
PUERTO RICO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,49,53,4,0,53,53,106
PUERTO SILES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,20,33,0,2,20,35,55
PUERTO SUAREZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,123,102,13,2,136,104,240
PUERTO VILLARROEL,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1119,1054,73,76,1192,1130,2322
PUNA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,100,104,0,3,100,107,207
PUNATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,288,319,154,133,442,452,894
QUIABAYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,35,28,16,14,51,42,93
QUILLACOLLO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1123,1098,210,244,1333,1342,2675
QUIME,consulta externa,ninos  de 1 a 4 anos,2023-01-01,60,62,4,0,64,62,126
QUIRUSILLAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,12,15,0,2,12,17,29
RAQAYPAMPA(ETA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,59,51,9,5,68,56,124
RAVELO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,102,95,0,0,102,95,197
REYES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,146,113,0,0,146,113,259
RIBERALTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,978,922,110,133,1088,1055,2143
ROBORE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,172,145,13,13,185,158,343
RURRENABAQUE,consulta externa,ninos  de 1 a 4 anos,2023-01-01,251,249,9,1,260,250,510
SABAYA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,45,28,11,4,56,32,88
SACABA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,1324,1107,289,262,1613,1369,2982
SACABAMBA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,16,23,3,2,19,25,44
SACACA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,140,127,2,2,142,129,271
SAIPINA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,50,44,26,14,76,58,134
SALINAS DE GARCI MENDOZA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,73,48,0,0,73,48,121
SAMAIPATA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,100,102,24,23,124,125,249
SAN AGUSTIN,consulta externa,ninos  de 1 a 4 anos,2023-01-01,9,4,0,0,9,4,13
SAN ANDRES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,137,138,33,34,170,172,342
SAN ANDRES DE MACHACA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,26,18,11,4,37,22,59
SAN ANTONIO DE ESMORUCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,15,6,0,0,15,6,21
SAN ANTONIO DE LOMERIO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,66,62,17,15,83,77,160
SAN BENITO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,97,73,26,16,123,89,212
SAN BORJA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,688,639,75,58,763,697,1460
SAN BUENA VENTURA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,97,103,17,17,114,120,234
SAN CARLOS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,185,160,28,22,213,182,395
SAN IGNACIO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,406,352,15,13,421,365,786
SAN IGNACIO DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,454,430,38,45,492,475,967
SAN JAVIER(BNI),consulta externa,ninos  de 1 a 4 anos,2023-01-01,56,34,19,4,75,38,113
SAN JAVIER(STC),consulta externa,ninos  de 1 a 4 anos,2023-01-01,94,92,3,4,97,96,193
SAN JOAQUIN,consulta externa,ninos  de 1 a 4 anos,2023-01-01,42,48,4,4,46,52,98
SAN JOSE DE CHIQUITOS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,157,168,5,8,162,176,338
SAN JUAN DE YAPACANI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,94,71,1,2,95,73,168
SAN JULIAN,consulta externa,ninos  de 1 a 4 anos,2023-01-01,396,465,161,146,557,611,1168
SAN LORENZO(PND),consulta externa,ninos  de 1 a 4 anos,2023-01-01,85,57,21,25,106,82,188
SAN LORENZO(TJA),consulta externa,ninos  de 1 a 4 anos,2023-01-01,229,271,9,15,238,286,524
SAN LUCAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,291,284,20,26,311,310,621
SAN MATIAS,consulta externa,ninos  de 1 a 4 anos,2023-01-01,116,123,6,3,122,126,248
SAN MIGUEL DE VELASCO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,120,105,11,8,131,113,244
SAN PABLO DE LIPEZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,31,26,0,0,31,26,57
SAN PEDRO,consulta externa,ninos  de 1 a 4 anos,2023-01-01,253,268,24,35,277,303,580
SAN PEDRO DE BUENA VISTA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,129,116,8,9,137,125,262
SAN PEDRO DE CURAHUARA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,46,33,0,0,46,33,79
SAN PEDRO DE MACHA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,153,136,0,0,153,136,289
SAN PEDRO DE QUEMES,consulta externa,ninos  de 1 a 4 anos,2023-01-01,11,6,0,0,11,6,17
SAN PEDRO DE TIQUINA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,27,19,6,2,33,21,54
SAN PEDRO(PND),consulta externa,ninos  de 1 a 4 anos,2023-01-01,30,27,0,0,30,27,57
SAN RAFAEL,consulta externa,ninos  de 1 a 4 anos,2023-01-01,97,89,22,29,119,118,237
SAN RAMON BENI,consulta externa,ninos  de 1 a 4 anos,2023-01-01,45,77,0,1,45,78,123
SAN RAMON SCZ,consulta externa,ninos  de 1 a 4 anos,2023-01-01,80,75,14,6,94,81,175
SANTA ANA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,114,118,87,89,201,207,408
SANTA CRUZ DE LA SIERRA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,12397,11414,2802,2327,15199,13741,28940
SANTA ROSA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,115,111,17,9,132,120,252
SANTA ROSA DEL SARA,consulta externa,ninos  de 1 a 4 anos,2023-01-01,288,211,5,3,293,214,507
