municipality,group,variable,month,3. Niñas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),TOTAL
TUPIZA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,6,6
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,23,23
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-01-01,1,1
CARACOLLO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
CARANAVI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,18,18
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
GIA-TIM,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,2,2
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,37,37
MECAPACA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,3,3
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,7,7
PAZÑA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,19,19
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,4,4
SACABA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,9,9
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,3,3
SAN JULIAN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,8,8
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,4,4
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,1,1
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,3,3
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-02-01,5,5
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,3,3
BAURES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
CARANAVI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
COTOCA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,22,22
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,25,25
EL TORNO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,4,4
GIA-TIM,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,41,41
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,3,3
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,2,2
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,10,10
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,14,14
SACABA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,5,5
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
SAN JOAQUIN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,13,13
TINGUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,1,1
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,76,76
UNCIA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,4,4
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,6,6
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-03-01,2,2
ACHOCALLA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
BAURES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
CARANAVI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,2,2
CHIMORE,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,55,55
GIA-TIM,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,3,3
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,19,19
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,3,3
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,12,12
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,4,4
SACABA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,5,5
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,3,3
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
SAN JOAQUIN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
SAN JULIAN,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,7,7
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,10,10
TEOPONTE,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,4,4
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,8,8
UNCIA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
UYUNI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,5,5
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,7,7
YAPACANI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-04-01,1,1
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
CARAPARI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
CKOCHAS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
COLPA BELGICA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
COMARAPA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,4,4
CUEVO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,55,55
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,2,2
HUANUNI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,8,8
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,31,31
MACHACAMARCA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,8,8
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,13,13
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,3,3
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
SAN MATIAS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,2,2
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,2,2
TACOPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,1,1
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,5,5
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,13,13
VITICHI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-05-01,3,3
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,2,2
CAMIRI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,4,4
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,19,19
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,43,43
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,22,22
MACHARETI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,1,1
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,16,16
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,1,1
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,12,12
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,1,1
SACABA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,2,2
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,3,3
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,13,13
TUPIZA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,5,5
UYUNI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,1,1
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-06-01,9,9
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,1,1
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,2,2
BERMEJO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,2,2
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,14,14
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,34,34
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,1,1
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,23,23
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,10,10
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,2,2
PORONGO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,5,5
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,22,22
REYES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,1,1
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,1,1
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,3,3
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,14,14
TUPIZA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,6,6
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,30,30
VILLA SERRANO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,2,2
WARNES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-07-01,15,15
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,2,2
BAURES,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,31,31
COTAGAITA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
COTOCA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,3,3
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,3,3
HUANUNI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,7,7
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,7,7
ORURO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,3,3
PORONGO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,16,16
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
SAMAIPATA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,2,2
SAN JOSE DE CHIQUITOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
SANTA CRUZ DE LA SIERRA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,23,23
TINGUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,14,14
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,15,15
VITICHI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-08-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
BERMEJO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,2,2
CABEZAS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,2,2
COTOCA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
EL ALTO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,31,31
LA GUARDIA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
LA PAZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,26,26
MAGDALENA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
MONTERO,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,6,6
POTOSI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,13,13
SAN JAVIER(BNI),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
SAN MATIAS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
SAN PABLO DE LIPEZ,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
TIQUIPAYA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,2,2
TRINIDAD,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,8,8
TUPIZA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,7,7
VIACHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,10,10
VILLA VACA GUZMAN (MUYUPAMPA),micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-09-01,1,1
ASCENCION DE GUARAYOS,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
ATOCHA,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,2,2
CAMIRI,micronutrientes y lactancia materna,ninas(os) menores de 6 meses con dosis completa de hierro (a partir de los 4 m),2024-10-01,1,1
