municipality,group,variable,month,Niñas(os) de 1 año con 2da. dosis de vitamina A,TOTAL
AUCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
AYATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
AYO AYO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
AYOPAYA (V. DE INDEPENDENCIA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,14,14
AZURDUY,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
BATALLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,22,22
BAURES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
BELEN DE ANDAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
BELLA FLOR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
BERMEJO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,37,37
BETANZOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,32,32
BOLIVAR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
BOLPEBRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
BOYUIBE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
BUENA VISTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,23,23
CABEZAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,25,25
CAIROMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,15,15
"CAIZA ""D""",micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,12,12
CAJUATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,16,16
CALACOTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
CALAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,14,14
CAMARGO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
CAMATAQUI (C. VILLA ABECIA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
CAMIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
CAPINOTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,28,28
CAQUIAVIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
CARACOLLO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,27,27
CARANAVI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,41,41
CARAPARI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,12,12
CARIPUYO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
CARMEN RIVERO TORREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,11,11
CATACORA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
CHACARILLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
CHALLAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,29,29
CHAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
CHARAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,45,45
CHARAÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
CHAYANTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
CHIMORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,36,36
CHIPAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
CHOQUE COTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
CHUA COCANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
CHULUMANI (V. DE LA LIBERTAD),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,15,15
CHUMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
CHUQUIHUTA AYLLU JUCUMANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
CKOCHAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,10,10
CLIZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,18,18
COBIJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,48,48
COCAPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
COCHABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,349,349
COLCAPIRHUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,37,37
"COLCHA ""K""",micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,16,16
COLLANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
COLOMI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,30,30
COLPA BELGICA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
COLQUECHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,16,16
COLQUENCHA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
COLQUIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,13,13
COMANCHE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
COMARAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,17,17
COMBAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
CONCEPCION,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,26,26
COPACABANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
CORIPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,21,21
CORO CORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
COROICO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,16,16
CORQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
COTAGAITA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,22,22
COTOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,84,84
CUATRO CAÑADAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,31,31
CUCHUMUELA (V. G. VILLARROEL),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
CUEVO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
CULPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
CURAHUARA DE CARANGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
DESAGUADERO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
EL ALTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,689,689
EL CHORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
EL PUENTE(STC),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
EL PUENTE(TJA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
EL TORNO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,74,74
EL VILLAR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
ENTRE RIOS TRJ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,27,27
ENTRE RIOS CBBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,29,29
ESCOMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
ESMERALDA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
EUCALIPTUS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
FERNANDEZ ALONSO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
FILADELFIA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,10,10
GAIOC JATUN AYLLU YURA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
GENERAL SAAVEDRA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,15,15
GIA-TIM,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,15,15
GUANAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
GUAQUI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
GUAYARAMERIN,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,44,44
GUTIERREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,16,16
HUACARAJE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,12,12
HUACARETA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
HUACAYA (VILLA DE HUACAYA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
HUACHACALLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
HUANUNI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,17,17
HUARINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
HUATAJATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
HUAYLLAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
HUMANATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
ICHOCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
ICLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
INCAHUASI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,17,17
INGAVI (HUMAITA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
INQUISIVI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
IRUPANA (VILLA DE LANZA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,12,12
IXIAMAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
JESUS DE MACHACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,13,13
LA ASUNTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,61,61
LA GUARDIA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,30,30
LA PAZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,672,672
LAGUNILLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
LAJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,33,33
LAS CARRERAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
LICOMA PAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
LLALLAGUA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,47,47
LLICA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
LORETO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
LURIBAY,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
MACHACAMARCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
MACHARETI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
MAGDALENA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
MAIRANA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,26,26
MALLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
MAPIRI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,24,24
MECAPACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,15,15
MINEROS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,35,35
MIZQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,34,34
MOCOMOCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,11,11
MOJINETE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
MOJOCOYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
MONTEAGUDO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,32,32
MONTERO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,142,142
MORO MORO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
MOROCHATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
NACEBE (SANTA ROSA DEL ABUNA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
NAZACARA DE PACAJES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
OCURI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
OKINAWA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,13,13
OMEREQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
ORURO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,309,309
PADCAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,14,14
PADILLA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,7,7
PAILON,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,21,21
PALCA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,30,30
PALOS BLANCOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,41,41
PAMPA AULLAGAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
PAMPA GRANDE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
PAPEL PAMPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
PASORAPA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
PATACAMAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,23,23
PAZÑA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,4,4
PELECHUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
POCOATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,28,28
POCONA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,13,13
POJO (CBBA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,18,18
POOPO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
PORCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
POROMA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
PORONGO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,11,11
PORTACHUELO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,12,12
PORVENIR,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
POSTRER VALLE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
POTOSI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,295,295
PRESTO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,10,10
PUCARA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
PUCARANI,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,38,38
PUERTO ACOSTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,8,8
PUERTO CARABUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
PUERTO GONZALO MORENO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
PUERTO PEREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
PUERTO QUIJARRO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,14,14
PUERTO RICO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
PUERTO SILES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
PUERTO SUAREZ,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,13,13
PUERTO VILLARROEL,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,92,92
PUNA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,10,10
PUNATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,36,36
QUIABAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
QUILLACOLLO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,160,160
QUIME,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,10,10
QUIRUSILLAS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,1,1
RAQAYPAMPA(ETA),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
RAVELO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,14,14
REYES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,10,10
RIBERALTA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,125,125
ROBORE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,29,29
RURRENABAQUE,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,24,24
SABAYA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
SACABA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,167,167
SACABAMBA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,6,6
SACACA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,18,18
SAIPINA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
SALINAS DE GARCI MENDOZA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,12,12
SAMAIPATA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,11,11
SAN ANDRES,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,9,9
SAN ANTONIO DE ESMORUCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,3,3
SAN ANTONIO DE LOMERIO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,5,5
SAN BENITO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,11,11
SAN BORJA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,75,75
SAN BUENA VENTURA,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,15,15
SAN CARLOS,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,34,34
SAN IGNACIO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,19,19
SAN IGNACIO DE VELASCO,micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,79,79
SAN JAVIER(BNI),micronutrientes y lactancia materna,ninas(os) de 1 ano con 2da. dosis de vitamina a,2024-01-01,2,2
