,group,variable,month,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS NUEVOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,PERSONAS DE 60 AÑOS Y MÁS REPETIDOS,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 60 anos y mas,2009-01-01,57,99,1,7,58,106,164
AZURDUY,consulta externa,personas de 60 anos y mas,2009-01-01,45,62,0,1,45,63,108
BATALLAS,consulta externa,personas de 60 anos y mas,2009-01-01,107,68,16,15,123,83,206
BAURES,consulta externa,personas de 60 anos y mas,2009-01-01,9,15,17,7,26,22,48
BELEN DE ANDAMARCA,consulta externa,personas de 60 anos y mas,2009-01-01,14,10,1,1,15,11,26
BELEN DE URMIRI,consulta externa,personas de 60 anos y mas,2009-01-01,16,16,1,2,17,18,35
BELLA FLOR,consulta externa,personas de 60 anos y mas,2009-01-01,9,1,1,0,10,1,11
BERMEJO,consulta externa,personas de 60 anos y mas,2009-01-01,295,301,53,37,348,338,686
BETANZOS,consulta externa,personas de 60 anos y mas,2009-01-01,236,335,87,114,323,449,772
BOLIVAR,consulta externa,personas de 60 anos y mas,2009-01-01,12,26,3,0,15,26,41
BOLPEBRA,consulta externa,personas de 60 anos y mas,2009-01-01,7,3,2,1,9,4,13
BOYUIBE,consulta externa,personas de 60 anos y mas,2009-01-01,25,39,2,7,27,46,73
BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-01-01,84,64,24,29,108,93,201
CABEZAS,consulta externa,personas de 60 anos y mas,2009-01-01,64,79,3,2,67,81,148
CAIROMA,consulta externa,personas de 60 anos y mas,2009-01-01,64,50,10,4,74,54,128
"CAIZA ""D""",consulta externa,personas de 60 anos y mas,2009-01-01,87,148,7,12,94,160,254
CAJUATA,consulta externa,personas de 60 anos y mas,2009-01-01,51,46,3,2,54,48,102
CALACOTO,consulta externa,personas de 60 anos y mas,2009-01-01,29,28,3,4,32,32,64
CALAMARCA,consulta externa,personas de 60 anos y mas,2009-01-01,55,41,15,13,70,54,124
CAMARGO,consulta externa,personas de 60 anos y mas,2009-01-01,220,266,8,12,228,278,506
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 60 anos y mas,2009-01-01,19,57,0,3,19,60,79
CAMIRI,consulta externa,personas de 60 anos y mas,2009-01-01,753,1052,95,119,848,1171,2019
CAPINOTA,consulta externa,personas de 60 anos y mas,2009-01-01,35,54,23,45,58,99,157
CAQUIAVIRI,consulta externa,personas de 60 anos y mas,2009-01-01,31,44,0,1,31,45,76
CARACOLLO,consulta externa,personas de 60 anos y mas,2009-01-01,52,49,16,10,68,59,127
CARANAVI,consulta externa,personas de 60 anos y mas,2009-01-01,315,191,29,18,344,209,553
CARANGAS,consulta externa,personas de 60 anos y mas,2009-01-01,2,10,0,1,2,11,13
CARAPARI,consulta externa,personas de 60 anos y mas,2009-01-01,18,48,1,0,19,48,67
CARIPUYO,consulta externa,personas de 60 anos y mas,2009-01-01,4,23,0,0,4,23,27
CARMEN RIVERO TORREZ,consulta externa,personas de 60 anos y mas,2009-01-01,14,12,0,0,14,12,26
CATACORA,consulta externa,personas de 60 anos y mas,2009-01-01,12,15,4,0,16,15,31
CHALLAPATA,consulta externa,personas de 60 anos y mas,2009-01-01,214,201,38,35,252,236,488
CHAQUI,consulta externa,personas de 60 anos y mas,2009-01-01,27,49,0,1,27,50,77
CHARAGUA,consulta externa,personas de 60 anos y mas,2009-01-01,144,164,17,8,161,172,333
CHARAÑA,consulta externa,personas de 60 anos y mas,2009-01-01,8,10,0,0,8,10,18
CHAYANTA,consulta externa,personas de 60 anos y mas,2009-01-01,75,108,17,23,92,131,223
CHIMORE,consulta externa,personas de 60 anos y mas,2009-01-01,75,59,3,2,78,61,139
CHIPAYA,consulta externa,personas de 60 anos y mas,2009-01-01,6,4,0,0,6,4,10
CHOQUE COTA,consulta externa,personas de 60 anos y mas,2009-01-01,26,25,0,4,26,29,55
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 60 anos y mas,2009-01-01,101,67,31,21,132,88,220
CHUMA,consulta externa,personas de 60 anos y mas,2009-01-01,45,77,2,3,47,80,127
CLIZA,consulta externa,personas de 60 anos y mas,2009-01-01,51,88,5,19,56,107,163
COBIJA,consulta externa,personas de 60 anos y mas,2009-01-01,287,162,280,101,567,263,830
COCHABAMBA,consulta externa,personas de 60 anos y mas,2009-01-01,5463,7834,5951,8292,11414,16126,27540
COIPASA,consulta externa,personas de 60 anos y mas,2009-01-01,3,1,1,0,4,1,5
COLCAPIRHUA,consulta externa,personas de 60 anos y mas,2009-01-01,102,97,167,126,269,223,492
"COLCHA ""K""",consulta externa,personas de 60 anos y mas,2009-01-01,78,106,7,9,85,115,200
COLLANA,consulta externa,personas de 60 anos y mas,2009-01-01,29,19,6,5,35,24,59
COLOMI,consulta externa,personas de 60 anos y mas,2009-01-01,8,12,1,0,9,12,21
COLPA BELGICA,consulta externa,personas de 60 anos y mas,2009-01-01,108,36,10,26,118,62,180
COLQUECHACA,consulta externa,personas de 60 anos y mas,2009-01-01,64,94,1,1,65,95,160
COLQUENCHA,consulta externa,personas de 60 anos y mas,2009-01-01,56,82,5,13,61,95,156
COLQUIRI,consulta externa,personas de 60 anos y mas,2009-01-01,34,48,3,1,37,49,86
COMANCHE,consulta externa,personas de 60 anos y mas,2009-01-01,38,18,3,1,41,19,60
COMARAPA,consulta externa,personas de 60 anos y mas,2009-01-01,113,146,19,23,132,169,301
COMBAYA,consulta externa,personas de 60 anos y mas,2009-01-01,42,61,5,2,47,63,110
CONCEPCION,consulta externa,personas de 60 anos y mas,2009-01-01,52,48,11,8,63,56,119
COPACABANA,consulta externa,personas de 60 anos y mas,2009-01-01,1,2,0,0,1,2,3
CORIPATA,consulta externa,personas de 60 anos y mas,2009-01-01,48,51,16,4,64,55,119
CORO CORO,consulta externa,personas de 60 anos y mas,2009-01-01,31,37,2,6,33,43,76
COROICO,consulta externa,personas de 60 anos y mas,2009-01-01,100,66,72,78,172,144,316
CORQUE,consulta externa,personas de 60 anos y mas,2009-01-01,77,81,14,10,91,91,182
COTAGAITA,consulta externa,personas de 60 anos y mas,2009-01-01,156,331,11,18,167,349,516
COTOCA,consulta externa,personas de 60 anos y mas,2009-01-01,174,174,13,33,187,207,394
CUATRO CAÑADAS,consulta externa,personas de 60 anos y mas,2009-01-01,40,55,1,1,41,56,97
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 60 anos y mas,2009-01-01,6,8,0,0,6,8,14
CUEVO,consulta externa,personas de 60 anos y mas,2009-01-01,39,78,2,4,41,82,123
CULPINA,consulta externa,personas de 60 anos y mas,2009-01-01,84,127,5,4,89,131,220
CURAHUARA DE CARANGAS,consulta externa,personas de 60 anos y mas,2009-01-01,30,37,1,1,31,38,69
CURVA,consulta externa,personas de 60 anos y mas,2009-01-01,6,10,3,2,9,12,21
DESAGUADERO,consulta externa,personas de 60 anos y mas,2009-01-01,29,27,1,1,30,28,58
EL ALTO,consulta externa,personas de 60 anos y mas,2009-01-01,1742,1839,1452,1519,3194,3358,6552
EL CHORO,consulta externa,personas de 60 anos y mas,2009-01-01,30,52,2,4,32,56,88
EL PUENTE(STC),consulta externa,personas de 60 anos y mas,2009-01-01,39,40,2,4,41,44,85
EL PUENTE(TJA),consulta externa,personas de 60 anos y mas,2009-01-01,38,86,0,0,38,86,124
EL TORNO,consulta externa,personas de 60 anos y mas,2009-01-01,512,484,48,41,560,525,1085
EL VILLAR,consulta externa,personas de 60 anos y mas,2009-01-01,46,75,1,2,47,77,124
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-01-01,46,27,3,3,49,30,79
ENTRE RIOS,consulta externa,personas de 60 anos y mas,2009-01-01,103,122,11,6,114,128,242
ESMERALDA,consulta externa,personas de 60 anos y mas,2009-01-01,5,4,0,0,5,4,9
EUCALIPTUS,consulta externa,personas de 60 anos y mas,2009-01-01,44,38,0,3,44,41,85
EUREKA (SANTOS MERCADO),consulta externa,personas de 60 anos y mas,2009-01-01,1,0,0,0,1,0,1
EXALTACION,consulta externa,personas de 60 anos y mas,2009-01-01,5,4,1,2,6,6,12
FERNANDEZ ALONSO,consulta externa,personas de 60 anos y mas,2009-01-01,37,66,2,3,39,69,108
FILADELFIA,consulta externa,personas de 60 anos y mas,2009-01-01,8,8,0,1,8,9,17
GENERAL SAAVEDRA,consulta externa,personas de 60 anos y mas,2009-01-01,50,43,11,13,61,56,117
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 60 anos y mas,2009-01-01,34,59,2,4,36,63,99
GUANAY,consulta externa,personas de 60 anos y mas,2009-01-01,62,29,8,5,70,34,104
GUAQUI,consulta externa,personas de 60 anos y mas,2009-01-01,29,42,3,8,32,50,82
GUAYARAMERIN,consulta externa,personas de 60 anos y mas,2009-01-01,645,546,281,191,926,737,1663
GUTIERREZ,consulta externa,personas de 60 anos y mas,2009-01-01,87,79,1,3,88,82,170
HUACARETA,consulta externa,personas de 60 anos y mas,2009-01-01,48,64,6,2,54,66,120
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 60 anos y mas,2009-01-01,24,58,0,0,24,58,82
HUACHACALLA,consulta externa,personas de 60 anos y mas,2009-01-01,52,39,2,0,54,39,93
HUANUNI,consulta externa,personas de 60 anos y mas,2009-01-01,217,186,175,190,392,376,768
HUARACAJE,consulta externa,personas de 60 anos y mas,2009-01-01,21,19,6,10,27,29,56
HUAYLLAMARCA,consulta externa,personas de 60 anos y mas,2009-01-01,32,28,2,1,34,29,63
ICHOCA,consulta externa,personas de 60 anos y mas,2009-01-01,10,14,0,1,10,15,25
ICLA,consulta externa,personas de 60 anos y mas,2009-01-01,30,67,1,2,31,69,100
INCAHUASI,consulta externa,personas de 60 anos y mas,2009-01-01,90,173,0,0,90,173,263
INGAVI (HUMAITA),consulta externa,personas de 60 anos y mas,2009-01-01,1,6,0,0,1,6,7
INQUISIVI,consulta externa,personas de 60 anos y mas,2009-01-01,45,32,1,2,46,34,80
IRUPANA (VILLA DE LANZA),consulta externa,personas de 60 anos y mas,2009-01-01,84,86,27,26,111,112,223
IXIAMAS,consulta externa,personas de 60 anos y mas,2009-01-01,11,8,0,0,11,8,19
JESUS DE MACHACA,consulta externa,personas de 60 anos y mas,2009-01-01,177,254,61,99,238,353,591
LA ASUNTA,consulta externa,personas de 60 anos y mas,2009-01-01,62,34,14,2,76,36,112
LA GUARDIA,consulta externa,personas de 60 anos y mas,2009-01-01,138,191,13,23,151,214,365
LA PAZ,consulta externa,personas de 60 anos y mas,2009-01-01,8733,10170,8213,11492,16946,21662,38608
LA RIVERA,consulta externa,personas de 60 anos y mas,2009-01-01,1,2,0,0,1,2,3
LAGUNILLAS,consulta externa,personas de 60 anos y mas,2009-01-01,25,36,1,5,26,41,67
LAJA,consulta externa,personas de 60 anos y mas,2009-01-01,50,52,10,16,60,68,128
LAS CARRERAS,consulta externa,personas de 60 anos y mas,2009-01-01,37,76,1,9,38,85,123
LICOMA PAMPA,consulta externa,personas de 60 anos y mas,2009-01-01,27,12,11,2,38,14,52
LLALLAGUA,consulta externa,personas de 60 anos y mas,2009-01-01,242,321,60,58,302,379,681
LLICA,consulta externa,personas de 60 anos y mas,2009-01-01,37,40,5,3,42,43,85
LORETO,consulta externa,personas de 60 anos y mas,2009-01-01,19,17,1,1,20,18,38
LURIBAY,consulta externa,personas de 60 anos y mas,2009-01-01,95,86,20,12,115,98,213
MACHACAMARCA,consulta externa,personas de 60 anos y mas,2009-01-01,29,60,50,45,79,105,184
MACHARETI,consulta externa,personas de 60 anos y mas,2009-01-01,66,75,2,5,68,80,148
MAGDALENA,consulta externa,personas de 60 anos y mas,2009-01-01,33,20,92,100,125,120,245
MAIRANA,consulta externa,personas de 60 anos y mas,2009-01-01,68,73,0,1,68,74,142
MALLA,consulta externa,personas de 60 anos y mas,2009-01-01,15,15,1,0,16,15,31
MAPIRI,consulta externa,personas de 60 anos y mas,2009-01-01,29,17,7,4,36,21,57
MECAPACA,consulta externa,personas de 60 anos y mas,2009-01-01,35,28,6,7,41,35,76
MINEROS,consulta externa,personas de 60 anos y mas,2009-01-01,19,34,0,1,19,35,54
MIZQUE,consulta externa,personas de 60 anos y mas,2009-01-01,42,53,28,10,70,63,133
MOCOMOCO,consulta externa,personas de 60 anos y mas,2009-01-01,55,82,9,12,64,94,158
MOJINETE,consulta externa,personas de 60 anos y mas,2009-01-01,4,9,1,3,5,12,17
MOJOCOYA,consulta externa,personas de 60 anos y mas,2009-01-01,37,54,18,9,55,63,118
MONTEAGUDO,consulta externa,personas de 60 anos y mas,2009-01-01,619,662,140,23,759,685,1444
MONTERO,consulta externa,personas de 60 anos y mas,2009-01-01,617,743,589,595,1206,1338,2544
MORO MORO,consulta externa,personas de 60 anos y mas,2009-01-01,12,33,0,0,12,33,45
MOROCHATA,consulta externa,personas de 60 anos y mas,2009-01-01,34,33,2,5,36,38,74
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 60 anos y mas,2009-01-01,17,8,0,1,17,9,26
NAZACARA DE PACAJES,consulta externa,personas de 60 anos y mas,2009-01-01,8,5,2,1,10,6,16
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 60 anos y mas,2009-01-01,2,1,0,0,2,1,3
OCURI,consulta externa,personas de 60 anos y mas,2009-01-01,52,58,5,2,57,60,117
OKINAWA,consulta externa,personas de 60 anos y mas,2009-01-01,119,78,6,6,125,84,209
OMEREQUE,consulta externa,personas de 60 anos y mas,2009-01-01,19,33,1,6,20,39,59
ORURO,consulta externa,personas de 60 anos y mas,2009-01-01,3273,3660,1372,1760,4645,5420,10065
PADCAYA,consulta externa,personas de 60 anos y mas,2009-01-01,48,71,5,8,53,79,132
PADILLA,consulta externa,personas de 60 anos y mas,2009-01-01,280,318,3,3,283,321,604
PAILON,consulta externa,personas de 60 anos y mas,2009-01-01,45,49,1,1,46,50,96
PALCA,consulta externa,personas de 60 anos y mas,2009-01-01,26,34,4,3,30,37,67
PALOS BLANCOS,consulta externa,personas de 60 anos y mas,2009-01-01,122,73,58,35,180,108,288
PAMPA AULLAGAS,consulta externa,personas de 60 anos y mas,2009-01-01,7,14,0,0,7,14,21
PAMPA GRANDE,consulta externa,personas de 60 anos y mas,2009-01-01,51,56,1,2,52,58,110
PAPEL PAMPA,consulta externa,personas de 60 anos y mas,2009-01-01,75,65,1,2,76,67,143
PASORAPA,consulta externa,personas de 60 anos y mas,2009-01-01,21,44,0,0,21,44,65
PATACAMAYA,consulta externa,personas de 60 anos y mas,2009-01-01,49,44,9,7,58,51,109
PAZÑA,consulta externa,personas de 60 anos y mas,2009-01-01,26,30,19,17,45,47,92
PELECHUCO,consulta externa,personas de 60 anos y mas,2009-01-01,28,22,0,1,28,23,51
POCOATA,consulta externa,personas de 60 anos y mas,2009-01-01,60,75,2,0,62,75,137
POCONA,consulta externa,personas de 60 anos y mas,2009-01-01,28,63,1,4,29,67,96
POJO (CBBA),consulta externa,personas de 60 anos y mas,2009-01-01,19,18,1,2,20,20,40
POOPO,consulta externa,personas de 60 anos y mas,2009-01-01,37,52,7,7,44,59,103
PORCO,consulta externa,personas de 60 anos y mas,2009-01-01,15,19,0,2,15,21,36
POROMA,consulta externa,personas de 60 anos y mas,2009-01-01,70,92,6,12,76,104,180
PORONGO,consulta externa,personas de 60 anos y mas,2009-01-01,36,30,6,2,42,32,74
PORTACHUELO,consulta externa,personas de 60 anos y mas,2009-01-01,206,193,53,48,259,241,500
PORVENIR,consulta externa,personas de 60 anos y mas,2009-01-01,20,8,4,2,24,10,34
POSTRER VALLE,consulta externa,personas de 60 anos y mas,2009-01-01,24,35,1,8,25,43,68
POTOSI,consulta externa,personas de 60 anos y mas,2009-01-01,2029,2545,996,1249,3025,3794,6819
PRESTO,consulta externa,personas de 60 anos y mas,2009-01-01,57,81,1,0,58,81,139
PUCARA,consulta externa,personas de 60 anos y mas,2009-01-01,24,41,1,0,25,41,66
PUCARANI,consulta externa,personas de 60 anos y mas,2009-01-01,43,37,5,18,48,55,103
PUERTO ACOSTA,consulta externa,personas de 60 anos y mas,2009-01-01,131,126,4,10,135,136,271
PUERTO CARABUCO,consulta externa,personas de 60 anos y mas,2009-01-01,37,53,8,10,45,63,108
PUERTO GONZALO MORENO,consulta externa,personas de 60 anos y mas,2009-01-01,42,17,3,0,45,17,62
PUERTO PEREZ,consulta externa,personas de 60 anos y mas,2009-01-01,20,34,4,3,24,37,61
PUERTO QUIJARRO,consulta externa,personas de 60 anos y mas,2009-01-01,88,47,11,11,99,58,157
PUERTO RICO,consulta externa,personas de 60 anos y mas,2009-01-01,35,35,1,1,36,36,72
PUERTO SUAREZ,consulta externa,personas de 60 anos y mas,2009-01-01,42,53,1,4,43,57,100
PUERTO VILLARROEL,consulta externa,personas de 60 anos y mas,2009-01-01,60,60,0,1,60,61,121
PUNA,consulta externa,personas de 60 anos y mas,2009-01-01,161,315,9,15,170,330,500
PUNATA,consulta externa,personas de 60 anos y mas,2009-01-01,171,264,31,70,202,334,536
QUIABAYA,consulta externa,personas de 60 anos y mas,2009-01-01,24,21,1,1,25,22,47
QUILLACOLLO,consulta externa,personas de 60 anos y mas,2009-01-01,592,781,392,499,984,1280,2264
QUIME,consulta externa,personas de 60 anos y mas,2009-01-01,23,19,1,2,24,21,45
QUIRUSILLAS,consulta externa,personas de 60 anos y mas,2009-01-01,18,30,2,13,20,43,63
RAVELO,consulta externa,personas de 60 anos y mas,2009-01-01,58,115,1,1,59,116,175
REYES,consulta externa,personas de 60 anos y mas,2009-01-01,114,145,65,69,179,214,393
RIBERALTA,consulta externa,personas de 60 anos y mas,2009-01-01,562,544,54,100,616,644,1260
ROBORE,consulta externa,personas de 60 anos y mas,2009-01-01,93,104,15,26,108,130,238
RURRENABAQUE,consulta externa,personas de 60 anos y mas,2009-01-01,195,148,113,91,308,239,547
SABAYA,consulta externa,personas de 60 anos y mas,2009-01-01,51,48,1,0,52,48,100
SACABA,consulta externa,personas de 60 anos y mas,2009-01-01,238,322,170,222,408,544,952
SACABAMBA,consulta externa,personas de 60 anos y mas,2009-01-01,25,45,4,10,29,55,84
SACACA,consulta externa,personas de 60 anos y mas,2009-01-01,40,55,0,1,40,56,96
SAIPINA,consulta externa,personas de 60 anos y mas,2009-01-01,9,19,1,1,10,20,30
SALINAS DE GARCI MENDOZA,consulta externa,personas de 60 anos y mas,2009-01-01,44,42,7,10,51,52,103
SAMAIPATA,consulta externa,personas de 60 anos y mas,2009-01-01,58,51,4,1,62,52,114
SAN AGUSTIN,consulta externa,personas de 60 anos y mas,2009-01-01,16,13,2,2,18,15,33
SAN ANDRES,consulta externa,personas de 60 anos y mas,2009-01-01,14,4,1,0,15,4,19
SAN ANDRES DE MACHACA,consulta externa,personas de 60 anos y mas,2009-01-01,70,101,6,11,76,112,188
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 60 anos y mas,2009-01-01,8,14,0,3,8,17,25
SAN ANTONIO DE LOMERIO,consulta externa,personas de 60 anos y mas,2009-01-01,40,37,1,0,41,37,78
SAN BENITO,consulta externa,personas de 60 anos y mas,2009-01-01,26,35,6,10,32,45,77
SAN BORJA,consulta externa,personas de 60 anos y mas,2009-01-01,164,150,87,112,251,262,513
SAN BUENA VENTURA,consulta externa,personas de 60 anos y mas,2009-01-01,53,61,13,14,66,75,141
SAN CARLOS,consulta externa,personas de 60 anos y mas,2009-01-01,127,151,6,10,133,161,294
SAN IGNACIO,consulta externa,personas de 60 anos y mas,2009-01-01,144,177,33,43,177,220,397
SAN IGNACIO DE VELASCO,consulta externa,personas de 60 anos y mas,2009-01-01,352,330,40,36,392,366,758
SAN JAVIER(BNI),consulta externa,personas de 60 anos y mas,2009-01-01,9,7,2,0,11,7,18
SAN JAVIER(STC),consulta externa,personas de 60 anos y mas,2009-01-01,42,55,7,8,49,63,112
SAN JOAQUIN,consulta externa,personas de 60 anos y mas,2009-01-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,consulta externa,personas de 60 anos y mas,2009-01-01,88,118,6,5,94,123,217
SAN JUAN DE YAPACANI,consulta externa,personas de 60 anos y mas,2009-01-01,77,49,15,26,92,75,167
SAN JULIAN,consulta externa,personas de 60 anos y mas,2009-01-01,110,73,12,5,122,78,200
SAN LORENZO(PND),consulta externa,personas de 60 anos y mas,2009-01-01,11,14,0,0,11,14,25
SAN LORENZO(TJA),consulta externa,personas de 60 anos y mas,2009-01-01,32,65,6,5,38,70,108
SAN LUCAS,consulta externa,personas de 60 anos y mas,2009-01-01,151,313,15,15,166,328,494
SAN MATIAS,consulta externa,personas de 60 anos y mas,2009-01-01,50,62,3,2,53,64,117
SAN MIGUEL DE VELASCO,consulta externa,personas de 60 anos y mas,2009-01-01,36,59,57,105,93,164,257
SAN PABLO DE LIPEZ,consulta externa,personas de 60 anos y mas,2009-01-01,25,50,6,8,31,58,89
SAN PEDRO,consulta externa,personas de 60 anos y mas,2009-01-01,176,134,15,14,191,148,339
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 60 anos y mas,2009-01-01,46,55,1,0,47,55,102
SAN PEDRO DE CURAHUARA,consulta externa,personas de 60 anos y mas,2009-01-01,10,18,4,0,14,18,32
SAN PEDRO DE QUEMES,consulta externa,personas de 60 anos y mas,2009-01-01,10,5,1,0,11,5,16
SAN PEDRO DE TIQUINA,consulta externa,personas de 60 anos y mas,2009-01-01,37,35,15,9,52,44,96
SAN PEDRO(PND),consulta externa,personas de 60 anos y mas,2009-01-01,8,17,0,0,8,17,25
SAN RAFAEL,consulta externa,personas de 60 anos y mas,2009-01-01,12,8,0,0,12,8,20
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-01-01,10,28,1,3,11,31,42
SAN RAMON,consulta externa,personas de 60 anos y mas,2009-01-01,119,102,20,50,139,152,291
SANTA ANA,consulta externa,personas de 60 anos y mas,2009-01-01,84,128,80,88,164,216,380
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 60 anos y mas,2009-01-01,8823,12083,2682,3948,11505,16031,27536
SANTA ROSA,consulta externa,personas de 60 anos y mas,2009-01-01,106,97,7,11,113,108,221
SANTA ROSA DEL SARA,consulta externa,personas de 60 anos y mas,2009-01-01,55,48,0,1,55,49,104
SANTIAGO DE CALLAPA,consulta externa,personas de 60 anos y mas,2009-01-01,14,10,2,0,16,10,26
SANTIAGO DE HUARI,consulta externa,personas de 60 anos y mas,2009-01-01,100,111,20,17,120,128,248
SANTIAGO DE MACHACA,consulta externa,personas de 60 anos y mas,2009-01-01,28,38,2,2,30,40,70
SANTIVAÑES,consulta externa,personas de 60 anos y mas,2009-01-01,20,63,3,11,23,74,97
SANTUARIO DE QUILLACAS,consulta externa,personas de 60 anos y mas,2009-01-01,15,10,0,0,15,10,25
SAPAHAQUI,consulta externa,personas de 60 anos y mas,2009-01-01,47,45,0,3,47,48,95
SENA,consulta externa,personas de 60 anos y mas,2009-01-01,9,4,2,0,11,4,15
SICA SICA (VILLA AROMA),consulta externa,personas de 60 anos y mas,2009-01-01,47,53,1,0,48,53,101
SICAYA,consulta externa,personas de 60 anos y mas,2009-01-01,5,6,3,6,8,12,20
SIPE SIPE,consulta externa,personas de 60 anos y mas,2009-01-01,16,31,1,4,17,35,52
SOPACHUY,consulta externa,personas de 60 anos y mas,2009-01-01,49,81,1,5,50,86,136
SORACACHI,consulta externa,personas de 60 anos y mas,2009-01-01,16,16,0,0,16,16,32
SORATA,consulta externa,personas de 60 anos y mas,2009-01-01,57,58,5,1,62,59,121
SUCRE,consulta externa,personas de 60 anos y mas,2009-01-01,2809,3562,1788,2236,4597,5798,10395
TACACHI,consulta externa,personas de 60 anos y mas,2009-01-01,1,9,1,1,2,10,12
TACACOMA,consulta externa,personas de 60 anos y mas,2009-01-01,34,27,0,2,34,29,63
TACOBAMBA,consulta externa,personas de 60 anos y mas,2009-01-01,23,41,0,3,23,44,67
TACOPAYA,consulta externa,personas de 60 anos y mas,2009-01-01,15,35,0,0,15,35,50
TAHUA,consulta externa,personas de 60 anos y mas,2009-01-01,11,9,1,1,12,10,22
TAPACARI,consulta externa,personas de 60 anos y mas,2009-01-01,120,63,0,4,120,67,187
TARABUCO,consulta externa,personas de 60 anos y mas,2009-01-01,140,191,5,23,145,214,359
TARACO,consulta externa,personas de 60 anos y mas,2009-01-01,59,28,2,4,61,32,93
TARATA,consulta externa,personas de 60 anos y mas,2009-01-01,17,21,5,2,22,23,45
TARIJA,consulta externa,personas de 60 anos y mas,2009-01-01,2533,2878,21446,1841,23979,4719,28698
TARVITA,consulta externa,personas de 60 anos y mas,2009-01-01,94,148,0,2,94,150,244
TEOPONTE,consulta externa,personas de 60 anos y mas,2009-01-01,72,39,25,14,97,53,150
TIAWANACU,consulta externa,personas de 60 anos y mas,2009-01-01,42,36,2,1,44,37,81
TINGUIPAYA,consulta externa,personas de 60 anos y mas,2009-01-01,48,76,0,0,48,76,124
TIPUANI,consulta externa,personas de 60 anos y mas,2009-01-01,16,12,43,45,59,57,116
TIQUIPAYA,consulta externa,personas de 60 anos y mas,2009-01-01,55,93,14,51,69,144,213
TIRAQUE (CBBA),consulta externa,personas de 60 anos y mas,2009-01-01,96,115,2,6,98,121,219
TITO YUPANQUI (PARQUIPUJIO),consulta externa,personas de 60 anos y mas,2009-01-01,14,20,5,4,19,24,43
