,group,variable,month,PERSONAS DE 10 A 20 AÑOS NUEVOS,PERSONAS DE 10 A 20 AÑOS NUEVOS,PERSONAS DE 10 A 20 AÑOS REPETIDOS,PERSONAS DE 10 A 20 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 10 a 20 anos,2009-01-01,50,138,5,1,55,139,194
AZURDUY,consulta externa,personas de 10 a 20 anos,2009-01-01,49,45,0,1,49,46,95
BATALLAS,consulta externa,personas de 10 a 20 anos,2009-01-01,24,43,1,2,25,45,70
BAURES,consulta externa,personas de 10 a 20 anos,2009-01-01,12,35,0,4,12,39,51
BELEN DE ANDAMARCA,consulta externa,personas de 10 a 20 anos,2009-01-01,5,4,0,0,5,4,9
BELEN DE URMIRI,consulta externa,personas de 10 a 20 anos,2009-01-01,4,8,0,0,4,8,12
BELLA FLOR,consulta externa,personas de 10 a 20 anos,2009-01-01,4,11,0,0,4,11,15
BERMEJO,consulta externa,personas de 10 a 20 anos,2009-01-01,522,715,78,46,600,761,1361
BETANZOS,consulta externa,personas de 10 a 20 anos,2009-01-01,171,189,6,3,177,192,369
BOLIVAR,consulta externa,personas de 10 a 20 anos,2009-01-01,13,18,0,1,13,19,32
BOLPEBRA,consulta externa,personas de 10 a 20 anos,2009-01-01,16,17,2,4,18,21,39
BOYUIBE,consulta externa,personas de 10 a 20 anos,2009-01-01,20,25,3,3,23,28,51
BUENA VISTA,consulta externa,personas de 10 a 20 anos,2009-01-01,118,119,6,6,124,125,249
CABEZAS,consulta externa,personas de 10 a 20 anos,2009-01-01,189,230,4,14,193,244,437
CAIROMA,consulta externa,personas de 10 a 20 anos,2009-01-01,43,83,2,4,45,87,132
"CAIZA ""D""",consulta externa,personas de 10 a 20 anos,2009-01-01,40,69,1,3,41,72,113
CAJUATA,consulta externa,personas de 10 a 20 anos,2009-01-01,50,89,7,9,57,98,155
CALACOTO,consulta externa,personas de 10 a 20 anos,2009-01-01,40,30,0,0,40,30,70
CALAMARCA,consulta externa,personas de 10 a 20 anos,2009-01-01,48,51,10,2,58,53,111
CAMARGO,consulta externa,personas de 10 a 20 anos,2009-01-01,94,145,0,4,94,149,243
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 10 a 20 anos,2009-01-01,11,21,0,0,11,21,32
CAMIRI,consulta externa,personas de 10 a 20 anos,2009-01-01,420,797,39,160,459,957,1416
CAPINOTA,consulta externa,personas de 10 a 20 anos,2009-01-01,73,91,25,24,98,115,213
CAQUIAVIRI,consulta externa,personas de 10 a 20 anos,2009-01-01,25,34,2,2,27,36,63
CARACOLLO,consulta externa,personas de 10 a 20 anos,2009-01-01,52,71,1,3,53,74,127
CARANAVI,consulta externa,personas de 10 a 20 anos,2009-01-01,233,348,2,5,235,353,588
CARANGAS,consulta externa,personas de 10 a 20 anos,2009-01-01,7,5,0,0,7,5,12
CARAPARI,consulta externa,personas de 10 a 20 anos,2009-01-01,284,309,2,1,286,310,596
CARIPUYO,consulta externa,personas de 10 a 20 anos,2009-01-01,15,30,0,0,15,30,45
CARMEN RIVERO TORREZ,consulta externa,personas de 10 a 20 anos,2009-01-01,14,21,0,0,14,21,35
CATACORA,consulta externa,personas de 10 a 20 anos,2009-01-01,3,2,0,0,3,2,5
CHALLAPATA,consulta externa,personas de 10 a 20 anos,2009-01-01,72,129,7,20,79,149,228
CHAQUI,consulta externa,personas de 10 a 20 anos,2009-01-01,25,30,0,1,25,31,56
CHARAGUA,consulta externa,personas de 10 a 20 anos,2009-01-01,76,120,5,5,81,125,206
CHARAÑA,consulta externa,personas de 10 a 20 anos,2009-01-01,16,18,0,0,16,18,34
CHAYANTA,consulta externa,personas de 10 a 20 anos,2009-01-01,49,77,2,1,51,78,129
CHIMORE,consulta externa,personas de 10 a 20 anos,2009-01-01,169,189,7,8,176,197,373
CHIPAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,7,7,0,0,7,7,14
CHOQUE COTA,consulta externa,personas de 10 a 20 anos,2009-01-01,12,28,0,0,12,28,40
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 10 a 20 anos,2009-01-01,77,99,17,4,94,103,197
CHUMA,consulta externa,personas de 10 a 20 anos,2009-01-01,58,48,4,0,62,48,110
CLIZA,consulta externa,personas de 10 a 20 anos,2009-01-01,46,67,1,5,47,72,119
COBIJA,consulta externa,personas de 10 a 20 anos,2009-01-01,292,489,19,167,311,656,967
COCHABAMBA,consulta externa,personas de 10 a 20 anos,2009-01-01,4495,6354,2709,3107,7204,9461,16665
COIPASA,consulta externa,personas de 10 a 20 anos,2009-01-01,4,5,0,1,4,6,10
COLCAPIRHUA,consulta externa,personas de 10 a 20 anos,2009-01-01,177,144,128,85,305,229,534
"COLCHA ""K""",consulta externa,personas de 10 a 20 anos,2009-01-01,57,77,1,3,58,80,138
COLLANA,consulta externa,personas de 10 a 20 anos,2009-01-01,10,12,0,1,10,13,23
COLOMI,consulta externa,personas de 10 a 20 anos,2009-01-01,40,60,2,0,42,60,102
COLPA BELGICA,consulta externa,personas de 10 a 20 anos,2009-01-01,157,138,57,36,214,174,388
COLQUECHACA,consulta externa,personas de 10 a 20 anos,2009-01-01,87,148,0,0,87,148,235
COLQUENCHA,consulta externa,personas de 10 a 20 anos,2009-01-01,48,85,5,3,53,88,141
COLQUIRI,consulta externa,personas de 10 a 20 anos,2009-01-01,43,62,0,2,43,64,107
COMANCHE,consulta externa,personas de 10 a 20 anos,2009-01-01,12,19,0,1,12,20,32
COMARAPA,consulta externa,personas de 10 a 20 anos,2009-01-01,111,138,14,12,125,150,275
COMBAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,7,10,0,0,7,10,17
CONCEPCION,consulta externa,personas de 10 a 20 anos,2009-01-01,28,70,3,30,31,100,131
COPACABANA,consulta externa,personas de 10 a 20 anos,2009-01-01,125,180,10,9,135,189,324
CORIPATA,consulta externa,personas de 10 a 20 anos,2009-01-01,53,78,5,2,58,80,138
CORO CORO,consulta externa,personas de 10 a 20 anos,2009-01-01,29,21,1,2,30,23,53
COROICO,consulta externa,personas de 10 a 20 anos,2009-01-01,59,76,10,20,69,96,165
CORQUE,consulta externa,personas de 10 a 20 anos,2009-01-01,29,34,4,3,33,37,70
COTAGAITA,consulta externa,personas de 10 a 20 anos,2009-01-01,202,274,10,20,212,294,506
COTOCA,consulta externa,personas de 10 a 20 anos,2009-01-01,175,212,8,15,183,227,410
CUATRO CAÑADAS,consulta externa,personas de 10 a 20 anos,2009-01-01,106,195,5,9,111,204,315
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 10 a 20 anos,2009-01-01,5,5,0,0,5,5,10
CUEVO,consulta externa,personas de 10 a 20 anos,2009-01-01,47,59,1,3,48,62,110
CULPINA,consulta externa,personas de 10 a 20 anos,2009-01-01,67,116,0,0,67,116,183
CURAHUARA DE CARANGAS,consulta externa,personas de 10 a 20 anos,2009-01-01,15,51,2,1,17,52,69
CURVA,consulta externa,personas de 10 a 20 anos,2009-01-01,6,8,0,0,6,8,14
DESAGUADERO,consulta externa,personas de 10 a 20 anos,2009-01-01,13,21,0,8,13,29,42
EL ALTO,consulta externa,personas de 10 a 20 anos,2009-01-01,4036,5992,1949,2036,5985,8028,14013
EL CHORO,consulta externa,personas de 10 a 20 anos,2009-01-01,13,23,0,0,13,23,36
EL PUENTE(STC),consulta externa,personas de 10 a 20 anos,2009-01-01,44,87,1,0,45,87,132
EL PUENTE(TJA),consulta externa,personas de 10 a 20 anos,2009-01-01,116,274,1,18,117,292,409
EL TORNO,consulta externa,personas de 10 a 20 anos,2009-01-01,530,746,37,62,567,808,1375
EL VILLAR,consulta externa,personas de 10 a 20 anos,2009-01-01,31,39,1,0,32,39,71
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2009-01-01,200,219,9,15,209,234,443
ENTRE RIOS,consulta externa,personas de 10 a 20 anos,2009-01-01,311,443,4,7,315,450,765
ESMERALDA,consulta externa,personas de 10 a 20 anos,2009-01-01,3,1,0,0,3,1,4
EUCALIPTUS,consulta externa,personas de 10 a 20 anos,2009-01-01,11,22,3,1,14,23,37
EUREKA (SANTOS MERCADO),consulta externa,personas de 10 a 20 anos,2009-01-01,7,7,0,0,7,7,14
EXALTACION,consulta externa,personas de 10 a 20 anos,2009-01-01,11,13,2,2,13,15,28
FERNANDEZ ALONSO,consulta externa,personas de 10 a 20 anos,2009-01-01,97,137,11,8,108,145,253
FILADELFIA,consulta externa,personas de 10 a 20 anos,2009-01-01,44,50,0,1,44,51,95
GENERAL SAAVEDRA,consulta externa,personas de 10 a 20 anos,2009-01-01,142,140,2,0,144,140,284
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 10 a 20 anos,2009-01-01,34,60,0,2,34,62,96
GUANAY,consulta externa,personas de 10 a 20 anos,2009-01-01,18,50,0,0,18,50,68
GUAQUI,consulta externa,personas de 10 a 20 anos,2009-01-01,6,14,0,1,6,15,21
GUAYARAMERIN,consulta externa,personas de 10 a 20 anos,2009-01-01,588,1129,296,386,884,1515,2399
GUTIERREZ,consulta externa,personas de 10 a 20 anos,2009-01-01,60,100,1,3,61,103,164
HUACARETA,consulta externa,personas de 10 a 20 anos,2009-01-01,73,81,8,4,81,85,166
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 10 a 20 anos,2009-01-01,26,28,0,0,26,28,54
HUACHACALLA,consulta externa,personas de 10 a 20 anos,2009-01-01,37,21,1,0,38,21,59
HUANUNI,consulta externa,personas de 10 a 20 anos,2009-01-01,244,303,227,237,471,540,1011
HUARACAJE,consulta externa,personas de 10 a 20 anos,2009-01-01,27,63,0,4,27,67,94
HUAYLLAMARCA,consulta externa,personas de 10 a 20 anos,2009-01-01,4,7,0,0,4,7,11
ICHOCA,consulta externa,personas de 10 a 20 anos,2009-01-01,12,12,0,0,12,12,24
ICLA,consulta externa,personas de 10 a 20 anos,2009-01-01,30,74,0,1,30,75,105
INCAHUASI,consulta externa,personas de 10 a 20 anos,2009-01-01,48,133,0,1,48,134,182
INGAVI (HUMAITA),consulta externa,personas de 10 a 20 anos,2009-01-01,2,10,0,0,2,10,12
INQUISIVI,consulta externa,personas de 10 a 20 anos,2009-01-01,25,47,2,1,27,48,75
IRUPANA (VILLA DE LANZA),consulta externa,personas de 10 a 20 anos,2009-01-01,78,141,2,4,80,145,225
IXIAMAS,consulta externa,personas de 10 a 20 anos,2009-01-01,35,35,0,0,35,35,70
JESUS DE MACHACA,consulta externa,personas de 10 a 20 anos,2009-01-01,38,76,3,7,41,83,124
LA ASUNTA,consulta externa,personas de 10 a 20 anos,2009-01-01,161,224,2,2,163,226,389
LA GUARDIA,consulta externa,personas de 10 a 20 anos,2009-01-01,343,403,44,29,387,432,819
LA PAZ,consulta externa,personas de 10 a 20 anos,2009-01-01,6638,8194,3487,4357,10125,12551,22676
LA RIVERA,consulta externa,personas de 10 a 20 anos,2009-01-01,3,1,0,0,3,1,4
LAGUNILLAS,consulta externa,personas de 10 a 20 anos,2009-01-01,38,69,2,1,40,70,110
LAJA,consulta externa,personas de 10 a 20 anos,2009-01-01,38,51,5,1,43,52,95
LAS CARRERAS,consulta externa,personas de 10 a 20 anos,2009-01-01,41,56,9,2,50,58,108
LICOMA PAMPA,consulta externa,personas de 10 a 20 anos,2009-01-01,22,17,2,1,24,18,42
LLALLAGUA,consulta externa,personas de 10 a 20 anos,2009-01-01,164,167,12,19,176,186,362
LLICA,consulta externa,personas de 10 a 20 anos,2009-01-01,30,24,1,0,31,24,55
LORETO,consulta externa,personas de 10 a 20 anos,2009-01-01,33,38,2,1,35,39,74
LURIBAY,consulta externa,personas de 10 a 20 anos,2009-01-01,56,64,3,0,59,64,123
MACHACAMARCA,consulta externa,personas de 10 a 20 anos,2009-01-01,19,23,6,5,25,28,53
MACHARETI,consulta externa,personas de 10 a 20 anos,2009-01-01,67,115,3,2,70,117,187
MAGDALENA,consulta externa,personas de 10 a 20 anos,2009-01-01,64,101,10,23,74,124,198
MAIRANA,consulta externa,personas de 10 a 20 anos,2009-01-01,45,72,5,6,50,78,128
MALLA,consulta externa,personas de 10 a 20 anos,2009-01-01,36,42,1,0,37,42,79
MAPIRI,consulta externa,personas de 10 a 20 anos,2009-01-01,43,95,2,3,45,98,143
MECAPACA,consulta externa,personas de 10 a 20 anos,2009-01-01,49,51,12,2,61,53,114
MINEROS,consulta externa,personas de 10 a 20 anos,2009-01-01,86,125,0,3,86,128,214
MIZQUE,consulta externa,personas de 10 a 20 anos,2009-01-01,50,60,1,11,51,71,122
MOCOMOCO,consulta externa,personas de 10 a 20 anos,2009-01-01,37,52,1,0,38,52,90
MOJINETE,consulta externa,personas de 10 a 20 anos,2009-01-01,2,10,0,0,2,10,12
MOJOCOYA,consulta externa,personas de 10 a 20 anos,2009-01-01,26,45,3,5,29,50,79
MONTEAGUDO,consulta externa,personas de 10 a 20 anos,2009-01-01,418,657,55,35,473,692,1165
MONTERO,consulta externa,personas de 10 a 20 anos,2009-01-01,711,1254,79,179,790,1433,2223
MORO MORO,consulta externa,personas de 10 a 20 anos,2009-01-01,7,6,0,0,7,6,13
MOROCHATA,consulta externa,personas de 10 a 20 anos,2009-01-01,33,36,3,3,36,39,75
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 10 a 20 anos,2009-01-01,158,72,0,1,158,73,231
NAZACARA DE PACAJES,consulta externa,personas de 10 a 20 anos,2009-01-01,4,3,0,0,4,3,7
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 10 a 20 anos,2009-01-01,39,7,2,0,41,7,48
OCURI,consulta externa,personas de 10 a 20 anos,2009-01-01,32,80,0,3,32,83,115
OKINAWA,consulta externa,personas de 10 a 20 anos,2009-01-01,112,197,6,10,118,207,325
OMEREQUE,consulta externa,personas de 10 a 20 anos,2009-01-01,24,29,2,0,26,29,55
ORURO,consulta externa,personas de 10 a 20 anos,2009-01-01,1879,2579,399,597,2278,3176,5454
PADCAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,304,398,3,7,307,405,712
PADILLA,consulta externa,personas de 10 a 20 anos,2009-01-01,78,149,1,5,79,154,233
PAILON,consulta externa,personas de 10 a 20 anos,2009-01-01,107,156,5,9,112,165,277
PALCA,consulta externa,personas de 10 a 20 anos,2009-01-01,28,26,8,0,36,26,62
PALOS BLANCOS,consulta externa,personas de 10 a 20 anos,2009-01-01,164,152,9,20,173,172,345
PAMPA AULLAGAS,consulta externa,personas de 10 a 20 anos,2009-01-01,29,21,1,0,30,21,51
PAMPA GRANDE,consulta externa,personas de 10 a 20 anos,2009-01-01,67,59,5,0,72,59,131
PAPEL PAMPA,consulta externa,personas de 10 a 20 anos,2009-01-01,25,35,0,0,25,35,60
PASORAPA,consulta externa,personas de 10 a 20 anos,2009-01-01,19,41,0,0,19,41,60
PATACAMAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,40,55,1,2,41,57,98
PAZÑA,consulta externa,personas de 10 a 20 anos,2009-01-01,60,63,25,13,85,76,161
PELECHUCO,consulta externa,personas de 10 a 20 anos,2009-01-01,39,50,0,1,39,51,90
POCOATA,consulta externa,personas de 10 a 20 anos,2009-01-01,24,78,0,1,24,79,103
POCONA,consulta externa,personas de 10 a 20 anos,2009-01-01,50,75,1,0,51,75,126
POJO (CBBA),consulta externa,personas de 10 a 20 anos,2009-01-01,14,15,2,2,16,17,33
POOPO,consulta externa,personas de 10 a 20 anos,2009-01-01,17,22,0,0,17,22,39
PORCO,consulta externa,personas de 10 a 20 anos,2009-01-01,26,48,0,0,26,48,74
POROMA,consulta externa,personas de 10 a 20 anos,2009-01-01,28,76,1,2,29,78,107
PORONGO,consulta externa,personas de 10 a 20 anos,2009-01-01,93,115,3,1,96,116,212
PORTACHUELO,consulta externa,personas de 10 a 20 anos,2009-01-01,176,248,4,8,180,256,436
PORVENIR,consulta externa,personas de 10 a 20 anos,2009-01-01,89,59,2,6,91,65,156
POSTRER VALLE,consulta externa,personas de 10 a 20 anos,2009-01-01,9,6,1,0,10,6,16
POTOSI,consulta externa,personas de 10 a 20 anos,2009-01-01,1820,1114,719,1457,2539,2571,5110
PRESTO,consulta externa,personas de 10 a 20 anos,2009-01-01,18,51,0,0,18,51,69
PUCARA,consulta externa,personas de 10 a 20 anos,2009-01-01,10,12,0,0,10,12,22
PUCARANI,consulta externa,personas de 10 a 20 anos,2009-01-01,36,64,2,6,38,70,108
PUERTO ACOSTA,consulta externa,personas de 10 a 20 anos,2009-01-01,73,50,4,0,77,50,127
PUERTO CARABUCO,consulta externa,personas de 10 a 20 anos,2009-01-01,63,36,7,0,70,36,106
PUERTO GONZALO MORENO,consulta externa,personas de 10 a 20 anos,2009-01-01,64,67,1,1,65,68,133
PUERTO PEREZ,consulta externa,personas de 10 a 20 anos,2009-01-01,12,10,1,0,13,10,23
PUERTO QUIJARRO,consulta externa,personas de 10 a 20 anos,2009-01-01,264,206,24,27,288,233,521
PUERTO RICO,consulta externa,personas de 10 a 20 anos,2009-01-01,129,92,1,1,130,93,223
PUERTO SILES,consulta externa,personas de 10 a 20 anos,2009-01-01,9,8,0,0,9,8,17
PUERTO SUAREZ,consulta externa,personas de 10 a 20 anos,2009-01-01,83,119,10,19,93,138,231
PUERTO VILLARROEL,consulta externa,personas de 10 a 20 anos,2009-01-01,331,506,13,121,344,627,971
PUNA,consulta externa,personas de 10 a 20 anos,2009-01-01,132,174,6,5,138,179,317
PUNATA,consulta externa,personas de 10 a 20 anos,2009-01-01,123,248,8,20,131,268,399
QUIABAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,7,8,0,0,7,8,15
QUILLACOLLO,consulta externa,personas de 10 a 20 anos,2009-01-01,313,404,138,173,451,577,1028
QUIME,consulta externa,personas de 10 a 20 anos,2009-01-01,36,57,0,1,36,58,94
QUIRUSILLAS,consulta externa,personas de 10 a 20 anos,2009-01-01,8,21,1,0,9,21,30
RAVELO,consulta externa,personas de 10 a 20 anos,2009-01-01,31,33,1,0,32,33,65
REYES,consulta externa,personas de 10 a 20 anos,2009-01-01,47,85,10,15,57,100,157
RIBERALTA,consulta externa,personas de 10 a 20 anos,2009-01-01,593,1271,49,157,642,1428,2070
ROBORE,consulta externa,personas de 10 a 20 anos,2009-01-01,110,243,17,15,127,258,385
RURRENABAQUE,consulta externa,personas de 10 a 20 anos,2009-01-01,108,142,17,26,125,168,293
SABAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,13,22,0,1,13,23,36
SACABA,consulta externa,personas de 10 a 20 anos,2009-01-01,329,593,92,162,421,755,1176
SACABAMBA,consulta externa,personas de 10 a 20 anos,2009-01-01,10,9,1,1,11,10,21
SACACA,consulta externa,personas de 10 a 20 anos,2009-01-01,52,81,0,0,52,81,133
SAIPINA,consulta externa,personas de 10 a 20 anos,2009-01-01,19,48,0,0,19,48,67
SALINAS DE GARCI MENDOZA,consulta externa,personas de 10 a 20 anos,2009-01-01,21,41,0,1,21,42,63
SAMAIPATA,consulta externa,personas de 10 a 20 anos,2009-01-01,46,55,2,2,48,57,105
SAN AGUSTIN,consulta externa,personas de 10 a 20 anos,2009-01-01,8,10,0,1,8,11,19
SAN ANDRES,consulta externa,personas de 10 a 20 anos,2009-01-01,110,142,3,2,113,144,257
SAN ANDRES DE MACHACA,consulta externa,personas de 10 a 20 anos,2009-01-01,17,26,0,0,17,26,43
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 10 a 20 anos,2009-01-01,3,12,0,0,3,12,15
SAN ANTONIO DE LOMERIO,consulta externa,personas de 10 a 20 anos,2009-01-01,30,32,0,2,30,34,64
SAN BENITO,consulta externa,personas de 10 a 20 anos,2009-01-01,43,63,7,15,50,78,128
SAN BORJA,consulta externa,personas de 10 a 20 anos,2009-01-01,155,287,18,48,173,335,508
SAN BUENA VENTURA,consulta externa,personas de 10 a 20 anos,2009-01-01,86,111,4,5,90,116,206
SAN CARLOS,consulta externa,personas de 10 a 20 anos,2009-01-01,82,176,2,10,84,186,270
SAN IGNACIO,consulta externa,personas de 10 a 20 anos,2009-01-01,288,454,19,20,307,474,781
SAN IGNACIO DE VELASCO,consulta externa,personas de 10 a 20 anos,2009-01-01,338,513,28,67,366,580,946
SAN JAVIER(BNI),consulta externa,personas de 10 a 20 anos,2009-01-01,49,61,6,5,55,66,121
SAN JAVIER(STC),consulta externa,personas de 10 a 20 anos,2009-01-01,74,64,7,10,81,74,155
SAN JOAQUIN,consulta externa,personas de 10 a 20 anos,2009-01-01,21,21,1,2,22,23,45
SAN JOSE DE CHIQUITOS,consulta externa,personas de 10 a 20 anos,2009-01-01,153,222,5,22,158,244,402
SAN JUAN DE YAPACANI,consulta externa,personas de 10 a 20 anos,2009-01-01,148,119,9,10,157,129,286
SAN JULIAN,consulta externa,personas de 10 a 20 anos,2009-01-01,216,282,14,45,230,327,557
SAN LORENZO(PND),consulta externa,personas de 10 a 20 anos,2009-01-01,25,46,0,0,25,46,71
SAN LORENZO(TJA),consulta externa,personas de 10 a 20 anos,2009-01-01,177,355,5,5,182,360,542
SAN LUCAS,consulta externa,personas de 10 a 20 anos,2009-01-01,112,241,1,0,113,241,354
SAN MATIAS,consulta externa,personas de 10 a 20 anos,2009-01-01,53,62,4,5,57,67,124
SAN MIGUEL DE VELASCO,consulta externa,personas de 10 a 20 anos,2009-01-01,69,87,14,13,83,100,183
SAN PABLO DE LIPEZ,consulta externa,personas de 10 a 20 anos,2009-01-01,40,68,1,2,41,70,111
SAN PEDRO,consulta externa,personas de 10 a 20 anos,2009-01-01,354,420,22,36,376,456,832
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 10 a 20 anos,2009-01-01,30,56,0,0,30,56,86
SAN PEDRO DE CURAHUARA,consulta externa,personas de 10 a 20 anos,2009-01-01,43,63,1,0,44,63,107
SAN PEDRO DE QUEMES,consulta externa,personas de 10 a 20 anos,2009-01-01,3,4,0,0,3,4,7
SAN PEDRO DE TIQUINA,consulta externa,personas de 10 a 20 anos,2009-01-01,20,16,3,1,23,17,40
SAN PEDRO(PND),consulta externa,personas de 10 a 20 anos,2009-01-01,8,11,1,1,9,12,21
SAN RAFAEL,consulta externa,personas de 10 a 20 anos,2009-01-01,58,69,3,1,61,70,131
SAN RAMON,consulta externa,personas de 10 a 20 anos,2009-01-01,57,98,8,63,65,161,226
SAN RAMON,consulta externa,personas de 10 a 20 anos,2009-01-01,51,85,11,3,62,88,150
SANTA ANA,consulta externa,personas de 10 a 20 anos,2009-01-01,46,91,14,39,60,130,190
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 10 a 20 anos,2009-01-01,10310,14443,2233,3533,12543,17976,30519
SANTA ROSA,consulta externa,personas de 10 a 20 anos,2009-01-01,81,124,0,0,81,124,205
SANTA ROSA DEL SARA,consulta externa,personas de 10 a 20 anos,2009-01-01,110,144,1,3,111,147,258
SANTIAGO DE CALLAPA,consulta externa,personas de 10 a 20 anos,2009-01-01,9,13,1,0,10,13,23
SANTIAGO DE HUARI,consulta externa,personas de 10 a 20 anos,2009-01-01,43,54,2,5,45,59,104
SANTIAGO DE MACHACA,consulta externa,personas de 10 a 20 anos,2009-01-01,6,15,0,0,6,15,21
SANTIVAÑES,consulta externa,personas de 10 a 20 anos,2009-01-01,41,32,2,2,43,34,77
SANTUARIO DE QUILLACAS,consulta externa,personas de 10 a 20 anos,2009-01-01,13,9,1,0,14,9,23
SAPAHAQUI,consulta externa,personas de 10 a 20 anos,2009-01-01,48,63,0,0,48,63,111
SENA,consulta externa,personas de 10 a 20 anos,2009-01-01,32,30,5,9,37,39,76
SICA SICA (VILLA AROMA),consulta externa,personas de 10 a 20 anos,2009-01-01,38,59,1,0,39,59,98
SICAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,5,7,1,1,6,8,14
SIPE SIPE,consulta externa,personas de 10 a 20 anos,2009-01-01,33,35,23,15,56,50,106
SOPACHUY,consulta externa,personas de 10 a 20 anos,2009-01-01,35,51,0,4,35,55,90
SORACACHI,consulta externa,personas de 10 a 20 anos,2009-01-01,14,28,0,1,14,29,43
SORATA,consulta externa,personas de 10 a 20 anos,2009-01-01,52,66,4,2,56,68,124
SUCRE,consulta externa,personas de 10 a 20 anos,2009-01-01,2471,3871,750,1184,3221,5055,8276
TACACHI,consulta externa,personas de 10 a 20 anos,2009-01-01,0,9,0,0,0,9,9
TACACOMA,consulta externa,personas de 10 a 20 anos,2009-01-01,14,30,0,1,14,31,45
TACOBAMBA,consulta externa,personas de 10 a 20 anos,2009-01-01,18,35,2,0,20,35,55
TACOPAYA,consulta externa,personas de 10 a 20 anos,2009-01-01,11,34,0,0,11,34,45
TAHUA,consulta externa,personas de 10 a 20 anos,2009-01-01,7,9,0,0,7,9,16
TAPACARI,consulta externa,personas de 10 a 20 anos,2009-01-01,33,69,1,2,34,71,105
TARABUCO,consulta externa,personas de 10 a 20 anos,2009-01-01,36,64,2,3,38,67,105
TARACO,consulta externa,personas de 10 a 20 anos,2009-01-01,7,12,0,0,7,12,19
TARATA,consulta externa,personas de 10 a 20 anos,2009-01-01,21,21,0,0,21,21,42
TARIJA,consulta externa,personas de 10 a 20 anos,2009-01-01,2061,3708,604,1011,2665,4719,7384
TARVITA,consulta externa,personas de 10 a 20 anos,2009-01-01,51,88,0,3,51,91,142
TEOPONTE,consulta externa,personas de 10 a 20 anos,2009-01-01,33,30,1,1,34,31,65
