,group,variable,month,PERSONAS DE 21 A 59 AÑOS NUEVOS,PERSONAS DE 21 A 59 AÑOS NUEVOS,PERSONAS DE 21 A 59 AÑOS REPETIDOS,PERSONAS DE 21 A 59 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 21 a 59 anos,2009-01-01,226,378,5,16,231,394,625
AZURDUY,consulta externa,personas de 21 a 59 anos,2009-01-01,119,269,5,9,124,278,402
BATALLAS,consulta externa,personas de 21 a 59 anos,2009-01-01,44,141,5,5,49,146,195
BAURES,consulta externa,personas de 21 a 59 anos,2009-01-01,56,86,18,22,74,108,182
BELEN DE ANDAMARCA,consulta externa,personas de 21 a 59 anos,2009-01-01,14,25,1,1,15,26,41
BELEN DE URMIRI,consulta externa,personas de 21 a 59 anos,2009-01-01,38,44,2,1,40,45,85
BELLA FLOR,consulta externa,personas de 21 a 59 anos,2009-01-01,16,19,0,0,16,19,35
BERMEJO,consulta externa,personas de 21 a 59 anos,2009-01-01,1127,2176,107,189,1234,2365,3599
BETANZOS,consulta externa,personas de 21 a 59 anos,2009-01-01,361,722,27,51,388,773,1161
BOLIVAR,consulta externa,personas de 21 a 59 anos,2009-01-01,22,75,0,1,22,76,98
BOLPEBRA,consulta externa,personas de 21 a 59 anos,2009-01-01,35,32,8,6,43,38,81
BOYUIBE,consulta externa,personas de 21 a 59 anos,2009-01-01,38,78,6,5,44,83,127
BUENA VISTA,consulta externa,personas de 21 a 59 anos,2009-01-01,203,282,17,28,220,310,530
CABEZAS,consulta externa,personas de 21 a 59 anos,2009-01-01,397,462,10,17,407,479,886
CAIROMA,consulta externa,personas de 21 a 59 anos,2009-01-01,188,244,9,5,197,249,446
"CAIZA ""D""",consulta externa,personas de 21 a 59 anos,2009-01-01,123,239,3,10,126,249,375
CAJUATA,consulta externa,personas de 21 a 59 anos,2009-01-01,141,187,6,27,147,214,361
CALACOTO,consulta externa,personas de 21 a 59 anos,2009-01-01,52,62,0,3,52,65,117
CALAMARCA,consulta externa,personas de 21 a 59 anos,2009-01-01,81,203,15,42,96,245,341
CAMARGO,consulta externa,personas de 21 a 59 anos,2009-01-01,323,671,2,16,325,687,1012
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 21 a 59 anos,2009-01-01,39,88,3,3,42,91,133
CAMIRI,consulta externa,personas de 21 a 59 anos,2009-01-01,676,1798,58,426,734,2224,2958
CAPINOTA,consulta externa,personas de 21 a 59 anos,2009-01-01,140,283,38,105,178,388,566
CAQUIAVIRI,consulta externa,personas de 21 a 59 anos,2009-01-01,56,81,1,1,57,82,139
CARACOLLO,consulta externa,personas de 21 a 59 anos,2009-01-01,96,228,6,29,102,257,359
CARANAVI,consulta externa,personas de 21 a 59 anos,2009-01-01,560,814,25,26,585,840,1425
CARANGAS,consulta externa,personas de 21 a 59 anos,2009-01-01,12,14,0,0,12,14,26
CARAPARI,consulta externa,personas de 21 a 59 anos,2009-01-01,472,832,2,28,474,860,1334
CARIPUYO,consulta externa,personas de 21 a 59 anos,2009-01-01,31,95,2,2,33,97,130
CARMEN RIVERO TORREZ,consulta externa,personas de 21 a 59 anos,2009-01-01,45,51,2,3,47,54,101
CATACORA,consulta externa,personas de 21 a 59 anos,2009-01-01,10,18,1,2,11,20,31
CHALLAPATA,consulta externa,personas de 21 a 59 anos,2009-01-01,416,742,90,86,506,828,1334
CHAQUI,consulta externa,personas de 21 a 59 anos,2009-01-01,62,117,0,2,62,119,181
CHARAGUA,consulta externa,personas de 21 a 59 anos,2009-01-01,192,406,8,26,200,432,632
CHARAÑA,consulta externa,personas de 21 a 59 anos,2009-01-01,28,43,1,0,29,43,72
CHAYANTA,consulta externa,personas de 21 a 59 anos,2009-01-01,163,365,15,25,178,390,568
CHIMORE,consulta externa,personas de 21 a 59 anos,2009-01-01,244,366,10,17,254,383,637
CHIPAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,10,12,0,1,10,13,23
CHOQUE COTA,consulta externa,personas de 21 a 59 anos,2009-01-01,34,53,1,1,35,54,89
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 21 a 59 anos,2009-01-01,172,230,16,25,188,255,443
CHUMA,consulta externa,personas de 21 a 59 anos,2009-01-01,107,157,5,2,112,159,271
CLIZA,consulta externa,personas de 21 a 59 anos,2009-01-01,79,140,7,20,86,160,246
COBIJA,consulta externa,personas de 21 a 59 anos,2009-01-01,1009,1618,447,729,1456,2347,3803
COCHABAMBA,consulta externa,personas de 21 a 59 anos,2009-01-01,12073,24690,8609,17840,20682,42530,63212
COIPASA,consulta externa,personas de 21 a 59 anos,2009-01-01,22,26,2,2,24,28,52
COLCAPIRHUA,consulta externa,personas de 21 a 59 anos,2009-01-01,415,448,450,390,865,838,1703
"COLCHA ""K""",consulta externa,personas de 21 a 59 anos,2009-01-01,138,290,4,1,142,291,433
COLLANA,consulta externa,personas de 21 a 59 anos,2009-01-01,34,39,8,8,42,47,89
COLOMI,consulta externa,personas de 21 a 59 anos,2009-01-01,73,133,4,4,77,137,214
COLPA BELGICA,consulta externa,personas de 21 a 59 anos,2009-01-01,258,179,25,51,283,230,513
COLQUECHACA,consulta externa,personas de 21 a 59 anos,2009-01-01,190,534,0,0,190,534,724
COLQUENCHA,consulta externa,personas de 21 a 59 anos,2009-01-01,75,180,5,19,80,199,279
COLQUIRI,consulta externa,personas de 21 a 59 anos,2009-01-01,132,270,5,10,137,280,417
COMANCHE,consulta externa,personas de 21 a 59 anos,2009-01-01,13,45,0,4,13,49,62
COMARAPA,consulta externa,personas de 21 a 59 anos,2009-01-01,182,415,10,21,192,436,628
COMBAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,23,52,2,3,25,55,80
CONCEPCION,consulta externa,personas de 21 a 59 anos,2009-01-01,96,181,5,78,101,259,360
COPACABANA,consulta externa,personas de 21 a 59 anos,2009-01-01,28,39,12,3,40,42,82
CORIPATA,consulta externa,personas de 21 a 59 anos,2009-01-01,88,198,15,5,103,203,306
CORO CORO,consulta externa,personas de 21 a 59 anos,2009-01-01,44,116,1,1,45,117,162
COROICO,consulta externa,personas de 21 a 59 anos,2009-01-01,145,259,52,58,197,317,514
CORQUE,consulta externa,personas de 21 a 59 anos,2009-01-01,88,147,7,17,95,164,259
COTAGAITA,consulta externa,personas de 21 a 59 anos,2009-01-01,724,1072,118,94,842,1166,2008
COTOCA,consulta externa,personas de 21 a 59 anos,2009-01-01,268,777,13,25,281,802,1083
CUATRO CAÑADAS,consulta externa,personas de 21 a 59 anos,2009-01-01,203,393,8,11,211,404,615
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 21 a 59 anos,2009-01-01,6,36,0,0,6,36,42
CUEVO,consulta externa,personas de 21 a 59 anos,2009-01-01,102,143,4,7,106,150,256
CULPINA,consulta externa,personas de 21 a 59 anos,2009-01-01,167,464,1,4,168,468,636
CURAHUARA DE CARANGAS,consulta externa,personas de 21 a 59 anos,2009-01-01,70,130,5,3,75,133,208
CURVA,consulta externa,personas de 21 a 59 anos,2009-01-01,15,42,1,1,16,43,59
DESAGUADERO,consulta externa,personas de 21 a 59 anos,2009-01-01,29,57,0,1,29,58,87
EL ALTO,consulta externa,personas de 21 a 59 anos,2009-01-01,6216,15460,3426,8809,9642,24269,33911
EL CHORO,consulta externa,personas de 21 a 59 anos,2009-01-01,34,94,0,2,34,96,130
EL PUENTE(STC),consulta externa,personas de 21 a 59 anos,2009-01-01,134,221,0,7,134,228,362
EL PUENTE(TJA),consulta externa,personas de 21 a 59 anos,2009-01-01,263,736,2,55,265,791,1056
EL TORNO,consulta externa,personas de 21 a 59 anos,2009-01-01,1185,2054,140,197,1325,2251,3576
EL VILLAR,consulta externa,personas de 21 a 59 anos,2009-01-01,107,235,1,4,108,239,347
ENTRE RIOS,consulta externa,personas de 21 a 59 anos,2009-01-01,360,426,9,18,369,444,813
ENTRE RIOS,consulta externa,personas de 21 a 59 anos,2009-01-01,700,1128,27,24,727,1152,1879
ESMERALDA,consulta externa,personas de 21 a 59 anos,2009-01-01,5,1,0,0,5,1,6
EUCALIPTUS,consulta externa,personas de 21 a 59 anos,2009-01-01,47,67,2,3,49,70,119
EUREKA (SANTOS MERCADO),consulta externa,personas de 21 a 59 anos,2009-01-01,7,7,0,0,7,7,14
EXALTACION,consulta externa,personas de 21 a 59 anos,2009-01-01,15,11,1,7,16,18,34
FERNANDEZ ALONSO,consulta externa,personas de 21 a 59 anos,2009-01-01,161,332,21,19,182,351,533
FILADELFIA,consulta externa,personas de 21 a 59 anos,2009-01-01,107,74,0,8,107,82,189
GENERAL SAAVEDRA,consulta externa,personas de 21 a 59 anos,2009-01-01,288,494,1,10,289,504,793
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 21 a 59 anos,2009-01-01,97,117,4,10,101,127,228
GUANAY,consulta externa,personas de 21 a 59 anos,2009-01-01,53,93,4,2,57,95,152
GUAQUI,consulta externa,personas de 21 a 59 anos,2009-01-01,30,49,9,2,39,51,90
GUAYARAMERIN,consulta externa,personas de 21 a 59 anos,2009-01-01,1796,2986,339,548,2135,3534,5669
GUTIERREZ,consulta externa,personas de 21 a 59 anos,2009-01-01,171,388,2,5,173,393,566
HUACARETA,consulta externa,personas de 21 a 59 anos,2009-01-01,134,227,10,11,144,238,382
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 21 a 59 anos,2009-01-01,51,84,0,0,51,84,135
HUACHACALLA,consulta externa,personas de 21 a 59 anos,2009-01-01,118,25,1,1,119,26,145
HUANUNI,consulta externa,personas de 21 a 59 anos,2009-01-01,409,561,234,269,643,830,1473
HUARACAJE,consulta externa,personas de 21 a 59 anos,2009-01-01,78,128,12,9,90,137,227
HUAYLLAMARCA,consulta externa,personas de 21 a 59 anos,2009-01-01,15,23,0,2,15,25,40
ICHOCA,consulta externa,personas de 21 a 59 anos,2009-01-01,29,62,0,0,29,62,91
ICLA,consulta externa,personas de 21 a 59 anos,2009-01-01,91,326,11,15,102,341,443
INCAHUASI,consulta externa,personas de 21 a 59 anos,2009-01-01,155,632,0,3,155,635,790
INGAVI (HUMAITA),consulta externa,personas de 21 a 59 anos,2009-01-01,3,13,0,0,3,13,16
INQUISIVI,consulta externa,personas de 21 a 59 anos,2009-01-01,56,127,3,5,59,132,191
IRUPANA (VILLA DE LANZA),consulta externa,personas de 21 a 59 anos,2009-01-01,182,384,10,16,192,400,592
IXIAMAS,consulta externa,personas de 21 a 59 anos,2009-01-01,66,121,2,4,68,125,193
JESUS DE MACHACA,consulta externa,personas de 21 a 59 anos,2009-01-01,114,282,15,49,129,331,460
LA ASUNTA,consulta externa,personas de 21 a 59 anos,2009-01-01,209,375,10,6,219,381,600
LA GUARDIA,consulta externa,personas de 21 a 59 anos,2009-01-01,478,839,49,72,527,911,1438
LA PAZ,consulta externa,personas de 21 a 59 anos,2009-01-01,18034,36846,10947,26323,28981,63169,92150
LA RIVERA,consulta externa,personas de 21 a 59 anos,2009-01-01,8,8,0,0,8,8,16
LAGUNILLAS,consulta externa,personas de 21 a 59 anos,2009-01-01,97,203,5,16,102,219,321
LAJA,consulta externa,personas de 21 a 59 anos,2009-01-01,72,184,14,16,86,200,286
LAS CARRERAS,consulta externa,personas de 21 a 59 anos,2009-01-01,75,204,9,13,84,217,301
LICOMA PAMPA,consulta externa,personas de 21 a 59 anos,2009-01-01,30,64,3,5,33,69,102
LLALLAGUA,consulta externa,personas de 21 a 59 anos,2009-01-01,609,700,99,122,708,822,1530
LLICA,consulta externa,personas de 21 a 59 anos,2009-01-01,66,111,3,3,69,114,183
LORETO,consulta externa,personas de 21 a 59 anos,2009-01-01,66,90,7,10,73,100,173
LURIBAY,consulta externa,personas de 21 a 59 anos,2009-01-01,136,230,7,11,143,241,384
MACHACAMARCA,consulta externa,personas de 21 a 59 anos,2009-01-01,39,51,47,41,86,92,178
MACHARETI,consulta externa,personas de 21 a 59 anos,2009-01-01,204,288,11,14,215,302,517
MAGDALENA,consulta externa,personas de 21 a 59 anos,2009-01-01,94,188,47,120,141,308,449
MAIRANA,consulta externa,personas de 21 a 59 anos,2009-01-01,93,250,1,8,94,258,352
MALLA,consulta externa,personas de 21 a 59 anos,2009-01-01,45,33,5,1,50,34,84
MAPIRI,consulta externa,personas de 21 a 59 anos,2009-01-01,122,264,4,11,126,275,401
MECAPACA,consulta externa,personas de 21 a 59 anos,2009-01-01,179,148,21,18,200,166,366
MINEROS,consulta externa,personas de 21 a 59 anos,2009-01-01,122,329,8,30,130,359,489
MIZQUE,consulta externa,personas de 21 a 59 anos,2009-01-01,65,213,8,36,73,249,322
MOCOMOCO,consulta externa,personas de 21 a 59 anos,2009-01-01,127,150,15,8,142,158,300
MOJINETE,consulta externa,personas de 21 a 59 anos,2009-01-01,13,24,1,1,14,25,39
MOJOCOYA,consulta externa,personas de 21 a 59 anos,2009-01-01,93,232,4,61,97,293,390
MONTEAGUDO,consulta externa,personas de 21 a 59 anos,2009-01-01,1750,2566,133,156,1883,2722,4605
MONTERO,consulta externa,personas de 21 a 59 anos,2009-01-01,1302,3559,303,832,1605,4391,5996
MORO MORO,consulta externa,personas de 21 a 59 anos,2009-01-01,13,42,0,1,13,43,56
MOROCHATA,consulta externa,personas de 21 a 59 anos,2009-01-01,77,171,6,16,83,187,270
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 21 a 59 anos,2009-01-01,147,154,1,4,148,158,306
NAZACARA DE PACAJES,consulta externa,personas de 21 a 59 anos,2009-01-01,5,14,0,1,5,15,20
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 21 a 59 anos,2009-01-01,34,22,2,0,36,22,58
OCURI,consulta externa,personas de 21 a 59 anos,2009-01-01,107,340,2,13,109,353,462
OKINAWA,consulta externa,personas de 21 a 59 anos,2009-01-01,243,465,13,19,256,484,740
OMEREQUE,consulta externa,personas de 21 a 59 anos,2009-01-01,71,132,4,11,75,143,218
ORURO,consulta externa,personas de 21 a 59 anos,2009-01-01,6483,10546,1652,3746,8135,14292,22427
PADCAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,623,1083,28,66,651,1149,1800
PADILLA,consulta externa,personas de 21 a 59 anos,2009-01-01,269,672,5,9,274,681,955
PAILON,consulta externa,personas de 21 a 59 anos,2009-01-01,213,253,6,7,219,260,479
PALCA,consulta externa,personas de 21 a 59 anos,2009-01-01,66,105,3,4,69,109,178
PALOS BLANCOS,consulta externa,personas de 21 a 59 anos,2009-01-01,350,505,50,55,400,560,960
PAMPA AULLAGAS,consulta externa,personas de 21 a 59 anos,2009-01-01,46,57,1,0,47,57,104
PAMPA GRANDE,consulta externa,personas de 21 a 59 anos,2009-01-01,101,194,4,3,105,197,302
PAPEL PAMPA,consulta externa,personas de 21 a 59 anos,2009-01-01,38,77,0,2,38,79,117
PASORAPA,consulta externa,personas de 21 a 59 anos,2009-01-01,68,101,0,2,68,103,171
PATACAMAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,108,208,14,20,122,228,350
PAZÑA,consulta externa,personas de 21 a 59 anos,2009-01-01,46,108,7,9,53,117,170
PELECHUCO,consulta externa,personas de 21 a 59 anos,2009-01-01,90,107,3,1,93,108,201
POCOATA,consulta externa,personas de 21 a 59 anos,2009-01-01,108,296,3,8,111,304,415
POCONA,consulta externa,personas de 21 a 59 anos,2009-01-01,134,204,1,5,135,209,344
POJO (CBBA),consulta externa,personas de 21 a 59 anos,2009-01-01,47,69,1,1,48,70,118
POOPO,consulta externa,personas de 21 a 59 anos,2009-01-01,52,68,4,5,56,73,129
PORCO,consulta externa,personas de 21 a 59 anos,2009-01-01,47,112,1,0,48,112,160
POROMA,consulta externa,personas de 21 a 59 anos,2009-01-01,116,362,3,18,119,380,499
PORONGO,consulta externa,personas de 21 a 59 anos,2009-01-01,121,221,1,7,122,228,350
PORTACHUELO,consulta externa,personas de 21 a 59 anos,2009-01-01,397,675,87,60,484,735,1219
PORVENIR,consulta externa,personas de 21 a 59 anos,2009-01-01,54,153,5,4,59,157,216
POSTRER VALLE,consulta externa,personas de 21 a 59 anos,2009-01-01,42,59,4,2,46,61,107
POTOSI,consulta externa,personas de 21 a 59 anos,2009-01-01,3241,6442,920,2059,4161,8501,12662
PRESTO,consulta externa,personas de 21 a 59 anos,2009-01-01,94,242,1,5,95,247,342
PUCARA,consulta externa,personas de 21 a 59 anos,2009-01-01,26,70,3,2,29,72,101
PUCARANI,consulta externa,personas de 21 a 59 anos,2009-01-01,74,150,2,11,76,161,237
PUERTO ACOSTA,consulta externa,personas de 21 a 59 anos,2009-01-01,137,231,4,9,141,240,381
PUERTO CARABUCO,consulta externa,personas de 21 a 59 anos,2009-01-01,102,130,1,6,103,136,239
PUERTO GONZALO MORENO,consulta externa,personas de 21 a 59 anos,2009-01-01,122,187,4,4,126,191,317
PUERTO PEREZ,consulta externa,personas de 21 a 59 anos,2009-01-01,37,56,4,3,41,59,100
PUERTO QUIJARRO,consulta externa,personas de 21 a 59 anos,2009-01-01,227,421,33,35,260,456,716
PUERTO RICO,consulta externa,personas de 21 a 59 anos,2009-01-01,128,189,1,0,129,189,318
PUERTO SILES,consulta externa,personas de 21 a 59 anos,2009-01-01,18,12,1,9,19,21,40
PUERTO SUAREZ,consulta externa,personas de 21 a 59 anos,2009-01-01,197,338,19,23,216,361,577
PUERTO VILLARROEL,consulta externa,personas de 21 a 59 anos,2009-01-01,599,1013,18,179,617,1192,1809
PUNA,consulta externa,personas de 21 a 59 anos,2009-01-01,299,768,3,26,302,794,1096
PUNATA,consulta externa,personas de 21 a 59 anos,2009-01-01,304,946,37,122,341,1068,1409
QUIABAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,28,34,0,1,28,35,63
QUILLACOLLO,consulta externa,personas de 21 a 59 anos,2009-01-01,629,1488,283,707,912,2195,3107
QUIME,consulta externa,personas de 21 a 59 anos,2009-01-01,263,98,5,1,268,99,367
QUIRUSILLAS,consulta externa,personas de 21 a 59 anos,2009-01-01,14,53,1,0,15,53,68
RAVELO,consulta externa,personas de 21 a 59 anos,2009-01-01,82,238,1,2,83,240,323
REYES,consulta externa,personas de 21 a 59 anos,2009-01-01,84,159,45,93,129,252,381
RIBERALTA,consulta externa,personas de 21 a 59 anos,2009-01-01,1211,2849,123,341,1334,3190,4524
ROBORE,consulta externa,personas de 21 a 59 anos,2009-01-01,250,633,42,73,292,706,998
RURRENABAQUE,consulta externa,personas de 21 a 59 anos,2009-01-01,259,417,49,119,308,536,844
SABAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,73,83,1,0,74,83,157
SACABA,consulta externa,personas de 21 a 59 anos,2009-01-01,614,1219,223,498,837,1717,2554
SACABAMBA,consulta externa,personas de 21 a 59 anos,2009-01-01,23,47,3,7,26,54,80
SACACA,consulta externa,personas de 21 a 59 anos,2009-01-01,110,383,0,0,110,383,493
SAIPINA,consulta externa,personas de 21 a 59 anos,2009-01-01,31,99,1,2,32,101,133
SALINAS DE GARCI MENDOZA,consulta externa,personas de 21 a 59 anos,2009-01-01,98,187,2,3,100,190,290
SAMAIPATA,consulta externa,personas de 21 a 59 anos,2009-01-01,87,128,2,5,89,133,222
SAN AGUSTIN,consulta externa,personas de 21 a 59 anos,2009-01-01,32,65,0,6,32,71,103
SAN ANDRES,consulta externa,personas de 21 a 59 anos,2009-01-01,251,299,2,3,253,302,555
SAN ANDRES DE MACHACA,consulta externa,personas de 21 a 59 anos,2009-01-01,41,71,4,5,45,76,121
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 21 a 59 anos,2009-01-01,16,61,0,1,16,62,78
SAN ANTONIO DE LOMERIO,consulta externa,personas de 21 a 59 anos,2009-01-01,61,94,4,8,65,102,167
SAN BENITO,consulta externa,personas de 21 a 59 anos,2009-01-01,66,201,9,87,75,288,363
SAN BORJA,consulta externa,personas de 21 a 59 anos,2009-01-01,300,671,58,229,358,900,1258
SAN BUENA VENTURA,consulta externa,personas de 21 a 59 anos,2009-01-01,191,266,9,20,200,286,486
SAN CARLOS,consulta externa,personas de 21 a 59 anos,2009-01-01,137,511,6,79,143,590,733
SAN IGNACIO,consulta externa,personas de 21 a 59 anos,2009-01-01,453,767,15,63,468,830,1298
SAN IGNACIO DE VELASCO,consulta externa,personas de 21 a 59 anos,2009-01-01,550,1176,47,156,597,1332,1929
SAN JAVIER(BNI),consulta externa,personas de 21 a 59 anos,2009-01-01,67,111,4,6,71,117,188
SAN JAVIER(STC),consulta externa,personas de 21 a 59 anos,2009-01-01,112,159,13,11,125,170,295
SAN JOAQUIN,consulta externa,personas de 21 a 59 anos,2009-01-01,22,22,3,0,25,22,47
SAN JOSE DE CHIQUITOS,consulta externa,personas de 21 a 59 anos,2009-01-01,340,578,31,52,371,630,1001
SAN JUAN DE YAPACANI,consulta externa,personas de 21 a 59 anos,2009-01-01,379,325,44,54,423,379,802
SAN JULIAN,consulta externa,personas de 21 a 59 anos,2009-01-01,682,957,44,225,726,1182,1908
SAN LORENZO(PND),consulta externa,personas de 21 a 59 anos,2009-01-01,15,19,1,1,16,20,36
SAN LORENZO(TJA),consulta externa,personas de 21 a 59 anos,2009-01-01,350,1022,6,59,356,1081,1437
SAN LUCAS,consulta externa,personas de 21 a 59 anos,2009-01-01,373,1081,9,28,382,1109,1491
SAN MATIAS,consulta externa,personas de 21 a 59 anos,2009-01-01,125,201,7,8,132,209,341
SAN MIGUEL DE VELASCO,consulta externa,personas de 21 a 59 anos,2009-01-01,73,218,18,67,91,285,376
SAN PABLO DE LIPEZ,consulta externa,personas de 21 a 59 anos,2009-01-01,86,189,6,19,92,208,300
SAN PEDRO,consulta externa,personas de 21 a 59 anos,2009-01-01,640,853,36,95,676,948,1624
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 21 a 59 anos,2009-01-01,121,319,2,0,123,319,442
SAN PEDRO DE CURAHUARA,consulta externa,personas de 21 a 59 anos,2009-01-01,16,64,0,1,16,65,81
SAN PEDRO DE QUEMES,consulta externa,personas de 21 a 59 anos,2009-01-01,15,22,0,0,15,22,37
SAN PEDRO DE TIQUINA,consulta externa,personas de 21 a 59 anos,2009-01-01,34,52,5,6,39,58,97
SAN PEDRO(PND),consulta externa,personas de 21 a 59 anos,2009-01-01,15,6,0,0,15,6,21
SAN RAFAEL,consulta externa,personas de 21 a 59 anos,2009-01-01,89,161,1,4,90,165,255
SAN RAMON,consulta externa,personas de 21 a 59 anos,2009-01-01,150,308,10,128,160,436,596
SAN RAMON,consulta externa,personas de 21 a 59 anos,2009-01-01,88,218,26,14,114,232,346
SANTA ANA,consulta externa,personas de 21 a 59 anos,2009-01-01,113,291,26,126,139,417,556
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 21 a 59 anos,2009-01-01,23627,43302,7156,15262,30783,58564,89347
SANTA ROSA,consulta externa,personas de 21 a 59 anos,2009-01-01,157,304,0,10,157,314,471
SANTA ROSA DEL SARA,consulta externa,personas de 21 a 59 anos,2009-01-01,237,386,2,6,239,392,631
SANTIAGO DE CALLAPA,consulta externa,personas de 21 a 59 anos,2009-01-01,18,35,0,3,18,38,56
SANTIAGO DE HUARI,consulta externa,personas de 21 a 59 anos,2009-01-01,164,206,24,21,188,227,415
SANTIAGO DE MACHACA,consulta externa,personas de 21 a 59 anos,2009-01-01,17,23,0,1,17,24,41
SANTIVAÑES,consulta externa,personas de 21 a 59 anos,2009-01-01,33,90,5,13,38,103,141
SANTUARIO DE QUILLACAS,consulta externa,personas de 21 a 59 anos,2009-01-01,44,44,3,0,47,44,91
SAPAHAQUI,consulta externa,personas de 21 a 59 anos,2009-01-01,107,146,5,4,112,150,262
SENA,consulta externa,personas de 21 a 59 anos,2009-01-01,53,53,10,14,63,67,130
SICA SICA (VILLA AROMA),consulta externa,personas de 21 a 59 anos,2009-01-01,109,185,2,2,111,187,298
SICAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,13,26,0,3,13,29,42
SIPE SIPE,consulta externa,personas de 21 a 59 anos,2009-01-01,38,165,15,10,53,175,228
SOPACHUY,consulta externa,personas de 21 a 59 anos,2009-01-01,115,239,3,4,118,243,361
SORACACHI,consulta externa,personas de 21 a 59 anos,2009-01-01,40,71,3,0,43,71,114
SORATA,consulta externa,personas de 21 a 59 anos,2009-01-01,159,231,1,8,160,239,399
SUCRE,consulta externa,personas de 21 a 59 anos,2009-01-01,7831,16384,2807,5954,10638,22338,32976
TACACHI,consulta externa,personas de 21 a 59 anos,2009-01-01,14,42,2,0,16,42,58
TACACOMA,consulta externa,personas de 21 a 59 anos,2009-01-01,51,100,5,0,56,100,156
TACOBAMBA,consulta externa,personas de 21 a 59 anos,2009-01-01,58,116,3,1,61,117,178
TACOPAYA,consulta externa,personas de 21 a 59 anos,2009-01-01,47,121,0,1,47,122,169
TAHUA,consulta externa,personas de 21 a 59 anos,2009-01-01,20,22,0,0,20,22,42
TAPACARI,consulta externa,personas de 21 a 59 anos,2009-01-01,97,308,6,37,103,345,448
TARABUCO,consulta externa,personas de 21 a 59 anos,2009-01-01,145,360,4,10,149,370,519
TARACO,consulta externa,personas de 21 a 59 anos,2009-01-01,19,41,0,0,19,41,60
TARATA,consulta externa,personas de 21 a 59 anos,2009-01-01,38,70,4,4,42,74,116
TARIJA,consulta externa,personas de 21 a 59 anos,2009-01-01,5876,13192,2559,5065,8435,18257,26692
TARVITA,consulta externa,personas de 21 a 59 anos,2009-01-01,206,516,2,5,208,521,729
