,group,variable,month,PERSONAS DE 5 A 9 AÑOS NUEVOS,PERSONAS DE 5 A 9 AÑOS NUEVOS,PERSONAS DE 5 A 9 AÑOS REPETIDOS,PERSONAS DE 5 A 9 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,personas de 5 a 9 anos,2009-01-01,50,29,0,0,50,29,79
AZURDUY,consulta externa,personas de 5 a 9 anos,2009-01-01,16,20,0,1,16,21,37
BATALLAS,consulta externa,personas de 5 a 9 anos,2009-01-01,21,19,2,0,23,19,42
BAURES,consulta externa,personas de 5 a 9 anos,2009-01-01,32,31,2,2,34,33,67
BELEN DE ANDAMARCA,consulta externa,personas de 5 a 9 anos,2009-01-01,3,2,0,0,3,2,5
BELEN DE URMIRI,consulta externa,personas de 5 a 9 anos,2009-01-01,10,2,2,0,12,2,14
BELLA FLOR,consulta externa,personas de 5 a 9 anos,2009-01-01,7,0,0,0,7,0,7
BERMEJO,consulta externa,personas de 5 a 9 anos,2009-01-01,281,370,16,28,297,398,695
BETANZOS,consulta externa,personas de 5 a 9 anos,2009-01-01,75,72,0,4,75,76,151
BOLIVAR,consulta externa,personas de 5 a 9 anos,2009-01-01,9,15,0,2,9,17,26
BOLPEBRA,consulta externa,personas de 5 a 9 anos,2009-01-01,13,10,0,0,13,10,23
BOYUIBE,consulta externa,personas de 5 a 9 anos,2009-01-01,19,17,1,1,20,18,38
BUENA VISTA,consulta externa,personas de 5 a 9 anos,2009-01-01,65,76,2,6,67,82,149
CABEZAS,consulta externa,personas de 5 a 9 anos,2009-01-01,96,106,10,7,106,113,219
CAIROMA,consulta externa,personas de 5 a 9 anos,2009-01-01,27,40,1,0,28,40,68
"CAIZA ""D""",consulta externa,personas de 5 a 9 anos,2009-01-01,25,28,0,0,25,28,53
CAJUATA,consulta externa,personas de 5 a 9 anos,2009-01-01,40,39,5,0,45,39,84
CALACOTO,consulta externa,personas de 5 a 9 anos,2009-01-01,13,13,0,1,13,14,27
CALAMARCA,consulta externa,personas de 5 a 9 anos,2009-01-01,19,13,1,3,20,16,36
CAMARGO,consulta externa,personas de 5 a 9 anos,2009-01-01,33,48,0,0,33,48,81
CAMATAQUI (C. VILLA ABECIA),consulta externa,personas de 5 a 9 anos,2009-01-01,8,13,2,0,10,13,23
CAMIRI,consulta externa,personas de 5 a 9 anos,2009-01-01,283,338,36,36,319,374,693
CAPINOTA,consulta externa,personas de 5 a 9 anos,2009-01-01,35,43,7,9,42,52,94
CAQUIAVIRI,consulta externa,personas de 5 a 9 anos,2009-01-01,12,11,0,0,12,11,23
CARACOLLO,consulta externa,personas de 5 a 9 anos,2009-01-01,53,41,2,3,55,44,99
CARANAVI,consulta externa,personas de 5 a 9 anos,2009-01-01,133,154,2,4,135,158,293
CARANGAS,consulta externa,personas de 5 a 9 anos,2009-01-01,5,4,1,0,6,4,10
CARAPARI,consulta externa,personas de 5 a 9 anos,2009-01-01,123,168,10,3,133,171,304
CARIPUYO,consulta externa,personas de 5 a 9 anos,2009-01-01,5,3,0,0,5,3,8
CARMEN RIVERO TORREZ,consulta externa,personas de 5 a 9 anos,2009-01-01,8,9,2,1,10,10,20
CATACORA,consulta externa,personas de 5 a 9 anos,2009-01-01,3,1,0,0,3,1,4
CHALLAPATA,consulta externa,personas de 5 a 9 anos,2009-01-01,43,35,1,0,44,35,79
CHAQUI,consulta externa,personas de 5 a 9 anos,2009-01-01,10,15,0,0,10,15,25
CHARAGUA,consulta externa,personas de 5 a 9 anos,2009-01-01,72,59,5,0,77,59,136
CHARAÑA,consulta externa,personas de 5 a 9 anos,2009-01-01,8,4,1,0,9,4,13
CHAYANTA,consulta externa,personas de 5 a 9 anos,2009-01-01,41,35,0,0,41,35,76
CHIMORE,consulta externa,personas de 5 a 9 anos,2009-01-01,91,87,4,3,95,90,185
CHIPAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,3,1,0,0,3,1,4
CHOQUE COTA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,8,0,0,5,8,13
CHULUMANI (V. DE LA LIBERTAD),consulta externa,personas de 5 a 9 anos,2009-01-01,42,40,4,4,46,44,90
CHUMA,consulta externa,personas de 5 a 9 anos,2009-01-01,26,46,0,0,26,46,72
CLIZA,consulta externa,personas de 5 a 9 anos,2009-01-01,52,33,3,3,55,36,91
COBIJA,consulta externa,personas de 5 a 9 anos,2009-01-01,168,207,22,18,190,225,415
COCHABAMBA,consulta externa,personas de 5 a 9 anos,2009-01-01,3625,3513,1632,1521,5257,5034,10291
COIPASA,consulta externa,personas de 5 a 9 anos,2009-01-01,4,11,1,0,5,11,16
COLCAPIRHUA,consulta externa,personas de 5 a 9 anos,2009-01-01,108,77,55,43,163,120,283
"COLCHA ""K""",consulta externa,personas de 5 a 9 anos,2009-01-01,16,20,0,0,16,20,36
COLLANA,consulta externa,personas de 5 a 9 anos,2009-01-01,3,3,0,2,3,5,8
COLOMI,consulta externa,personas de 5 a 9 anos,2009-01-01,23,17,0,0,23,17,40
COLPA BELGICA,consulta externa,personas de 5 a 9 anos,2009-01-01,71,55,19,39,90,94,184
COLQUECHACA,consulta externa,personas de 5 a 9 anos,2009-01-01,47,68,0,1,47,69,116
COLQUENCHA,consulta externa,personas de 5 a 9 anos,2009-01-01,16,27,0,0,16,27,43
COLQUIRI,consulta externa,personas de 5 a 9 anos,2009-01-01,28,26,1,0,29,26,55
COMANCHE,consulta externa,personas de 5 a 9 anos,2009-01-01,11,5,0,0,11,5,16
COMARAPA,consulta externa,personas de 5 a 9 anos,2009-01-01,67,63,10,3,77,66,143
COMBAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,1,1,0,0,1,1,2
CONCEPCION,consulta externa,personas de 5 a 9 anos,2009-01-01,31,35,1,4,32,39,71
COPACABANA,consulta externa,personas de 5 a 9 anos,2009-01-01,31,21,2,1,33,22,55
CORIPATA,consulta externa,personas de 5 a 9 anos,2009-01-01,28,42,1,1,29,43,72
CORO CORO,consulta externa,personas de 5 a 9 anos,2009-01-01,8,6,0,1,8,7,15
COROICO,consulta externa,personas de 5 a 9 anos,2009-01-01,31,35,6,4,37,39,76
CORQUE,consulta externa,personas de 5 a 9 anos,2009-01-01,16,14,1,2,17,16,33
COTAGAITA,consulta externa,personas de 5 a 9 anos,2009-01-01,125,121,6,5,131,126,257
COTOCA,consulta externa,personas de 5 a 9 anos,2009-01-01,121,111,4,7,125,118,243
CUATRO CAÑADAS,consulta externa,personas de 5 a 9 anos,2009-01-01,83,81,1,3,84,84,168
CUCHUMUELA (V. G. VILLARROEL),consulta externa,personas de 5 a 9 anos,2009-01-01,2,2,0,0,2,2,4
CUEVO,consulta externa,personas de 5 a 9 anos,2009-01-01,33,43,1,3,34,46,80
CULPINA,consulta externa,personas de 5 a 9 anos,2009-01-01,40,35,0,0,40,35,75
CURAHUARA DE CARANGAS,consulta externa,personas de 5 a 9 anos,2009-01-01,12,23,0,0,12,23,35
CURVA,consulta externa,personas de 5 a 9 anos,2009-01-01,12,5,0,0,12,5,17
DESAGUADERO,consulta externa,personas de 5 a 9 anos,2009-01-01,7,3,0,0,7,3,10
EL ALTO,consulta externa,personas de 5 a 9 anos,2009-01-01,2850,2961,602,567,3452,3528,6980
EL CHORO,consulta externa,personas de 5 a 9 anos,2009-01-01,14,6,0,0,14,6,20
EL PUENTE(STC),consulta externa,personas de 5 a 9 anos,2009-01-01,31,33,0,1,31,34,65
EL PUENTE(TJA),consulta externa,personas de 5 a 9 anos,2009-01-01,74,76,0,0,74,76,150
EL TORNO,consulta externa,personas de 5 a 9 anos,2009-01-01,273,281,30,18,303,299,602
EL VILLAR,consulta externa,personas de 5 a 9 anos,2009-01-01,9,17,0,0,9,17,26
ENTRE RIOS,consulta externa,personas de 5 a 9 anos,2009-01-01,95,76,4,1,99,77,176
ENTRE RIOS,consulta externa,personas de 5 a 9 anos,2009-01-01,179,186,2,4,181,190,371
ESMERALDA,consulta externa,personas de 5 a 9 anos,2009-01-01,0,1,0,0,0,1,1
EUCALIPTUS,consulta externa,personas de 5 a 9 anos,2009-01-01,9,10,2,0,11,10,21
EUREKA (SANTOS MERCADO),consulta externa,personas de 5 a 9 anos,2009-01-01,3,1,0,0,3,1,4
EXALTACION,consulta externa,personas de 5 a 9 anos,2009-01-01,7,13,4,2,11,15,26
FERNANDEZ ALONSO,consulta externa,personas de 5 a 9 anos,2009-01-01,69,76,5,2,74,78,152
FILADELFIA,consulta externa,personas de 5 a 9 anos,2009-01-01,43,20,0,1,43,21,64
GENERAL SAAVEDRA,consulta externa,personas de 5 a 9 anos,2009-01-01,95,71,1,0,96,71,167
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,personas de 5 a 9 anos,2009-01-01,19,15,0,1,19,16,35
GUANAY,consulta externa,personas de 5 a 9 anos,2009-01-01,11,14,0,0,11,14,25
GUAQUI,consulta externa,personas de 5 a 9 anos,2009-01-01,6,3,0,1,6,4,10
GUAYARAMERIN,consulta externa,personas de 5 a 9 anos,2009-01-01,452,413,223,101,675,514,1189
GUTIERREZ,consulta externa,personas de 5 a 9 anos,2009-01-01,73,79,1,1,74,80,154
HUACARETA,consulta externa,personas de 5 a 9 anos,2009-01-01,32,30,1,2,33,32,65
HUACAYA (VILLA DE HUACAYA),consulta externa,personas de 5 a 9 anos,2009-01-01,12,17,0,0,12,17,29
HUACHACALLA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,18,1,0,6,18,24
HUANUNI,consulta externa,personas de 5 a 9 anos,2009-01-01,142,163,139,200,281,363,644
HUARACAJE,consulta externa,personas de 5 a 9 anos,2009-01-01,45,27,2,0,47,27,74
HUAYLLAMARCA,consulta externa,personas de 5 a 9 anos,2009-01-01,3,5,0,0,3,5,8
ICHOCA,consulta externa,personas de 5 a 9 anos,2009-01-01,3,7,0,1,3,8,11
ICLA,consulta externa,personas de 5 a 9 anos,2009-01-01,19,24,0,2,19,26,45
INCAHUASI,consulta externa,personas de 5 a 9 anos,2009-01-01,61,60,0,0,61,60,121
INGAVI (HUMAITA),consulta externa,personas de 5 a 9 anos,2009-01-01,4,1,0,0,4,1,5
INQUISIVI,consulta externa,personas de 5 a 9 anos,2009-01-01,9,21,0,0,9,21,30
IRUPANA (VILLA DE LANZA),consulta externa,personas de 5 a 9 anos,2009-01-01,60,48,3,1,63,49,112
IXIAMAS,consulta externa,personas de 5 a 9 anos,2009-01-01,17,18,0,0,17,18,35
JESUS DE MACHACA,consulta externa,personas de 5 a 9 anos,2009-01-01,19,14,2,0,21,14,35
LA ASUNTA,consulta externa,personas de 5 a 9 anos,2009-01-01,55,57,1,4,56,61,117
LA GUARDIA,consulta externa,personas de 5 a 9 anos,2009-01-01,241,233,26,23,267,256,523
LA PAZ,consulta externa,personas de 5 a 9 anos,2009-01-01,3774,3988,1532,1583,5306,5571,10877
LA RIVERA,consulta externa,personas de 5 a 9 anos,2009-01-01,4,2,0,0,4,2,6
LAGUNILLAS,consulta externa,personas de 5 a 9 anos,2009-01-01,25,33,0,4,25,37,62
LAJA,consulta externa,personas de 5 a 9 anos,2009-01-01,20,18,2,0,22,18,40
LAS CARRERAS,consulta externa,personas de 5 a 9 anos,2009-01-01,13,16,1,1,14,17,31
LICOMA PAMPA,consulta externa,personas de 5 a 9 anos,2009-01-01,12,12,2,0,14,12,26
LLALLAGUA,consulta externa,personas de 5 a 9 anos,2009-01-01,87,88,11,4,98,92,190
LLICA,consulta externa,personas de 5 a 9 anos,2009-01-01,19,11,1,0,20,11,31
LORETO,consulta externa,personas de 5 a 9 anos,2009-01-01,31,29,0,1,31,30,61
LURIBAY,consulta externa,personas de 5 a 9 anos,2009-01-01,27,19,2,0,29,19,48
MACHACAMARCA,consulta externa,personas de 5 a 9 anos,2009-01-01,12,7,4,3,16,10,26
MACHARETI,consulta externa,personas de 5 a 9 anos,2009-01-01,37,53,0,1,37,54,91
MAGDALENA,consulta externa,personas de 5 a 9 anos,2009-01-01,39,34,12,9,51,43,94
MAIRANA,consulta externa,personas de 5 a 9 anos,2009-01-01,24,20,0,0,24,20,44
MALLA,consulta externa,personas de 5 a 9 anos,2009-01-01,19,20,0,1,19,21,40
MAPIRI,consulta externa,personas de 5 a 9 anos,2009-01-01,37,28,0,1,37,29,66
MECAPACA,consulta externa,personas de 5 a 9 anos,2009-01-01,24,21,2,1,26,22,48
MINEROS,consulta externa,personas de 5 a 9 anos,2009-01-01,44,39,1,0,45,39,84
MIZQUE,consulta externa,personas de 5 a 9 anos,2009-01-01,33,31,0,2,33,33,66
MOCOMOCO,consulta externa,personas de 5 a 9 anos,2009-01-01,19,17,1,0,20,17,37
MOJINETE,consulta externa,personas de 5 a 9 anos,2009-01-01,4,2,1,0,5,2,7
MOJOCOYA,consulta externa,personas de 5 a 9 anos,2009-01-01,15,14,1,2,16,16,32
MONTEAGUDO,consulta externa,personas de 5 a 9 anos,2009-01-01,321,295,45,2,366,297,663
MONTERO,consulta externa,personas de 5 a 9 anos,2009-01-01,611,601,77,76,688,677,1365
MORO MORO,consulta externa,personas de 5 a 9 anos,2009-01-01,2,6,0,1,2,7,9
MOROCHATA,consulta externa,personas de 5 a 9 anos,2009-01-01,25,22,0,0,25,22,47
NACEBE (SANTA ROSA DEL ABUNA),consulta externa,personas de 5 a 9 anos,2009-01-01,38,39,0,0,38,39,77
NAZACARA DE PACAJES,consulta externa,personas de 5 a 9 anos,2009-01-01,4,3,0,0,4,3,7
NUEVO MANOA (NUEVA ESPERANZA),consulta externa,personas de 5 a 9 anos,2009-01-01,3,7,0,0,3,7,10
OCURI,consulta externa,personas de 5 a 9 anos,2009-01-01,31,26,0,0,31,26,57
OKINAWA,consulta externa,personas de 5 a 9 anos,2009-01-01,69,88,2,10,71,98,169
OMEREQUE,consulta externa,personas de 5 a 9 anos,2009-01-01,20,31,0,2,20,33,53
ORURO,consulta externa,personas de 5 a 9 anos,2009-01-01,1351,1276,277,214,1628,1490,3118
PADCAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,158,172,5,2,163,174,337
PADILLA,consulta externa,personas de 5 a 9 anos,2009-01-01,39,49,0,0,39,49,88
PAILON,consulta externa,personas de 5 a 9 anos,2009-01-01,47,67,0,3,47,70,117
PALCA,consulta externa,personas de 5 a 9 anos,2009-01-01,15,20,0,1,15,21,36
PALOS BLANCOS,consulta externa,personas de 5 a 9 anos,2009-01-01,97,74,11,2,108,76,184
PAMPA AULLAGAS,consulta externa,personas de 5 a 9 anos,2009-01-01,13,5,2,0,15,5,20
PAMPA GRANDE,consulta externa,personas de 5 a 9 anos,2009-01-01,26,24,0,1,26,25,51
PAPEL PAMPA,consulta externa,personas de 5 a 9 anos,2009-01-01,7,13,0,2,7,15,22
PASORAPA,consulta externa,personas de 5 a 9 anos,2009-01-01,6,11,0,0,6,11,17
PATACAMAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,17,23,0,0,17,23,40
PAZÑA,consulta externa,personas de 5 a 9 anos,2009-01-01,11,16,2,9,13,25,38
PELECHUCO,consulta externa,personas de 5 a 9 anos,2009-01-01,18,16,0,2,18,18,36
POCOATA,consulta externa,personas de 5 a 9 anos,2009-01-01,33,20,1,0,34,20,54
POCONA,consulta externa,personas de 5 a 9 anos,2009-01-01,32,24,0,0,32,24,56
POJO (CBBA),consulta externa,personas de 5 a 9 anos,2009-01-01,16,7,0,0,16,7,23
POOPO,consulta externa,personas de 5 a 9 anos,2009-01-01,9,11,0,0,9,11,20
PORCO,consulta externa,personas de 5 a 9 anos,2009-01-01,14,13,0,0,14,13,27
POROMA,consulta externa,personas de 5 a 9 anos,2009-01-01,28,26,0,0,28,26,54
PORONGO,consulta externa,personas de 5 a 9 anos,2009-01-01,57,49,1,1,58,50,108
PORTACHUELO,consulta externa,personas de 5 a 9 anos,2009-01-01,130,121,3,5,133,126,259
PORVENIR,consulta externa,personas de 5 a 9 anos,2009-01-01,42,31,1,0,43,31,74
POSTRER VALLE,consulta externa,personas de 5 a 9 anos,2009-01-01,4,4,0,0,4,4,8
POTOSI,consulta externa,personas de 5 a 9 anos,2009-01-01,1126,1187,443,562,1569,1749,3318
PRESTO,consulta externa,personas de 5 a 9 anos,2009-01-01,14,24,0,0,14,24,38
PUCARA,consulta externa,personas de 5 a 9 anos,2009-01-01,8,5,0,0,8,5,13
PUCARANI,consulta externa,personas de 5 a 9 anos,2009-01-01,15,18,0,3,15,21,36
PUERTO ACOSTA,consulta externa,personas de 5 a 9 anos,2009-01-01,28,20,0,0,28,20,48
PUERTO CARABUCO,consulta externa,personas de 5 a 9 anos,2009-01-01,14,5,0,0,14,5,19
PUERTO GONZALO MORENO,consulta externa,personas de 5 a 9 anos,2009-01-01,63,64,1,0,64,64,128
PUERTO PEREZ,consulta externa,personas de 5 a 9 anos,2009-01-01,6,5,2,5,8,10,18
PUERTO QUIJARRO,consulta externa,personas de 5 a 9 anos,2009-01-01,80,64,9,8,89,72,161
PUERTO RICO,consulta externa,personas de 5 a 9 anos,2009-01-01,74,74,0,2,74,76,150
PUERTO SILES,consulta externa,personas de 5 a 9 anos,2009-01-01,17,19,0,2,17,21,38
PUERTO SUAREZ,consulta externa,personas de 5 a 9 anos,2009-01-01,70,51,7,11,77,62,139
PUERTO VILLARROEL,consulta externa,personas de 5 a 9 anos,2009-01-01,198,163,5,2,203,165,368
PUNA,consulta externa,personas de 5 a 9 anos,2009-01-01,58,63,0,3,58,66,124
PUNATA,consulta externa,personas de 5 a 9 anos,2009-01-01,68,52,9,9,77,61,138
QUIABAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,4,4,0,0,4,4,8
QUILLACOLLO,consulta externa,personas de 5 a 9 anos,2009-01-01,251,227,117,82,368,309,677
QUIME,consulta externa,personas de 5 a 9 anos,2009-01-01,34,29,0,0,34,29,63
QUIRUSILLAS,consulta externa,personas de 5 a 9 anos,2009-01-01,9,9,1,0,10,9,19
RAVELO,consulta externa,personas de 5 a 9 anos,2009-01-01,20,14,0,0,20,14,34
REYES,consulta externa,personas de 5 a 9 anos,2009-01-01,48,49,10,1,58,50,108
RIBERALTA,consulta externa,personas de 5 a 9 anos,2009-01-01,606,563,35,38,641,601,1242
ROBORE,consulta externa,personas de 5 a 9 anos,2009-01-01,49,62,1,1,50,63,113
RURRENABAQUE,consulta externa,personas de 5 a 9 anos,2009-01-01,98,89,6,5,104,94,198
SABAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,9,3,0,0,9,3,12
SACABA,consulta externa,personas de 5 a 9 anos,2009-01-01,235,252,60,48,295,300,595
SACABAMBA,consulta externa,personas de 5 a 9 anos,2009-01-01,13,7,1,1,14,8,22
SACACA,consulta externa,personas de 5 a 9 anos,2009-01-01,26,22,0,1,26,23,49
SAIPINA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,17,1,0,6,17,23
SALINAS DE GARCI MENDOZA,consulta externa,personas de 5 a 9 anos,2009-01-01,18,23,0,0,18,23,41
SAMAIPATA,consulta externa,personas de 5 a 9 anos,2009-01-01,14,19,0,1,14,20,34
SAN AGUSTIN,consulta externa,personas de 5 a 9 anos,2009-01-01,5,3,0,0,5,3,8
SAN ANDRES,consulta externa,personas de 5 a 9 anos,2009-01-01,86,95,2,0,88,95,183
SAN ANDRES DE MACHACA,consulta externa,personas de 5 a 9 anos,2009-01-01,11,9,0,0,11,9,20
SAN ANTONIO DE ESMORUCO,consulta externa,personas de 5 a 9 anos,2009-01-01,5,2,0,0,5,2,7
SAN ANTONIO DE LOMERIO,consulta externa,personas de 5 a 9 anos,2009-01-01,19,10,1,2,20,12,32
SAN BENITO,consulta externa,personas de 5 a 9 anos,2009-01-01,46,31,4,6,50,37,87
SAN BORJA,consulta externa,personas de 5 a 9 anos,2009-01-01,103,103,8,18,111,121,232
SAN BUENA VENTURA,consulta externa,personas de 5 a 9 anos,2009-01-01,56,60,5,2,61,62,123
SAN CARLOS,consulta externa,personas de 5 a 9 anos,2009-01-01,90,94,5,2,95,96,191
SAN IGNACIO,consulta externa,personas de 5 a 9 anos,2009-01-01,211,249,1,1,212,250,462
SAN IGNACIO DE VELASCO,consulta externa,personas de 5 a 9 anos,2009-01-01,203,199,24,17,227,216,443
SAN JAVIER(BNI),consulta externa,personas de 5 a 9 anos,2009-01-01,27,132,5,8,32,140,172
SAN JAVIER(STC),consulta externa,personas de 5 a 9 anos,2009-01-01,38,33,4,9,42,42,84
SAN JOAQUIN,consulta externa,personas de 5 a 9 anos,2009-01-01,23,25,7,6,30,31,61
SAN JOSE DE CHIQUITOS,consulta externa,personas de 5 a 9 anos,2009-01-01,82,73,9,13,91,86,177
SAN JUAN DE YAPACANI,consulta externa,personas de 5 a 9 anos,2009-01-01,84,74,9,3,93,77,170
SAN JULIAN,consulta externa,personas de 5 a 9 anos,2009-01-01,151,138,10,6,161,144,305
SAN LORENZO(PND),consulta externa,personas de 5 a 9 anos,2009-01-01,22,25,0,0,22,25,47
SAN LORENZO(TJA),consulta externa,personas de 5 a 9 anos,2009-01-01,156,192,3,1,159,193,352
SAN LUCAS,consulta externa,personas de 5 a 9 anos,2009-01-01,76,71,2,0,78,71,149
SAN MATIAS,consulta externa,personas de 5 a 9 anos,2009-01-01,30,40,0,1,30,41,71
SAN MIGUEL DE VELASCO,consulta externa,personas de 5 a 9 anos,2009-01-01,39,32,5,2,44,34,78
SAN PABLO DE LIPEZ,consulta externa,personas de 5 a 9 anos,2009-01-01,18,9,0,0,18,9,27
SAN PEDRO,consulta externa,personas de 5 a 9 anos,2009-01-01,182,198,8,6,190,204,394
SAN PEDRO DE BUENA VISTA,consulta externa,personas de 5 a 9 anos,2009-01-01,15,14,0,0,15,14,29
SAN PEDRO DE CURAHUARA,consulta externa,personas de 5 a 9 anos,2009-01-01,17,27,0,0,17,27,44
SAN PEDRO DE QUEMES,consulta externa,personas de 5 a 9 anos,2009-01-01,1,1,0,0,1,1,2
SAN PEDRO DE TIQUINA,consulta externa,personas de 5 a 9 anos,2009-01-01,10,7,0,0,10,7,17
SAN PEDRO(PND),consulta externa,personas de 5 a 9 anos,2009-01-01,7,6,0,2,7,8,15
SAN RAFAEL,consulta externa,personas de 5 a 9 anos,2009-01-01,21,116,0,1,21,117,138
SAN RAMON,consulta externa,personas de 5 a 9 anos,2009-01-01,34,35,0,0,34,35,69
SAN RAMON,consulta externa,personas de 5 a 9 anos,2009-01-01,32,35,6,8,38,43,81
SANTA ANA,consulta externa,personas de 5 a 9 anos,2009-01-01,48,44,1,6,49,50,99
SANTA CRUZ DE LA SIERRA,consulta externa,personas de 5 a 9 anos,2009-01-01,8766,8113,1801,2097,10567,10210,20777
SANTA ROSA,consulta externa,personas de 5 a 9 anos,2009-01-01,84,51,0,0,84,51,135
SANTA ROSA DEL SARA,consulta externa,personas de 5 a 9 anos,2009-01-01,68,64,0,0,68,64,132
SANTIAGO DE CALLAPA,consulta externa,personas de 5 a 9 anos,2009-01-01,4,0,0,0,4,0,4
SANTIAGO DE HUARI,consulta externa,personas de 5 a 9 anos,2009-01-01,25,25,1,1,26,26,52
SANTIAGO DE MACHACA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,1,0,0,5,1,6
SANTIVAÑES,consulta externa,personas de 5 a 9 anos,2009-01-01,20,27,1,3,21,30,51
SANTUARIO DE QUILLACAS,consulta externa,personas de 5 a 9 anos,2009-01-01,8,4,0,0,8,4,12
SAPAHAQUI,consulta externa,personas de 5 a 9 anos,2009-01-01,20,23,1,0,21,23,44
SENA,consulta externa,personas de 5 a 9 anos,2009-01-01,17,24,6,8,23,32,55
SICA SICA (VILLA AROMA),consulta externa,personas de 5 a 9 anos,2009-01-01,24,18,0,0,24,18,42
SICAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,4,0,1,5,5,10
SIPE SIPE,consulta externa,personas de 5 a 9 anos,2009-01-01,24,24,6,7,30,31,61
SOPACHUY,consulta externa,personas de 5 a 9 anos,2009-01-01,19,19,1,0,20,19,39
SORACACHI,consulta externa,personas de 5 a 9 anos,2009-01-01,19,12,0,0,19,12,31
SORATA,consulta externa,personas de 5 a 9 anos,2009-01-01,15,26,0,1,15,27,42
SUCRE,consulta externa,personas de 5 a 9 anos,2009-01-01,1523,1408,398,380,1921,1788,3709
TACACHI,consulta externa,personas de 5 a 9 anos,2009-01-01,1,1,0,0,1,1,2
TACACOMA,consulta externa,personas de 5 a 9 anos,2009-01-01,10,9,1,0,11,9,20
TACOBAMBA,consulta externa,personas de 5 a 9 anos,2009-01-01,13,11,0,0,13,11,24
TACOPAYA,consulta externa,personas de 5 a 9 anos,2009-01-01,10,11,0,0,10,11,21
TAHUA,consulta externa,personas de 5 a 9 anos,2009-01-01,5,5,2,0,7,5,12
TAPACARI,consulta externa,personas de 5 a 9 anos,2009-01-01,21,28,4,0,25,28,53
TARABUCO,consulta externa,personas de 5 a 9 anos,2009-01-01,18,35,0,0,18,35,53
TARACO,consulta externa,personas de 5 a 9 anos,2009-01-01,6,5,0,0,6,5,11
TARATA,consulta externa,personas de 5 a 9 anos,2009-01-01,15,23,0,2,15,25,40
TARIJA,consulta externa,personas de 5 a 9 anos,2009-01-01,1314,1434,272,256,1586,1690,3276
TARVITA,consulta externa,personas de 5 a 9 anos,2009-01-01,30,35,2,0,32,35,67
TEOPONTE,consulta externa,personas de 5 a 9 anos,2009-01-01,23,18,0,1,23,19,42
TIAWANACU,consulta externa,personas de 5 a 9 anos,2009-01-01,22,6,7,1,29,7,36
