,group,variable,month,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS NUEVOS,MENORES DE 5 AÑOS REPETIDOS,MENORES DE 5 AÑOS REPETIDOS,TOTALES,TOTALES,TOTALES
,,,,MASCULINO,FEMENINO,MASCULINO,FEMENINO,TOTAL MASCULINO,TOTAL FEMENINO,TOTAL
OCURI,consulta externa,menores de 5 anos,2009-06-01,527,437,7,1,534,438,972
OKINAWA,consulta externa,menores de 5 anos,2009-06-01,454,400,9,7,463,407,870
OMEREQUE,consulta externa,menores de 5 anos,2009-06-01,193,165,1,1,194,166,360
ORURO,consulta externa,menores de 5 anos,2009-06-01,5382,4929,798,731,6180,5660,11840
PADCAYA,consulta externa,menores de 5 anos,2009-06-01,570,481,18,22,588,503,1091
PADILLA,consulta externa,menores de 5 anos,2009-06-01,347,357,4,0,351,357,708
PAILON,consulta externa,menores de 5 anos,2009-06-01,632,595,36,25,668,620,1288
PALCA,consulta externa,menores de 5 anos,2009-06-01,155,189,1,3,156,192,348
PALOS BLANCOS,consulta externa,menores de 5 anos,2009-06-01,706,672,45,43,751,715,1466
PAMPA AULLAGAS,consulta externa,menores de 5 anos,2009-06-01,77,55,3,3,80,58,138
PAMPA GRANDE,consulta externa,menores de 5 anos,2009-06-01,108,143,6,5,114,148,262
PAPEL PAMPA,consulta externa,menores de 5 anos,2009-06-01,103,141,3,2,106,143,249
PASORAPA,consulta externa,menores de 5 anos,2009-06-01,91,74,10,4,101,78,179
PATACAMAYA,consulta externa,menores de 5 anos,2009-06-01,305,301,0,0,305,301,606
PAZÑA,consulta externa,menores de 5 anos,2009-06-01,161,151,8,4,169,155,324
PELECHUCO,consulta externa,menores de 5 anos,2009-06-01,118,129,1,2,119,131,250
POCOATA,consulta externa,menores de 5 anos,2009-06-01,510,473,17,9,527,482,1009
POCONA,consulta externa,menores de 5 anos,2009-06-01,303,297,19,16,322,313,635
POJO (CBBA),consulta externa,menores de 5 anos,2009-06-01,246,184,5,5,251,189,440
POOPO,consulta externa,menores de 5 anos,2009-06-01,70,66,6,0,76,66,142
PORCO,consulta externa,menores de 5 anos,2009-06-01,239,255,2,0,241,255,496
POROMA,consulta externa,menores de 5 anos,2009-06-01,496,448,6,8,502,456,958
PORONGO,consulta externa,menores de 5 anos,2009-06-01,254,255,55,51,309,306,615
PORTACHUELO,consulta externa,menores de 5 anos,2009-06-01,590,533,34,37,624,570,1194
PORVENIR,consulta externa,menores de 5 anos,2009-06-01,179,137,8,5,187,142,329
POSTRER VALLE,consulta externa,menores de 5 anos,2009-06-01,34,30,1,0,35,30,65
POTOSI,consulta externa,menores de 5 anos,2009-06-01,4873,4426,767,710,5640,5136,10776
PRESTO,consulta externa,menores de 5 anos,2009-06-01,303,245,4,0,307,245,552
PUCARA,consulta externa,menores de 5 anos,2009-06-01,42,32,4,1,46,33,79
PUCARANI,consulta externa,menores de 5 anos,2009-06-01,259,231,6,8,265,239,504
PUERTO ACOSTA,consulta externa,menores de 5 anos,2009-06-01,187,141,6,2,193,143,336
PUERTO CARABUCO,consulta externa,menores de 5 anos,2009-06-01,107,98,1,2,108,100,208
PUERTO GONZALO MORENO,consulta externa,menores de 5 anos,2009-06-01,172,196,6,7,178,203,381
PUERTO PEREZ,consulta externa,menores de 5 anos,2009-06-01,42,47,1,0,43,47,90
PUERTO QUIJARRO,consulta externa,menores de 5 anos,2009-06-01,239,223,6,6,245,229,474
PUERTO RICO,consulta externa,menores de 5 anos,2009-06-01,212,217,6,8,218,225,443
PUERTO SILES,consulta externa,menores de 5 anos,2009-06-01,10,15,15,19,25,34,59
PUERTO SUAREZ,consulta externa,menores de 5 anos,2009-06-01,282,301,30,35,312,336,648
PUERTO VILLARROEL,consulta externa,menores de 5 anos,2009-06-01,1474,1252,152,105,1626,1357,2983
PUNA,consulta externa,menores de 5 anos,2009-06-01,1066,813,21,24,1087,837,1924
PUNATA,consulta externa,menores de 5 anos,2009-06-01,620,636,45,51,665,687,1352
QUIABAYA,consulta externa,menores de 5 anos,2009-06-01,55,52,1,1,56,53,109
QUILLACOLLO,consulta externa,menores de 5 anos,2009-06-01,1409,1372,745,675,2154,2047,4201
QUIME,consulta externa,menores de 5 anos,2009-06-01,150,148,6,4,156,152,308
QUIRUSILLAS,consulta externa,menores de 5 anos,2009-06-01,40,47,1,9,41,56,97
RAVELO,consulta externa,menores de 5 anos,2009-06-01,536,482,3,3,539,485,1024
REYES,consulta externa,menores de 5 anos,2009-06-01,294,307,8,10,302,317,619
RIBERALTA,consulta externa,menores de 5 anos,2009-06-01,3305,2754,487,556,3792,3310,7102
ROBORE,consulta externa,menores de 5 anos,2009-06-01,458,462,7,12,465,474,939
RURRENABAQUE,consulta externa,menores de 5 anos,2009-06-01,358,421,44,14,402,435,837
SABAYA,consulta externa,menores de 5 anos,2009-06-01,78,65,2,0,80,65,145
SACABA,consulta externa,menores de 5 anos,2009-06-01,1733,1620,289,288,2022,1908,3930
SACABAMBA,consulta externa,menores de 5 anos,2009-06-01,111,95,5,3,116,98,214
SACACA,consulta externa,menores de 5 anos,2009-06-01,786,759,5,6,791,765,1556
SAIPINA,consulta externa,menores de 5 anos,2009-06-01,123,138,11,14,134,152,286
SALINAS DE GARCI MENDOZA,consulta externa,menores de 5 anos,2009-06-01,241,218,0,1,241,219,460
SAMAIPATA,consulta externa,menores de 5 anos,2009-06-01,119,118,3,4,122,122,244
SAN AGUSTIN,consulta externa,menores de 5 anos,2009-06-01,27,29,2,0,29,29,58
SAN ANDRES,consulta externa,menores de 5 anos,2009-06-01,268,231,19,13,287,244,531
SAN ANDRES DE MACHACA,consulta externa,menores de 5 anos,2009-06-01,43,49,1,0,44,49,93
SAN ANTONIO DE ESMORUCO,consulta externa,menores de 5 anos,2009-06-01,126,115,5,4,131,119,250
SAN ANTONIO DE LOMERIO,consulta externa,menores de 5 anos,2009-06-01,128,141,1,0,129,141,270
SAN BENITO,consulta externa,menores de 5 anos,2009-06-01,246,232,42,24,288,256,544
SAN BORJA,consulta externa,menores de 5 anos,2009-06-01,809,827,37,18,846,845,1691
SAN BUENA VENTURA,consulta externa,menores de 5 anos,2009-06-01,285,243,13,8,298,251,549
SAN CARLOS,consulta externa,menores de 5 anos,2009-06-01,426,446,9,21,435,467,902
SAN IGNACIO,consulta externa,menores de 5 anos,2009-06-01,957,756,46,18,1003,774,1777
SAN IGNACIO DE VELASCO,consulta externa,menores de 5 anos,2009-06-01,1209,1121,138,115,1347,1236,2583
SAN JAVIER(BNI),consulta externa,menores de 5 anos,2009-06-01,95,104,5,3,100,107,207
SAN JAVIER(STC),consulta externa,menores de 5 anos,2009-06-01,247,248,6,7,253,255,508
SAN JOAQUIN,consulta externa,menores de 5 anos,2009-06-01,263,207,71,92,334,299,633
SAN JOSE DE CHIQUITOS,consulta externa,menores de 5 anos,2009-06-01,430,396,117,101,547,497,1044
SAN JUAN DE YAPACANI,consulta externa,menores de 5 anos,2009-06-01,378,402,48,41,426,443,869
SAN JULIAN,consulta externa,menores de 5 anos,2009-06-01,821,768,30,41,851,809,1660
SAN LORENZO(PND),consulta externa,menores de 5 anos,2009-06-01,190,189,7,7,197,196,393
SAN LORENZO(TJA),consulta externa,menores de 5 anos,2009-06-01,563,538,19,19,582,557,1139
SAN LUCAS,consulta externa,menores de 5 anos,2009-06-01,1124,1013,17,22,1141,1035,2176
SAN MATIAS,consulta externa,menores de 5 anos,2009-06-01,658,388,10,13,668,401,1069
SAN MIGUEL DE VELASCO,consulta externa,menores de 5 anos,2009-06-01,206,165,61,48,267,213,480
SAN PABLO DE LIPEZ,consulta externa,menores de 5 anos,2009-06-01,129,140,24,25,153,165,318
SAN PEDRO,consulta externa,menores de 5 anos,2009-06-01,560,546,31,24,591,570,1161
SAN PEDRO DE BUENA VISTA,consulta externa,menores de 5 anos,2009-06-01,774,765,2,0,776,765,1541
SAN PEDRO DE CURAHUARA,consulta externa,menores de 5 anos,2009-06-01,67,66,3,2,70,68,138
SAN PEDRO DE QUEMES,consulta externa,menores de 5 anos,2009-06-01,15,17,0,0,15,17,32
SAN PEDRO DE TIQUINA,consulta externa,menores de 5 anos,2009-06-01,38,50,2,2,40,52,92
SAN PEDRO(PND),consulta externa,menores de 5 anos,2009-06-01,95,69,2,4,97,73,170
SAN RAFAEL,consulta externa,menores de 5 anos,2009-06-01,207,185,7,5,214,190,404
SAN RAMON,consulta externa,menores de 5 anos,2009-06-01,203,183,4,7,207,190,397
SAN RAMON,consulta externa,menores de 5 anos,2009-06-01,164,188,2,1,166,189,355
SANTA ANA,consulta externa,menores de 5 anos,2009-06-01,396,371,30,4,426,375,801
SANTA CRUZ DE LA SIERRA,consulta externa,menores de 5 anos,2009-06-01,27842,21860,3498,3387,31340,25247,56587
SANTA ROSA,consulta externa,menores de 5 anos,2009-06-01,264,251,0,2,264,253,517
SANTA ROSA DEL SARA,consulta externa,menores de 5 anos,2009-06-01,574,573,10,12,584,585,1169
SANTIAGO DE CALLAPA,consulta externa,menores de 5 anos,2009-06-01,21,38,0,1,21,39,60
SANTIAGO DE HUARI,consulta externa,menores de 5 anos,2009-06-01,258,239,22,12,280,251,531
SANTIAGO DE MACHACA,consulta externa,menores de 5 anos,2009-06-01,29,50,5,11,34,61,95
SANTIVAÑES,consulta externa,menores de 5 anos,2009-06-01,72,75,7,4,79,79,158
SANTUARIO DE QUILLACAS,consulta externa,menores de 5 anos,2009-06-01,47,64,2,2,49,66,115
SAPAHAQUI,consulta externa,menores de 5 anos,2009-06-01,149,122,3,4,152,126,278
SENA,consulta externa,menores de 5 anos,2009-06-01,182,178,1,3,183,181,364
SICA SICA (VILLA AROMA),consulta externa,menores de 5 anos,2009-06-01,318,318,4,3,322,321,643
SICAYA,consulta externa,menores de 5 anos,2009-06-01,81,104,0,0,81,104,185
SIPE SIPE,consulta externa,menores de 5 anos,2009-06-01,535,481,240,210,775,691,1466
SOPACHUY,consulta externa,menores de 5 anos,2009-06-01,178,147,2,5,180,152,332
SORACACHI,consulta externa,menores de 5 anos,2009-06-01,232,264,4,2,236,266,502
SORATA,consulta externa,menores de 5 anos,2009-06-01,251,238,4,3,255,241,496
SUCRE,consulta externa,menores de 5 anos,2009-06-01,7644,7005,1057,998,8701,8003,16704
TACACHI,consulta externa,menores de 5 anos,2009-06-01,19,17,4,4,23,21,44
TACACOMA,consulta externa,menores de 5 anos,2009-06-01,167,150,0,0,167,150,317
TACOBAMBA,consulta externa,menores de 5 anos,2009-06-01,192,184,6,4,198,188,386
TACOPAYA,consulta externa,menores de 5 anos,2009-06-01,195,173,1,1,196,174,370
TAHUA,consulta externa,menores de 5 anos,2009-06-01,34,29,0,0,34,29,63
TAPACARI,consulta externa,menores de 5 anos,2009-06-01,697,644,44,32,741,676,1417
TARABUCO,consulta externa,menores de 5 anos,2009-06-01,567,557,2,0,569,557,1126
TARACO,consulta externa,menores de 5 anos,2009-06-01,36,27,1,1,37,28,65
TARATA,consulta externa,menores de 5 anos,2009-06-01,130,111,19,31,149,142,291
TARIJA,consulta externa,menores de 5 anos,2009-06-01,5552,5711,533,533,6085,6244,12329
TARVITA,consulta externa,menores de 5 anos,2009-06-01,658,638,10,2,668,640,1308
TEOPONTE,consulta externa,menores de 5 anos,2009-06-01,209,172,10,8,219,180,399
TIAWANACU,consulta externa,menores de 5 anos,2009-06-01,136,115,4,5,140,120,260
TINGUIPAYA,consulta externa,menores de 5 anos,2009-06-01,458,432,10,1,468,433,901
TIPUANI,consulta externa,menores de 5 anos,2009-06-01,212,167,4,5,216,172,388
TIQUIPAYA,consulta externa,menores de 5 anos,2009-06-01,1068,993,219,194,1287,1187,2474
TIRAQUE (CBBA),consulta externa,menores de 5 anos,2009-06-01,1050,949,49,60,1099,1009,2108
TITO YUPANQUI (PARQUIPUJIO),consulta externa,menores de 5 anos,2009-06-01,9,9,0,0,9,9,18
TOCO,consulta externa,menores de 5 anos,2009-06-01,116,104,10,1,126,105,231
TODOS SANTOS,consulta externa,menores de 5 anos,2009-06-01,10,5,0,0,10,5,15
TOLATA,consulta externa,menores de 5 anos,2009-06-01,144,111,10,8,154,119,273
TOLEDO,consulta externa,menores de 5 anos,2009-06-01,112,120,10,7,122,127,249
TOMAVE,consulta externa,menores de 5 anos,2009-06-01,323,278,25,16,348,294,642
TOMINA,consulta externa,menores de 5 anos,2009-06-01,352,389,0,7,352,396,748
TORO TORO,consulta externa,menores de 5 anos,2009-06-01,290,280,2,4,292,284,576
TOTORA(CBBA),consulta externa,menores de 5 anos,2009-06-01,245,282,2,2,247,284,531
TOTORA(ORR),consulta externa,menores de 5 anos,2009-06-01,100,124,5,2,105,126,231
TRIGAL,consulta externa,menores de 5 anos,2009-06-01,51,33,0,0,51,33,84
TRINIDAD,consulta externa,menores de 5 anos,2009-06-01,2535,2225,268,242,2803,2467,5270
TUPIZA,consulta externa,menores de 5 anos,2009-06-01,1132,936,70,37,1202,973,2175
TURCO,consulta externa,menores de 5 anos,2009-06-01,99,86,3,2,102,88,190
UMALA,consulta externa,menores de 5 anos,2009-06-01,134,135,0,0,134,135,269
UNCIA,consulta externa,menores de 5 anos,2009-06-01,707,550,0,1,707,551,1258
URIONDO (A. CONCEPCION),consulta externa,menores de 5 anos,2009-06-01,549,502,23,14,572,516,1088
URUBICHA,consulta externa,menores de 5 anos,2009-06-01,200,208,4,1,204,209,413
UYUNI,consulta externa,menores de 5 anos,2009-06-01,320,287,2,5,322,292,614
VACAS,consulta externa,menores de 5 anos,2009-06-01,134,145,14,12,148,157,305
VALLEGRANDE,consulta externa,menores de 5 anos,2009-06-01,203,179,60,41,263,220,483
VIACHA,consulta externa,menores de 5 anos,2009-06-01,693,717,123,133,816,850,1666
VILA VILA,consulta externa,menores de 5 anos,2009-06-01,88,76,1,1,89,77,166
VILLA MONTES,consulta externa,menores de 5 anos,2009-06-01,856,829,109,68,965,897,1862
VILLA NUEVA (LOMA ALTA),consulta externa,menores de 5 anos,2009-06-01,104,109,5,1,109,110,219
VILLA RIVERO,consulta externa,menores de 5 anos,2009-06-01,116,47,19,19,135,66,201
VILLA SERRANO,consulta externa,menores de 5 anos,2009-06-01,316,295,4,6,320,301,621
VILLA TUNARI,consulta externa,menores de 5 anos,2009-06-01,2290,2112,162,141,2452,2253,4705
VILLA VACA GUZMAN (MUYUPAMPA),consulta externa,menores de 5 anos,2009-06-01,229,241,2,2,231,243,474
VILLAZON,consulta externa,menores de 5 anos,2009-06-01,1485,1365,128,147,1613,1512,3125
VINTO,consulta externa,menores de 5 anos,2009-06-01,395,394,289,258,684,652,1336
VITICHI,consulta externa,menores de 5 anos,2009-06-01,207,217,5,3,212,220,432
WALDO BALLIVIAN,consulta externa,menores de 5 anos,2009-06-01,30,37,1,0,31,37,68
WARNES,consulta externa,menores de 5 anos,2009-06-01,1619,1536,21,30,1640,1566,3206
YACO,consulta externa,menores de 5 anos,2009-06-01,122,121,8,8,130,129,259
YACUIBA,consulta externa,menores de 5 anos,2009-06-01,2290,2065,177,114,2467,2179,4646
YAMPARAEZ,consulta externa,menores de 5 anos,2009-06-01,138,118,5,3,143,121,264
YANACACHI,consulta externa,menores de 5 anos,2009-06-01,68,90,2,0,70,90,160
YAPACANI,consulta externa,menores de 5 anos,2009-06-01,776,684,41,30,817,714,1531
YOCALLA,consulta externa,menores de 5 anos,2009-06-01,172,139,1,1,173,140,313
YOTALA,consulta externa,menores de 5 anos,2009-06-01,202,177,20,24,222,201,423
YUNCHARA,consulta externa,menores de 5 anos,2009-06-01,178,126,2,2,180,128,308
ZUDAÑEZ,consulta externa,menores de 5 anos,2009-06-01,242,220,11,8,253,228,481
ACACIO,consulta externa,menores de 5 anos,2009-07-01,177,180,3,2,180,182,362
ACHACACHI,consulta externa,menores de 5 anos,2009-07-01,405,342,9,6,414,348,762
ACHOCALLA,consulta externa,menores de 5 anos,2009-07-01,88,73,0,1,88,74,162
AIQUILE,consulta externa,menores de 5 anos,2009-07-01,638,608,61,43,699,651,1350
ALALAY,consulta externa,menores de 5 anos,2009-07-01,82,69,1,0,83,69,152
ALCALA,consulta externa,menores de 5 anos,2009-07-01,147,169,1,1,148,170,318
ANCORAIMES,consulta externa,menores de 5 anos,2009-07-01,134,128,7,6,141,134,275
ANDAMARCA,consulta externa,menores de 5 anos,2009-07-01,63,41,4,4,67,45,112
ANTEQUERA,consulta externa,menores de 5 anos,2009-07-01,50,30,0,0,50,30,80
ANZALDO,consulta externa,menores de 5 anos,2009-07-01,114,115,20,12,134,127,261
APOLO,consulta externa,menores de 5 anos,2009-07-01,486,534,2,1,488,535,1023
ARAMPAMPA,consulta externa,menores de 5 anos,2009-07-01,139,129,0,0,139,129,268
ARANI,consulta externa,menores de 5 anos,2009-07-01,236,148,4,0,240,148,388
ARBIETO,consulta externa,menores de 5 anos,2009-07-01,156,170,35,40,191,210,401
ARQUE,consulta externa,menores de 5 anos,2009-07-01,377,357,1,3,378,360,738
ASCENCION DE GUARAYOS,consulta externa,menores de 5 anos,2009-07-01,433,419,75,96,508,515,1023
ATOCHA,consulta externa,menores de 5 anos,2009-07-01,210,121,4,1,214,122,336
AUCAPATA,consulta externa,menores de 5 anos,2009-07-01,43,45,5,2,48,47,95
AYATA,consulta externa,menores de 5 anos,2009-07-01,211,158,1,3,212,161,373
AYO AYO,consulta externa,menores de 5 anos,2009-07-01,58,58,3,3,61,61,122
AYOPAYA (V. DE INDEPENDENCIA),consulta externa,menores de 5 anos,2009-07-01,700,638,11,15,711,653,1364
AZURDUY,consulta externa,menores de 5 anos,2009-07-01,429,462,4,2,433,464,897
BATALLAS,consulta externa,menores de 5 anos,2009-07-01,101,84,0,0,101,84,185
BAURES,consulta externa,menores de 5 anos,2009-07-01,119,99,12,12,131,111,242
BELEN DE ANDAMARCA,consulta externa,menores de 5 anos,2009-07-01,23,23,0,0,23,23,46
BELEN DE URMIRI,consulta externa,menores de 5 anos,2009-07-01,44,35,3,1,47,36,83
BELLA FLOR,consulta externa,menores de 5 anos,2009-07-01,78,77,0,0,78,77,155
BERMEJO,consulta externa,menores de 5 anos,2009-07-01,1537,1513,110,73,1647,1586,3233
BETANZOS,consulta externa,menores de 5 anos,2009-07-01,792,769,18,9,810,778,1588
BOLIVAR,consulta externa,menores de 5 anos,2009-07-01,135,114,0,0,135,114,249
BOLPEBRA,consulta externa,menores de 5 anos,2009-07-01,52,36,4,4,56,40,96
BOYUIBE,consulta externa,menores de 5 anos,2009-07-01,90,111,2,1,92,112,204
BUENA VISTA,consulta externa,menores de 5 anos,2009-07-01,282,234,38,35,320,269,589
CABEZAS,consulta externa,menores de 5 anos,2009-07-01,573,537,55,46,628,583,1211
CAIROMA,consulta externa,menores de 5 anos,2009-07-01,203,137,10,8,213,145,358
"CAIZA ""D""",consulta externa,menores de 5 anos,2009-07-01,158,160,3,6,161,166,327
CAJUATA,consulta externa,menores de 5 anos,2009-07-01,292,251,6,8,298,259,557
CALACOTO,consulta externa,menores de 5 anos,2009-07-01,95,76,1,1,96,77,173
CALAMARCA,consulta externa,menores de 5 anos,2009-07-01,179,145,14,12,193,157,350
CAMARGO,consulta externa,menores de 5 anos,2009-07-01,371,373,13,21,384,394,778
CAMATAQUI (C. VILLA ABECIA),consulta externa,menores de 5 anos,2009-07-01,80,62,6,2,86,64,150
CAMIRI,consulta externa,menores de 5 anos,2009-07-01,1057,966,105,112,1162,1078,2240
CAPINOTA,consulta externa,menores de 5 anos,2009-07-01,259,267,46,73,305,340,645
CAQUIAVIRI,consulta externa,menores de 5 anos,2009-07-01,68,62,0,0,68,62,130
CARACOLLO,consulta externa,menores de 5 anos,2009-07-01,203,209,6,3,209,212,421
CARANAVI,consulta externa,menores de 5 anos,2009-07-01,1020,1028,51,79,1071,1107,2178
CARANGAS,consulta externa,menores de 5 anos,2009-07-01,5,0,0,0,5,0,5
CARAPARI,consulta externa,menores de 5 anos,2009-07-01,319,308,2,2,321,310,631
CARIPUYO,consulta externa,menores de 5 anos,2009-07-01,257,219,0,1,257,220,477
CARMEN RIVERO TORREZ,consulta externa,menores de 5 anos,2009-07-01,74,60,17,16,91,76,167
CATACORA,consulta externa,menores de 5 anos,2009-07-01,22,9,1,0,23,9,32
CHACARILLA,consulta externa,menores de 5 anos,2009-07-01,26,29,6,3,32,32,64
CHALLAPATA,consulta externa,menores de 5 anos,2009-07-01,416,300,15,7,431,307,738
CHAQUI,consulta externa,menores de 5 anos,2009-07-01,124,119,3,6,127,125,252
CHARAGUA,consulta externa,menores de 5 anos,2009-07-01,934,857,51,69,985,926,1911
CHARAÑA,consulta externa,menores de 5 anos,2009-07-01,32,32,0,1,32,33,65
CHAYANTA,consulta externa,menores de 5 anos,2009-07-01,430,497,11,3,441,500,941
CHIMORE,consulta externa,menores de 5 anos,2009-07-01,577,493,17,12,594,505,1099
CHIPAYA,consulta externa,menores de 5 anos,2009-07-01,30,28,1,1,31,29,60
CHOQUE COTA,consulta externa,menores de 5 anos,2009-07-01,19,7,1,0,20,7,27
CHULUMANI (V. DE LA LIBERTAD),consulta externa,menores de 5 anos,2009-07-01,360,287,51,26,411,313,724
CHUMA,consulta externa,menores de 5 anos,2009-07-01,120,115,3,1,123,116,239
CLIZA,consulta externa,menores de 5 anos,2009-07-01,381,274,108,58,489,332,821
COBIJA,consulta externa,menores de 5 anos,2009-07-01,898,810,330,337,1228,1147,2375
COCHABAMBA,consulta externa,menores de 5 anos,2009-07-01,9238,8564,3726,3370,12964,11934,24898
COIPASA,consulta externa,menores de 5 anos,2009-07-01,27,13,0,0,27,13,40
COLCAPIRHUA,consulta externa,menores de 5 anos,2009-07-01,472,357,441,287,913,644,1557
"COLCHA ""K""",consulta externa,menores de 5 anos,2009-07-01,153,156,2,2,155,158,313
COLLANA,consulta externa,menores de 5 anos,2009-07-01,12,12,0,1,12,13,25
COLOMI,consulta externa,menores de 5 anos,2009-07-01,234,215,32,34,266,249,515
COLPA BELGICA,consulta externa,menores de 5 anos,2009-07-01,150,143,44,46,194,189,383
COLQUECHACA,consulta externa,menores de 5 anos,2009-07-01,912,836,15,5,927,841,1768
COLQUENCHA,consulta externa,menores de 5 anos,2009-07-01,113,103,5,2,118,105,223
COLQUIRI,consulta externa,menores de 5 anos,2009-07-01,265,241,28,26,293,267,560
COMANCHE,consulta externa,menores de 5 anos,2009-07-01,35,33,1,1,36,34,70
COMARAPA,consulta externa,menores de 5 anos,2009-07-01,350,347,32,24,382,371,753
COMBAYA,consulta externa,menores de 5 anos,2009-07-01,38,24,1,1,39,25,64
CONCEPCION,consulta externa,menores de 5 anos,2009-07-01,254,247,3,0,257,247,504
COPACABANA,consulta externa,menores de 5 anos,2009-07-01,130,89,4,0,134,89,223
CORIPATA,consulta externa,menores de 5 anos,2009-07-01,264,279,10,11,274,290,564
CORO CORO,consulta externa,menores de 5 anos,2009-07-01,95,86,0,1,95,87,182
COROICO,consulta externa,menores de 5 anos,2009-07-01,190,199,48,52,238,251,489
CORQUE,consulta externa,menores de 5 anos,2009-07-01,101,88,15,3,116,91,207
COTAGAITA,consulta externa,menores de 5 anos,2009-07-01,557,504,15,7,572,511,1083
COTOCA,consulta externa,menores de 5 anos,2009-07-01,782,769,31,29,813,798,1611
CUATRO CAÑADAS,consulta externa,menores de 5 anos,2009-07-01,512,526,33,28,545,554,1099
CUCHUMUELA (V. G. VILLARROEL),consulta externa,menores de 5 anos,2009-07-01,36,41,2,1,38,42,80
CUEVO,consulta externa,menores de 5 anos,2009-07-01,88,99,4,2,92,101,193
CULPINA,consulta externa,menores de 5 anos,2009-07-01,444,445,11,8,455,453,908
CURAHUARA DE CARANGAS,consulta externa,menores de 5 anos,2009-07-01,104,72,7,3,111,75,186
CURVA,consulta externa,menores de 5 anos,2009-07-01,62,49,6,2,68,51,119
DESAGUADERO,consulta externa,menores de 5 anos,2009-07-01,52,33,0,0,52,33,85
EL ALTO,consulta externa,menores de 5 anos,2009-07-01,11495,10797,1587,1552,13082,12349,25431
EL CHORO,consulta externa,menores de 5 anos,2009-07-01,120,109,0,3,120,112,232
EL PUENTE(STC),consulta externa,menores de 5 anos,2009-07-01,399,337,37,33,436,370,806
EL PUENTE(TJA),consulta externa,menores de 5 anos,2009-07-01,280,248,8,9,288,257,545
EL TORNO,consulta externa,menores de 5 anos,2009-07-01,1043,904,106,127,1149,1031,2180
EL VILLAR,consulta externa,menores de 5 anos,2009-07-01,122,102,2,2,124,104,228
ENTRE RIOS,consulta externa,menores de 5 anos,2009-07-01,428,470,31,35,459,505,964
ENTRE RIOS,consulta externa,menores de 5 anos,2009-07-01,514,480,10,8,524,488,1012
ESCARA,consulta externa,menores de 5 anos,2009-07-01,1,1,0,0,1,1,2
ESMERALDA,consulta externa,menores de 5 anos,2009-07-01,5,2,0,0,5,2,7
EUCALIPTUS,consulta externa,menores de 5 anos,2009-07-01,144,108,9,1,153,109,262
EUREKA (SANTOS MERCADO),consulta externa,menores de 5 anos,2009-07-01,44,40,8,3,52,43,95
EXALTACION,consulta externa,menores de 5 anos,2009-07-01,38,20,5,5,43,25,68
FERNANDEZ ALONSO,consulta externa,menores de 5 anos,2009-07-01,589,428,13,9,602,437,1039
FILADELFIA,consulta externa,menores de 5 anos,2009-07-01,118,73,4,7,122,80,202
GENERAL SAAVEDRA,consulta externa,menores de 5 anos,2009-07-01,618,493,1,8,619,501,1120
GRAL. J.J. PEREZ (CHARAZANI),consulta externa,menores de 5 anos,2009-07-01,199,153,8,2,207,155,362
GUANAY,consulta externa,menores de 5 anos,2009-07-01,344,275,9,6,353,281,634
GUAQUI,consulta externa,menores de 5 anos,2009-07-01,38,41,0,1,38,42,80
GUAYARAMERIN,consulta externa,menores de 5 anos,2009-07-01,1369,1220,87,80,1456,1300,2756
GUTIERREZ,consulta externa,menores de 5 anos,2009-07-01,553,527,4,7,557,534,1091
HUACARETA,consulta externa,menores de 5 anos,2009-07-01,216,188,23,31,239,219,458
HUACAYA (VILLA DE HUACAYA),consulta externa,menores de 5 anos,2009-07-01,77,82,0,0,77,82,159
HUACHACALLA,consulta externa,menores de 5 anos,2009-07-01,9,6,1,0,10,6,16
HUANUNI,consulta externa,menores de 5 anos,2009-07-01,422,358,63,72,485,430,915
HUARACAJE,consulta externa,menores de 5 anos,2009-07-01,94,67,2,1,96,68,164
HUAYLLAMARCA,consulta externa,menores de 5 anos,2009-07-01,41,47,2,1,43,48,91
ICHOCA,consulta externa,menores de 5 anos,2009-07-01,44,41,0,0,44,41,85
ICLA,consulta externa,menores de 5 anos,2009-07-01,487,452,3,2,490,454,944
INCAHUASI,consulta externa,menores de 5 anos,2009-07-01,811,820,29,33,840,853,1693
INGAVI (HUMAITA),consulta externa,menores de 5 anos,2009-07-01,82,63,4,4,86,67,153
INQUISIVI,consulta externa,menores de 5 anos,2009-07-01,139,152,1,0,140,152,292
IRUPANA (VILLA DE LANZA),consulta externa,menores de 5 anos,2009-07-01,241,166,7,5,248,171,419
IXIAMAS,consulta externa,menores de 5 anos,2009-07-01,269,254,8,9,277,263,540
JESUS DE MACHACA,consulta externa,menores de 5 anos,2009-07-01,140,147,9,10,149,157,306
LA ASUNTA,consulta externa,menores de 5 anos,2009-07-01,691,709,68,55,759,764,1523
LA GUARDIA,consulta externa,menores de 5 anos,2009-07-01,1754,1643,151,106,1905,1749,3654
LA PAZ,consulta externa,menores de 5 anos,2009-07-01,13838,13335,3466,3618,17304,16953,34257
LA RIVERA,consulta externa,menores de 5 anos,2009-07-01,8,1,0,0,8,1,9
LAGUNILLAS,consulta externa,menores de 5 anos,2009-07-01,245,207,3,1,248,208,456
LAJA,consulta externa,menores de 5 anos,2009-07-01,109,104,16,16,125,120,245
LAS CARRERAS,consulta externa,menores de 5 anos,2009-07-01,82,71,1,3,83,74,157
