municipality,group,variable,month,AQV masculino,TOTAL
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-07-01,1,1
VITICHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-07-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-08-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-08-01,4,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-08-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-08-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-09-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-09-01,2,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-09-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-09-01,1,1
TACOBAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-09-01,2,2
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-09-01,10,10
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-10-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-10-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-10-01,10,10
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-10-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-10-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-10-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,2,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,1,1
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,0,0
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-11-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-12-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-12-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-12-01,2,2
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-12-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-12-01,0,0
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv masculino,2011-12-01,1,1
