,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
QUILLACOLLO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-08-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-09-01,1,0,1
CORIPATA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-09-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-09-01,0,0,0
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-09-01,2,3,5
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,1,1,2
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,0,0,0
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,0,2,2
VILLA TUNARI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-10-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-11-01,4,1,5
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,3,1,4
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,0,0,0
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,2,0,2
VINTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2021-12-01,1,0,1
