,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
SAN LORENZO(TJA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,5,2,7
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,0,1,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,3,2,5
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
COROICO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,2,1,3
MAPIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,0,1,1
POOPO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,6,2,8
TACOBAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
TAPACARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,0,1,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,2,0,2
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-04-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,4,3,7
COLQUIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,0,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,2,0,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,7,1,8
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,0,1,1
YOTALA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-05-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,5,1,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,5,2,7
SANTA ROSA DEL SARA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,2,0,2
UYUNI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,5,1,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,2,0,2
MOCOMOCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,7,1,8
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,2,0,2
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-07-01,0,1,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
CORIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,4,1,5
PALOS BLANCOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,4,2,6
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,3,0,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,5,1,6
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,0,1,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,1,0,1
URUBICHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-09-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,4,0,4
COTAGAITA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,4,1,5
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,6,1,7
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,0,1,1
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-10-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,5,0,5
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,1,0,1
EL PUENTE(STC),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,3,1,4
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,6,0,6
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,2,1,3
TARVITA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-11-01,2,0,2
CAPINOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,2,1,3
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,1,2,3
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,2,0,2
PORONGO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,2,1,3
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2021-12-01,2,0,2
