,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,1,2,3
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,3,5,8
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-09-01,0,2,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,1,0,1
PUERTO SILES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,2,1,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-10-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,1,0,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,4,5,9
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-12-01,4,0,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-12-01,3,2,5
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-12-01,2,1,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2021-12-01,1,0,1
