,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,5,1,6
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
MOJOCOYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,12,7,19
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,3,2,5
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
PAMPA AULLAGAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,6,5,11
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,4,4,8
QUIRUSILLAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,4,2,6
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,89,45,134
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,3,2,5
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,2,2
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,4,4,8
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,2,2,4
TOMAVE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,5,6,11
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,8,1,9
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,6,5,11
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,5,6,11
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,2,2
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,1,3
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,8,5,13
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,4,1,5
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,15,5,20
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,0,2
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,3,0,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,3,5
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,7,2,9
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,0,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,14,7,21
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,4,0,4
HUAYLLAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
ICLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
INQUISIVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,3,2,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,15,5,20
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,15,4,19
MOROCHATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,2,2
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,7,0,7
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,6,1,7
PUERTO PEREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,1,3
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,3,5
REYES,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,5,6,11
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
SACABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,0,2
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,3,3,6
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,2,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,94,57,151
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,0,2
SAPAHAQUI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,3,0,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,6,7,13
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,4,3,7
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,0,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,11,4,15
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,2,2,4
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,3,3,6
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,2,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,9,1,10
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,3,0,3
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-02-01,4,3,7
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,3,4
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,3,2,5
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,2,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,8,3,11
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,3,5
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,6,1,7
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,29,13,42
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,6,0,6
COLQUIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,3,0,3
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,7,2,9
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,25,14,39
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,4,3,7
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,3,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,2,2
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,1,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,4,1,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,17,12,29
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,16,6,22
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,4,5,9
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,2,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
PELECHUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,3,4
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,6,2,8
PUERTO ACOSTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,2,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,3,3,6
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,7,3,10
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,3,2,5
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,5,0,5
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,3,4
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,114,57,171
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,3,0,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
SORACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,6,3,9
TACOBAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,7,3,10
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,3,4
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,9,6,15
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,0,2
VALLEGRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,3,4
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,1,2
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,7,1,8
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2021-03-01,2,1,3
