,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
TARATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,3,1,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,0,2,2
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-08-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,2,2,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,1,2,3
URUBICHA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,1,0,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-09-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,3,0,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-10-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,6,2,8
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,2,2,4
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,2,0,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-11-01,2,0,2
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,5,3,8
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2021-12-01,0,1,1
