,group,variable,month,N° DE TBP BAAR (+) NUEVOS CANTIDAD,N° DE TBP BAAR (+) NUEVOS CANTIDAD,TOTALES
MOJOCOYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,10,8,18
OCURI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
PAMPA AULLAGAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,0,2
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,4,5,9
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,2,4
QUIRUSILLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
REYES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,3,1,4
SAMAIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,1,3
SAN IGNACIO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,0,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,80,38,118
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,2,2,4
TARATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,2,2
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,3,2,5
TARVITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,2,3
TOMAVE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,5,7,12
UNCIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,6,1,7
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,0,1,1
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,7,1,8
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,4,5,9
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,4,5,9
YOTALA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
AZURDUY,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,0,2
BOYUIBE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,2,2
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,1,3
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,8,5,13
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,0,2
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,0,3
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,6,2,8
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
CORIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,0,2
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,2,3
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,7,1,8
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,0,2
CULPINA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,9,3,12
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
GUANAY,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,0,3
INQUISIVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
IXIAMAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,2,5
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,12,4,16
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,14,4,18
MOROCHATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,0,3
PAILON,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
PALCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,4,1,5
PUERTO PEREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,2,3
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,4,5,9
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,1,3
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,2,5
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,1,2
SAN RAMON BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,80,52,132
SANTA ROSA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,0,3
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,4,4,8
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,3,6
TEOPONTE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,0,2
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,9,4,13
TUPIZA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,2,4
VILLA RIVERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,2,4
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,2,3
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,9,1,10
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,2,1,3
YANACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-02-01,3,2,5
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
AIQUILE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,4,5
AYATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,3,2,5
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,2,2
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,7,3,10
CHALLAPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,3,5
CHUMA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
COBIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,4,0,4
COCHABAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,20,6,26
COLCAPIRHUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,1,3
COLQUIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,3,0,3
COROICO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
COTAGAITA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
COTOCA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,7,2,9
CUATRO CAÑADAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,16,9,25
EL PUENTE(STC),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
EL TORNO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,3,3,6
ENTRE RIOS TRJ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,3,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,1,2
GUTIERREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,1,3
LA GUARDIA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,3,1,4
LA PAZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,11,4,15
LLALLAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
MAPIRI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
MECAPACA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
MIZQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,1,2
MONTERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,14,5,19
OKINAWA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,1,2
ORURO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,4,5
PALOS BLANCOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,2,2
POCOATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
POCONA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
POJO (CBBA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
PORONGO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,3,4
PORTACHUELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
PORVENIR,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,2,3
PUERTO ACOSTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,3,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,3,3,6
PUNATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,3,3
QUILLACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,4,1,5
QUIME,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
RAVELO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,2,4
SACABA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,4,0,4
SAMAIPATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,3,4
SAN CARLOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,1,3
SAN LORENZO(TJA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
SAN PEDRO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,1,2
SAN RAMON BENI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SANTA ANA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,103,54,157
SANTA ROSA DEL SARA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,1,2
SHINAOTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,3,0,3
SICA SICA (VILLA AROMA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SORACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
SORATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
SUCRE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,4,3,7
TACOBAMBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
TARIJA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,6,2,8
TIPUANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,3,4
TRINIDAD,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,8,5,13
URUBICHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
VIACHA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
VILLA CHARCAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,7,0,7
VILLAZON,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,0,2
VINTO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,1,2
VITICHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,0,1,1
WARNES,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,5,1,6
YACUIBA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,2,3
YAPACANI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,2,1,3
YOTALA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,0,1
ARQUE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,0,1
BATALLAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,3,3,6
BETANZOS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,0,1,1
CAJUATA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,2,0,2
CARACOLLO,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,6,2,8
CARAPARI,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,1,2
CHAYANTA,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tbp baar (+) nuevos,2021-04-01,1,1,2
