,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,8,1,9
MOJOCOYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,12,3,15
OKINAWA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,3,2,5
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
PAMPA AULLAGAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
POJO (CBBA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,2,2
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,2,2
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,6,5,11
PUNATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,4,6
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,3,1,4
SAMAIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,0,2
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,78,38,116
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,3,2,5
TARATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,2,2
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,3,3,6
TARVITA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,2,4
TOMAVE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,4,6,10
UNCIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,1,2
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,6,0,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
VILLAZON,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,0,1,1
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,2,0,2
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,9,0,9
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,6,6,12
YANACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,5,6,11
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-01-01,1,0,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
ARBIETO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
AZURDUY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,3,1,4
BOYUIBE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,2,2
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,4,4,8
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,16,3,19
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
COMARAPA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,2,2
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,3,3
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,7,2,9
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
CULPINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,10,7,17
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,4,0,4
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
ICLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,3,1,4
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,8,3,11
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,6,3,9
MOROCHATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,7,0,7
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
PUERTO PEREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
PUNATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,2,4
QUIRUSILLAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
REYES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,6,8
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,1,2
SACABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,3,2,5
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,2,2
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
SAN RAMON SCZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,87,49,136
SANTA ROSA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,3,0,3
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,6,8,14
TARATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,5,2,7
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,8,2,10
UYUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,2,4
VILLA RIVERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,2,2,4
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,2,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,9,1,10
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,3,1,4
YANACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,1,0,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-02-01,4,3,7
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,3,4
AYATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,2,4
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,3,4
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,10,4,14
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,3,5
CHUMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,5,1,6
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,22,16,38
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,5,0,5
COLQUIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,3,1,4
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,7,2,9
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,16,10,26
EL PUENTE(STC),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,4,3,7
ENTRE RIOS TRJ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,3,5
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,2,2
GUTIERREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
ICLA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,1,3
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,4,1,5
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,10,7,17
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
MOJOCOYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,1,2
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,10,4,14
OKINAWA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,3,5,8
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,2,2
PELECHUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
POCONA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,1,2
POJO (CBBA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
PORONGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,3,4
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,4,1,5
PUERTO SUAREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,4,3,7
PUNATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,3,3
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,6,3,9
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,5,0,5
RURRENABAQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,6,0,6
SAN BENITO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,3,4
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,1,3
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,2,4
SAN LORENZO(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
SANTA ANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,97,44,141
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,1,2
SAPAHAQUI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,3,0,3
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,6,3,9
TARATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,7,4,11
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,3,4
TOTORA(CBBA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,6,6,12
URUBICHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,3,2,5
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,6,0,6
VILLAZON,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,0,1
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,1,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,6,0,6
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,1,3,4
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,1,3
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-03-01,2,0,2
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,1,0,1
ARQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,2,0,2
BATALLAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,0,1,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,3,3,6
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,0,1,1
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,0,1,1
CARACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,6,2,8
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,0,1,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2021-04-01,1,1,2
