,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,7,6,1,1,15
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,1,0,0,2
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,2,0,2,0,4
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,2,2,0,0,4
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,2,1,0,0,3
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,0,1,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,2,0,0,0,2
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,2,4,1,0,7
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,1,0,0,2
YOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-01-01,1,0,0,0,1
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,2,0,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,6,2,0,0,8
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,2,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,20,24,1,2,47
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,2,1,0,0,3
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,10,6,28,4,48
EL PUENTE(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,8,0,0,8
EL TORNO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,1,0,0,2
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,2,0,0,2
GUTIERREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,14,22,1,1,38
MAGDALENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,1,0,0,2
MONTEAGUDO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,1,0,0,2
OCURI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,1,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,3,1,11,8,23
PALCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,1,0,2
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
POCOATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,2,0,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,1,2
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
PUERTO RICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
PUNA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,1,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
SAN IGNACIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,12,24,3,3,42
SANTA ROSA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,1,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,7,4,0,5,16
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,1,0,1
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,0,0,0,1
TOMAVE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
TORO TORO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,1,2
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,1,0,0,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,4,1,0,1,6
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,1,3,0,0,4
YAPACANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-02-01,0,0,0,1,1
AIQUILE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,0,1,1
ANZALDO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
APOLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
BERMEJO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,0,2,2
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,1,1,3
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,3,7,3,3,16
COLQUIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,8,8,16,18,50
EL TORNO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,1,1,2
HUACHACALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,7,13,6,4,30
LURIBAY,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,2,0,1,3
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,3,0,0,1,4
NUEVO MANOA (NUEVA ESPERANZA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,1,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,2,2,2,1,7
PADCAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,1,0,2
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,1,0,0,2
PORONGO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,1,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,3,0,2,5
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,0,1,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,1,0,2
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,1,0,0,2
SAN JULIAN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,13,17,6,12,48
SAPAHAQUI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,5,4,9
SOPACHUY,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,1,0,0,1
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,1,0,2,4
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,1,0,0,2
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,0,0,1,0,1
TRIGAL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,2,4,2,5,13
URUBICHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,0,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-03-01,1,0,0,1,2
ANZALDO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,0,1
AUCAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,0,1
CHAQUI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
CKOCHAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,2,0,1,4
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,3,0,0,4
CORIPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,1,1,0,3
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,2,2,1,4,9
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,0,1,1
ESCOMA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,2,0,0,0,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,5,4,0,0,9
MAPIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,2,1,0,2,5
PALCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,0,1
POJO (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,0,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,0,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,0,1
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,0,0,1
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,2,0,0,2
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,10,29,0,0,39
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,1,1,2
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,1,0,0,1
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,0,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,0,0,1
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,0,0,0,1,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,0,1,1,3
YANACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-04-01,1,1,0,0,2
ACACIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,4,5
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,1,2
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,2,0,1,3
BATALLAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,0,1
BERMEJO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
BETANZOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,3,3
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,2,0,2,0,4
CAJUATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,1,0,0,2
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,1,2
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,1,0,2
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
CHUMA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,1,0,1,3
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,1,2
COLQUECHACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,3,1,1,1,6
COROICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
COTAGAITA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,3,0,2,5,10
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,5,4,14,16,39
EL VILLAR,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,0,1
HUANUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,1,2
ICLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,0,1
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,2,0,0,0,2
INQUISIVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,5,2,8
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,14,44,7,3,68
LAJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,0,1
LLICA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,3,0,3
LURIBAY,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,1,1
MAGDALENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,1,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,4,5
MONTEAGUDO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,1,0,0,2
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,2,2,0,5
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,2,3,3,8
PADCAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,2,1,3
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,2,0,2
POCOATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,3,1,5
PORCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,1,1
POROMA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,2,0,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,5,3,6,9,23
PUNA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,1,3,5
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,1,2,4
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,1,2,4
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,27,12,39
SAN IGNACIO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,4,5,10
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,3,2,6
SAN LUCAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,1,0,0,2
SAN MATIAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,1,1
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,1,0,0,2
SAN RAFAEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,20,14,7,11,52
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,0,1
SANTIVAÑES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,1,2
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,1,0,0,2
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,0,1
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,11,20,1,0,32
TAPACARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,0,1,2
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,2,1,4
TEOPONTE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,0,2,2
TIAHUANACU,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,5,3,9
TINGUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,1,1,2,4
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,1,2
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,1,0,1
TOMAVE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,2,1,2,6
TOTORA(CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,0,1,2
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,1,0,5,4,10
TUPIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,2,2,0,0,4
UNCIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2020-05-01,0,0,2,2,4
