,group,variable,month,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS DENTRO,SRP 1RA. DOSIS FUERA,SRP 1RA. DOSIS FUERA,TOTALES
UYUNI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
VIACHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
VILLA MONTES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,0,1,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,2,0,0,0,2
VILLAZON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
WARNES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,2,2,1,0,5
YACUIBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-01-01,1,1,0,0,2
ACHACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
BATALLAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
CABEZAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,2,0,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
CARAPARI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
CHIMORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
CKOCHAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,1,0,4,6
COLOMI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,3,1,0,0,4
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,3,2,6,3,14
EL TORNO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,2,1,0,0,3
GUTIERREZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,4,13,0,0,17
MAGDALENA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,1,0,0,2
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,3,8,4,16
PAILON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,2,0,0,2
PALCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
PALOS BLANCOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,1,2
PUERTO RICO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
ROBORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
SAN BORJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
SAN CARLOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,11,14,3,3,31
SUCRE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,2,5,1,0,8
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,1,0,1
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,0,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,1,1,2
VINTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,1,0,0,1
WARNES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,4,1,0,1,6
YACUIBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,1,3,0,0,4
YAPACANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-02-01,0,0,0,1,1
AIQUILE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
CHALLAPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
COBIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,0,1,1,3
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,6,3,6,5,20
COLQUIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
CONCEPCION,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
COROICO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,8,4,2,5,19
EXALTACION,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
HUACHACALLA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,6,7,6,4,23
LURIBAY,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,2,0,1,3
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,3,0,0,0,3
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,2,1,1,5
PAILON,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,4,4,8
PORONGO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,2,0,2,4
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
RIBERALTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,2,2
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,1,0,2
SAN IGNACIO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,1,0,0,2
SAN JULIAN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,9,11,6,16,42
SHINAOTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,5,3,8
SOPACHUY,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
SUCRE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,2,0,2
TARIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,1,0,0,2
TIRAQUE (CBBA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,1,0,1
TRINIDAD,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,2,5,7
TUPIZA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
URUBICHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
VIACHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,1,0,0,0,1
WARNES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,0,0,1,1
YACUIBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-03-01,0,1,0,0,1
ANZALDO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,1,0,1
AUCAPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,1,0,1
BERMEJO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,2,1,0,0,3
CABEZAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,2,0,3
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,1,1,2
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,2,2,0,0,4
COLPA BELGICA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,0,0,1
CORIPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,1,1,0,3
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,1,2,5,9
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,1,1
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,2,4,0,0,6
MAPIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,0,0,1
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,2,1,0,2,5
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,0,0,1
PUERTO RICO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,4,4
PUERTO SUAREZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,1,0,1
RIBERALTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,0,0,1
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,0,0,1
SAIPINA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,0,0,1
SAN CARLOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,13,13,4,6,36
SENA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,1,1
SIPE SIPE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,1,0,0,1
SORATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,0,0,1
TAPACARI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,1,1
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,0,0,1
TOMAVE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,1,1
UNCIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,1,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,0,0,1
VINTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,0,0,0,1,1
WARNES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,0,1,2,4
YANACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-04-01,1,1,0,0,2
ACHACACHI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,1,2
ALTO BENI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,0,1
ANDAMARCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
ARBIETO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,3,0,0,4
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,3,0,0,3
ATOCHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,2,0,0,4
BATALLAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
BETANZOS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,4,5
"CAIZA ""D""",vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
CAJUATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
CARANAVI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,2,2
CHALLAPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,1,2
CHIMORE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,3,4
COBIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,5,0,0,6
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,6,5,0,1,12
"COLCHA ""K""",vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,1,2
COLOMI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,2,0,1,3
COLQUECHACA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,3,4,8
COTOCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,0,2,5,9
EL ALTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,3,6,11,10,30
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
GUANAY,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,5,1,3,11
GUAYARAMERIN,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,0,1
ICLA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
INQUISIVI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,5,2,8
LA PAZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,54,94,3,5,156
LAJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,0,1
LURIBAY,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
MAGDALENA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
MINEROS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,5,6
MONTERO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,2,2,0,6
OCURI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,3,2,5
ORURO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,2,3,3,8
PADCAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,2,2
POCOATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,3,2,6
POJO (CBBA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
PORCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
POROMA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
POTOSI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,3,14,13,32
PUNA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,5,2,7
PUNATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
QUILLACOLLO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,1,1,3
RIBERALTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,1,0,3,5
SACABA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,2,3
SACACA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,8,8,16
SAN IGNACIO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,1,2
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,3,2,6
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,3,0,0,3
SAN MATIAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,2,0,0,4
SAN PABLO DE LIPEZ,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,5,2,7
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,9,8,11,7,35
SAN RAFAEL,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,19,10,9,11,49
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
SANTIVAÑES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,1,2
SENA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,1,0,0,2
SIPE SIPE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,1,0,0,2
SORATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
SUCRE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,12,34,1,0,47
TARIJA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,3,1,5
TEOPONTE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
TINGUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,2,3
TIQUIPAYA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,1,2
TOMAVE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
TOTORA(CBBA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,1,4,6
TUPIZA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,0,1,1
UNCIA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,5,9,14
UYUNI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,2,2,0,0,4
VIACHA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
VILLA CHARCAS,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,4,4,9
VILLA MONTES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,1,0,0,1
VINTO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,0,0,0,1
WARNES,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,4,4,2,0,10
YACUIBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,1,3,2,7
YOCALLA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,1,1,1,0,3
YOTALA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-05-01,0,0,1,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,0,0,1,1
AIQUILE,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,1,0,0,0,1
ALTO BENI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,0,0,1,1
ANDAMARCA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,0,1,1,2
ARBIETO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,2,0,0,2
CAMIRI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,1,0,0,3,4
CARANAVI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,0,2,1,3
CARIPUYO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,1,0,1,2
CHALLAPATA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,0,1,1,2
CHAQUI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,1,0,1,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,2,0,0,1,3
COLOMI,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,1,1,0,2
COLQUECHACA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,1,1,1,3
COROICO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,1,0,0,0,1
COTAGAITA,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,0,1,1,2
CUEVO,vacunacion en ninos de 4 anos,srp 1ra. dosis,2020-06-01,0,1,0,0,1
