,group,variable,month,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS DENTRO,PENTAVALENTE 5TA. DOSIS FUERA,PENTAVALENTE 5TA. DOSIS FUERA,TOTALES
CALAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,2,1,1,8
CAMARGO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,5,0,0,12
CAMATAQUI (C. VILLA ABECIA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,0,1,4
CAMIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,28,31,1,0,60
CAPINOTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,14,12,3,1,30
CAQUIAVIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,0,1,3
CARACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,10,3,1,20
CARANAVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,26,20,3,1,50
CARAPARI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,12,7,9,13,41
CARIPUYO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,1,3,5
CARMEN RIVERO TORREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
CATACORA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,0,0,2
CHACARILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,0,0,2
CHALLAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,21,10,2,4,37
CHAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,3,2,4,15
CHARAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,8,7,5,21
CHARAÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,0,1,1
CHAYANTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,6,4,2,17
CHIMORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,12,14,7,4,37
CHUA COCANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,1,1,3,7
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,4,0,0,10
CHUMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,4,4,3,12
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,5,1,1,9
CKOCHAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,3,3,2,9
CLIZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,22,11,6,7,46
COBIJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,27,35,3,4,69
COCAPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,8,8,4,25
COCHABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,458,424,27,34,943
COLCAPIRHUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,37,25,0,3,65
"COLCHA ""K""",vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,4,0,0,4
COLLANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,0,0,2
COLOMI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,15,9,1,1,26
COLPA BELGICA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,3,0,3,7
COLQUECHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,10,14,12,44
COLQUENCHA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,6,0,0,13
COLQUIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,7,4,5,21
COMANCHE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
COMARAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,8,2,2,17
COMBAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,0,1,3
CONCEPCION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,11,3,2,20
COPACABANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,4,2,3,13
CORIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,3,0,0,10
CORO CORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,2,0,3,8
COROICO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,3,2,3,19
CORQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,3,3,10
COTAGAITA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,5,1,1,12
COTOCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,70,50,10,12,142
CRUZ DE MACHACAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,2,0,0,2
CUATRO CAÑADAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,16,7,1,1,25
CUCHUMUELA (V. G. VILLARROEL),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
CUEVO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,4,5
CULPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,5,2,1,13
CURAHUARA DE CARANGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
CURVA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,1,4,5
DESAGUADERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,3,2,0,6
EL ALTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,445,386,155,173,1159
EL CHORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,1,0,0,3
EL PUENTE(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,6,0,1,15
EL PUENTE(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,6,8,4,22
EL TORNO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,45,34,4,3,86
EL VILLAR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,1,0,0,3
ENTRE RIOS TRJ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,20,11,12,12,55
ENTRE RIOS CBBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,16,19,4,2,41
ESCARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
ESCOMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,2,2,5
EUCALIPTUS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,1,0,0,4
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,0,1,3
EXALTACION,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,2,0,0,5
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,10,1,6,22
FILADELFIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,1,2,1,6
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,10,9,0,0,19
GRAL. J.J. PEREZ (CHARAZANI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,1,1,5
GUANAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,2,9,6,22
GUAQUI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,4,0,1,7
GUAYARAMERIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,28,35,2,1,66
GUTIERREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,3,2,6
HUACARETA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,3,0,4,11
HUACAYA (VILLA DE HUACAYA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,2,0,2
HUACHACALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
HUANUNI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,7,8,8,31
HUARACAJE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,2,0,0,8
HUARINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,3,1,7
HUATAJATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,2,0,0,2
HUAYLLAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,0,0,2
HUMANATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,3,2,6
ICLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,3,3,2,9
INCAHUASI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
INGAVI (HUMAITA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
INQUISIVI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,3,0,4,8
IRUPANA (VILLA DE LANZA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,5,1,4,13
IXIAMAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,0,0,3
JESUS DE MACHACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,5,0,4,15
LA ASUNTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,25,1,2,39
LA GUARDIA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,106,108,4,3,221
LA PAZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,528,503,13,11,1055
LAGUNILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,3,1,2,6
LAJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,13,8,0,1,22
LAS CARRERAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,4,1,1,10
LICOMA PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
LLALLAGUA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,16,9,20,19,64
LORETO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,0,0,3
LURIBAY,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,2,0,0,2
MACHACAMARCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,4,0,0,7
MACHARETI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,1,0,1,4
MAGDALENA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,15,12,4,4,35
MAIRANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,4,0,0,13
MALLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,0,0,2
MAPIRI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,9,0,0,14
MECAPACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,7,1,0,16
MINEROS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,18,19,3,1,41
MIZQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,7,10,6,31
MOCOMOCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,3,2,2,9
MOJOCOYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,0,2,5
MONTEAGUDO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,22,17,1,2,42
MONTERO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,75,77,12,19,183
MORO MORO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,2,1,5
MOROCHATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,1,0,1
OCURI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,2,4,0,10
OKINAWA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,8,1,0,17
OMEREQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,10,6,18
ORURO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,172,172,25,19,388
PADCAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,10,1,0,18
PADILLA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,9,2,1,18
PAILON,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,10,9,11,9,39
PALCA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,5,8,8,26
PALOS BLANCOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,10,14,0,2,26
PAMPA AULLAGAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,1,1,4
PAMPA GRANDE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,2,1,0,8
PAPEL PAMPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,1,0,2
PASORAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,2,1,1,4
PATACAMAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,7,10,10,38
PAZÑA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,0,0,4
PELECHUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,4,0,0,6
POCOATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,2,6,6,18
POCONA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,3,4,2,12
POJO (CBBA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,2,5,6,18
POOPO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,1,0,3
PORCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,4,0,1,14
POROMA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,0,0,2,4
PORONGO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,6,6,5,28
PORTACHUELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,13,9,1,0,23
PORVENIR,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,0,0,4
POTOSI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,89,91,30,16,226
PRESTO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,3,0,4,12
PUCARANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,10,16,10,7,43
PUERTO ACOSTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,1,1,4
PUERTO CARABUCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,2,5,4,15
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,2,2,1,6
PUERTO PEREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,1,1,3
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,9,0,1,19
PUERTO SILES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
PUERTO SUAREZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,13,5,3,0,21
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,15,23,5,5,48
PUNA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,1,11,6,23
PUNATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,13,21,11,12,57
QUIABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,1,2,4
QUILLACOLLO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,40,52,27,30,149
QUIME,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,4,0,0,5
QUIRUSILLAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,0,0,1
RAQAYPAMPA(ETA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,2,0,0,5
RAVELO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,3,8,6,21
REYES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,4,0,0,9
RIBERALTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,43,30,0,0,73
ROBORE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,13,10,3,4,30
RURRENABAQUE,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,12,1,2,26
SABAYA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
SACABA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,70,72,51,63,256
SACABAMBA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,1,1,4
SACACA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,10,5,19
SAIPINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,1,2,3
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,3,1,0,8
SAMAIPATA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,5,3,0,15
SAN AGUSTIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
SAN ANDRES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,1,0,3
SAN ANTONIO DE LOMERIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,6,1,0,10
SAN BENITO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,8,8,2,0,18
SAN BORJA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,12,16,3,0,31
SAN BUENA VENTURA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,3,2,5,13
SAN CARLOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,22,17,23,20,82
SAN IGNACIO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,12,0,1,24
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,32,41,6,12,91
SAN JAVIER(BNI),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,1,0,1
SAN JAVIER(STC),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,9,0,0,20
SAN JOAQUIN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,4,25,20,54
SAN JOSE DE CHIQUITOS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,12,13,2,0,27
SAN JUAN DE YAPACANI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,5,2,2,11
SAN JULIAN,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,20,19,3,1,43
SAN LORENZO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,1,1,2,4
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,11,13,0,0,24
SAN LUCAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,5,5,1,20
SAN MATIAS,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,2,0,0,4
SAN MIGUEL DE VELASCO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,3,6,7,25
SAN PEDRO,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,7,6,2,1,16
SAN PEDRO DE BUENA VISTA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,6,2,11,8,27
SAN PEDRO DE CURAHUARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,2,4,1,0,7
SAN PEDRO DE QUEMES,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,0,1,1
SAN PEDRO DE TIQUINA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,4,2,0,1,7
SAN PEDRO(PND),vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,0,0,3,3,6
SAN RAFAEL,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,4,1,1,11
SAN RAMON BENI,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,1,6,6,14
SAN RAMON SCZ,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,3,0,0,6
SANTA ANA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,9,11,0,0,20
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,839,826,11,14,1690
SANTA ROSA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,3,1,0,0,4
SANTA ROSA DEL SARA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,5,11,2,2,20
SANTIAGO DE CALLAPA,vacunacion en ninos de 4 anos,pentavalente 5ta. dosis,2020-01-01,1,0,0,0,1
