,group,variable,month,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS DENTRO,PENTAVALENTE 2DA DOSIS FUERA,PENTAVALENTE 2DA DOSIS FUERA,TOTALES,TOTALES,TOTALES
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,1,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,7,5,1,0,8,5,13
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,3,1,0,0,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,3,7,5,5,8,12,20
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,3,2,1,1,4,3,7
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,1,0,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,3,0,4,0,4
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,4,0,0,1,4,5
SACACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,0,1,0,1,1
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,1,0,1,0,1
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,1,0,0,1,1,2
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,1,0,2,2
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,1,0,1,0,1
SAN PEDRO DE QUEMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,2,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,22,17,3,1,25,18,43
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
TARVITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,1,0,0,0,1,1
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,2,1,0,0,2,1,3
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,2,6,0,0,2,6,8
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,0,1,0,1,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,2,1,2,0,4,1,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,0,0,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-01-01,3,2,0,0,3,2,5
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,1,0,0,1,1,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,2,0,0,1,2,1,3
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,0,1,0,1
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,10,6,0,1,10,7,17
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,2,0,0,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,10,8,5,4,15,12,27
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,0,0,0,1,1
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,0,0,0,1,1
EXALTACION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,0,2,0,2,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,2,0,2,0,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,3,6,1,0,4,6,10
MACHARETI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,3,3,0,0,3,3,6
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,4,2,0,3,4,5,9
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,2,0,0,0,2,0,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,0,1,0,1
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,2,0,0,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,3,3,0,0,3,3,6
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,5,3,5,4,9
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,20,17,0,0,20,17,37
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,2,0,0,0,2,0,2
SANTIAGO DE HUATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,1,1,1,2
SAPAHAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,0,1,0,1
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,1,0,0,1,1,2
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,1,0,0,1,1,2
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,1,1,1,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,2,0,0,1,2,3
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,1,0,0,0,1,0,1
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,2,2,2,3,5
VILLAZON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,2,3,0,0,2,3,5
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-02-01,0,0,1,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,1,1,1,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,1,0,0,2,1,3
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,1,0,1,1,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,7,8,0,0,7,8,15
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,1,0,0,1,1,2
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,8,14,10,7,18,21,39
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,3,0,0,1,3,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,1,0,0,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,3,0,0,0,3,0,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,3,1,0,3,3,6
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,4,9,1,0,5,9,14
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,3,0,1,2,4,6
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,2,0,0,0,2,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,4,3,0,1,4,4,8
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,3,0,3,0,3
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,1,1,1,1,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,4,3,2,1,6,4,10
PUCARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,3,2,0,0,3,2,5
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,1,0,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,3,0,0,2,3,5
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,3,0,0,2,3,5
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,2,0,3,3
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,3,2,2,2,5,4,9
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,1,2,1,3,4
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,10,5,10,5,15
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,1,0,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,0,1,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,25,16,2,1,27,17,44
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
SORACACHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,0,1,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,1,1,2,1,3
TAPACARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,1,0,0,0,1,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,3,1,4,3,7,10
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,1,0,0,2,1,3
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,1,0,0,1,1,2
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,0,1,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,2,1,0,0,2,1,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,0,2,0,0,0,2,2
YOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-03-01,1,0,0,0,1,0,1
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
APOLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,0,3,0,3,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,2,0,0,0,2,2
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,7,3,0,0,7,3,10
AYO AYO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,2,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,3,2,3,2,5
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,0,1,0,1
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,3,0,3,1,4
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,9,7,1,2,10,9,19
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,2,0,3,0,3
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
COPACABANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,2,0,0,1,2,1,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,9,5,2,4,11,9,20
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,1,1,1,2
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,3,2,0,0,3,2,5
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,1,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,6,3,0,1,6,4,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,1,1,1,2,2,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,2,7,4,7,6,14,20
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,1,1,1,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,0,1,0,1,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,1,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,4,2,1,5,5,7,12
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,2,0,0,0,2,0,2
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,2,0,0,0,2,0,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,2,2,0,0,2,2,4
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,1,2,1,2,2,4
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,3,2,1,2,4,6
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,2,4,4,2,6,6,12
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,2,0,0,0,2,2
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 2da dosis,2016-04-01,0,0,6,8,6,8,14
