,group,variable,month,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA DENTRO,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,INFLUENZA ESTACIONAL DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,13,9,0,0,13,9,22
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,1,0,0,2,1,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,15,13,15,13,28
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,8,3,4,1,12,4,16
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,1,3,2,3,5
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,13,11,0,0,13,11,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,0,0,1,0,1
GUANAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,2,0,1,2,3,5
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,11,11,0,0,11,11,22
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,30,27,9,12,39,39,78
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,16,17,0,0,16,17,33
MINEROS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,29,31,0,0,29,31,60
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,21,20,6,2,27,22,49
OCURI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,1,1,1,2,2,4
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,0,2,0,2,2
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,2,4,2,6,4,10
PORVENIR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,5,6,2,3,7,9,16
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,2,2,3,2,5
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,3,0,0,2,3,2,5
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,11,22,0,3,11,25,36
RAVELO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,1,4,1,4,5
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,5,2,0,0,5,2,7
ROBORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,9,7,0,0,9,7,16
SACABA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,7,8,0,1,7,9,16
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,3,0,0,2,3,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,29,29,0,0,29,29,58
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,6,4,0,0,6,4,10
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,1,0,0,0,1,1
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,20,30,15,10,35,40,75
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,10,3,4,5,14,19
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,0,6,4,8,4,12
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,7,2,0,0,7,2,9
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,21,18,0,0,21,18,39
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,2,0,0,2,2,4
SENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,5,7,3,5,8,12,20
SORACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,0,1,1,3,1,4
TAPACARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,0,1,0,1,1
TOLATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,1,0,1,2,2,4
TOLEDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,1,0,1,0,2,0,2
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,2,1,2,3,4,7
URUBICHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,6,8,0,0,6,8,14
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,2,13,0,0,2,13,15
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,0,3,1,3,1,4
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,0,1,0,0,0,1,1
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-01-01,6,7,1,1,7,8,15
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,6,2,6,2,8
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,3,5,0,0,3,5,8
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,0,1,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,1,1,1,1,2
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,2,0,0,0,2,0,2
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,7,5,7,5,12
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,3,3,18,34,21,37,58
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,15,19,95,79,110,98,208
CHUMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,1,0,0,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,7,5,0,0,7,5,12
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,5,3,5,3,8
COPACABANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,2,6,8,4,10,10,20
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,7,4,0,2,7,6,13
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,2,4,0,0,2,4,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,12,21,0,0,12,21,33
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,0,0,1,0,1
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,1,0,1,0,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,2,1,3,1,4
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,1,4,3,5,4,9
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,7,10,0,0,7,10,17
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,4,8,4,8,12
HUANUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,5,6,12,7,17,24
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,3,0,0,1,3,4
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,3,6,3,6,9
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,14,20,1,2,15,22,37
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,2,3,5,3,7,10
MAPIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,7,4,13,4,20,8,28
MINEROS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,2,1,2,1,4,2,6
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,25,24,3,2,28,26,54
OKINAWA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,1,0,0,1,1,2
PAILON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,19,18,19,18,37
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,6,0,0,0,6,6
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,4,0,0,1,4,5
PORVENIR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,0,0,1,0,1
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,0,1,0,1,1
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,3,5,5,4,8,9,17
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,2,0,0,0,2,2
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,1,2,2,2,4
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,2,0,4,1,6,1,7
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,0,2,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,7,4,0,0,7,4,11
RAVELO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,2,4,2,4,6
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,2,0,0,0,2,2
ROBORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,24,21,0,0,24,21,45
SACABA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,5,0,0,0,5,0,5
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,3,6,0,1,3,7,10
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,11,1,0,1,11,2,13
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,1,0,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,31,24,27,18,58,42,100
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,14,4,7,4,21,8,29
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,1,3,2,3,3,6
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,0,1,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,8,2,0,0,8,2,10
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,4,0,4,1,8,1,9
SENA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,7,10,9,7,16,17,33
TAPACARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,0,0,1,0,1
TIPUANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,2,1,0,2,2,4
TOLATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,0,0,3,0,3,0,3
TOTORA(CBBA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,1,0,0,1,1,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,2,5,0,0,2,5,7
VALLEGRANDE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-02-01,9,7,1,1,10,8,18
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,0,0,1,0,1,1
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,0,0,1,0,1,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,0,1,0,1,0,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,0,5,0,5,0,5
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,9,7,7,18,16,25,41
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,0,5,2,5,2,7
MONTERO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,2,1,0,0,2,1,3
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,1,0,1,0,2,2
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,0,0,2,5,2,5,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,17,9,0,0,17,9,26
TUPIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-03-01,5,5,0,1,5,6,11
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,0,0,2,5,2,5,7
COMBAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,0,0,0,1,0,1,1
LA PAZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,6,0,0,0,6,0,6
MIZQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,3,5,5,4,8,9,17
POCONA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,1,0,2,2,3,2,5
VILLA NUEVA (LOMA ALTA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,1,1,0,0,1,1,2
VILLAZON,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,4,0,0,0,4,0,4
VINTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-04-01,23,25,14,21,37,46,83
ACACIO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,6,6,14,11,20,17,37
ACHACACHI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,59,45,44,47,103,92,195
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,16,22,5,10,21,32,53
AIQUILE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,18,18,44,32,62,50,112
ALALAY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,0,5,0,5,0,5
ALCALA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,6,3,6,3,12,6,18
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,23,25,2,1,25,26,51
ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,4,6,5,5,9,11,20
ANTEQUERA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,3,10,7,4,10,14,24
ANZALDO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,2,15,22,15,24,39
APOLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,21,26,19,20,40,46,86
ARANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,17,16,7,7,24,23,47
ARBIETO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,23,10,15,18,38,28,66
ARQUE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,15,12,8,11,23,23,46
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,4,10,0,0,4,10,14
ATOCHA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,13,13,35,33,48,46,94
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,4,10,3,3,7,13,20
AYATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,26,24,19,27,45,51,96
AYO AYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,8,8,10,12,18,20,38
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,42,34,84,90,126,124,250
AZURDUY,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,1,1,0,0,1,1,2
BATALLAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,18,22,9,9,27,31,58
BAURES,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,22,17,0,0,22,17,39
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,3,0,7,2,10,2,12
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,1,0,8,4,9,4,13
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,3,7,8,7,11,18
BERMEJO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,54,59,72,71,126,130,256
BETANZOS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,52,45,51,53,103,98,201
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,1,0,2,1,3,1,4
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,2,7,6,7,8,15
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,4,5,16,9,20,14,34
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,9,23,2,1,11,24,35
CAIROMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,17,19,12,22,29,41,70
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,6,5,7,6,13,11,24
CAJUATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,15,9,4,7,19,16,35
CALACOTO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,4,2,1,2,5,4,9
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,45,45,6,6,51,51,102
CAMARGO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,15,18,3,6,18,24,42
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,3,4,10,6,13,10,23
CAMIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,29,22,4,3,33,25,58
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,30,23,8,22,38,45,83
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,18,9,3,4,21,13,34
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,28,28,35,42,63,70,133
CARANAVI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,109,76,29,32,138,108,246
CARANGAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,0,1,5,1,5,6
CARAPARI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,14,12,5,6,19,18,37
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,3,5,6,9,9,14,23
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,2,7,8,18,10,25,35
CATACORA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,3,2,6,6,9,8,17
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,2,0,1,2,3,2,5
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,45,36,32,36,77,72,149
CHAQUI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,34,31,16,15,50,46,96
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,2,2,0,1,2,3,5
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,23,7,17,22,40,29,69
CHIMORE,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,33,47,17,16,50,63,113
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,7,2,2,6,9,8,17
CHOQUE COTA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,1,4,4,4,5,9
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,4,1,3,1,7,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,29,24,9,9,38,33,71
CHUMA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,8,15,4,7,12,22,34
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,7,14,27,43,34,57,91
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,9,10,0,0,9,10,19
CLIZA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,22,20,13,8,35,28,63
COBIJA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,102,117,39,41,141,158,299
COCAPATA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,47,45,83,106,130,151,281
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,839,800,152,117,991,917,1908
COIPASA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,0,0,7,4,7,4,11
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,96,91,46,34,142,125,267
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,47,54,9,8,56,62,118
COLLANA,vacunaciones en ninos de 12 a 23 meses,influenza estacional dosis unica,2016-05-01,21,21,3,0,24,21,45
