,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,3,1,3,2,6,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,2,4,6,6,8,14
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,10,12,7,11,17,23,40
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,2,3,5,4,9
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,15,1,2,5,17,22
BAURES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,2,0,0,6,2,8
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,1,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,14,20,7,8,21,28,49
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,8,7,5,12,13,25
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,0,0,0,1,1
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,0,2,2,6,2,8
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,14,7,7,14,21,35
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,17,10,25,24,42,34,76
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,8,6,1,4,9,10,19
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,5,4,1,5,6,11
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,11,9,2,0,13,9,22
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,3,2,3,2,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,2,3,4,3,6,9
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,18,3,3,16,21,37
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,36,31,1,0,37,31,68
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,17,14,0,3,17,17,34
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,3,7,1,8,4,12
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,21,5,2,11,23,34
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,29,34,2,1,31,35,66
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,19,21,19,22,41
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,2,7,3,7,5,12
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,5,7,5,7,12
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,15,24,12,4,27,28,55
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,5,4,2,10,7,17
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,5,24,28,29,33,62
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,24,15,7,6,31,21,52
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,1,0,0,4,1,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,8,13,1,8,9,21,30
CHUMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,3,2,1,4,4,8
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,6,7,4,10,10,20
CLIZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,16,12,5,5,21,17,38
COBIJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,56,44,8,3,64,47,111
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,6,11,11,13,17,30
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,605,576,8,2,613,578,1191
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,25,38,3,7,28,45,73
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,8,7,1,1,9,8,17
COLLANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,2,1,1,5,3,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,6,5,5,18,11,29
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,6,2,1,5,7,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,14,15,11,10,25,25,50
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,5,3,5,4,9
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,0,10,9,12,9,21
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,17,1,5,14,22,36
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,15,21,0,0,15,21,36
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,3,2,7,6,10,16
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,17,11,2,2,19,13,32
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,4,3,3,9,7,16
COROICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,6,5,5,7,11,18
CORQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,6,0,0,5,6,11
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,9,2,7,6,16,8,24
COTOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,70,45,11,10,81,55,136
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,2,0,0,0,2,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,15,18,4,4,19,22,41
CUEVO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,0,4,0,5,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,11,1,1,6,12,18
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,1,0,0,4,1,5
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,2,0,0,6,2,8
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,625,580,152,163,777,743,1520
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,1,8,2,9,3,12
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,0,0,0,7,0,7
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,4,3,5,3,8
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,41,44,8,9,49,53,102
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,1,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,8,19,10,12,18,31,49
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,29,33,0,0,29,33,62
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,1,0,0,1,1,2
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,3,1,1,2,4,6
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,3,5,3,5,8
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,1,13,15,15,16,31
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,3,3,3,3,6
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,9,1,2,8,11,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,4,5,5,5,9,14
GUANAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,9,14,2,4,11,18,29
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,23,24,12,6,35,30,65
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,6,13,3,20,9,29
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,0,0,3,1,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,16,16,0,0,16,16,32
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,3,4,3,5,8
HUARINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,1,4,7,5,8,13
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,0,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,1,1,2,2,3,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,1,1,4,2,6
ICLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,6,1,0,6,6,12
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,3,6,10,10,13,23
INGAVI (HUMAITA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,1,1,1,2,3
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,3,5,6,6,9,15
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,4,9,6,14,10,24
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,8,0,0,7,8,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,10,5,0,0,10,5,15
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,51,46,4,5,55,51,106
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,79,90,9,10,88,100,188
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,554,581,10,17,564,598,1162
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,0,0,0,1,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,5,4,5,4,9
LAJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,18,13,0,0,18,13,31
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,12,9,29,18,41,27,68
LORETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,1,2,2,4,3,7
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,2,1,5,1,7,8
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,1,5,4,6,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,0,0,0,1,1
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,12,0,0,13,12,25
MALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,11,13,2,2,13,15,28
MECAPACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,2,5,3,9,5,14
MINEROS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,19,15,1,2,20,17,37
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,33,24,10,12,43,36,79
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,4,2,2,6,6,12
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,3,0,0,2,3,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,19,8,6,1,25,9,34
MONTERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,127,107,2,3,129,110,239
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,0,0,1,3,1,4
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,2,0,0,3,2,5
OCURI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,1,5,6,7,7,14
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,3,6,3,6,9
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,0,1,0,4,0,4
ORURO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,256,296,20,19,276,315,591
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,11,13,6,1,17,14,31
PADILLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,4,0,0,3,4,7
PAILON,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,24,29,6,8,30,37,67
PALCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,10,6,7,19,17,36
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,9,13,8,10,17,23,40
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,7,0,0,2,7,9
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,1,1,1,2,2,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,0,2,0,2,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,19,17,0,2,19,19,38
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,3,2,6,3,9
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,0,2,1,2,3
POCOATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,5,7,13,8,18,26
POCONA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,4,4,7,5,12
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,12,7,2,12,14,26
POOPO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,6,1,0,4,6,10
PORCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,8,0,0,6,8,14
POROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,2,5,0,6,2,8
PORONGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,1,16,14,19,15,34
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,21,23,6,3,27,26,53
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,3,5,3,6,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,3,0,0,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,218,206,6,6,224,212,436
PRESTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,3,5,3,8,6,14
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,11,17,14,14,25,31,56
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,2,14,10,15,12,27
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,2,10,11,11,13,24
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,0,4,3,6,3,9
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,3,2,4,5,7,12
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,15,9,0,0,15,9,24
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,1,2,3,4,4,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,15,25,5,2,20,27,47
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,38,44,0,1,38,45,83
PUNA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,2,1,5,4,7,11
PUNATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,28,27,0,0,28,27,55
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,88,89,61,68,149,157,306
QUIME,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,3,6,6,7,9,16
RAVELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,8,3,1,6,9,15
REYES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,12,0,0,13,12,25
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,66,69,44,49,110,118,228
ROBORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,2,1,3,5,5,10
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,8,13,0,1,8,14,22
SABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,1,3,1,4,5
SACABA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,113,98,0,1,113,99,212
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,1,0,1,1,2,3
SACACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,16,11,7,6,23,17,40
SAIPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,0,5,1,7,1,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,3,5,8,6,11,17
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,2,2,4,5,6,11
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,7,5,7,6,13
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,2,3,0,0,2,3,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,5,2,2,6,7,13
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,5,0,2,3,7,10
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,40,30,3,2,43,32,75
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,10,3,2,1,12,4,16
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,14,10,6,8,20,18,38
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,13,12,2,0,15,12,27
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,35,35,9,13,44,48,92
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,2,0,0,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,14,12,2,0,16,12,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,4,3,1,4,5,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,10,14,0,0,10,14,24
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,7,7,2,3,9,10,19
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,53,52,17,10,70,62,132
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,3,3,0,0,3,3,6
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,16,25,1,0,17,25,42
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,5,13,8,10,13,23,36
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,11,1,0,2,11,3,14
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,10,1,0,7,10,17
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,4,3,5,6,9,9,18
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,15,13,9,7,24,20,44
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,6,2,1,1,7,3,10
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,1,1,0,1,1,2
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2016-01-01,0,0,1,1,1,1,2
