,group,variable,month,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA DENTRO,SRP DOSIS ÚNICA FUERA,SRP DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
AYATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,3,1,3,2,6,8
AYO AYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,3,1,2,5,5,10
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,9,13,6,9,15,22,37
AZURDUY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,4,5,3,8,7,15
BATALLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,13,1,4,8,17,25
BAURES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,2,0,0,6,2,8
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,1,0,1,0,1
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,1,1,2,1,3
BERMEJO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,37,21,6,2,43,23,66
BETANZOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,9,9,8,14,17,31
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,3,3,0,3,3,6
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,0,2,2,6,2,8
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,13,5,4,11,17,28
CABEZAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,18,13,21,21,39,34,73
CAIROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,8,6,1,5,9,11,20
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,8,2,2,6,10,16
CAJUATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,12,7,1,1,13,8,21
CALACOTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,3,1,1,1,4,5
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,3,2,4,6,7,13
CAMARGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,10,14,2,3,12,17,29
CAMIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,41,30,2,2,43,32,75
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,13,0,3,16,16,32
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,5,2,0,9,5,14
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,22,9,8,15,30,45
CARANAVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,29,33,2,1,31,34,65
CARAPARI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,19,17,20,19,39
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,2,7,3,7,5,12
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,6,7,6,7,13
CHACARILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,0,0,1,0,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,17,25,11,6,28,31,59
CHAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,7,4,3,11,10,21
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,9,12,29,28,38,40,78
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,0,0,1,1,2
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,2,0,0,4,2,6
CHIMORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,22,14,12,7,34,21,55
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,0,0,0,5,0,5
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,10,15,2,0,12,15,27
CHUMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,3,2,1,4,4,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,4,0,0,3,4,7
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,6,7,4,13,10,23
CLIZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,12,5,5,21,17,38
COBIJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,57,44,8,3,65,47,112
COCAPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,7,8,12,12,19,31
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,590,586,15,3,605,589,1194
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,26,35,3,6,29,41,70
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,9,8,1,1,10,9,19
COLLANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,3,1,0,5,3,8
COLOMI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,11,8,4,4,15,12,27
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,4,2,1,4,5,9
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,18,17,14,17,32,34,66
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,1,5,2,5,3,8
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,8,9,9,7,17,16,33
COMANCHE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,0,0,1,0,1
COMARAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,12,16,1,4,13,20,33
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,15,21,0,0,15,21,36
COPACABANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,3,1,5,4,8,12
CORIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,17,11,2,2,19,13,32
CORO CORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,3,3,3,8,6,14
COROICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,15,6,5,9,20,29
CORQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,5,0,0,3,5,8
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,4,8,7,24,11,35
COTOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,72,48,11,10,83,58,141
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,2,0,0,0,2,2
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,13,18,7,8,20,26,46
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,0,0,0,2,0,2
CUEVO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,1,0,4,0,5,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,11,3,3,9,14,23
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,0,0,1,1,2
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,2,0,1,7,3,10
EL ALTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,651,629,156,160,807,789,1596
EL CHORO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,2,8,2,10,4,14
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,0,0,0,6,0,6
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,6,5,2,9,8,17
EL TORNO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,43,44,8,11,51,55,106
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,1,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,8,21,6,12,14,33,47
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,28,33,0,0,28,33,61
ESCOMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,3,0,3,4,6,10
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,4,0,0,4,4,8
EUREKA (SANTOS MERCADO),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,3,5,3,5,8
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,1,11,14,13,15,28
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,3,3,3,3,6
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,9,1,2,8,11,19
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,8,6,4,11,12,23
GUANAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,9,14,2,4,11,18,29
GUAQUI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,0,0,0,2,0,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,40,24,12,10,52,34,86
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,12,7,20,4,32,11,43
HUACARETA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,1,0,0,3,1,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,22,16,0,0,22,16,38
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,1,3,4,3,5,8
HUARINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,3,6,4,7,11
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,0,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,1,2,2,3,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,2,1,1,4,3,7
ICLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,6,1,0,6,6,12
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,9,3,7,8,16,24
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,4,9,6,10,10,20
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,6,7,5,12,11,23
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,8,0,1,6,9,15
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,10,1,0,0,10,1,11
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,53,47,4,5,57,52,109
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,79,84,10,9,89,93,182
LA PAZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,599,607,35,34,634,641,1275
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,1,0,0,0,1,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,5,4,5,4,9
LAJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,18,16,1,1,19,17,36
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,0,3,0,3,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,27,11,28,18,55,29,84
LLICA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,1,0,0,3,1,4
LORETO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,2,2,2,4,4,8
LURIBAY,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,4,1,3,1,7,8
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,1,0,2,2,4
MACHARETI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,1,1,5,4,6,10
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,1,2,3,2,4,6
MAIRANA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,12,0,0,16,12,28
MALLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,0,2,0,2,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,10,13,2,1,12,14,26
MECAPACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,9,5,2,12,11,23
MINEROS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,19,15,1,2,20,17,37
MIZQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,33,23,12,15,45,38,83
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,4,2,2,6,6,12
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,3,0,0,2,3,5
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,19,9,6,1,25,10,35
MONTERO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,126,106,4,4,130,110,240
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,0,0,1,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,2,0,2,0,2
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,2,0,0,3,2,5
OCURI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,1,9,6,11,7,18
OKINAWA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,3,6,3,6,9
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,0,2,0,5,0,5
ORURO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,281,315,36,41,317,356,673
PADCAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,12,15,4,1,16,16,32
PADILLA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,4,0,0,4,4,8
PAILON,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,24,25,5,6,29,31,60
PALCA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,17,15,5,2,22,17,39
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,14,14,6,10,20,24,44
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,1,0,1,3,2,5
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,7,0,0,2,7,9
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,1,1,2,2,4
PASORAPA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,0,2,0,2,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,19,20,2,2,21,22,43
PAZÑA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,2,3,1,5,3,8
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,1,4,2,5,7
POCOATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,3,7,11,11,14,25
POCONA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,3,5,5,8,8,16
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,8,4,1,11,9,20
POOPO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,6,1,0,4,6,10
PORCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,9,4,2,11,11,22
POROMA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,6,0,7,2,9
PORONGO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,1,14,13,17,14,31
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,21,24,18,5,39,29,68
PORVENIR,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,1,3,5,3,6,9
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,3,0,0,0,3,3
POTOSI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,205,210,6,5,211,215,426
PRESTO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,3,6,4,9,7,16
PUCARANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,22,20,9,9,31,29,60
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,14,10,15,12,27
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,10,11,11,13,24
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,0,4,3,6,3,9
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,2,2,5,2,7,9
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,8,0,0,16,8,24
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,1,2,3,4,4,8
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,15,25,1,1,16,26,42
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,39,44,2,1,41,45,86
PUNA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,2,4,7,8,9,17
PUNATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,26,26,0,0,26,26,52
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,89,90,58,65,147,155,302
QUIME,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,3,6,6,8,9,17
RAVELO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,7,10,2,14,9,23
REYES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,13,11,0,0,13,11,24
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,71,73,44,50,115,123,238
ROBORE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,9,8,0,0,9,8,17
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,13,0,1,7,14,21
SABAYA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,1,2,2,4,6
SACABA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,113,89,0,3,113,92,205
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,0,1,1,2,3
SACACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,11,7,7,23,18,41
SAIPINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,0,5,1,7,1,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,3,2,4,3,7,10
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,3,2,2,4,5,6,11
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,2,0,0,0,2,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,1,8,6,9,7,16
SAN ANDRES DE MACHACA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,1,0,0,5,1,6
SAN ANTONIO DE ESMORUCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,2,3,0,0,2,3,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,5,2,2,6,7,13
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,4,0,2,4,6,10
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,45,40,4,3,49,43,92
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,9,4,2,1,11,5,16
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,14,10,6,8,20,18,38
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,24,13,0,2,24,15,39
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,35,35,9,13,44,48,92
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,2,0,0,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,14,12,2,0,16,12,28
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,4,3,1,4,5,9
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,13,14,0,0,13,14,27
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,7,2,2,9,9,18
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,53,53,18,12,71,65,136
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,3,9,5,13,8,21
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,19,16,2,0,21,16,37
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,7,16,13,10,20,26,46
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,11,11,0,2,11,13,24
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,6,10,1,0,7,10,17
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,4,5,6,9,10,19
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,16,12,10,6,26,18,44
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,5,2,1,1,6,3,9
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,3,3,0,3,3,6
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,1,1,1,1,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,6,3,6,3,9
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,0,0,5,3,5,3,8
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,srp dosis unica,2016-01-01,4,5,1,1,5,6,11
