,group,variable,month,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTAL 21.7 TRABAJADOR DE SALUD HEPATITIS B 2DA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
HUAYLLAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
HUMANATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,1,1,1,2
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,27,0,27,0,27
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,7,0,7,0,7
MAIRANA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
OMEREQUE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,59,0,59,0,59
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,8,26,8,26,34
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,32,0,32,0,32
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,7,0,7,0,7
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,3,0,3,0,3
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,10,0,10,0,10
SAN JOAQUIN,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,4,0,4,0,4
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,94,0,94,0,94
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,3,0,3,0,3
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,43,7,43,7,50
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,4,0,4,0,4
TOTORA(ORR),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,19,0,19,0,19
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,12,0,12,0,12
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,12,0,12,0,12
YANACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-02-01,5,0,5,0,5
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
ACHOCALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,14,0,14,0,14
"CAIZA ""D""",otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,4,3,4,3,7
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,3,0,3,0,3
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,11,0,11,0,11
COMARAPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,7,0,7,0,7
COTAGAITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,5,0,5,0,5
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,8,0,8,0,8
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,7,0,7,0,7
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,39,1,39,1,40
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,32,0,32,0,32
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,3,0,3,0,3
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,3,1,3,1,4
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,12,6,12,6,18
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,138,0,138,0,138
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,16,0,16,0,16
MALLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,4,0,4,0,4
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,3,0,3,0,3
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,191,5,191,5,196
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,7,0,7,0,7
PASORAPA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,0,1,0,1,1
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,6,0,6,0,6
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,23,0,23,0,23
PRESTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
PUERTO QUIJARRO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,3,0,3,0,3
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,10,0,10,0,10
SAIPINA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,4,0,4,0,4
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,2,2,2,4
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
SAN JOSE DE CHIQUITOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
SAN LORENZO(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,4,0,4,0,4
SAN PEDRO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,0,3,0,3,3
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,16,0,16,0,16
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,149,0,149,0,149
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,4,0,4,0,4
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,7,0,7,0,7
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,4,0,4,0,4
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,39,72,39,72,111
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,5,0,5,0,5
TOTORA(ORR),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,7,0,7,0,7
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,0,7,0,7,7
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,5,48,5,48,53
VILLA CHARCAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,2,0,2,0,2
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,20,0,20,0,20
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,12,0,12,0,12
ZUDAÑEZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-03-01,1,0,1,0,1
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,8,0,8,0,8
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,6,0,6,0,6
ATOCHA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,15,22,15,22,37
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,4,0,4,0,4
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,30,22,30,22,52
CHARAÑA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,0,10,0,10,10
CKOCHAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,8,0,8,0,8
COBIJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,3,0,3,0,3
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,14,0,14,0,14
COLOMI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,0,2,0,2,2
COPACABANA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,5,2,5,7
CORO CORO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,54,30,54,30,84
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,5,0,5,0,5
EL PUENTE(TJA),otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,4,0,4,0,4
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,12,0,12,0,12
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,5,5,5,5,10
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,3,0,3,0,3
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
ICLA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
IXIAMAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,15,0,15,0,15
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,23,2,23,2,25
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,87,2,87,2,89
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
NAZACARA DE PACAJES,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,298,0,298,0,298
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
PAILON,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,0,5,0,5,5
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,3,0,3,0,3
PAMPA GRANDE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,4,0,4,0,4
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,0,3,0,3,3
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,24,10,24,10,34
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,3,0,3,0,3
QUILLACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,12,0,12,0,12
QUIME,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,4,0,4,0,4
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,3,0,3,0,3
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,9,711,9,711,720
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,5,0,5,0,5
SAN BUENA VENTURA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,0,2,0,2
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
SAN JOAQUIN,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,2,2,2,2,4
SAN JOSE DE CHIQUITOS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,12,0,12,0,12
SAN JUAN DE YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,4,0,4,0,4
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,114,0,114,0,114
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,7,0,7,0,7
SANTIAGO DE MACHACA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,0,2,0,2,2
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,0,1,0,1,1
SENA,otras vacunaciones,      trabajador de salud hepatitis b 2da dosis,2014-04-01,4,0,4,0,4
