,group,variable,month,TOTAL 21.5 MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTAL 21.5 MUJERES DE 10 A 49 AÑOS 5TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,7,1,7,1,8
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,13,21,13,21,34
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,2,4,2,6
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,16,0,16,16
SABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,15,2,15,2,17
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,4,1,4,5
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,9,1,9,1,10
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,1,4,1,5
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,13,2,13,2,15
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,3,2,3,5
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,20,1,20,1,21
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,4,2,4,6
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,7,0,7,0,7
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
SAN PEDRO DE TIQUINA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,1,2,1,3
SAN RAFAEL,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
SAN RAMON BENI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,168,44,168,44,212
SANTA ROSA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
SANTIVAÑES,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
SHINAOTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,3,0,3,3
SICAYA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
SIPE SIPE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,27,29,27,29,56
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,0,4,0,4
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,1,1,1,2
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,2,4,2,6
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,39,27,39,27,66
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,1,6,1,7
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,0,2,0,2
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,1,4,1,5
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,15,0,15,0,15
TUPIZA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,4,1,4,1,5
UNCIA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
URUBICHA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,6,2,6,8
VACAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
VALLEGRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,6,0,6,0,6
VIACHA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,5,4,5,4,9
VILLA CHARCAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,2,24,2,24,26
VILLA MONTES,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,2,3,2,5
VILLA NUEVA (LOMA ALTA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
VILLA SERRANO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,17,6,17,6,23
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
VILLAZON,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,3,0,3,0,3
VINTO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,10,1,10,1,11
WARNES,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,25,3,25,3,28
YACUIBA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,2,1,2,3
YANACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,8,9,8,9,17
YUNCHARA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,0,1,0,1,1
YUNGUYO DE LITORAL,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-01-01,1,0,1,0,1
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,1,1,1,2
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,15,0,15,15
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,2,0,2,2
ALTO BENI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,3,0,3,0,3
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,1,0,1,1
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,1,0,1,1
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,10,1,10,11
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,4,2,4,6
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,10,0,10,0,10
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,3,2,3,5
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,2,1,2,3
BELEN DE ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,9,6,9,6,15
BOLIVAR,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,3,0,3,3
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,1,0,1,1
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,4,0,4,0,4
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,3,4,3,4,7
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,21,1,21,22
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,1,0,1,1
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
CAMATAQUI (C. VILLA ABECIA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,3,2,3,2,5
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,6,13,6,13,19
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,8,2,8,10
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,7,1,7,1,8
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,3,2,3,5
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,1,1,1,2
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,4,3,4,3,7
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,73,13,73,13,86
COLCAPIRHUA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,10,8,10,8,18
COLOMI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,4,0,4,0,4
COLQUECHACA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,4,0,4,4
COLQUIRI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,2,0,2,2
COMARAPA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,11,0,11,0,11
CONCEPCION,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,4,5,4,5,9
COPACABANA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,6,1,6,7
CORIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
CORO CORO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,1,1,1,2
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,10,0,10,0,10
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,2,0,2,2
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,3,2,3,2,5
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,179,30,179,30,209
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,0,2,0,2
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,13,6,13,6,19
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,2,1,2,3
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,7,1,7,1,8
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,8,2,8,10
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,2,1,2,3
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,10,0,10,0,10
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,2,0,2,2
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,15,0,15,0,15
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,2,2,2,4
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,3,0,3,0,3
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,2,4,2,4,6
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,0,1,0,1
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,2,0,2,2
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,1,1,1,1,2
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,3,0,3,0,3
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,13,3,13,3,16
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,121,58,121,58,179
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 5ta dosis de dt,2014-02-01,0,2,0,2,2
