,group,variable,month,TOTAL 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTAL 21.1 MUJERES DE 10 A 49 AÑOS 1RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
COTAGAITA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,18,9,18,9,27
COTOCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,188,22,188,22,210
CUATRO CAÑADAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,15,4,15,4,19
CUCHUMUELA (V. G. VILLARROEL),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
CUEVO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
CULPINA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,20,22,20,22,42
CURAHUARA DE CARANGAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,12,1,12,1,13
CURVA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,2,2,2,4
DESAGUADERO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,3,3,3,6
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1249,465,1249,465,1714
EL CHORO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,0,3,0,3
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,19,0,19,0,19
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,31,3,31,3,34
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,109,54,109,54,163
EL VILLAR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,3,4,3,7
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,29,10,29,10,39
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,46,12,46,12,58
ESCOMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,6,8,6,14
EUCALIPTUS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,0,11,0,11
EUREKA (SANTOS MERCADO),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,1,5,1,6
EXALTACION,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,3,10,3,13
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,8,5,8,13
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,28,27,28,27,55
GRAL. J.J. PEREZ (CHARAZANI),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,12,7,12,19
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,21,13,21,13,34
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,27,2,27,2,29
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,98,36,98,36,134
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,1,6,1,7
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,18,1,18,1,19
HUACAYA (VILLA DE HUACAYA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
HUACHACALLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,0,4,0,4
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,13,41,13,41,54
HUARACAJE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,0,6,0,6
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,19,14,19,33
HUATAJATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,17,6,17,23
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,0,5,0,5
HUMANATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,4,5,4,9
ICHOCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,1,2,1,3
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,1,5,1,6
INCAHUASI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,3,10,3,13
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,16,6,16,22
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,14,10,14,24
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,3,14,3,17
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,0,4,0,4
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,67,113,67,113,180
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,32,83,32,83,115
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1300,123,1300,123,1423
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,59,8,59,67
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,28,10,28,38
LAS CARRERAS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,2,2,2,4
LICOMA PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,0,3,0,3
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,50,248,50,248,298
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,6,4,6,4,10
LURIBAY,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,0,11,0,11,11
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,11,1,11,12
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,19,5,19,5,24
MAGDALENA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,13,7,13,7,20
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,18,0,18,0,18
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,32,14,32,46
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,30,1,30,1,31
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,41,6,41,6,47
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,6,8,6,14
MOJOCOYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,90,45,90,45,135
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,192,17,192,17,209
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,13,17,13,17,30
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
NAZACARA DE PACAJES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,3,1,3,4
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,1,5,1,6
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,20,12,20,12,32
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,2,8,2,10
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,6,2,6,8
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,469,306,469,306,775
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,34,15,34,15,49
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,3,11,3,14
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,37,20,37,20,57
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,17,9,17,9,26
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,32,2,32,2,34
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,13,0,13,0,13
PAPEL PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,3,14,3,17
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,3,1,3,4
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,29,177,29,177,206
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,0,5,0,5
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,4,2,4,6
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,9,5,9,14
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,1,14,1,15
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,3,7,3,10
POOPO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,5,4,5,9
PORCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,0,8,0,8
POROMA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,9,8,9,8,17
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,9,28,9,28,37
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,21,5,21,5,26
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,1,7,1,8
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,0,2,0,2,2
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,390,2,390,2,392
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,0,4,0,4
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,23,24,23,24,47
PUERTO ACOSTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,17,10,17,27
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,11,2,11,13
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,12,5,12,17
PUERTO PEREZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,5,5,5,10
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,19,2,19,2,21
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,13,12,13,12,25
PUERTO SILES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,26,0,26,0,26
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,84,33,84,33,117
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,18,17,18,17,35
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,53,21,53,21,74
QUIABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,9,0,9,0,9
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,94,358,94,358,452
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,8,0,8,0,8
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,20,27,20,27,47
REYES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,28,14,28,14,42
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,188,145,188,145,333
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,49,2,49,51
RURRENABAQUE,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,9,5,9,5,14
SABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,0,7,0,7
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,116,129,116,129,245
SACABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,4,9,4,9,13
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,15,20,15,20,35
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,2,2,2,4
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,14,8,14,8,22
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,5,1,5,1,6
SAN AGUSTIN,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,3,3,3,6
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,7,13,7,13,20
SAN ANDRES DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,3,0,3,0,3
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,24,6,24,6,30
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,12,0,12,0,12
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,88,4,88,4,92
SAN BUENA VENTURA,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,18,0,18,0,18
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,40,6,40,6,46
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,40,10,40,10,50
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,83,2,83,2,85
SAN JAVIER(BNI),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,10,0,10,0,10
SAN JAVIER(STC),otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,11,3,11,3,14
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,19,0,19,0,19
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,51,0,51,0,51
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 1ra dosis de dt,2014-01-01,2,0,2,0,2
