,group,variable,month,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTAL 21.2 MUJERES DE 10 A 49 AÑOS 2DA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1187,584,1187,584,1771
EL CHORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
EL PUENTE(STC),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,1,15,1,16
EL PUENTE(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,10,8,10,8,18
EL TORNO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,53,5,53,5,58
EL VILLAR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,2,4,2,6
ENTRE RIOS TRJ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,22,19,22,19,41
ENTRE RIOS CBBA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,36,3,36,3,39
ESCOMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,2,4,2,6
EUCALIPTUS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,11,0,11,0,11
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,2,2,2,4
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,14,3,14,3,17
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,27,10,27,10,37
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,80,22,80,22,102
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,1,2,1,3
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,1,1,1,2
HUACHACALLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,24,26,24,26,50
HUARACAJE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,0,7,0,7
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,4,2,4,6
HUATAJATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,12,1,12,13
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
HUMANATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,8,3,8,3,11
ICHOCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,0,4,0,4
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,6,1,6,1,7
IXIAMAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,12,4,12,4,16
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,6,2,6,8
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,22,14,22,14,36
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,63,38,63,38,101
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,863,58,863,58,921
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,1,2,1,3
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,14,27,14,27,41
LICOMA PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,29,107,29,107,136
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,0,4,0,4
LURIBAY,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,10,11,10,11,21
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,2,3,2,5
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,1,2,1,3
MAGDALENA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,0,7,0,7
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,0,7,0,7
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,0,15,0,15
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,8,4,8,4,12
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,44,0,44,0,44
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,19,7,19,7,26
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,8,9,8,17
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,17,15,17,15,32
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,146,7,146,7,153
MORO MORO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,15,15,15,30
NACEBE (SANTA ROSA DEL ABUNA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
NAZACARA DE PACAJES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,2,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,2,0,2,2
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,3,9,3,12
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,10,0,10,0,10
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,5,2,5,7
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,538,161,538,161,699
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,16,4,16,4,20
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,19,11,19,11,30
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,15,39,15,39,54
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,25,4,25,4,29
PAMPA AULLAGAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,9,0,9,0,9
PAPEL PAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,1,1,1,2
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,17,54,17,54,71
PAZÑA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,2,3,2,5
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,2,4,2,6
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,17,8,17,8,25
POOPO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,1,0,1,1
POROMA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,0,4,0,4
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,28,4,28,32
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,30,0,30,0,30
PORVENIR,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,1,2,1,3
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,1,1,1,2
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,235,0,235,0,235
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,10,4,10,14
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,14,7,14,7,21
PUERTO ACOSTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,6,2,6,8
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,12,0,12,12
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,11,0,11,11
PUERTO PEREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,4,4,4,8
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,31,0,31,0,31
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,14,1,14,1,15
PUERTO SILES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,13,1,13,1,14
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,70,16,70,16,86
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,17,15,17,15,32
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,38,23,38,23,61
QUIABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,81,184,81,184,265
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,5,0,5,0,5
QUIRUSILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,21,18,21,18,39
REYES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,33,5,33,5,38
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,161,135,161,135,296
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,18,34,18,34,52
RURRENABAQUE,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,6,0,6,0,6
SABAYA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,112,57,112,57,169
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,12,1,12,1,13
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,2,2,2,4
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,4,1,4,5
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,11,1,11,1,12
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,10,2,10,12
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,10,1,10,11
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,12,3,12,15
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,10,3,10,3,13
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,84,7,84,7,91
SAN BUENA VENTURA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,11,0,11,0,11
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,39,2,39,2,41
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,38,16,38,16,54
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,62,17,62,17,79
SAN JAVIER(BNI),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,3,0,3,0,3
SAN JAVIER(STC),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,14,1,14,1,15
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,20,0,20,0,20
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,20,0,20,0,20
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,6,1,6,1,7
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,44,83,44,83,127
SAN LORENZO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,6,0,6,0,6
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,40,14,40,14,54
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,10,9,10,9,19
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,21,4,21,4,25
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,22,0,22,0,22
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,11,0,11,0,11
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,24,2,24,2,26
SAN PEDRO DE CURAHUARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,2,4,2,6
SAN RAFAEL,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,0,2,0,2
SAN RAMON BENI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,7,0,7,0,7
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,19,10,19,10,29
SANTA ANA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,8,0,8,0,8
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2303,243,2303,243,2546
SANTA ROSA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,4,0,4,0,4
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,18,0,18,0,18
SANTIAGO DE HUARI,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,2,27,2,27,29
SANTIAGO DE HUATA,otras vacunaciones,      mujeres de 10 a 49 anos 2da dosis de dt,2014-01-01,0,6,0,6,6
