,group,variable,month,TOTAL 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTAL 21.9 ANTIRRÁBICA EN HUMANO CANTIDAD,TOTALES,TOTALES,TOTALES
SAMAIPATA,otras vacunaciones,      antirrabica en humano,2014-02-01,10,0,10,0,10
SAN BENITO,otras vacunaciones,      antirrabica en humano,2014-02-01,2,0,2,0,2
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-02-01,10,0,10,0,10
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-02-01,14,0,14,0,14
SAN JOSE DE CHIQUITOS,otras vacunaciones,      antirrabica en humano,2014-02-01,5,0,5,0,5
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en humano,2014-02-01,14,0,14,0,14
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-02-01,20,0,20,0,20
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-02-01,32,0,32,0,32
SAN PEDRO,otras vacunaciones,      antirrabica en humano,2014-02-01,6,0,6,0,6
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en humano,2014-02-01,0,7,0,7,7
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-02-01,12,0,12,0,12
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-02-01,3041,0,3041,0,3041
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en humano,2014-02-01,2,0,2,0,2
SUCRE,otras vacunaciones,      antirrabica en humano,2014-02-01,444,0,444,0,444
TARIJA,otras vacunaciones,      antirrabica en humano,2014-02-01,280,0,280,0,280
TIPUANI,otras vacunaciones,      antirrabica en humano,2014-02-01,8,0,8,0,8
TRIGAL,otras vacunaciones,      antirrabica en humano,2014-02-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      antirrabica en humano,2014-02-01,0,4,0,4,4
TUPIZA,otras vacunaciones,      antirrabica en humano,2014-02-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-02-01,188,0,188,0,188
VIACHA,otras vacunaciones,      antirrabica en humano,2014-02-01,10,0,10,0,10
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-02-01,10,0,10,0,10
VILLA TUNARI,otras vacunaciones,      antirrabica en humano,2014-02-01,2,0,2,0,2
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-02-01,7,0,7,0,7
WARNES,otras vacunaciones,      antirrabica en humano,2014-02-01,120,0,120,0,120
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-02-01,105,0,105,0,105
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-02-01,3,0,3,0,3
ACHACACHI,otras vacunaciones,      antirrabica en humano,2014-03-01,10,2,10,2,12
ACHOCALLA,otras vacunaciones,      antirrabica en humano,2014-03-01,6,0,6,0,6
AIQUILE,otras vacunaciones,      antirrabica en humano,2014-03-01,0,5,0,5,5
ANTEQUERA,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-03-01,18,0,18,0,18
ATOCHA,otras vacunaciones,      antirrabica en humano,2014-03-01,8,0,8,0,8
AZURDUY,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
BATALLAS,otras vacunaciones,      antirrabica en humano,2014-03-01,10,0,10,0,10
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CAIROMA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CAJUATA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      antirrabica en humano,2014-03-01,9,0,9,0,9
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-03-01,3,0,3,0,3
CAPINOTA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      antirrabica en humano,2014-03-01,7,0,7,0,7
CARAPARI,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-03-01,18,0,18,0,18
CHARAGUA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CHIPAYA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
CLIZA,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-03-01,153,0,153,0,153
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
"COLCHA ""K""",otras vacunaciones,      antirrabica en humano,2014-03-01,5,0,5,0,5
COLLANA,otras vacunaciones,      antirrabica en humano,2014-03-01,0,5,0,5,5
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-03-01,5,0,5,0,5
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-03-01,7,0,7,0,7
COTOCA,otras vacunaciones,      antirrabica en humano,2014-03-01,69,0,69,0,69
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-03-01,13,0,13,0,13
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-03-01,1334,0,1334,0,1334
EL PUENTE(STC),otras vacunaciones,      antirrabica en humano,2014-03-01,5,0,5,0,5
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-03-01,441,0,441,0,441
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en humano,2014-03-01,10,0,10,0,10
GUANAY,otras vacunaciones,      antirrabica en humano,2014-03-01,9,0,9,0,9
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-03-01,10,0,10,0,10
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-03-01,307,0,307,0,307
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-03-01,952,0,952,0,952
LAJA,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
MACHARETI,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
MINEROS,otras vacunaciones,      antirrabica en humano,2014-03-01,10,0,10,0,10
MONTERO,otras vacunaciones,      antirrabica en humano,2014-03-01,140,0,140,0,140
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-03-01,22,5,22,5,27
OKINAWA,otras vacunaciones,      antirrabica en humano,2014-03-01,16,0,16,0,16
ORURO,otras vacunaciones,      antirrabica en humano,2014-03-01,80,0,80,0,80
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
POOPO,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
POTOSI,otras vacunaciones,      antirrabica en humano,2014-03-01,250,0,250,0,250
PUCARANI,otras vacunaciones,      antirrabica en humano,2014-03-01,0,3,0,3,3
PUERTO SUAREZ,otras vacunaciones,      antirrabica en humano,2014-03-01,3,0,3,0,3
PUERTO VILLARROEL,otras vacunaciones,      antirrabica en humano,2014-03-01,10,0,10,0,10
PUNA,otras vacunaciones,      antirrabica en humano,2014-03-01,3,0,3,0,3
PUNATA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-03-01,15,0,15,0,15
SACABA,otras vacunaciones,      antirrabica en humano,2014-03-01,5,4,5,4,9
SAIPINA,otras vacunaciones,      antirrabica en humano,2014-03-01,2,0,2,0,2
SAMAIPATA,otras vacunaciones,      antirrabica en humano,2014-03-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
SAN BUENA VENTURA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-03-01,12,0,12,0,12
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-03-01,24,0,24,0,24
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en humano,2014-03-01,4,0,4,0,4
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-03-01,22,0,22,0,22
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-03-01,17,0,17,0,17
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-03-01,1,0,1,0,1
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica en humano,2014-03-01,3,0,3,0,3
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-03-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-03-01,2855,0,2855,0,2855
SANTA ROSA DEL SARA,otras vacunaciones,      antirrabica en humano,2014-03-01,14,0,14,0,14
SUCRE,otras vacunaciones,      antirrabica en humano,2014-03-01,441,0,441,0,441
TARIJA,otras vacunaciones,      antirrabica en humano,2014-03-01,268,0,268,0,268
TOTORA(CBBA),otras vacunaciones,      antirrabica en humano,2014-03-01,5,0,5,0,5
UYUNI,otras vacunaciones,      antirrabica en humano,2014-03-01,28,0,28,0,28
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-03-01,67,0,67,0,67
VIACHA,otras vacunaciones,      antirrabica en humano,2014-03-01,39,7,39,7,46
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-03-01,3,0,3,0,3
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-03-01,45,0,45,0,45
WARNES,otras vacunaciones,      antirrabica en humano,2014-03-01,136,0,136,0,136
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-03-01,100,0,100,0,100
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-03-01,4,0,4,0,4
ACHACACHI,otras vacunaciones,      antirrabica en humano,2014-04-01,6,0,6,0,6
AIQUILE,otras vacunaciones,      antirrabica en humano,2014-04-01,1,0,1,0,1
ANTEQUERA,otras vacunaciones,      antirrabica en humano,2014-04-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-04-01,10,0,10,0,10
ATOCHA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,0,1,0,1
BATALLAS,otras vacunaciones,      antirrabica en humano,2014-04-01,10,0,10,0,10
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-04-01,2,0,2,0,2
BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-04-01,26,0,26,0,26
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-04-01,6,0,6,0,6
CALAMARCA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,4,1,4,5
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-04-01,15,1,15,1,16
CAPINOTA,otras vacunaciones,      antirrabica en humano,2014-04-01,2,0,2,0,2
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-04-01,12,0,12,0,12
CHARAGUA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,0,1,0,1
CLIZA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,1,1,1,2
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-04-01,201,0,201,0,201
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,0,1,0,1
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-04-01,18,0,18,0,18
COTOCA,otras vacunaciones,      antirrabica en humano,2014-04-01,45,0,45,0,45
CUATRO CAÑADAS,otras vacunaciones,      antirrabica en humano,2014-04-01,30,0,30,0,30
EL ALTO,otras vacunaciones,      antirrabica en humano,2014-04-01,1108,0,1108,0,1108
EL PUENTE(STC),otras vacunaciones,      antirrabica en humano,2014-04-01,6,0,6,0,6
EL TORNO,otras vacunaciones,      antirrabica en humano,2014-04-01,140,0,140,0,140
ESCOMA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica en humano,2014-04-01,10,0,10,0,10
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica en humano,2014-04-01,12,0,12,0,12
HUANUNI,otras vacunaciones,      antirrabica en humano,2014-04-01,11,0,11,0,11
LA GUARDIA,otras vacunaciones,      antirrabica en humano,2014-04-01,247,0,247,0,247
LA PAZ,otras vacunaciones,      antirrabica en humano,2014-04-01,865,0,865,0,865
LLALLAGUA,otras vacunaciones,      antirrabica en humano,2014-04-01,0,3,0,3,3
MAIRANA,otras vacunaciones,      antirrabica en humano,2014-04-01,15,0,15,0,15
MINEROS,otras vacunaciones,      antirrabica en humano,2014-04-01,10,0,10,0,10
MONTERO,otras vacunaciones,      antirrabica en humano,2014-04-01,149,0,149,0,149
MORO MORO,otras vacunaciones,      antirrabica en humano,2014-04-01,21,5,21,5,26
ORURO,otras vacunaciones,      antirrabica en humano,2014-04-01,76,0,76,0,76
PALOS BLANCOS,otras vacunaciones,      antirrabica en humano,2014-04-01,7,0,7,0,7
PAMPA GRANDE,otras vacunaciones,      antirrabica en humano,2014-04-01,10,0,10,0,10
POTOSI,otras vacunaciones,      antirrabica en humano,2014-04-01,218,0,218,0,218
PUNA,otras vacunaciones,      antirrabica en humano,2014-04-01,30,0,30,0,30
PUNATA,otras vacunaciones,      antirrabica en humano,2014-04-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      antirrabica en humano,2014-04-01,26,1,26,1,27
SACABA,otras vacunaciones,      antirrabica en humano,2014-04-01,5,0,5,0,5
SAIPINA,otras vacunaciones,      antirrabica en humano,2014-04-01,3,0,3,0,3
SAMAIPATA,otras vacunaciones,      antirrabica en humano,2014-04-01,10,0,10,0,10
SAN CARLOS,otras vacunaciones,      antirrabica en humano,2014-04-01,28,0,28,0,28
SAN IGNACIO,otras vacunaciones,      antirrabica en humano,2014-04-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-04-01,107,0,107,0,107
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica en humano,2014-04-01,1,0,1,0,1
SAN JULIAN,otras vacunaciones,      antirrabica en humano,2014-04-01,9,5,9,5,14
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica en humano,2014-04-01,7,0,7,0,7
SAN PEDRO,otras vacunaciones,      antirrabica en humano,2014-04-01,5,0,5,0,5
SAN RAMON SCZ,otras vacunaciones,      antirrabica en humano,2014-04-01,19,0,19,0,19
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica en humano,2014-04-01,3641,0,3641,0,3641
SUCRE,otras vacunaciones,      antirrabica en humano,2014-04-01,460,0,460,0,460
TARIJA,otras vacunaciones,      antirrabica en humano,2014-04-01,223,0,223,0,223
TIQUIPAYA,otras vacunaciones,      antirrabica en humano,2014-04-01,2,0,2,0,2
TOLATA,otras vacunaciones,      antirrabica en humano,2014-04-01,2,0,2,0,2
TUPIZA,otras vacunaciones,      antirrabica en humano,2014-04-01,1,1,1,1,2
UYUNI,otras vacunaciones,      antirrabica en humano,2014-04-01,17,0,17,0,17
VALLEGRANDE,otras vacunaciones,      antirrabica en humano,2014-04-01,33,0,33,0,33
VILLA MONTES,otras vacunaciones,      antirrabica en humano,2014-04-01,12,0,12,0,12
VILLAZON,otras vacunaciones,      antirrabica en humano,2014-04-01,54,0,54,0,54
WARNES,otras vacunaciones,      antirrabica en humano,2014-04-01,196,0,196,0,196
YACUIBA,otras vacunaciones,      antirrabica en humano,2014-04-01,100,0,100,0,100
YAPACANI,otras vacunaciones,      antirrabica en humano,2014-04-01,7,0,7,0,7
ARBIETO,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica en humano,2014-05-01,9,0,9,0,9
ATOCHA,otras vacunaciones,      antirrabica en humano,2014-05-01,15,0,15,0,15
BATALLAS,otras vacunaciones,      antirrabica en humano,2014-05-01,2,0,2,0,2
BERMEJO,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
BUENA VISTA,otras vacunaciones,      antirrabica en humano,2014-05-01,3,0,3,0,3
CABEZAS,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
"CAIZA ""D""",otras vacunaciones,      antirrabica en humano,2014-05-01,8,0,8,0,8
CAJUATA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica en humano,2014-05-01,16,0,16,0,16
CAPINOTA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      antirrabica en humano,2014-05-01,25,0,25,0,25
CHALLAPATA,otras vacunaciones,      antirrabica en humano,2014-05-01,7,0,7,0,7
CHARAÑA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
CHIMORE,otras vacunaciones,      antirrabica en humano,2014-05-01,3,0,3,0,3
CLIZA,otras vacunaciones,      antirrabica en humano,2014-05-01,3,1,3,1,4
COCHABAMBA,otras vacunaciones,      antirrabica en humano,2014-05-01,181,0,181,0,181
COLCAPIRHUA,otras vacunaciones,      antirrabica en humano,2014-05-01,1,0,1,0,1
COMARAPA,otras vacunaciones,      antirrabica en humano,2014-05-01,8,5,8,5,13
COPACABANA,otras vacunaciones,      antirrabica en humano,2014-05-01,2,1,2,1,3
