,group,variable,month,TOTAL 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTAL 21.4 MUJERES DE 10 A 49 AÑOS 4TA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,9,0,9,0,9
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,13,10,13,10,23
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,42,3,42,3,45
MORO MORO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,1,2,1,3
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,2,1,2,3
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,10,0,10,10
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,43,4,43,4,47
PADILLA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,4,1,4,5
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,2,2,2,4
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,7,0,7,7
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,1,2,1,3
POSTRER VALLE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,29,0,29,0,29
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,5,2,5,7
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
PUERTO SILES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,11,3,11,3,14
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,13,2,13,2,15
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,10,29,10,29,39
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,8,16,8,16,24
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,14,5,14,19
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,18,4,18,4,22
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,3,0,3,3
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,3,0,3,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,2,1,2,3
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,10,3,10,3,13
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,2,0,2,2
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,20,2,20,22
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,1,4,1,5
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,7,8,7,8,15
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,19,1,19,1,20
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,5,3,5,8
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,13,0,13,0,13
SAN JAVIER(STC),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,6,0,6,0,6
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,12,8,12,8,20
SAN LORENZO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,3,1,3,4
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,5,1,5,6
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,5,0,5,0,5
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,0,4,0,4
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
SAN PEDRO DE TIQUINA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,0,4,0,4
SAN RAMON BENI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,1,3,1,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,328,61,328,61,389
SANTA ROSA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,2,3,2,5
SANTIAGO DE HUARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
SANTIVAÑES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
SHINAOTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,13,2,13,15
SICAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
SIPE SIPE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,1,1,1,2
SOPACHUY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,39,13,39,13,52
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,0,3,0,3
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,0,4,0,4
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,70,24,70,24,94
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,6,3,6,3,9
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
TOLEDO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,1,2,1,3
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,10,2,10,2,12
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,20,4,20,4,24
TUPIZA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,7,1,7,1,8
TURCO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
URIONDO (A. CONCEPCION),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
URUBICHA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,8,1,8,9
VACAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,3,1,3,4
VALLEGRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,4,0,4,0,4
VIACHA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,8,1,8,1,9
VILA VILA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
VILLA CHARCAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,2,3,2,5
VILLA MONTES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,4,3,4,7
VILLA NUEVA (LOMA ALTA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
VILLA RIVERO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,1,1,1,2
VILLA SERRANO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,7,0,7,7
VILLA TUNARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,15,4,15,4,19
VILLA VACA GUZMAN (MUYUPAMPA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,3,5,3,5,8
VINTO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,15,1,15,1,16
WARNES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,21,0,21,0,21
YACO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,2,0,2,0,2
YACUIBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,9,0,9,0,9
YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,7,20,7,20,27
YOTALA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,1,0,1,0,1
ZUDAÑEZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-01-01,0,1,0,1,1
ACACIO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,4,4,4,4,8
ACHACACHI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,1,1,1,2
ACHOCALLA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,2,1,2,1,3
AIQUILE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,2,105,2,105,107
ALALAY,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,2,1,2,3
ANCORAIMES,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,1,3,1,4
ANDAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,2,0,2,0,2
ANZALDO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,0,1,0,1,1
APOLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,2,1,2,3
ARAMPAMPA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,2,1,2,3
ARANI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,0,1,0,1
ARBIETO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,8,3,8,11
ASCENCION DE GUARAYOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,16,1,16,1,17
ATOCHA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,1,1,1,2
AYATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,6,14,6,14,20
BATALLAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,4,3,4,7
BERMEJO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,6,6,6,6,12
BETANZOS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,2,1,2,1,3
BOLPEBRA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,2,3,2,5
BOYUIBE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,3,1,3,4
BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,6,2,6,2,8
CABEZAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,16,1,16,17
CAIROMA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,0,1,0,1,1
"CAIZA ""D""",otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,0,2,0,2,2
CAJUATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,7,0,7,0,7
CALAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,2,1,2,1,3
CAMARGO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,2,1,2,1,3
CAMIRI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,2,3,2,5
CAPINOTA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,27,3,27,30
CARACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,14,17,14,17,31
CARAPARI,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,0,1,0,1
CARMEN RIVERO TORREZ,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,3,0,3,0,3
CHALLAPATA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,4,1,4,1,5
CHARAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,4,7,4,7,11
CHIMORE,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,6,2,6,2,8
CHULUMANI (V. DE LA LIBERTAD),otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,0,1,0,1,1
CKOCHAS,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,1,0,1,0,1
CLIZA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,12,3,12,3,15
COBIJA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,4,9,4,9,13
COCHABAMBA,otras vacunaciones,      mujeres de 10 a 49 anos 4ta dosis de dt,2014-02-01,129,63,129,63,192
