,group,variable,month,TOTAL 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTAL 21.3 MUJERES DE 10 A 49 AÑOS 3RA DOSIS DE DT CANTIDAD,TOTALES,TOTALES,TOTALES
EXALTACION,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,0,5,0,5
FILADELFIA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,4,0,4,4
GENERAL SAAVEDRA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
GUANAY,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,3,7,3,10
GUAQUI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,1,0,1,1
GUAYARAMERIN,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,32,2,32,2,34
GUTIERREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
HUACARETA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,1,1,1,2
HUANUNI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,16,12,16,12,28
HUARINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,1,0,1,1
HUAYLLAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
HUMANATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
ICHOCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,2,0,2,2
ICLA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
INCAHUASI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,2,1,2,3
INQUISIVI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,29,1,29,30
IRUPANA (VILLA DE LANZA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
JESUS DE MACHACA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,2,7,2,9
LA GUARDIA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,58,4,58,4,62
LA PAZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,517,26,517,26,543
LAGUNILLAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,9,20,9,20,29
LAJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,9,5,9,14
LORETO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,3,4,3,7
MACHACAMARCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,2,1,2,3
MACHARETI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,2,2,2,4
MAGDALENA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,3,6,3,9
MAIRANA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,0,6,0,6
MAPIRI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
MECAPACA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
MINEROS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,15,0,15,0,15
MIZQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,10,1,10,1,11
MOCOMOCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,2,5,2,7
MOJOCOYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
MONTEAGUDO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,18,13,18,13,31
MONTERO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,88,4,88,4,92
MOROCHATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,8,2,8,10
NAZACARA DE PACAJES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,1,0,1,1
NUEVO MANOA (NUEVA ESPERANZA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
OCURI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,5,0,5,5
OKINAWA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
OMEREQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,11,5,11,16
ORURO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,176,6,176,6,182
PADCAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,12,1,12,1,13
PAILON,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,5,3,5,8
PALCA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,8,4,8,12
PALOS BLANCOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,12,2,12,2,14
PAMPA GRANDE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,1,7,1,8
PASORAPA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,2,0,2,2
PATACAMAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
PELECHUCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,1,2,1,3
POCOATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,1,3,1,4
POCONA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
POJO (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,5,6,5,11
PORONGO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,8,6,8,14
PORTACHUELO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,9,1,9,1,10
POTOSI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,88,0,88,0,88
PRESTO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
PUCARANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,6,0,6,0,6
PUERTO ACOSTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
PUERTO CARABUCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,3,3,3,6
PUERTO GONZALO MORENO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,25,2,25,27
PUERTO PEREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,5,0,5,5
PUERTO QUIJARRO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,121,2,121,123
PUERTO RICO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,1,1,1,2
PUERTO SUAREZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,0,5,0,5
PUERTO VILLARROEL,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,33,7,33,7,40
PUNA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,2,2,2,4
PUNATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,29,11,29,11,40
QUILLACOLLO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,46,56,46,56,102
QUIME,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
RAVELO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,1,3,1,4
RIBERALTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,33,58,33,58,91
ROBORE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,12,39,12,39,51
RURRENABAQUE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
SACABA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,55,5,55,5,60
SACACA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,4,1,4,5
SAIPINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,5,2,5,7
SALINAS DE GARCI MENDOZA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,4,2,4,6
SAMAIPATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,9,1,9,1,10
SAN ANDRES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,5,0,5,5
SAN ANTONIO DE ESMORUCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
SAN ANTONIO DE LOMERIO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,15,2,15,17
SAN BENITO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,0,5,0,5
SAN BORJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,29,5,29,5,34
SAN BUENA VENTURA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
SAN CARLOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,29,0,29,0,29
SAN IGNACIO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,11,10,11,10,21
SAN IGNACIO DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,29,1,29,1,30
SAN JAVIER(STC),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,13,2,13,2,15
SAN JOAQUIN,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,8,0,8,0,8
SAN JUAN DE YAPACANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,9,0,9,0,9
SAN JULIAN,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,27,18,27,18,45
SAN LORENZO(PND),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
SAN LORENZO(TJA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,2,7,2,9
SAN LUCAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,4,3,4,7
SAN MATIAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,15,0,15,0,15
SAN MIGUEL DE VELASCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,8,0,8,0,8
SAN PEDRO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,2,2,2,4
SAN PEDRO DE TIQUINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,2,2,2,4
SAN RAFAEL,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,0,5,0,5
SAN RAMON BENI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,0,3,0,3
SAN RAMON SCZ,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,5,1,5,6
SANTA ANA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,979,173,979,173,1152
SANTA ROSA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,12,0,12,0,12
SANTA ROSA DEL SARA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,8,5,8,5,13
SANTIAGO DE HUATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
SANTIVAÑES,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,1,2,1,3
SANTUARIO DE QUILLACAS,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
SENA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,1,1,1,2
SHINAOTA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,5,30,5,30,35
SICA SICA (VILLA AROMA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,4,3,4,7
SIPE SIPE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,12,4,12,4,16
SORATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,5,4,5,9
SUCRE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,89,40,89,40,129
TACACOMA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
TACOPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,0,4,0,4
TAPACARI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,6,7,6,13
TARACO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
TARATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,2,3,2,5
TARIJA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,206,49,206,49,255
TARVITA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
TEOPONTE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,3,1,3,1,4
TIAWANACU,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,1,2,1,3
TINGUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,2,0,2,2
TIPUANI,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,0,2,0,2
TIQUIPAYA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,7,3,7,3,10
TIRAQUE (CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,4,2,4,2,6
TOCO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,3,2,3,5
TOLATA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,0,1,0,1
TOLEDO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,2,0,2,2
TOMAVE,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,1,3,1,3,4
TOMINA,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,2,2,2,2,4
TORO TORO,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,2,0,2,2
TOTORA(CBBA),otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,16,2,16,2,18
TRIGAL,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,0,1,0,1,1
TRINIDAD,otras vacunaciones,      mujeres de 10 a 49 anos 3ra dosis de dt,2014-01-01,82,8,82,8,90
