,group,variable,month,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTAL 2110 ANTIRRÁBICA HUMANA ESQUEMA COMPLETO CANTIDAD,TOTALES,TOTALES,TOTALES
ARBIETO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
ATOCHA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
BATALLAS,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,18,0,18,0,18
CARAPARI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,4,0,4,0,4
CHARAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,7,0,7,0,7
CHIPAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
CLIZA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,19,0,19,0,19
"COLCHA ""K""",otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
CORO CORO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,3,0,3,0,3
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,103,0,103,0,103
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,24,0,24,0,24
GENERAL SAAVEDRA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,7,0,7,0,7
GUANAY,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,8,0,8,0,8
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,27,0,27,0,27
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,73,0,73,0,73
LAJA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
LLALLAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
LLICA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,13,0,13,0,13
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,1,2,1,3
OKINAWA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,3,0,3,0,3
PALCA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,0,1,0,1,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,25,0,25,0,25
PUCARANI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,0,1,0,1,1
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
PUERTO VILLARROEL,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
PUNA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,20,0,20,0,20
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,6,0,6,0,6
SAMAIPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,6,0,6,0,6
SAN JUAN DE YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,9,2,9,2,11
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,4,0,4,0,4
SAN PEDRO,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
SAN PEDRO DE BUENA VISTA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,10,0,10,0,10
SAN PEDRO DE TIQUINA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,212,0,212,0,212
SICA SICA (VILLA AROMA),otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,36,0,36,0,36
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,17,0,17,0,17
TOTORA(CBBA),otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,1,0,1,0,1
TRINIDAD,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,0,1,0,1,1
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,4,0,4,0,4
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,31,0,31,0,31
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,0,1,0,1,1
VILLA TUNARI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,6,0,6,0,6
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,5,0,5,0,5
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,12,0,12,0,12
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,4,0,4,0,4
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-03-01,22,0,22,0,22
ANTEQUERA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,1,2,1,3
ARANI,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
BATALLAS,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,3,0,3,0,3
BUENA VISTA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,0,2,0,2
CABEZAS,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,49,0,49,0,49
CALAMARCA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,19,0,19,0,19
CHARAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,11,0,11,0,11
COCAPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,21,0,21,0,21
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,4,0,4,0,4
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,99,0,99,0,99
EL PUENTE(STC),otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,29,0,29,0,29
HUANUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,4,0,4,0,4
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,15,0,15,0,15
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,105,0,105,0,105
MAIRANA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,5,0,5,0,5
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,20,0,20,0,20
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,0,1,0,1,1
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,9,0,9,0,9
PALOS BLANCOS,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,25,0,25,0,25
PUCARA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
PUERTO SUAREZ,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,0,2,0,2
PUNA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,3,0,3,0,3
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,4,0,4,0,4
SAMAIPATA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,9,0,9,0,9
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,3,0,3,0,3
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,3,0,3,0,3
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,13,1,13,1,14
SAN LORENZO(TJA),otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,0,2,0,2
SAN PEDRO,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,0,2,0,2
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,222,0,222,0,222
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,42,0,42,0,42
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,10,0,10,0,10
TOLATA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
UNCIA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,2,0,2,0,2
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,4,0,4,0,4
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
VILLA MONTES,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,1,0,1,0,1
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,6,0,6,0,6
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,9,0,9,0,9
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,4,0,4,0,4
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-04-01,28,0,28,0,28
ACHACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
ATOCHA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
BATALLAS,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
BERMEJO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,1,1,1,2
CABEZAS,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,13,0,13,0,13
CAMIRI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,5,0,5,0,5
CHARAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
CKOCHAS,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
COCHABAMBA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,16,0,16,0,16
COLCAPIRHUA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
COPACABANA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
COTOCA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,3,0,3,0,3
CUATRO CAÑADAS,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,1,1,1,2
CUEVO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
EL ALTO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,105,0,105,0,105
EL TORNO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,15,0,15,0,15
ENTRE RIOS TRJ,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
FERNANDEZ ALONSO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,1,2,1,3
LA GUARDIA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,14,0,14,0,14
LA PAZ,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,29,0,29,0,29
LLALLAGUA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
MAIRANA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
MIZQUE,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
MONTERO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,9,0,9,0,9
MORO MORO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,1,2,1,3
ORURO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,14,0,14,0,14
PATACAMAYA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
POJO (CBBA),otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,0,1,0,1,1
POTOSI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,11,0,11,0,11
PUERTO QUIJARRO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,4,0,4,0,4
PUNA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,0,10,0,10,10
PUNATA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,19,0,19,0,19
QUILLACOLLO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
SACABA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,3,0,3,0,3
SALINAS DE GARCI MENDOZA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
SAN CARLOS,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
SAN IGNACIO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
SAN IGNACIO DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,13,0,13,0,13
SAN JULIAN,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,12,0,12,0,12
SAN MIGUEL DE VELASCO,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
SAN RAMON SCZ,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,221,0,221,0,221
SICA SICA (VILLA AROMA),otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
SORACACHI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,3,0,3,0,3
SUCRE,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,41,0,41,0,41
TARIJA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,9,0,9,0,9
TOLATA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,2,0,2,0,2
TRIGAL,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,1,0,1,0,1
UYUNI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,3,0,3,0,3
VALLEGRANDE,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,3,0,3,0,3
VIACHA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,0,3,0,3,3
VILA VILA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,8,0,8,0,8
VILLAZON,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,16,0,16,0,16
WARNES,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,8,0,8,0,8
YACUIBA,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,4,0,4,0,4
YAPACANI,otras vacunaciones,      antirrabica humana esquema completo,2014-05-01,20,0,20,0,20
ANCORAIMES,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
ARBIETO,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,1,0,1,0,1
ATOCHA,otras vacunaciones,      antirrabica humana esquema completo,2014-06-01,2,0,2,0,2
