,group,variable,month,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTAL 21.6 TRABAJADOR DE SALUD HEPATITIS B 1RA DOSIS CANTIDAD,TOTALES,TOTALES,TOTALES
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,56,10,56,10,66
EL PUENTE(STC),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,62,0,62,0,62
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,7,0,7,0,7
ESCOMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,5,2,5,7
GUTIERREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
HUACARETA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
HUACHACALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
LA ASUNTA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,14,7,14,7,21
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,13,6,13,6,19
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,227,0,227,0,227
MACHARETI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,18,0,18,0,18
MAIRANA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,12,0,12,0,12
MALLA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
MAPIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,5,0,5,0,5
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,172,11,172,11,183
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,4,8,4,8,12
PASORAPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,50,0,50,0,50
PRESTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
PUERTO CARABUCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
PUERTO PEREZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,4,0,4,0,4
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,6,0,6,0,6
SACABA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,4,0,4,0,4
SAIPINA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,4,0,4,0,4
SAN ANDRES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,6,1,6,1,7
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,10,0,10,0,10
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,8,0,8,0,8
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,8,1,8,1,9
SAN JOSE DE CHIQUITOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
SAN LORENZO(TJA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,5,0,5,0,5
SAN RAMON BENI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,84,0,84,0,84
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,5,0,5,0,5
SENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,10,0,10,0,10
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,9,0,9,0,9
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,27,139,27,139,166
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,8,0,8,0,8
TIPUANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,0,2,0,2
TIQUIPAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,2,2,2,2,4
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,8,0,8,0,8
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,3,0,3,0,3
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,15,2,15,2,17
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,51,5,51,5,56
YANACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,5,0,5,0,5
YUNGUYO DE LITORAL,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-02-01,1,0,1,0,1
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,22,0,22,0,22
ANCORAIMES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,7,0,7,0,7
ATOCHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,27,32,27,32,59
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,5,0,5,5
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,11,0,11,0,11
BOYUIBE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,28,0,28,0,28
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,10,0,10,0,10
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,50,60,50,60,110
COCHABAMBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,28,0,28,0,28
CONCEPCION,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,4,2,4,6
CORO CORO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
COTOCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,6,0,6,0,6
CUATRO CAÑADAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
CUEVO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
EL ALTO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,60,6,60,6,66
EL TORNO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,28,0,28,0,28
EL VILLAR,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
ENTRE RIOS TRJ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,4,0,4,0,4
ESCOMA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
FILADELFIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,3,0,3,3
GENERAL SAAVEDRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
GUANAY,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
HUANUNI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
INCAHUASI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
INGAVI (HUMAITA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,2,0,2,2
IXIAMAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,19,0,19,19
LA GUARDIA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,50,8,50,8,58
LA PAZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,295,0,295,0,295
MAGDALENA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
MOCOMOCO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,5,0,5,0,5
MONTEAGUDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
MONTERO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
ORURO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,376,9,376,9,385
PADCAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,5,0,5,0,5
PALOS BLANCOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,4,2,4,2,6
PASORAPA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
PORONGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
PORTACHUELO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,15,0,15,0,15
POTOSI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,31,12,31,12,43
PUCARANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
QUIABAYA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
ROBORE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
SAMAIPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
SAN ANDRES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
SAN BORJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,20,3,20,3,23
SAN CARLOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
SAN IGNACIO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,2,0,2,0,2
SAN JOAQUIN,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
SAN JUAN DE YAPACANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,4,0,4,0,4
SAN LORENZO(PND),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
SAN MATIAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
SAN PEDRO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,2,0,2,2
SAN RAMON SCZ,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,10,0,10,0,10
SANTA CRUZ DE LA SIERRA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,149,0,149,0,149
SANTA ROSA DEL SARA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,7,0,7,0,7
SANTIAGO DE HUARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,7,0,7,7
SAPAHAQUI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
SICA SICA (VILLA AROMA),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,4,0,4,0,4
SORATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,1,3,1,4
SUCRE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,22,0,22,0,22
TARIJA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,34,189,34,189,223
TARVITA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,17,0,17,0,17
TRINIDAD,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,42,185,42,185,227
URIONDO (A. CONCEPCION),otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
VALLEGRANDE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,0,7,0,7,7
VIACHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,18,128,18,128,146
VILLA CHARCAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,9,0,9,0,9
VILLA MONTES,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,11,0,11,0,11
VILLA SERRANO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,3,0,3,0,3
YACO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,1,0,1,0,1
YACUIBA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-03-01,13,0,13,0,13
ACHACACHI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,10,0,10,0,10
ALCALA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,5,0,5,0,5
ANZALDO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,7,0,7,0,7
ARANI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,29,0,29,0,29
ASCENCION DE GUARAYOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,42,0,42,0,42
ATOCHA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,8,6,8,14
BATALLAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,10,0,10,10
BERMEJO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,55,0,55,0,55
BETANZOS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,28,0,28,0,28
BOYUIBE,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,6,0,6,0,6
CABEZAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
CALAMARCA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
CAMARGO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
CAMIRI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,33,0,33,0,33
CARACOLLO,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,1,0,1,0,1
CARANAVI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,2,0,2,0,2
CARAPARI,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,20,11,20,11,31
CATACORA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,18,0,18,18
CHALLAPATA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,20,35,20,35,55
CHARAGUA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,3,0,3,0,3
CHARAÑA,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,0,1,0,1,1
CKOCHAS,otras vacunaciones,      trabajador de salud hepatitis b 1ra dosis,2014-04-01,8,0,8,0,8
