,group,variable,month,REPETIDAS A. < 15,REPETIDAS A. < 15,REPETIDAS B. 15 A 19,REPETIDAS B. 15 A 19,REPETIDAS C. 20 - 34,REPETIDAS C. 20 - 34,REPETIDAS D. 35 - 49,REPETIDAS D. 35 - 49,REPETIDAS E. 50 Y +,REPETIDAS E. 50 Y +,TOTALES
CALAMARCA,consultas prenatales,repetidas,2021-01-01,0,0,8,0,41,3,7,0,0,0,59
CAMARGO,consultas prenatales,repetidas,2021-01-01,0,0,8,0,52,2,7,0,0,0,69
CAMATAQUI (C. VILLA ABECIA),consultas prenatales,repetidas,2021-01-01,0,0,0,0,3,2,1,0,0,0,6
CAMIRI,consultas prenatales,repetidas,2021-01-01,0,0,23,1,87,1,17,0,0,0,129
CAPINOTA,consultas prenatales,repetidas,2021-01-01,1,0,20,0,107,0,23,0,0,0,151
CAQUIAVIRI,consultas prenatales,repetidas,2021-01-01,1,0,4,0,14,0,4,0,0,0,23
CARACOLLO,consultas prenatales,repetidas,2021-01-01,0,0,16,1,87,5,8,0,0,0,117
CARANAVI,consultas prenatales,repetidas,2021-01-01,2,0,56,0,222,0,41,0,0,0,321
CARANGAS,consultas prenatales,repetidas,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
CARAPARI,consultas prenatales,repetidas,2021-01-01,1,0,9,0,60,0,7,0,0,0,77
CARIPUYO,consultas prenatales,repetidas,2021-01-01,0,0,10,0,22,2,1,2,0,0,37
CARMEN RIVERO TORREZ,consultas prenatales,repetidas,2021-01-01,0,0,9,0,25,0,5,0,0,0,39
CATACORA,consultas prenatales,repetidas,2021-01-01,0,0,1,0,2,1,1,0,0,0,5
CHACARILLA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,2,0,1,0,0,0,5
CHALLAPATA,consultas prenatales,repetidas,2021-01-01,1,0,26,2,170,9,26,0,0,0,234
CHAQUI,consultas prenatales,repetidas,2021-01-01,0,1,4,0,20,2,4,0,0,0,31
CHARAGUA,consultas prenatales,repetidas,2021-01-01,1,0,20,0,90,2,11,0,0,0,124
CHARAÑA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,3,0,0,0,0,0,5
CHAYANTA,consultas prenatales,repetidas,2021-01-01,0,0,13,1,37,6,2,2,0,0,61
CHIMORE,consultas prenatales,repetidas,2021-01-01,2,0,33,6,143,4,16,1,0,0,205
CHIPAYA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,5,0,3,0,0,0,8
CHOQUE COTA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,2,0,0,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),consultas prenatales,repetidas,2021-01-01,0,0,9,0,73,0,13,0,0,0,95
CHUMA,consultas prenatales,repetidas,2021-01-01,0,0,3,1,10,4,3,5,0,0,26
CHUQUIHUTA AYLLU JUCUMANI,consultas prenatales,repetidas,2021-01-01,0,0,11,0,20,1,5,0,0,0,37
CKOCHAS,consultas prenatales,repetidas,2021-01-01,0,0,10,5,31,9,10,5,0,0,70
CLIZA,consultas prenatales,repetidas,2021-01-01,0,0,26,1,92,0,14,1,3,0,137
COBIJA,consultas prenatales,repetidas,2021-01-01,3,0,66,0,258,2,40,1,0,0,370
COCAPATA,consultas prenatales,repetidas,2021-01-01,1,0,12,12,31,18,5,8,0,0,87
COCHABAMBA,consultas prenatales,repetidas,2021-01-01,6,0,398,1,3563,0,904,0,1,0,4873
COIPASA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
COLCAPIRHUA,consultas prenatales,repetidas,2021-01-01,0,0,21,1,253,11,34,1,0,0,321
"COLCHA ""K""",consultas prenatales,repetidas,2021-01-01,0,0,6,0,35,0,3,0,0,0,44
COLLANA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,9,0,1,0,0,0,10
COLOMI,consultas prenatales,repetidas,2021-01-01,3,0,46,0,107,0,30,0,0,0,186
COLPA BELGICA,consultas prenatales,repetidas,2021-01-01,0,0,6,0,17,0,3,0,0,0,26
COLQUECHACA,consultas prenatales,repetidas,2021-01-01,1,0,29,1,48,17,6,6,0,0,108
COLQUENCHA,consultas prenatales,repetidas,2021-01-01,0,0,10,0,60,3,9,0,0,0,82
COLQUIRI,consultas prenatales,repetidas,2021-01-01,0,0,7,2,27,10,2,1,0,0,49
COMANCHE,consultas prenatales,repetidas,2021-01-01,0,0,3,0,5,0,1,2,0,0,11
COMARAPA,consultas prenatales,repetidas,2021-01-01,0,0,19,0,83,0,13,0,0,0,115
COMBAYA,consultas prenatales,repetidas,2021-01-01,1,0,1,0,1,2,0,0,0,0,5
CONCEPCION,consultas prenatales,repetidas,2021-01-01,0,2,14,9,29,3,13,1,0,0,71
COPACABANA,consultas prenatales,repetidas,2021-01-01,0,0,5,0,42,1,6,0,0,0,54
CORIPATA,consultas prenatales,repetidas,2021-01-01,1,0,12,0,84,0,13,0,0,0,110
CORO CORO,consultas prenatales,repetidas,2021-01-01,0,0,6,0,6,1,6,1,0,0,20
COROICO,consultas prenatales,repetidas,2021-01-01,0,0,11,1,41,1,6,0,0,0,60
CORQUE,consultas prenatales,repetidas,2021-01-01,0,0,6,0,12,0,2,0,0,0,20
COTAGAITA,consultas prenatales,repetidas,2021-01-01,0,0,22,2,57,7,8,1,0,0,97
COTOCA,consultas prenatales,repetidas,2021-01-01,4,0,81,3,345,16,46,0,0,0,495
CUATRO CAÑADAS,consultas prenatales,repetidas,2021-01-01,0,0,10,0,62,0,7,0,0,0,79
CUCHUMUELA (V. G. VILLARROEL),consultas prenatales,repetidas,2021-01-01,0,0,1,0,4,0,3,0,0,0,8
CUEVO,consultas prenatales,repetidas,2021-01-01,0,0,5,0,10,0,6,0,0,0,21
CULPINA,consultas prenatales,repetidas,2021-01-01,0,0,13,2,45,4,8,3,0,0,75
CURAHUARA DE CARANGAS,consultas prenatales,repetidas,2021-01-01,0,0,3,0,8,0,3,0,0,0,14
CURVA,consultas prenatales,repetidas,2021-01-01,0,0,1,0,5,0,1,0,0,0,7
DESAGUADERO,consultas prenatales,repetidas,2021-01-01,0,0,0,0,22,0,6,0,0,0,28
EL ALTO,consultas prenatales,repetidas,2021-01-01,6,2,344,123,3152,824,645,143,2,0,5241
EL CHORO,consultas prenatales,repetidas,2021-01-01,0,0,1,1,10,2,1,0,0,0,15
EL PUENTE(STC),consultas prenatales,repetidas,2021-01-01,3,0,13,0,52,1,7,0,0,0,76
EL PUENTE(TJA),consultas prenatales,repetidas,2021-01-01,0,0,3,0,30,3,5,0,0,0,41
EL TORNO,consultas prenatales,repetidas,2021-01-01,7,0,72,0,270,0,41,0,0,0,390
EL VILLAR,consultas prenatales,repetidas,2021-01-01,0,0,4,0,13,3,2,0,0,0,22
ENTRE RIOS TRJ,consultas prenatales,repetidas,2021-01-01,1,0,19,2,75,5,20,2,0,0,124
ENTRE RIOS CBBA,consultas prenatales,repetidas,2021-01-01,2,0,64,0,264,0,31,1,1,0,363
ESCARA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
ESCOMA,consultas prenatales,repetidas,2021-01-01,0,0,4,0,6,0,4,0,0,0,14
EUCALIPTUS,consultas prenatales,repetidas,2021-01-01,0,0,4,0,15,0,7,0,0,0,26
EUREKA (SANTOS MERCADO),consultas prenatales,repetidas,2021-01-01,1,0,0,0,3,1,0,0,0,0,5
EXALTACION,consultas prenatales,repetidas,2021-01-01,0,0,1,0,2,0,0,0,0,0,3
FERNANDEZ ALONSO,consultas prenatales,repetidas,2021-01-01,2,0,13,0,40,0,5,0,0,0,60
FILADELFIA,consultas prenatales,repetidas,2021-01-01,2,0,6,0,38,0,2,0,0,0,48
GENERAL SAAVEDRA,consultas prenatales,repetidas,2021-01-01,1,0,35,0,62,1,9,0,0,0,108
GRAL. J.J. PEREZ (CHARAZANI),consultas prenatales,repetidas,2021-01-01,0,0,7,0,17,0,5,0,0,0,29
GUANAY,consultas prenatales,repetidas,2021-01-01,0,0,14,1,35,5,1,0,0,0,56
GUAQUI,consultas prenatales,repetidas,2021-01-01,0,0,3,0,18,0,1,0,0,0,22
GUAYARAMERIN,consultas prenatales,repetidas,2021-01-01,4,0,56,0,235,2,32,0,0,0,329
GUTIERREZ,consultas prenatales,repetidas,2021-01-01,1,0,15,0,37,0,9,0,0,0,62
HUACARETA,consultas prenatales,repetidas,2021-01-01,0,0,5,0,18,2,6,0,0,0,31
HUACAYA (VILLA DE HUACAYA),consultas prenatales,repetidas,2021-01-01,0,0,1,0,5,1,0,0,0,0,7
HUACHACALLA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,3,0,1,0,0,0,4
HUANUNI,consultas prenatales,repetidas,2021-01-01,1,0,12,1,95,1,18,0,0,0,128
HUARACAJE,consultas prenatales,repetidas,2021-01-01,0,0,2,0,6,1,1,0,0,0,10
HUARINA,consultas prenatales,repetidas,2021-01-01,0,0,8,0,3,1,1,0,0,0,13
HUATAJATA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,3,0,1,0,0,0,4
HUAYLLAMARCA,consultas prenatales,repetidas,2021-01-01,0,0,4,0,3,0,0,0,0,0,7
HUMANATA,consultas prenatales,repetidas,2021-01-01,0,0,4,2,2,0,5,0,0,0,13
ICHOCA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,10,3,2,2,0,0,19
ICLA,consultas prenatales,repetidas,2021-01-01,0,1,2,3,10,7,1,3,0,0,27
INCAHUASI,consultas prenatales,repetidas,2021-01-01,0,0,10,7,42,8,5,3,0,0,75
INGAVI (HUMAITA),consultas prenatales,repetidas,2021-01-01,0,0,1,0,5,0,0,0,0,0,6
INQUISIVI,consultas prenatales,repetidas,2021-01-01,0,0,9,4,30,9,3,3,0,0,58
IRUPANA (VILLA DE LANZA),consultas prenatales,repetidas,2021-01-01,0,0,7,0,47,0,11,1,0,0,66
IXIAMAS,consultas prenatales,repetidas,2021-01-01,1,0,12,0,30,0,10,0,1,0,54
JESUS DE MACHACA,consultas prenatales,repetidas,2021-01-01,0,0,11,0,26,3,5,2,0,0,47
LA ASUNTA,consultas prenatales,repetidas,2021-01-01,3,0,44,3,158,16,25,3,0,0,252
LA GUARDIA,consultas prenatales,repetidas,2021-01-01,4,0,57,0,417,0,51,0,0,0,529
LA PAZ,consultas prenatales,repetidas,2021-01-01,0,0,157,4,2647,0,808,0,1,0,3617
LAGUNILLAS,consultas prenatales,repetidas,2021-01-01,1,1,9,2,29,11,5,0,0,0,58
LAJA,consultas prenatales,repetidas,2021-01-01,3,0,14,0,41,0,8,0,0,0,66
LAS CARRERAS,consultas prenatales,repetidas,2021-01-01,0,0,0,0,13,0,0,0,0,0,13
LICOMA PAMPA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,8,0,0,0,0,0,10
LLALLAGUA,consultas prenatales,repetidas,2021-01-01,0,0,42,2,236,5,41,1,0,0,327
LLICA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,11,1,1,0,0,0,15
LORETO,consultas prenatales,repetidas,2021-01-01,0,0,4,0,0,1,0,0,0,0,5
LURIBAY,consultas prenatales,repetidas,2021-01-01,0,0,6,0,22,0,8,0,0,0,36
MACHACAMARCA,consultas prenatales,repetidas,2021-01-01,0,0,3,0,10,0,0,0,0,0,13
MACHARETI,consultas prenatales,repetidas,2021-01-01,0,0,1,0,19,0,5,0,0,0,25
MAGDALENA,consultas prenatales,repetidas,2021-01-01,0,0,3,0,11,0,2,0,0,0,16
MAIRANA,consultas prenatales,repetidas,2021-01-01,2,0,20,0,62,0,22,0,0,0,106
MALLA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,1,2,1,1,0,0,7
MAPIRI,consultas prenatales,repetidas,2021-01-01,1,0,18,0,93,0,4,0,0,0,116
MECAPACA,consultas prenatales,repetidas,2021-01-01,0,0,3,1,42,2,5,1,0,0,54
MINEROS,consultas prenatales,repetidas,2021-01-01,3,0,16,1,75,1,10,0,0,0,106
MIZQUE,consultas prenatales,repetidas,2021-01-01,3,0,34,2,80,1,13,2,0,0,135
MOCOMOCO,consultas prenatales,repetidas,2021-01-01,0,0,4,2,25,4,2,2,0,0,39
MOJINETE,consultas prenatales,repetidas,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
MOJOCOYA,consultas prenatales,repetidas,2021-01-01,0,0,4,0,17,0,2,0,0,0,23
MONTEAGUDO,consultas prenatales,repetidas,2021-01-01,0,0,18,0,118,0,35,3,0,0,174
MONTERO,consultas prenatales,repetidas,2021-01-01,11,0,170,2,753,0,119,0,2,0,1057
MORO MORO,consultas prenatales,repetidas,2021-01-01,0,0,2,1,4,5,2,0,0,0,14
MOROCHATA,consultas prenatales,repetidas,2021-01-01,0,0,8,3,18,1,4,0,0,0,34
NACEBE (SANTA ROSA DEL ABUNA),consultas prenatales,repetidas,2021-01-01,0,0,5,0,15,1,1,0,0,0,22
NAZACARA DE PACAJES,consultas prenatales,repetidas,2021-01-01,0,0,1,0,5,0,0,0,0,0,6
NUEVO MANOA (NUEVA ESPERANZA),consultas prenatales,repetidas,2021-01-01,0,0,1,0,4,0,0,0,0,0,5
OCURI,consultas prenatales,repetidas,2021-01-01,0,0,7,1,38,5,6,6,0,0,63
OKINAWA,consultas prenatales,repetidas,2021-01-01,0,0,11,0,44,0,8,0,0,0,63
OMEREQUE,consultas prenatales,repetidas,2021-01-01,0,0,7,0,17,1,3,1,0,0,29
ORURO,consultas prenatales,repetidas,2021-01-01,4,0,222,4,1635,15,314,1,0,0,2195
PADCAYA,consultas prenatales,repetidas,2021-01-01,1,0,14,0,38,0,9,0,0,0,62
PADILLA,consultas prenatales,repetidas,2021-01-01,0,0,7,1,32,1,5,0,0,0,46
PAILON,consultas prenatales,repetidas,2021-01-01,1,0,24,0,117,4,18,0,0,0,164
PALCA,consultas prenatales,repetidas,2021-01-01,0,0,12,1,46,2,10,0,0,0,71
PALOS BLANCOS,consultas prenatales,repetidas,2021-01-01,0,0,27,2,107,6,17,0,0,0,159
PAMPA AULLAGAS,consultas prenatales,repetidas,2021-01-01,0,0,2,0,4,2,1,0,0,0,9
PAMPA GRANDE,consultas prenatales,repetidas,2021-01-01,0,0,9,0,37,0,6,0,0,0,52
PAPEL PAMPA,consultas prenatales,repetidas,2021-01-01,1,0,3,0,12,0,5,0,0,0,21
PASORAPA,consultas prenatales,repetidas,2021-01-01,0,0,3,1,5,0,1,0,0,0,10
PATACAMAYA,consultas prenatales,repetidas,2021-01-01,0,0,22,0,91,0,12,0,0,0,125
PAZÑA,consultas prenatales,repetidas,2021-01-01,0,0,3,0,16,1,3,0,0,0,23
PELECHUCO,consultas prenatales,repetidas,2021-01-01,0,0,6,0,22,1,4,0,0,0,33
POCOATA,consultas prenatales,repetidas,2021-01-01,0,0,15,9,42,15,7,9,0,0,97
POCONA,consultas prenatales,repetidas,2021-01-01,0,0,10,2,33,0,5,2,0,0,52
POJO (CBBA),consultas prenatales,repetidas,2021-01-01,2,0,13,0,43,0,12,0,0,0,70
POOPO,consultas prenatales,repetidas,2021-01-01,0,0,5,0,18,2,2,0,0,0,27
PORCO,consultas prenatales,repetidas,2021-01-01,2,0,6,2,51,0,6,0,0,0,67
POROMA,consultas prenatales,repetidas,2021-01-01,1,0,11,2,21,8,10,3,0,0,56
PORONGO,consultas prenatales,repetidas,2021-01-01,1,0,5,0,49,0,5,0,0,0,60
PORTACHUELO,consultas prenatales,repetidas,2021-01-01,2,0,13,0,60,0,10,0,0,0,85
PORVENIR,consultas prenatales,repetidas,2021-01-01,0,0,6,0,29,0,4,0,0,0,39
POSTRER VALLE,consultas prenatales,repetidas,2021-01-01,0,0,0,0,1,0,0,0,0,0,1
POTOSI,consultas prenatales,repetidas,2021-01-01,1,0,171,8,903,36,157,9,0,0,1285
PRESTO,consultas prenatales,repetidas,2021-01-01,1,0,4,0,14,3,3,0,0,0,25
PUCARA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,7,1,0,0,0,0,8
PUCARANI,consultas prenatales,repetidas,2021-01-01,1,0,23,1,96,0,8,0,0,0,129
PUERTO ACOSTA,consultas prenatales,repetidas,2021-01-01,1,0,3,0,14,1,5,0,0,0,24
PUERTO CARABUCO,consultas prenatales,repetidas,2021-01-01,0,0,2,0,14,4,5,1,0,0,26
PUERTO GONZALO MORENO,consultas prenatales,repetidas,2021-01-01,1,0,12,0,19,1,2,0,0,0,35
PUERTO PEREZ,consultas prenatales,repetidas,2021-01-01,0,0,6,0,12,2,4,0,0,0,24
PUERTO QUIJARRO,consultas prenatales,repetidas,2021-01-01,0,0,6,0,20,0,1,0,0,0,27
PUERTO RICO,consultas prenatales,repetidas,2021-01-01,4,0,12,0,27,0,3,0,0,0,46
PUERTO SUAREZ,consultas prenatales,repetidas,2021-01-01,2,0,16,17,35,0,6,0,0,0,76
PUERTO VILLARROEL,consultas prenatales,repetidas,2021-01-01,4,0,102,0,367,0,71,2,0,0,546
PUNA,consultas prenatales,repetidas,2021-01-01,0,0,9,0,47,2,7,1,0,0,66
PUNATA,consultas prenatales,repetidas,2021-01-01,0,0,30,0,181,16,52,2,0,0,281
QUIABAYA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,9,0,1,0,0,0,12
QUILLACOLLO,consultas prenatales,repetidas,2021-01-01,1,0,95,20,531,145,111,26,0,0,929
QUIME,consultas prenatales,repetidas,2021-01-01,0,0,5,1,14,0,1,0,0,0,21
QUIRUSILLAS,consultas prenatales,repetidas,2021-01-01,0,0,0,0,4,0,2,0,0,0,6
RAQAYPAMPA(ETA),consultas prenatales,repetidas,2021-01-01,0,0,7,0,13,0,6,0,0,0,26
RAVELO,consultas prenatales,repetidas,2021-01-01,0,0,11,4,17,3,11,2,0,0,48
REYES,consultas prenatales,repetidas,2021-01-01,0,0,19,1,54,0,2,0,0,0,76
RIBERALTA,consultas prenatales,repetidas,2021-01-01,29,0,176,3,543,1,89,0,0,0,841
ROBORE,consultas prenatales,repetidas,2021-01-01,0,0,7,0,49,2,5,0,0,0,63
RURRENABAQUE,consultas prenatales,repetidas,2021-01-01,1,0,23,1,100,1,10,1,1,0,138
SABAYA,consultas prenatales,repetidas,2021-01-01,0,0,2,0,14,0,2,0,0,0,18
SACABA,consultas prenatales,repetidas,2021-01-01,2,0,116,4,677,24,114,4,0,0,941
SACABAMBA,consultas prenatales,repetidas,2021-01-01,0,0,4,0,11,0,3,0,0,0,18
SACACA,consultas prenatales,repetidas,2021-01-01,0,0,20,3,39,6,11,8,0,0,87
SAIPINA,consultas prenatales,repetidas,2021-01-01,0,0,11,0,15,0,4,0,0,0,30
SALINAS DE GARCI MENDOZA,consultas prenatales,repetidas,2021-01-01,0,0,6,0,28,2,7,1,0,0,44
SAMAIPATA,consultas prenatales,repetidas,2021-01-01,0,0,7,0,29,2,1,0,0,0,39
SAN AGUSTIN,consultas prenatales,repetidas,2021-01-01,0,0,1,0,5,0,2,0,0,0,8
SAN ANDRES,consultas prenatales,repetidas,2021-01-01,0,0,4,0,8,0,1,0,0,0,13
SAN ANDRES DE MACHACA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,3,0,3,2,0,0,8
SAN ANTONIO DE ESMORUCO,consultas prenatales,repetidas,2021-01-01,0,0,0,0,2,0,0,0,0,0,2
SAN ANTONIO DE LOMERIO,consultas prenatales,repetidas,2021-01-01,0,0,5,1,41,0,6,0,0,0,53
SAN BENITO,consultas prenatales,repetidas,2021-01-01,0,0,8,0,35,0,6,0,0,0,49
SAN BORJA,consultas prenatales,repetidas,2021-01-01,8,0,59,0,194,7,29,0,0,0,297
SAN BUENA VENTURA,consultas prenatales,repetidas,2021-01-01,0,0,6,7,19,2,2,0,0,0,36
SAN CARLOS,consultas prenatales,repetidas,2021-01-01,1,0,15,0,58,0,17,0,0,0,91
SAN IGNACIO,consultas prenatales,repetidas,2021-01-01,2,0,22,4,77,5,11,0,0,0,121
SAN IGNACIO DE VELASCO,consultas prenatales,repetidas,2021-01-01,8,0,80,5,257,12,46,1,0,0,409
SAN JAVIER(BNI),consultas prenatales,repetidas,2021-01-01,1,0,3,0,7,0,1,0,0,0,12
SAN JAVIER(STC),consultas prenatales,repetidas,2021-01-01,0,0,14,0,50,0,0,0,0,0,64
SAN JOAQUIN,consultas prenatales,repetidas,2021-01-01,2,0,13,0,17,0,1,0,0,0,33
SAN JOSE DE CHIQUITOS,consultas prenatales,repetidas,2021-01-01,0,0,4,1,49,4,5,1,0,0,64
SAN JUAN DE YAPACANI,consultas prenatales,repetidas,2021-01-01,1,0,13,0,25,0,6,0,0,0,45
SAN JULIAN,consultas prenatales,repetidas,2021-01-01,1,2,65,0,190,0,27,0,0,0,285
SAN LORENZO(PND),consultas prenatales,repetidas,2021-01-01,6,0,10,0,31,1,3,0,0,0,51
SAN LORENZO(TJA),consultas prenatales,repetidas,2021-01-01,0,1,11,3,59,3,8,0,1,0,86
SAN LUCAS,consultas prenatales,repetidas,2021-01-01,3,1,30,10,71,21,27,1,0,0,164
SAN MATIAS,consultas prenatales,repetidas,2021-01-01,0,0,15,0,41,0,9,0,0,0,65
SAN MIGUEL DE VELASCO,consultas prenatales,repetidas,2021-01-01,1,0,16,2,47,2,13,0,0,0,81
SAN PABLO DE LIPEZ,consultas prenatales,repetidas,2021-01-01,0,0,4,0,2,0,1,0,0,0,7
SAN PEDRO,consultas prenatales,repetidas,2021-01-01,0,0,10,0,55,0,9,0,0,0,74
SAN PEDRO DE BUENA VISTA,consultas prenatales,repetidas,2021-01-01,0,0,22,4,51,13,13,4,0,0,107
SAN PEDRO DE CURAHUARA,consultas prenatales,repetidas,2021-01-01,0,0,5,0,7,0,4,0,0,0,16
SAN PEDRO DE MACHA,consultas prenatales,repetidas,2021-01-01,0,0,17,0,46,8,16,1,0,0,88
SAN PEDRO DE QUEMES,consultas prenatales,repetidas,2021-01-01,1,0,1,0,2,0,0,0,0,0,4
SAN PEDRO DE TIQUINA,consultas prenatales,repetidas,2021-01-01,0,0,3,0,19,0,2,0,0,0,24
SAN PEDRO(PND),consultas prenatales,repetidas,2021-01-01,1,0,3,1,4,2,0,0,0,0,11
SAN RAFAEL,consultas prenatales,repetidas,2021-01-01,1,0,4,0,11,0,1,0,0,0,17
SAN RAMON BENI,consultas prenatales,repetidas,2021-01-01,0,0,6,0,23,0,0,0,0,0,29
SAN RAMON SCZ,consultas prenatales,repetidas,2021-01-01,0,0,5,0,38,2,4,0,0,0,49
SANTA ANA,consultas prenatales,repetidas,2021-01-01,2,0,22,0,72,0,8,0,0,0,104
SANTA CRUZ DE LA SIERRA,consultas prenatales,repetidas,2021-01-01,26,10,990,21,5880,16,1022,17,9,0,7991
SANTA ROSA,consultas prenatales,repetidas,2021-01-01,0,0,18,0,45,2,8,0,0,0,73
SANTA ROSA DEL SARA,consultas prenatales,repetidas,2021-01-01,4,0,19,0,55,0,9,0,0,0,87
SANTIAGO DE CALLAPA,consultas prenatales,repetidas,2021-01-01,0,0,2,1,6,0,1,0,0,0,10
SANTIAGO DE HUARI,consultas prenatales,repetidas,2021-01-01,0,0,6,4,11,3,1,0,0,0,25
SANTIAGO DE HUATA,consultas prenatales,repetidas,2021-01-01,0,0,6,0,8,0,0,0,0,0,14
SANTIAGO DE MACHACA,consultas prenatales,repetidas,2021-01-01,0,0,0,0,11,1,0,0,0,0,12
SANTIVAÑES,consultas prenatales,repetidas,2021-01-01,0,0,6,0,28,0,1,0,0,0,35
