municipality,group,variable,month,TOTAL NÚMERO DE MUJERES CON PÍLDORA ANTICONCEPTIVA ORAL DE EMERGENCIA  Grupo Edad: (CANTIDAD),TOTAL
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,8,8
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,4,4
SAN JOAQUIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,88,88
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,12,12
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,8,8
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,4,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,26,26
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,9,9
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,6,6
YANACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-01-01,1,1
ACACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,6,6
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
ANCORAIMES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,6,6
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,4,4
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,55,55
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,9,9
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,27,27
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,3,3
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,4,4
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,14,14
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,4,4
PUERTO PEREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,6,6
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,3,3
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,7,7
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
SAN JULIAN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
SAN PEDRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,3,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,15,15
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,14,14
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,11,11
TACACOMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,3,3
TACOPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
TAHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,3,3
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,10,10
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,4,4
UMALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,9,9
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-02-01,1,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,4,4
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,35,35
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,13,13
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,6,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,24,24
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,3,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,6,6
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,4,4
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,9,9
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,4,4
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,4,4
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,15,15
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,6,6
SOPACHUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,21,21
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,3,3
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,6,6
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
TODOS SANTOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
TOLEDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
TOMAVE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
TORO TORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
TRIGAL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
VILLA CHARCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-03-01,2,2
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
ALCALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,3,3
ARBIETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
ARQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,5,5
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,3,3
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,31,31
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,1,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",total      numero de mujeres con pildora anticonceptiva oral de emergencia,2014-04-01,3,3
