municipality,group,variable,month,TOTAL 5.02 DIU: USUARIAS CONTINUAS  Grupo Edad: (CANTIDAD),TOTAL
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,1,1
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,365,365
SIPE SIPE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,4,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,88,88
TAPACARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,187,187
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,10,10
TIRAQUE (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,1,1
TOLATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,2,2
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,3,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,12,12
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,10,10
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,1,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,12,12
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,12,12
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,4,4
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,4,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,7,7
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,7,7
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,7,7
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,71,71
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-01-01,2,2
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,3,3
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,3,3
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,11,11
BOYUIBE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,8,8
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,6,6
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,456,456
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,8,8
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,3,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,98,98
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,11,11
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,6,6
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,346,346
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,3,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,4,4
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,54,54
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,90,90
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,8,8
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,7,7
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,6,6
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,16,16
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,7,7
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,21,21
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,4,4
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,3,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,12,12
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,12,12
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,6,6
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,235,235
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,78,78
TARATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,159,159
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
TIPUANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,4,4
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,12,12
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,5,5
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,8,8
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,10,10
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,4,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,10,10
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,7,7
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,2,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,42,42
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,4,4
ZUDAÑEZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-02-01,1,1
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,3,3
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,5,5
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,10,10
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,9,9
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,432,432
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,3,3
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,91,91
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,14,14
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,7,7
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,3,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,6,6
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,344,344
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,8,8
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,96,96
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,4,4
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,5,5
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,19,19
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,8,8
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,11,11
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,8,8
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,4,4
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,30,30
SACABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,10,10
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,8,8
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,12,12
SAN RAMON SCZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,231,231
SANTIVAÑES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
SHINAOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,4,4
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,78,78
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,114,114
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,9,9
TOTORA(CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,35,35
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,3,3
URUBICHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,7,7
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,3,3
VILLA SERRANO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,2,2
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,12,12
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,6,6
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,5,5
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,1,1
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-03-01,46,46
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,3,3
ARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
ATOCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,1,1
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,7,7
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,3,3
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,9,9
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,4,4
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,221,221
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,122,122
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,17,17
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,5,5
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,1,1
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,3,3
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,269,269
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,1,1
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,40,40
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,2,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,7,7
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",diu: usuarias continuas,2014-04-01,1,1
