municipality,group,variable,month,TOTAL 5.15 AQV FEMENINO  Grupo Edad: (CANTIDAD),TOTAL
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,3,3
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,18,18
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,57,57
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,26,26
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,16,16
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,38,38
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,3,3
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,3,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,21,21
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,5,5
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,7,7
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,6,6
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,6,6
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,7,7
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,14,14
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,3,3
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,3,3
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,8,8
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,10,10
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,36,36
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
TIAWANACU,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,5,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,34,34
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,2,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,7,7
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,4,4
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,3,3
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-02-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,9,9
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,6,6
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,4,4
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,19,19
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,58,58
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,6,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,35,35
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,7,7
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,13,13
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,22,22
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,17,17
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,15,15
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,6,6
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,11,11
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,8,8
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,4,4
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,7,7
SAN MATIAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,7,7
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,5,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,46,46
SANTA ROSA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,16,16
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,33,33
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,4,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,4,4
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,35,35
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,7,7
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,8,8
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,5,5
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,3,3
VINTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-03-01,1,1
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,18,18
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,35,35
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,21,21
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,8,8
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,10,10
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,37,37
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,20,20
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,5,5
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,14,14
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,4,4
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,8,8
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,3,3
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,11,11
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,11,11
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
SAN RAMON BENI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,23,23
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,28,28
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,32,32
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,1,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,5,5
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,4,4
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,6,6
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,2,2
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,9,9
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-04-01,9,9
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,3,3
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,2,2
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,3,3
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,14,14
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,67,67
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,5,5
CORQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,16,16
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,8,8
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,33,33
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,5,5
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,20,20
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,11,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,2,2
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,2,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,2,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,18,18
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,8,8
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,7,7
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,2,2
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,3,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,8,8
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,15,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,33,33
TARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,6,6
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,5,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,34,34
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,1,1
VIACHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,2,2
VILLA TUNARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2014-05-01,15,15
