,group,variable,month,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS DENTRO,PENTAVALENTE 3RA DOSIS FUERA,PENTAVALENTE 3RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,0,0,0,2,0,2
CLIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,1,0,1,0,1
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,1,0,2,2
COCAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,2,1,1,3,3,6
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,12,18,2,2,14,20,34
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,1,1,1,2
CORIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,1,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,3,0,0,2,3,5
CUEVO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,24,26,11,10,35,36,71
EL TORNO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,1,0,1,0,1
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,0,1,0,1,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,2,0,0,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,5,10,0,0,5,10,15
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,2,0,0,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,1,1,0,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,22,30,0,0,22,30,52
LAJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,5,5,5,5,10
MECAPACA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,2,0,0,0,2,2
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,7,10,1,4,8,14,22
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,1,1,4,3,5,8
OKINAWA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,1,0,1,1,2
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,7,7,0,0,7,7,14
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,2,1,2,1,3
PALCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,0,1,0,1,1
POROMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,2,2,0,4,2,6
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,2,0,0,1,2,3
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,2,0,0,1,2,3
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,3,2,1,1,4,3,7
RAVELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,1,4,2,4,6
REYES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,2,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,3,0,1,0,4,0,4
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,6,7,0,0,6,7,13
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,4,3,4,3,7
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,1,0,2,0,2
SAN MATIAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,1,3,1,5,2,7
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,2,1,2,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,109,98,8,3,117,101,218
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
SANTUARIO DE QUILLACAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,1,1,1,2,3
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,0,0,0,2,0,2
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,1,0,0,0,1,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,7,4,0,0,7,4,11
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,1,0,1,0,1
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,2,0,0,0,2,2
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,3,1,0,0,3,1,4
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,3,0,0,0,3,3
TIRAQUE (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,0,1,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,10,7,1,0,11,7,18
TUPIZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,4,4,0,1,4,5,9
URUBICHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,1,0,0,1,1,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,1,0,2,0,2
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,0,0,1,0,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,1,1,1,1,2
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,0,0,0,1,0,1,1
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,2,3,2,4,4,8
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,7,3,0,0,7,3,10
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,2,2,0,0,2,2,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-01-01,1,0,2,2,3,2,5
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,0,0,0,2,0,2
ALTO BENI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,1,0,2,2
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,1,1,0,3,1,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,6,1,0,0,6,1,7
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,1,0,2,2,4
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,0,1,0,1,1
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,1,0,2,0,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,1,0,2,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,12,10,1,0,13,10,23
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,1,0,1,3,2,5
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,3,0,0,0,3,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,2,1,3,3,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,4,18,0,0,4,18,22
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,0,0,0,3,0,3
COMARAPA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,1,0,1,1,2
COROICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,1,0,2,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,2,0,0,2,2,4
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,0,1,0,1,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,26,23,1,2,27,25,52
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,2,0,0,0,2,2
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,0,0,0,3,0,3
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,9,8,0,0,9,8,17
GUAQUI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,0,1,0,1,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,0,0,0,2,0,2
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,0,0,1,2,3
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,4,0,0,3,4,7
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,1,1,0,3,1,4
LA PAZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,18,16,0,0,18,16,34
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,1,0,0,1,1,2
MINEROS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,1,1,0,3,1,4
MIZQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,8,6,1,6,9,12,21
MONTERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,1,1,0,4,1,5
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,1,0,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,1,3,1,3,4
OCURI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,0,0,1,2,3
ORURO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,14,12,0,0,14,12,26
PAILON,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,2,0,2,0,2
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
PORONGO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,1,0,2,0,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,4,0,3,0,7,0,7
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,1,1,0,3,1,4
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,1,1,1,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,4,0,2,1,6,1,7
QUIME,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,1,0,0,1,1,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,0,1,1,3,4
ROBORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,3,0,0,0,3,3
SABAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,0,1,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,2,3,3,5,5,10
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,0,0,0,2,0,2
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,1,0,1,0,1
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,5,7,6,5,11,12,23
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,3,1,0,4,3,7
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,1,0,1,1,2
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,1,1,1,4,2,6
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,0,0,1,2,1,3
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,0,1,0,1,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,0,0,0,2,0,2
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,1,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,129,137,1,1,130,138,268
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,0,1,0,1,1
SENA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,1,1,0,4,1,5
SHINAOTA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,4,0,0,0,4,4
SICA SICA (VILLA AROMA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,2,0,0,2,2,4
SOPACHUY,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,1,1,1,2
SORATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,1,0,1,0,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,5,0,0,2,5,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,8,1,1,4,9,13
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,2,1,3,3,6
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,6,2,0,0,6,2,8
UYUNI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,4,3,0,0,4,3,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,0,1,0,1,0,1
VILLA MONTES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,0,1,0,0,0,1,1
VILLA RIVERO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
VILLA SERRANO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,1,1,2,3,5
VILLA TUNARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,3,4,0,0,3,4,7
VILLA VACA GUZMAN (MUYUPAMPA),vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,0,0,0,2,0,2
VINTO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,2,1,2,2,4,6
VITICHI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,0,0,1,0,1
WARNES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,10,10,0,0,10,10,20
YACUIBA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,2,2,0,0,2,2,4
YAPACANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-02-01,1,0,1,1,2,1,3
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,1,1,1,0,2,1,3
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,1,0,0,1,1,1,2
ARANI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,1,0,0,0,1,1
ARBIETO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,1,0,0,0,1,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,1,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,2,0,1,1,3,1,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,3,1,1,0,4,1,5
BAURES,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,1,0,0,0,1,0,1
BELEN DE ANDAMARCA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,2,0,0,0,2,0,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,0,0,1,0,1,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,1,0,2,1,3,1,4
CAMIRI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,1,1,0,1,1,2
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,1,0,1,2,2,2,4
CARANAVI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,1,0,1,1,2,1,3
CARAPARI,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,0,0,1,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,2,1,0,1,2,2,4
CHIMORE,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,4,2,2,1,6,3,9
CHUMA,vacunaciones en ninos de 12 a 23 meses,pentavalente 3ra dosis,2018-03-01,0,0,1,0,1,0,1
