,group,variable,month,ANTIPOLIOMIELÍTICA 4TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS DENTRO,ANTIPOLIOMIELÍTICA 4TA. DOSIS FUERA,ANTIPOLIOMIELÍTICA 4TA. DOSIS FUERA,TOTALES,TOTALES,TOTALES
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,8,4,1,9,9,18
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,20,18,3,10,23,28,51
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,5,0,2,2,7,9
AUCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,0,1,0,1,1
AYATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,1,1,3,4,7
AYO AYO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,1,0,0,2,1,3
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,8,3,5,9,13,22
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,5,2,4,2,9,11
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,8,0,1,8,9,17
BAURES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,0,0,2,3,5
BELEN DE URMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,1,0,1,0,1
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,1,2,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,27,10,3,0,30,10,40
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,7,1,1,5,8,13
BOLIVAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,0,1,0,1,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,1,2,1,2,3
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,2,0,1,6,3,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,12,6,0,0,12,6,18
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,12,10,9,9,21,19,40
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,5,1,0,4,5,9
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,8,2,2,10,10,20
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,1,0,0,4,1,5
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,1,1,0,1,1,2
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,10,4,0,0,10,4,14
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,9,12,2,0,11,12,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,0,0,1,1,2
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,17,22,0,0,17,22,39
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,27,17,2,4,29,21,50
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,5,1,0,4,5,9
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,4,6,3,10,7,17
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,37,28,0,2,37,30,67
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,21,23,3,7,24,30,54
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,7,1,1,4,8,12
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,2,0,0,2,2,4
CATACORA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,1,0,0,0,1,1
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,28,11,6,4,34,15,49
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,4,0,1,4,5,9
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,1,0,1,2,2,4
CHARAÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,6,1,2,6,8,14
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,18,12,1,2,19,14,33
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,0,1,1,2,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,2,0,0,2,2,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,5,0,0,6,5,11
CHUMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,1,2,3,5,8
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,0,0,0,3,0,3
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,1,2,3,5,8
CLIZA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,4,0,0,2,4,6
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,37,38,8,5,45,43,88
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,10,11,6,11,16,22,38
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,474,449,9,9,483,458,941
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,27,40,2,1,29,41,70
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,7,6,1,1,8,7,15
COLLANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,0,0,1,1,2
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,13,0,0,11,13,24
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,6,2,1,5,7,12
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,10,13,3,2,13,15,28
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,12,9,0,0,12,9,21
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,8,1,1,4,9,13
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,18,10,1,0,19,10,29
COMBAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,21,20,4,3,25,23,48
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,2,0,1,6,3,9
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,7,1,0,12,7,19
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,3,5,4,8,7,15
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,3,2,3,7,6,13
CORQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,1,0,1,6,2,8
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,6,0,0,8,6,14
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,32,34,2,1,34,35,69
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,7,10,0,4,7,14,21
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
CUEVO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,2,1,2,1,4,5
CULPINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,7,3,0,8,7,15
CURAHUARA DE CARANGAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,4,0,2,2,6,8
CURVA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,1,0,1,4,2,6
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,3,0,3,0,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,398,406,73,74,471,480,951
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,0,0,2,3,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,6,0,0,6,6,12
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,4,0,0,2,4,6
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,35,32,8,9,43,41,84
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,3,0,0,3,3,6
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,11,7,4,12,15,27
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,36,25,2,5,38,30,68
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,2,0,0,1,2,3
ESMERALDA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,3,0,0,0,3,3
EXALTACION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,0,0,1,1,2
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,6,2,0,10,6,16
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,3,4,2,15,5,20
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,3,1,3,2,6,8
GUANAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,10,2,3,6,13,19
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,1,0,0,2,1,3
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,30,19,3,1,33,20,53
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,7,0,2,2,9,11
HUACARETA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,5,0,0,4,5,9
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,1,2,1,2,2,4
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,10,1,4,7,14,21
HUARACAJE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,0,0,0,3,0,3
HUARINA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,1,0,0,5,1,6
HUATAJATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,0,0,1,1,2
HUAYLLAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,0,1,2,3,2,5
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,2,0,1,2,3,5
ICLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,5,0,0,3,5,8
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,1,2,4,5,5,10
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,4,2,3,5,7,12
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,7,1,0,5,7,12
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,7,0,1,1,8,9
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,5,2,0,5,5,10
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,23,30,0,1,23,31,54
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,89,77,4,3,93,80,173
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,440,402,6,8,446,410,856
LA RIVERA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,9,1,7,5,16,21
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,10,16,0,1,10,17,27
LAS CARRERAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,2,0,1,0,3,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,9,9,6,15,15,30
LLICA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,0,5,7,5,7,12
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,2,1,2,5,4,9
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,2,0,0,5,2,7
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,4,3,3,5,7,12
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,10,9,0,0,10,9,19
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,15,12,0,0,15,12,27
MALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,1,1,1,1,2,3
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,18,14,2,1,20,15,35
MECAPACA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,12,0,3,6,15,21
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,12,2,3,7,15,22
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,4,0,0,8,4,12
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,4,1,2,6,6,12
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,2,1,3,5,5,10
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,12,12,0,0,12,12,24
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,104,76,12,11,116,87,203
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,2,2,0,3,2,5
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,2,2,3,3,5,8
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,1,2,2,2,4
NAZACARA DE PACAJES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,1,0,0,0,1,1
OCURI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,2,5,3,6,9
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,9,1,3,12,12,24
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,0,5,2,9,2,11
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,151,147,9,11,160,158,318
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,12,3,5,14,17,31
PADILLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,6,0,0,8,6,14
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,15,10,7,6,22,16,38
PALCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,16,12,1,2,17,14,31
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,14,15,2,1,16,16,32
PAMPA AULLAGAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,1,0,2,0,2
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,12,7,1,0,13,7,20
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,1,0,0,4,1,5
PASORAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,1,0,2,0,2
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,1,0,0,0,1,1
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,5,0,0,2,5,7
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,1,0,1,1,2,3
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,4,1,6,4,10
POCONA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,2,0,0,4,2,6
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,4,3,3,7,7,14
POOPO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,7,2,1,0,8,2,10
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,14,0,0,5,14,19
POROMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,3,0,3,2,6,8
PORONGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,5,0,0,5,5,10
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,18,10,0,0,18,10,28
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,5,7,5,9,10,16,26
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,142,158,18,27,160,185,345
PRESTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,1,0,0,3,1,4
PUCARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,4,1,0,1,4,5
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,14,7,3,18,17,35
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,3,0,0,3,3,6
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,4,5,2,8,6,14
PUERTO GONZALO MORENO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,2,0,2,3,4,7
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,0,1,5,3,5,8
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,11,17,0,0,11,17,28
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,7,8,2,0,9,8,17
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,1,0,0,2,1,3
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,9,2,1,10,10,20
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,32,35,2,1,34,36,70
PUNA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,3,2,1,3,4,5,9
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,16,6,2,14,18,32
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,0,2,0,0,0,2,2
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,63,78,30,35,93,113,206
QUIME,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,6,2,0,0,6,2,8
QUIRUSILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,2,2,0,0,2,2,4
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,4,3,4,1,8,4,12
RAVELO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,1,0,3,5,4,5,9
REYES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,8,4,0,0,8,4,12
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 4ta. dosis,2018-01-01,40,40,0,1,40,41,81
