,group,variable,month,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS DENTRO,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,ANTIPOLIOMIELÍTICA 1RA DOSIS FUERA,TOTALES,TOTALES,TOTALES
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,3,0,0,1,3,4
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,8,8,3,1,11,9,20
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,0,2,0,2,2
GENERAL SAAVEDRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,2,1,2,1,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,2,3,0,3,2,6,8
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,0,1,0,1,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,13,5,0,0,13,5,18
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
POCOATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,0,1,0,1,1
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,2,1,0,1,2,2,4
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,2,0,0,0,2,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,2,1,2,1,3
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,2,2,0,1,2,3,5
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,37,23,8,3,45,26,71
SANTA ROSA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,2,0,0,1,2,3
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,1,0,0,1,1,2
TAHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,0,1,0,1,0,1
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,2,5,0,0,2,5,7
URIONDO (A. CONCEPCION),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,4,3,0,0,4,3,7
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,2,1,0,0,2,1,3
VINTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
VITICHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,0,1,0,0,0,1,1
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-01-01,1,0,0,1,1,1,2
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,4,0,0,0,4,0,4
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,0,1,0,1
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,1,0,1,0,1
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,0,1,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,6,6,0,0,6,6,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,2,0,0,1,2,3
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,2,0,0,0,2,2
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,1,1,1,1,2
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,0,1,0,1,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,2,4,0,0,2,4,6
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,9,0,1,2,10,2,12
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,0,1,0,1
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,1,1,1,2
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,0,1,0,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,3,0,0,0,3,3
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,5,2,0,0,5,2,7
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,1,0,1,0,1
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,1,0,0,1,1,2
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,4,11,0,0,4,11,15
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,8,8,1,1,9,9,18
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,1,0,1,1,2
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
PUNATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,1,0,2,2
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,2,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
SABAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,0,1,0,1,1
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,1,0,0,1,1,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,2,1,0,0,2,1,3
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,4,3,4,3,7
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,10,10,0,0,10,10,20
SANTA ROSA DEL SARA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,1,0,2,0,2
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,0,1,0,1,1
TARATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,2,6,3,6,9
TIQUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
TRINIDAD,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,5,0,0,0,5,0,5
URUBICHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,3,1,2,2,5,3,8
VIACHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,2,1,2,3
VITICHI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,1,0,0,1,1,2
WARNES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,3,1,0,0,3,1,4
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,1,0,0,0,1,1
YAMPARAEZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,0,0,0,1,0,1,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-02-01,1,0,0,0,1,0,1
AIQUILE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,2,1,2,1,3
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,3,0,0,1,3,4
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,1,0,2,2
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,2,0,1,1,3,4
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,0,1,0,1
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,0,1,0,1,1
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,1,1,1,2
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,0,1,0,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,6,6,0,0,6,6,12
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,6,0,0,1,6,7
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,2,0,0,0,2,0,2
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
COMBAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,0,1,0,1
COROICO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,0,0,1,1
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,1,0,0,1,1,2
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,5,8,2,6,7,14,21
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,2,0,0,0,2,2
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,0,0,1,1
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,2,0,0,0,2,0,2
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,0,0,1,1
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,1,0,0,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,3,3,0,0,3,3,6
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,2,1,0,0,2,1,3
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,2,2,2,0,4,2,6
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,14,9,14,9,23
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,2,0,0,1,2,3
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,0,1,0,1
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,0,1,0,1,1
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,2,0,0,0,2,2
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,0,0,1,1
SACABA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,2,0,0,1,2,3
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,1,0,2,0,2
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,2,2,1,0,3,2,5
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,3,2,3,2,5
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,0,1,0,1,1
SANTA CRUZ DE LA SIERRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,11,9,0,0,11,9,20
SANTIAGO DE CALLAPA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,1,0,1,0,1
SIPE SIPE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,0,0,1,1
SORATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,1,0,0,0,1,1
SUCRE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,4,3,0,0,4,3,7
TARIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,2,1,0,1,2,2,4
TINGUIPAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,1,0,0,1,1,2
UYUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,1,1,0,2,1,3
YACUIBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,1,0,0,0,1,0,1
YAPACANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-03-01,0,0,2,4,2,4,6
ACHOCALLA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,0,1,0,1
ANCORAIMES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
ARQUE,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
ASCENCION DE GUARAYOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
ATOCHA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,1,1,1,2
BAURES,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,0,1,0,1,1
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,0,1,0,1
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,2,0,2,0,2
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,1,0,0,1,1,2
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,1,1,1,2
COBIJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,2,0,0,0,2,0,2
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,3,5,0,0,3,5,8
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,0,1,0,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
COTOCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,3,2,1,3,4,7
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,1,1,1,2,3
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,12,9,1,3,13,12,25
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,0,1,0,1
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,2,0,1,0,3,0,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,0,1,0,1,1
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,1,0,0,1,1,2
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,1,0,0,1,1,2
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,2,4,0,0,2,4,6
LAJA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,2,1,2,1,3
LORETO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,0,1,0,1
MINEROS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
MONTERO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,3,0,1,0,4,0,4
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,0,0,1,0,1
ORURO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,6,7,1,5,7,12,19
PAILON,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,2,1,2,3
PALCA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,0,1,0,1,1
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,1,0,1,1,2,3
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,3,4,0,0,3,4,7
PORCO,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
POTOSI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,1,0,0,0,1,1
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,0,0,1,0,1,0,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antipoliomielitica 1ra dosis,2018-04-01,1,0,1,0,2,0,2
