,group,variable,month,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA DENTRO,ANTIAMARÍLICA DOSIS ÚNICA FUERA,ANTIAMARÍLICA DOSIS ÚNICA FUERA,TOTALES,TOTALES,TOTALES
AYO AYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,2,2,2,3,5
AYOPAYA (V. DE INDEPENDENCIA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,14,14,5,7,19,21,40
AZURDUY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,7,5,7,5,12
BATALLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,7,7,2,14,9,23
BAURES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,4,0,0,4,4,8
BELLA FLOR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,2,2,2,4
BERMEJO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,23,21,2,4,25,25,50
BETANZOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,11,10,2,18,13,31
BOLPEBRA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,3,2,3,5
BOYUIBE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,2,2,3,4,5,9
BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,2,11,12,15,14,29
CABEZAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,20,23,20,10,40,33,73
CAIROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,6,6,2,3,8,9,17
"CAIZA ""D""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,1,5,7,8,8,16
CAJUATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,3,0,0,10,3,13
CALACOTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,0,1,0,1,1
CALAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,9,11,3,2,12,13,25
CAMARGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,11,1,1,14,12,26
CAMIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,15,26,7,1,22,27,49
CAPINOTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,15,10,6,3,21,13,34
CAQUIAVIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,2,0,0,1,2,3
CARACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,6,3,5,5,11,8,19
CARANAVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,34,38,1,3,35,41,76
CARAPARI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,1,8,10,10,11,21
CARIPUYO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,2,0,2,1,4,5
CARMEN RIVERO TORREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,1,3,6,5,7,12
CHALLAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,23,25,17,17,40,42,82
CHAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,3,3,1,7,4,11
CHARAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,2,7,8,12,10,22
CHAYANTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,1,2,7,5,8,13
CHIMORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,10,4,1,17,11,28
CHIPAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,1,2,1,2,3
CHUA COCANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,4,0,0,4,4,8
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,15,10,5,1,20,11,31
CHUMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,2,1,1,2,3,5
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,1,0,0,5,1,6
CKOCHAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,2,4,2,9,4,13
CLIZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,9,5,5,18,14,32
COBIJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,42,28,6,8,48,36,84
COCAPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,3,9,7,17,10,27
COCHABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,593,532,3,9,596,541,1137
COLCAPIRHUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,28,38,1,1,29,39,68
"COLCHA ""K""",vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,4,0,0,8,4,12
COLLANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,0,1,0,1,1
COLOMI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,7,4,3,11,10,21
COLPA BELGICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,7,0,4,2,11,13
COLQUECHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,7,4,7,5,12
COLQUENCHA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,4,1,5,1,6
COLQUIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,1,7,9,9,10,19
COMARAPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,14,11,2,1,16,12,28
COMBAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,0,1,0,1,1
CONCEPCION,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,23,19,9,8,32,27,59
COPACABANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,6,3,2,5,8,13
CORIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,14,8,0,0,14,8,22
CORO CORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,1,2,1,3
COROICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,4,1,2,11,6,17
CORQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,4,2,2,3,6,9
COTAGAITA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,4,5,8,10,12,22
COTOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,62,65,8,3,70,68,138
CRUZ DE MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,0,1,0,1
CUATRO CAÑADAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,17,10,9,2,26,12,38
CUEVO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,3,4,4,5,7,12
CULPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,7,3,1,13,8,21
CURVA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,0,1,0,3,0,3
DESAGUADERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,6,10,7,10,17
EL ALTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,517,582,153,164,670,746,1416
EL CHORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,0,0,1,4,1,5
EL PUENTE(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,11,1,3,11,14,25
EL PUENTE(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,1,6,3,9,4,13
EL TORNO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,41,64,10,13,51,77,128
EL VILLAR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,1,0,2,0,2
ENTRE RIOS TRJ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,13,7,6,20,19,39
ENTRE RIOS CBBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,37,41,0,0,37,41,78
ESCOMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,2,1,3,2,5,7
EUCALIPTUS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,1,1,1,5,2,7
EXALTACION,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,0,0,0,1,1
FERNANDEZ ALONSO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,2,0,1,2,3,5
FILADELFIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,2,0,3,0,3
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,1,3,3,6,4,10
GUANAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,9,7,6,10,15,25
GUAQUI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,5,0,2,2,7,9
GUAYARAMERIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,26,16,11,5,37,21,58
GUTIERREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,8,5,8,6,14
HUACAYA (VILLA DE HUACAYA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,1,1,2,1,3
HUANUNI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,18,8,8,6,26,14,40
HUARINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,1,3,2,4,3,7
HUMANATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,2,6,5,7,7,14
ICHOCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,1,7,4,8,5,13
ICLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,0,1,0,1,1
INCAHUASI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,1,1,1,1,2
INQUISIVI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,6,3,4,4,10,14
IRUPANA (VILLA DE LANZA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,10,4,2,11,12,23
IXIAMAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,6,6,3,1,9,7,16
JESUS DE MACHACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,8,2,3,5,11,16
LA ASUNTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,30,35,0,0,30,35,65
LA GUARDIA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,143,122,3,4,146,126,272
LA PAZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,497,484,19,25,516,509,1025
LAGUNILLAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,0,5,6,8,6,14
LAJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,18,5,3,3,21,8,29
LICOMA PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,0,0,1,2,1,3
LLALLAGUA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,19,24,16,11,35,35,70
LLICA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,3,0,0,3,3,6
LORETO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,15,17,15,17,32
LURIBAY,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,1,3,0,5,1,6
MACHACAMARCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,6,0,0,3,6,9
MACHARETI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,4,3,4,3,7
MAGDALENA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,1,5,2,6,3,9
MAIRANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,19,13,3,1,22,14,36
MALLA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,1,0,1,1,2
MAPIRI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,16,10,3,3,19,13,32
MINEROS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,19,7,5,20,24,44
MIZQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,12,14,9,5,21,19,40
MOCOMOCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,4,6,4,8,8,16
MOJOCOYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,4,2,3,4,7,11
MONTEAGUDO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,12,0,0,8,12,20
MONTERO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,72,83,22,11,94,94,188
MORO MORO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,0,2,0,2
MOROCHATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,0,2,0,2
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,9,3,9,3,12
OCURI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,2,1,2,2,4
OKINAWA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,14,11,0,0,14,11,25
OMEREQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,2,3,3,3,6
ORURO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,206,169,5,14,211,183,394
PADCAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,12,14,4,4,16,18,34
PAILON,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,19,16,8,7,27,23,50
PALCA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,9,3,3,16,12,28
PALOS BLANCOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,11,14,8,6,19,20,39
PAMPA GRANDE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,2,2,3,9,5,14
PAPEL PAMPA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,3,0,1,2,4,6
PATACAMAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,18,22,0,1,18,23,41
PAZÑA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,1,3,1,6,2,8
PELECHUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,4,3,4,4,8,12
POCOATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,18,14,18,15,33
POCONA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,2,2,0,2,2,4
POJO (CBBA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,6,1,1,8,7,15
POOPO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,10,10,10,10,20
PORCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,3,0,6,2,9,11
POROMA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,2,5,3,5,8
PORONGO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,1,8,7,9,8,17
PORTACHUELO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,18,2,1,12,19,31
PORVENIR,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,4,5,9,5,13,10,23
POSTRER VALLE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,2,0,0,0,2,2
POTOSI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,186,178,31,28,217,206,423
PRESTO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,3,4,3,9,6,15
PUCARA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,1,0,1,1,2
PUCARANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,15,8,3,16,18,34
PUERTO ACOSTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,5,2,2,3,7,10
PUERTO CARABUCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,8,4,9,7,17,24
PUERTO PEREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,1,1,1,2
PUERTO QUIJARRO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,16,0,0,7,16,23
PUERTO RICO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,6,0,1,2,7,9
PUERTO SILES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,0,0,0,1,1
PUERTO SUAREZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,16,9,0,2,16,11,27
PUERTO VILLARROEL,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,36,34,3,2,39,36,75
PUNA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,3,7,3,10,6,16
PUNATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,20,12,2,6,22,18,40
QUIABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,0,1,0,1
QUILLACOLLO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,97,86,70,62,167,148,315
QUIME,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,4,5,3,6,7,13
RAQAYPAMPA(ETA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,2,0,0,2,2,4
REYES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,7,0,0,8,7,15
RIBERALTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,52,61,32,21,84,82,166
ROBORE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,0,1,0,1
RURRENABAQUE,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,10,18,1,3,11,21,32
SABAYA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,2,0,0,1,2,3
SACABA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,94,112,4,5,98,117,215
SACABAMBA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,4,0,0,2,4,6
SACACA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,2,4,5,9,7,16
SAIPINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,5,3,5,3,8
SALINAS DE GARCI MENDOZA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,5,3,2,4,7,7,14
SAMAIPATA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,9,12,4,4,13,16,29
SAN AGUSTIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,2,2,0,4,2,6
SAN ANDRES,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,2,2,3,2,5
SAN ANTONIO DE LOMERIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,1,2,3,2,4,6
SAN BENITO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,5,1,0,14,5,19
SAN BORJA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,42,30,2,3,44,33,77
SAN BUENA VENTURA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,3,5,6,8,9,17
SAN CARLOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,6,8,3,5,9,13,22
SAN IGNACIO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,25,14,7,5,32,19,51
SAN IGNACIO DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,49,39,7,11,56,50,106
SAN JAVIER(BNI),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,2,1,0,1,2,3
SAN JAVIER(STC),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,15,9,0,0,15,9,24
SAN JOAQUIN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,6,2,2,10,8,18
SAN JOSE DE CHIQUITOS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,6,27,20,34,26,60
SAN JUAN DE YAPACANI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,0,2,8,4,8,12
SAN JULIAN,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,45,38,8,6,53,44,97
SAN LORENZO(PND),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,3,5,4,3,7,8,15
SAN LORENZO(TJA),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,9,7,2,0,11,7,18
SAN LUCAS,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,13,5,7,12,20,17,37
SAN MIGUEL DE VELASCO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,7,4,5,11,12,15,27
SAN PABLO DE LIPEZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,0,0,0,1,0,1
SAN PEDRO,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,1,6,5,7,6,13
SAN PEDRO DE BUENA VISTA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,9,4,6,5,15,9,24
SAN PEDRO DE CURAHUARA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,0,0,0,2,0,2
SAN PEDRO DE TIQUINA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,1,2,1,3,2,5
SAN PEDRO(PND),vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,0,0,2,0,2,0,2
SAN RAFAEL,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,2,1,2,2,4,3,7
SAN RAMON BENI,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,1,6,6,6,7,12,19
SAN RAMON SCZ,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,8,10,5,5,13,15,28
SANTA ANA,vacunaciones en ninos de 12 a 23 meses,antiamarilica dosis unica,2018-01-01,9,11,2,3,11,14,25
